"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,3890,18787,451,11866,4972,12627,1345,599,1650,178,801,6906,606,1211,23911,211812,15700,32201,357,1915,71,799,168,223,1696,2783
"Busan",4126,0,14481,9582,13570,260106,44326,7738,34781,381927,16565,93,11088,2271,3703,13309,262923,10588,38865,325925,1126,350768,334,23230,3083,4320,1952
"Cheonan",18487,22391,0,208,47689,15925,121961,6008,1701,3667,464,2891,17246,1996,2991,69251,577325,29103,56413,932,4917,402,1069,680,625,3177,5176
"Chilgok",446,10360,207,0,206,453118,864,431,5519,4563,3653,13,230,96,140,214,4165,108,450,727,7,105,5,1763,191,42,24
"Chungju",11900,14093,51097,225,0,15089,199902,4439,1891,5023,232,338,25965,2610,12851,24522,221957,12082,32678,1173,274,70,213,386,2218,448,2209
"Daegu",4430,274146,13834,437056,13834,31542,87317,28583,476171,305574,73955,250,18810,4428,6256,12443,272755,8071,32024,57649,1138,6471,340,50027,8933,5734,1868
"Daejeon",13042,45681,125158,766,207664,83316,29710,18929,6046,17121,1031,2654,194559,207286,40183,29511,282390,12668,34761,8295,1379,1176,593,1439,8423,2299,1910
"Gimcheon",1246,7358,4727,349,3948,23790,16700,3527,34300,3156,265,131,2342,934,4917,3494,57595,2385,6410,881,223,99,146,422,4911,547,412
"Gumi",530,38064,1298,5910,2046,454456,7387,39894,129,11447,2928,28,2531,427,1543,1674,30334,1152,4807,3572,100,822,65,1628,2205,161,211
"Gyeongju",2314,358716,4723,4487,5037,268788,20597,3415,10060,0,11098,28,2769,1169,1863,5505,114849,3194,15943,23877,274,4328,177,4089,1229,626,831
"Gyeongsan",179,19155,335,3252,350,70929,1257,334,2835,14144,0,3,571,103,225,329,4848,299,492,3318,10,338,11,6423,164,26,32
"Hoengsung",774,149,2828,5,433,436,1980,112,26,33,5,0,1609,80,76,1457,132070,1265,14216,13,90669,1,3675,8,30,36834,4270
"Jeongju",6306,15322,16281,297,24108,25721,179078,2940,2232,6210,465,1951,0,44260,6069,21739,453542,14148,29721,1884,1741,340,669,639,562,4903,2388
"Nonsan",525,3314,1594,111,2505,5906,203991,1074,453,1369,97,146,44422,0,2229,1661,34365,1574,3179,398,100,17,77,273,191,75,292
"Okchun",1257,7777,2894,201,13568,7368,36653,6420,1732,1944,306,105,5387,2204,37235,2516,14288,1579,3142,515,62,62,25,224,13286,229,151
"Osan",30556,26702,94393,267,33596,27299,42487,6041,3097,7603,400,1799,48315,2618,3761,0,313423,32895,21954,1759,2699,523,2117,326,777,5127,9567
"Seoul",212700,232651,544230,2561,214063,224616,271025,49092,28406,81887,2366,127558,400142,32994,14856,293659,0,191952,531039,31983,168454,3009,45171,3259,6810,76267,390988
"Sungnam",17697,19218,33743,141,13695,15454,16803,4060,1597,5675,310,1990,20183,1886,2130,29724,189454,0,101398,1242,14097,287,1208,319,290,2602,29710
"Suwon",32387,46574,53357,409,35268,48317,40360,8321,6670,14337,497,15197,48524,3823,3594,26894,493221,106365,0,5608,32010,1061,16476,725,971,46366,125116
"Ulsan",443,333284,1434,781,2014,58509,10252,931,4123,24224,3333,12,2412,326,578,1315,44341,1035,6568,76308,67,40631,42,2888,348,98,230
"Wonju",1756,635,4534,5,133,628,849,101,27,200,4,101563,1435,85,51,2335,173651,14663,29451,27,83236,81,38029,11,7,73758,8954
"Yangsan",26,348726,460,66,90,6380,1669,55,1499,4844,294,2,322,17,52,231,4722,182,1098,44771,134,0,2,494,41,41,25
"Yeoju",638,723,1310,6,227,365,660,94,53,139,3,2425,593,58,26,2251,48470,932,18476,31,38513,1,0,10,13,97769,18365
"Yeongchun",181,26618,679,1311,427,50394,1351,404,1487,5411,5244,4,1069,218,142,248,4879,431,644,2489,26,415,4,0,297,20,70
"Yeongdong",193,3711,583,206,2151,8615,8420,5367,2181,1164,188,23,490,147,12388,575,6720,243,703,340,13,48,13,294,4655,6,29
"Yicheon",1664,6554,3763,75,457,7320,2914,518,85,1339,40,33186,6959,106,240,5083,68411,1932,47197,71,77853,127,101561,34,22,12200,41734
"Yongin",2700,2592,5746,31,2321,2168,2210,388,261,738,52,3689,2271,220,176,8217,390902,31810,113835,207,10295,27,19331,63,63,49443,60916
