"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gumi","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",0,8326,34623,455,34100,16912,31145,4831,1411,5249,389,1550,3558,12174,1196,2117,87696,523479,60484,70605,1438,1630,382,843,288,953,2159,5937
"Busan",10884,0,17364,10257,28049,291254,55760,9767,59192,626233,35580,30,4271,22661,1475,3638,90970,217849,19040,39586,475531,625,1025050,487,82878,4943,4855,3352
"Cheonan",34247,21634,1865,519,116613,32576,193309,9939,6696,7065,1480,4347,4367,17869,1834,4836,182848,891161,142929,90978,2611,4659,1119,1934,1273,1990,4790,10155
"Chilgok",421,12087,333,0,389,491693,1838,711,6869,9724,8045,2,98,81,39,223,770,4225,592,450,2216,43,1517,10,2931,355,20,54
"Chungju",32515,31425,116808,377,7923,43882,245203,13388,4889,7145,833,679,17939,50776,6418,35109,112899,411929,38535,55914,4530,863,2040,207,665,6757,1253,3526
"Daegu",13085,321448,28786,501452,40390,120664,145144,46908,685522,651175,192743,130,6133,3718,3849,16944,93961,360800,61707,42217,127902,844,22765,564,143292,23296,5391,4678
"Daejeon",32288,65372,197587,1690,259817,146325,136012,45343,15500,29469,2709,3709,118605,188617,120309,77343,105997,495964,40491,56929,18997,1988,2253,983,2641,28536,2205,4940
"Gimcheon",4115,9305,7864,713,12363,40448,41320,3948,18472,4328,741,78,1818,2380,976,10258,22029,98989,26161,11659,1217,124,541,142,644,16177,2012,1333
"Gumi",1066,66194,5243,8467,4932,665595,15304,17827,1311,26810,9128,33,821,1789,359,2651,17793,46707,5052,8707,12252,69,3540,36,3873,3543,724,1316
"Gyeongju",5631,602963,8763,9998,9039,604962,33488,4726,26222,0,36855,5,2733,4118,1212,2046,68638,123362,10005,15603,56578,169,66385,249,10457,3540,1814,1281
"Gyeongsan",419,38957,1514,8889,871,188056,3707,1023,9138,43843,0,0,150,179,99,460,3529,6730,1795,876,11421,25,6177,7,17876,570,35,122
"Hoengsung",1403,58,4243,3,579,206,3336,55,30,15,2,0,495,1372,149,60,3013,182731,7737,34647,9,187560,1,9612,0,46,103753,7941
"Iksan",3344,4907,3333,77,18889,9511,104765,1711,1059,3079,157,483,10,6981,7060,2083,23539,124323,14177,8403,1386,843,196,241,129,274,2802,1280
"Jeongju",9625,21174,14685,64,44421,5971,178074,1964,2578,2762,275,1436,6715,0,53753,3251,69882,368568,80741,38747,2788,2141,249,1207,192,455,6287,3316
"Nonsan",1320,2272,1357,60,6509,4207,108752,902,376,1087,87,157,7781,54816,0,1328,4826,38258,3141,2525,353,180,350,64,128,197,143,226
"Okchun",2239,3692,5567,225,36588,16992,73230,11860,2880,1706,601,104,2002,3264,1760,61916,6765,30368,4688,3468,1345,110,178,139,470,31161,207,216
"Osan",102441,116832,215841,953,129625,138829,125800,37511,22836,62934,4199,3638,26438,113050,6836,8862,0,657542,122814,39838,20085,5057,9947,2619,2620,4567,11367,12083
"Seoul",556930,239676,903160,3719,398619,317735,469350,92560,42723,86241,4974,181556,104955,351732,37608,28612,654766,0,523353,1267616,39335,245277,7981,78135,5985,22581,286739,1128094
"Sungnam",67842,29889,144555,391,42047,35724,46158,16476,4675,8741,627,9388,10195,50402,3522,3927,120727,535184,0,180047,2182,11379,1089,4012,766,2360,14665,146003
"Suwon",70804,51325,98390,431,58854,65206,59797,15908,11093,13343,1169,36280,9020,48627,3401,3765,45824,1201977,151301,0,5451,61793,1473,34284,1144,2818,123825,275942
"Ulsan",2026,448526,6039,2595,6767,138545,24635,1618,15277,62696,11545,10,1716,3480,559,1137,38106,58057,4431,12409,872811,509,82301,114,9526,1054,1345,2381
"Wonju",1355,1255,3794,39,380,1575,1548,106,38,71,11,205261,848,1002,82,55,4484,253268,9822,65967,107,8067,38,84382,6,31,199687,16838
"Yangsan",607,966700,858,1045,2132,22190,3934,729,4860,75805,5096,0,149,316,331,195,8146,12384,1881,2072,86912,226,0,49,8527,397,135,127
"Yeoju",802,1218,1854,10,196,620,947,294,127,157,5,9250,161,834,76,193,2317,76600,3973,34856,48,91263,16,0,23,23,35157,19306
"Yeongchun",256,80869,950,2073,656,141746,2298,745,3578,10204,13309,1,126,194,114,411,1775,5958,1178,657,9417,33,7868,85,0,612,31,137
"Yeongdong",831,5531,1874,409,6039,23317,28115,17436,4367,3560,547,56,252,376,233,28691,3339,21506,1910,2409,1369,51,275,29,515,13584,86,128
"Yicheon",2200,7976,5117,36,1233,7661,2938,1094,650,1140,56,97119,657,7683,411,208,9879,286235,13040,123545,536,199462,163,44621,37,81,102973,71211
"Yongin",5425,5142,10059,59,4155,7128,5790,1151,839,1226,84,9210,1224,3342,224,220,8810,1146145,136433,253307,2021,19210,136,23209,116,168,81926,29454
