"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gimje","Gumi","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Nonsan","Okchun","Osan","Seoul","Sungnam","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",1,11304,44940,588,38369,20168,36952,5623,420,1948,9751,8193,422,1762,4199,348,2389,7335,1363,2330,91301,611587,54798,77917,2164,2053,1854,1010,328,1054,3852,6410
"Busan",13179,0,27530,11692,33954,337509,62536,11836,841,71737,10,644774,39035,62,4904,1,1388,24631,1992,4311,93954,246998,19100,49355,572379,915,1030271,679,83038,5816,4977,3686
"Cheonan",42124,32996,14679,821,156792,51435,257517,17248,1084,10382,19582,11863,2423,5768,7697,964,5372,14485,2892,6588,215010,1161570,147182,116368,4834,6385,2833,3203,1802,3384,7212,14242
"Chilgok",529,17336,617,0,553,550348,2335,940,12,10852,3,11737,10173,6,122,0,41,77,69,296,1001,5296,646,558,3059,17,2477,13,3755,541,22,57
"Chungju",37763,38516,157215,527,4854,51590,257761,15316,1369,6812,34245,8485,1021,1036,20408,835,6846,30901,7935,39832,135342,509194,41281,67524,6110,1229,2668,412,853,7261,2103,4790
"Daegu",15105,374523,49814,561358,46979,147222,172240,52734,276,928875,193,771594,194036,237,5656,7,1220,3176,4442,20863,111522,466740,56356,55968,162444,1068,34849,1028,144512,28288,6257,5734
"Daejeon",37809,75740,262347,2132,271821,170013,115975,54553,6760,20131,86457,34603,3327,5688,136486,4586,31984,139308,139055,101672,128531,608633,42447,71446,21038,3026,4218,1375,3165,36200,3558,6483
"Gimcheon",4572,11046,15043,863,13394,43719,50781,4973,172,21324,261,5028,1144,93,1992,10,557,1571,918,11634,24405,118340,25408,14091,1684,166,974,161,738,17784,1923,1279
"Gimje",383,734,1192,20,1589,534,7188,132,139078,200,91306,121,9,74,3262,7834,280783,21026,3094,178,2725,15993,1460,1462,61,74,11,31,13,34,109,114
"Gumi",1575,79137,7603,12693,6997,902457,19897,19713,104,462,324,33596,12104,45,1229,12,419,1394,427,2815,25052,62810,5031,11361,16675,135,4713,67,4956,4785,1359,1375
"Gwangju",6603,0,18167,0,31040,0,84912,0,77604,55,0,0,0,1149,13424,495541,196517,151561,28163,1502,56536,380785,58717,32307,0,1437,0,1601,0,0,2496,2135
"Gyeongju",8904,619667,14004,11176,10797,730494,40986,5624,100,33672,1727,0,47058,17,3033,4,375,3224,1759,2614,77221,156035,12075,22142,85450,394,158851,311,14718,4165,1881,1821
"Gyeongsan",405,44196,2433,10822,987,191146,3905,1227,14,12024,19,56758,0,7,130,1,68,75,99,477,3988,9075,2474,1208,18683,22,9659,12,21444,647,58,105
"Hoengsung",1672,157,5968,6,1002,374,5562,97,38,59,1109,24,0,0,515,18,154,882,150,75,3521,249048,10894,39210,18,227526,4,11322,2,56,111329,9756
"Iksan",3898,6605,7481,106,20518,8398,123652,1966,2491,1828,11944,2862,154,552,1071,819,7384,5802,11019,1837,19587,146638,10312,10317,1161,1128,190,315,158,323,2329,1364
"Jangsung",353,1,1068,0,974,46,4884,9,6746,18,458375,232,1,26,1190,63836,65051,8226,2022,53,2141,13271,2578,1438,0,14,0,41,0,8,43,72
"Jeongeup",1837,1121,5305,46,6158,2374,31294,675,269171,596,199062,408,465,320,8130,63862,12070,94227,13484,635,14960,103277,12750,6642,350,262,94,212,91,148,376,483
"Jeongju",5690,21942,14042,89,28224,5101,131508,1472,20770,3143,154146,2507,123,796,4009,7047,86394,0,36088,2014,36346,224573,23660,26343,4124,996,213,498,128,237,2768,1899
"Nonsan",1288,2738,2266,67,7797,4392,124739,920,2869,468,32545,1196,69,196,11628,3007,12494,39785,0,1601,5517,42344,2766,3431,611,12,474,82,117,182,270,269
"Okchun",2550,4871,7581,278,40749,20588,91486,12905,162,2973,1357,2219,647,129,1652,51,644,2223,1834,61176,8248,34461,5204,4255,1793,83,378,160,532,33586,252,292
"Osan",108257,114440,257058,1334,155809,155753,141706,39589,2463,28867,88937,61780,5601,4310,23738,2468,14645,47642,6707,9737,0,900642,129581,33958,22751,6636,17127,3471,3045,5374,12830,14224
"Seoul",646166,286062,1150476,4714,488036,399540,573903,109444,13288,54914,346603,99775,6579,249014,136431,10098,84786,213113,43462,33239,889036,108,402441,1568373,46148,309815,14538,87825,7386,28053,390282,1416657
"Sungnam",61824,33433,149528,389,44215,34069,47684,15662,1235,5372,31000,8049,700,14692,9118,1708,6174,20223,3323,4328,130209,405734,0,200720,2175,17360,1357,5516,843,2564,23640,189477
"Suwon",78141,82131,125214,1048,71663,93812,77390,22273,1539,15863,47864,22032,2122,44035,12457,1300,8016,32007,4801,4675,38751,1457048,167482,0,8799,73223,6160,40711,1664,3585,145902,214583
"Ulsan",2934,534124,8084,3904,8720,174249,28911,1999,71,20287,10,97691,19887,17,1420,1,382,4676,837,2305,39008,70738,4156,15159,1126428,250,198612,141,14691,1216,1387,1158
"Wonju",1801,1493,4739,38,610,1883,2060,164,27,148,766,119,9,243470,858,25,133,550,136,47,5363,322670,16262,71875,117,5704,35,90416,10,35,232385,21300
"Yangsan",1369,934006,2788,1891,3420,35493,6305,1163,5,6833,4,177602,8604,6,164,0,4,279,447,509,15003,23769,2492,4039,217307,334,0,91,18503,599,350,401
"Yeoju",1058,1409,3197,21,404,919,1247,290,38,89,899,203,21,10897,261,30,146,399,109,164,2857,87284,5216,39059,90,96007,31,0,33,53,27088,21247
"Yeongchun",242,81653,1551,3633,870,147638,2602,830,15,4511,10,13789,17928,1,101,1,51,108,93,377,1731,7498,720,835,14430,35,17221,47,0,808,34,109
"Yeongdong",873,6747,3117,627,6538,28277,36351,18271,36,6026,191,4179,669,62,317,12,127,218,199,31763,4250,27174,2128,3104,1188,67,481,48,613,17962,89,208
"Yicheon",3459,8068,6861,31,1981,8936,4078,943,76,1330,3982,1106,71,106422,855,57,360,3390,458,213,11243,387747,23661,140527,705,229162,351,32089,35,98,75389,65832
"Yongin",5581,4845,13835,56,6676,7414,7272,1395,123,1093,2868,1208,116,12300,1315,117,490,1864,274,306,10455,1427100,170916,196531,750,24514,357,26040,134,314,73878,35792
