"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",6,14588,52225,659,57902,26508,53647,6431,575,3235,27822,12232,12581,488,7275,5814,430,2912,8706,8994,2662,4036,114984,1103003,110818,2922,9806,3318,6049,472,1581,27995,10892
"Busan",14631,0,32052,16009,39608,417719,76141,18567,273,85715,5088,7,755029,48310,179,5319,0,1553,21431,966,3576,6396,98385,311523,53348,756611,2017,1239799,1321,101857,7906,8378,3606
"Cheonan",49916,38219,13384,714,162869,60704,324257,18357,1554,11200,575,23333,13289,2098,6132,9339,1379,5955,17002,16,3645,8607,264713,1613212,146720,7314,5707,4549,3348,1479,4058,6504,19791
"Chilgok",689,23771,761,0,745,664819,3145,1273,10,15899,194,3,14939,10462,34,163,2,44,100,33,92,444,1360,8644,812,5412,68,4270,26,2773,693,132,97
"Chungju",58233,42865,170979,580,21695,62509,387466,17440,2016,8924,27053,38691,9232,1364,7449,25495,1087,8409,37427,27955,11563,47705,173146,778240,83269,8254,11248,4549,4518,924,10471,15249,10019
"Daegu",21059,457283,57290,679246,57865,243414,212932,75072,387,1273574,9589,124,871076,184268,908,8019,4,1563,4027,1994,7494,25853,129326,642419,71443,218205,3781,54192,2504,75493,36626,15162,7154
"Daejeon",56748,90203,331717,2492,408629,208916,133573,67511,10575,28682,15588,109079,37603,4162,13189,170307,5958,40864,175031,15280,191369,176407,168934,873075,91342,27381,12848,8030,4848,3112,54669,17298,10141
"Gimcheon",5514,17675,15390,1002,15749,60437,64089,8189,253,24728,2245,228,6238,1420,302,2514,14,696,2197,553,1592,12570,29435,175609,16761,2794,549,1753,600,737,20482,3639,1800
"Gimje",633,299,1888,11,2161,733,10970,260,175202,236,387,113856,165,7,187,4586,9480,347327,26533,102,3741,324,3877,27037,2705,82,174,11,88,22,64,234,253
"Gumi",3127,93925,9870,20577,9864,1238518,27620,23121,167,975,1145,528,43042,15240,238,2083,11,585,2151,412,693,4094,31886,87793,15529,29803,1026,8358,182,4770,8625,1692,2153
"Gwangjoo",36360,10226,1560,163,31221,16483,21377,3802,500,1562,36397,9517,2907,252,21826,3411,344,2321,6554,16844,1679,1605,833,1336757,4002,1227,31882,846,7028,211,995,15583,3863
"Gwangju",10028,0,21600,0,37630,0,107731,64,101100,498,4922,0,3,0,3414,20568,613309,239996,194176,1444,40174,1663,69603,564681,41743,0,3268,0,2332,0,113,4255,3109
"Gyeongju",13904,708526,16845,13357,12086,834213,46532,7001,150,41818,2534,2060,0,56522,45,4433,8,582,3534,746,1870,3427,88470,193752,24883,122295,656,232625,604,21228,4785,3523,2505
"Gyeongsan",610,54486,2219,10683,1225,175370,4588,1476,2,14349,143,31,65686,0,15,147,0,124,141,48,235,720,4825,15741,1466,27091,60,14120,65,15118,819,240,124
"Hoengsung",6494,462,5583,19,7083,1325,12960,272,128,200,35008,3350,72,4,0,1639,50,460,1768,1158,538,221,5145,428985,52584,75,283660,19,12535,3,141,59120,10926
"Iksan",5627,7050,8540,122,25718,9924,158091,2791,4429,1934,2602,18120,3757,151,1598,1798,1446,13849,7711,986,15458,2616,26581,210577,15135,2658,2296,220,728,205,562,5052,1913
"Jangsung",653,1,1373,7,1338,45,7106,27,8736,12,293,594399,221,2,0,1902,58396,53480,10521,61,2802,87,3058,22613,1926,0,0,0,110,0,21,122,104
"Jeongeup",2726,1130,6205,55,7876,2860,40047,873,333700,567,1641,234652,624,570,696,14316,53545,13849,112302,423,19064,1015,17832,150983,8982,536,658,194,424,59,146,976,781
"Jeongju",7956,17386,16596,118,34892,6340,167124,1955,25824,3192,4499,193823,2290,135,1661,5505,8745,103001,0,1225,50404,2492,42450,327730,33379,7410,2357,185,1086,184,413,5424,3086
"Jincheon",8824,1315,10,28,25824,1787,14470,558,84,415,13711,1255,587,55,1438,698,41,338,984,0,581,720,151,127134,6628,281,2876,104,1274,47,310,7442,1650
"Nonsan",2625,4672,3539,165,11237,7372,172581,1672,3955,750,1186,43966,1457,145,603,16022,2942,16834,55460,835,0,2782,8546,69711,6217,939,879,557,367,128,433,1192,492
"Okchun",4530,7132,10086,369,49905,24614,161059,13885,288,4210,1366,2036,2807,732,284,2856,117,1162,2707,911,3046,71745,12462,52192,5227,3061,507,1003,350,611,42649,938,527
"Osan",137854,135931,317260,1929,200146,197290,192687,49846,4291,36474,645,116694,68340,6659,6743,35144,3751,21383,64554,210,11261,13561,0,1356755,42159,29943,8656,30899,4318,2435,8645,15516,19387
"Seoul",1206484,364467,1605960,6757,741483,551651,841669,153571,25212,78954,1259843,502886,119568,9725,446277,197557,17460,130078,314599,130160,72808,48136,1334406,1028,2403548,63914,580979,26123,188893,8444,43927,733453,1878039
"Suwon",112655,73647,153977,1112,84742,96248,90559,24573,2525,19820,2368,49063,18622,1892,62347,15501,1664,9271,35512,6705,6834,4971,48984,2217530,0,13525,100951,6298,55246,1237,4713,174054,290208
"Ulsan",3828,711731,11056,5304,11444,231298,37106,3222,115,35443,1308,15,137055,27378,66,2898,1,612,8435,360,1462,2524,43099,89803,18542,1510759,736,319608,245,21712,1880,2521,2244
"Wonju",8732,3197,4985,43,9514,4261,11333,578,156,205,49657,2533,434,36,305213,1785,71,499,1930,2502,840,341,7486,597241,98174,412,9166,208,76882,50,163,137616,23920
