"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Anseong",25,20539,92968,863,99052,44639,97456,18492,12706,1611,6020,57995,23903,16470,1215,16378,15589,918,6006,15757,9436,6187,6458,162504,1577429,189406,8825,26337,4584,9938,721,2900,47378,21311
"Busan",18018,0,35540,20705,49198,532812,98584,2219,43685,324,100038,9737,8,987495,65978,432,4762,0,360,8384,2146,4900,9754,93040,390528,53303,1324825,2923,1677446,1829,140578,13959,9520,4776
"Cheonan",87996,41755,33928,1155,234419,82854,528822,85,23848,2869,14881,1668,35427,21684,3156,7619,22177,2141,9192,25738,26,8742,17746,399502,2145773,234152,17913,7670,7740,3675,1571,6836,8094,33824
"Chilgok",939,28128,1230,0,1741,1063493,4756,118,3045,37,38999,549,12,21054,16823,47,333,6,58,137,94,220,772,2727,13447,1671,13637,156,5537,94,4403,1169,262,186
"Chungju",95847,49682,238045,1150,78168,103824,829835,83053,26305,4556,18981,83621,61203,15878,3577,17114,60496,2560,13390,51053,78097,27024,80367,241651,1326729,153093,18570,27161,6542,10317,1408,18291,38369,27800
"Daegu",36329,597297,77225,1052740,97978,1336388,330259,4710,194591,653,2123265,30163,152,1299072,464929,2388,13639,10,1404,4528,4411,15946,41501,179095,905398,108192,511281,10881,97556,7106,194420,66215,19669,13202
"Daejeon",98280,118130,537318,3914,866425,325356,444375,26798,103501,20062,54747,46423,173939,50541,9400,25144,331024,9392,61767,249306,36059,357573,404361,244252,1458337,155599,54778,28106,13953,10904,4056,97534,30971,23534
"Eumsung",17628,2803,2,65,83744,5070,27460,0,1154,285,893,53137,3870,888,299,1718,3074,275,1127,3062,20809,1742,1169,1231,563436,46028,1079,3262,305,3698,51,471,13351,9429
"Gimcheon",8885,43863,19817,2781,23940,168442,99445,986,15055,593,61863,5505,712,14432,4617,984,5093,92,1164,2792,1016,6680,20182,39580,255674,35384,9683,1563,4868,1590,1877,35939,5398,2806
"Gimje",1451,314,2641,22,4577,960,21208,296,559,18215,409,1417,178352,330,29,302,12558,18137,372201,35788,222,6242,676,6693,50109,5292,225,385,15,191,36,112,537,631
"Gumi",5321,117231,14846,45759,19538,2053830,50520,909,56078,343,1376,3667,882,64241,32797,624,5961,64,1345,4082,829,2228,8812,40842,128066,28090,63741,1644,13687,618,9347,18858,3114,3475
"Gwangjoo",74141,13522,3825,490,99683,39921,56680,66920,7743,1753,4048,71953,27724,5358,1053,49182,13277,1214,6345,18366,26004,5694,3941,3106,2700864,15505,4193,86894,2020,19662,511,2641,58994,9147
"Gwangju",23286,0,36002,0,58679,0,176253,3132,125,166535,633,14655,0,20,118,6649,54195,1013611,341984,320921,2839,53873,3371,110883,817314,72752,0,6945,0,4787,0,361,8090,6198
"Gyeongju",16033,892426,22145,19826,19151,1180743,58601,615,14979,242,59158,5294,855,0,91609,96,5095,9,614,2715,1304,2342,4710,70118,237158,23331,395032,1491,358355,896,44297,7619,3434,2793
"Gyeongsan",1474,74630,2831,16653,3232,439617,8186,230,4668,54,29599,816,67,107196,0,37,723,1,188,212,99,731,1399,7142,25799,3313,61858,238,22394,275,28678,1629,467,403
"Hoengsung",14541,1043,7127,34,15707,3055,25306,1311,815,278,731,46741,6411,182,41,0,3705,130,1592,3478,1688,1396,565,9629,670311,91130,200,446066,83,22484,18,405,42800,17779
"Iksan",13238,6007,19701,316,59679,18199,315148,2743,5292,12526,6139,11421,57084,4420,679,4105,3178,7187,34313,11025,2182,36012,6144,77299,421791,38797,7207,6523,453,2387,384,1115,12167,5978
"Jangsung",1011,0,1733,0,2684,0,10886,174,0,17943,0,934,986219,0,0,134,7545,48375,63270,20689,303,3875,337,5581,39857,4177,0,114,0,222,0,0,392,627
"Jeongeup",5207,601,8246,86,14537,3195,62582,744,1232,355118,1432,4955,333296,607,454,1908,34689,60403,21216,181831,755,23743,1722,25643,232451,17722,920,1450,46,899,94,411,1796,1588
"Jeongju",12233,6562,24713,152,51639,6496,241685,2257,2479,36937,4871,11470,314129,1887,360,3091,10982,18379,170899,0,1764,61149,3764,67872,492310,45044,4694,4133,239,2506,167,866,5874,5655
"Jincheon",9610,2603,0,81,75946,5022,32464,19015,1093,165,856,20634,2840,1646,162,1955,2100,138,768,1869,0,1077,1826,355,181374,14115,1499,3993,512,2015,64,649,10233,3209
"Nonsan",5815,6309,8116,271,25928,16794,330977,1597,6798,7092,2319,4525,57099,2527,785,1861,39980,4411,22936,64190,1038,0,6390,20880,127531,14148,3232,2616,1221,955,246,1631,2861,1444
"Okchun",6555,11319,18271,770,81371,40807,355534,1305,20891,705,8692,3574,4526,4470,1604,799,6176,323,1923,3949,1911,6119,79788,20417,80512,9812,5659,1169,1912,840,644,52998,1424,1506
"Osan",184472,129585,477091,3162,281443,246027,278311,1173,61919,8330,42460,2506,169917,60020,10464,11613,96534,7411,31384,89089,452,25827,22794,0,1790851,58952,61344,15765,34960,7144,2893,13818,22767,33841
"Seoul",1694850,425656,2137907,11655,1285883,799380,1412761,538591,224601,46951,116546,2644811,759377,154981,19313,711455,387700,32130,207788,478394,184740,134952,77554,1791107,1849,3356120,123797,985237,35843,330791,11884,73560,1020594,2360751
"Suwon",207742,80415,256428,1447,150592,133296,154380,43908,45130,4970,31322,9750,79734,21386,3686,106962,40583,3768,17543,48400,15006,15410,9706,75875,3181271,0,37157,180550,8717,90797,1481,8126,292899,456209
"Ulsan",8514,1210248,22213,13890,23719,508626,64012,1246,10599,254,73172,3911,39,424445,53829,87,8423,8,1011,6409,1649,3851,5511,76433,166008,38746,2265278,2176,788625,1076,76346,6909,4926,7730
"Wonju",24079,4864,6697,112,23267,10854,26808,2545,1519,305,901,85522,5856,1753,172,469114,5187,192,1167,4065,3748,2399,1038,12972,1006567,172850,2032,27062,483,106553,183,465,118560,36485
"Yangsan",4560,1437684,5969,4761,8496,94696,18062,310,5723,10,15266,1946,7,380001,19626,37,520,1,22,421,366,1186,2057,29366,54583,9432,762113,925,0,260,44395,2467,1057,1125
"Yeoju",9235,3348,3426,88,9748,7488,10809,1453,1439,197,677,13519,3808,957,137,24702,2088,157,802,2408,1855,1066,749,6289,322038,85000,992,106602,276,0,94,308,28076,22550
"Yeongchun",490,141164,1363,3714,1203,185764,4064,46,1818,24,8981,363,15,43299,24630,17,386,0,115,204,67,220,618,2314,12770,1655,75582,168,43983,130,0,850,166,208
"Yeongdong",2610,15165,6020,1240,17184,62552,90862,457,36193,102,19379,1909,659,7074,1789,516,1237,35,366,882,598,1591,51748,10817,71346,7846,6390,517,2571,282,844,33391,903,709
"Yicheon",42616,12948,7813,213,39467,22266,27247,11999,6577,477,3349,42691,13552,4011,400,57889,10950,401,1750,7249,9527,3575,1246,18859,956021,269550,5356,135943,2086,35360,222,763,19582,52189
"Yongin",21892,8292,37027,173,31805,19486,28058,11309,3939,587,3956,6643,8558,2901,373,21710,6061,693,1781,6473,3693,1829,1475,29311,2380402,425925,7376,42881,1298,26806,214,823,64413,96529
