"","Andong","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Euisung","Eumsung","Gimcheon","Gimje","Gumi","Gunwi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Andong",125860,312,46163,677,253031,437,1184233,3271,99222,23,742,38,1728,72268,158,13,26008,19826,14,417,2,68,163,30,327,606,373,3505,1981,32995,22,9609,4,2696,322,48,89
"Anseong",295,555,40798,320881,6652,569381,123893,305035,149,51825,43390,7338,27938,60,266863,79028,25093,12573,77797,52106,10525,23307,50187,24547,20766,36153,320514,3910127,1834558,20360,146152,7271,30105,4580,10780,606202,205732
"Busan",46616,36813,0,76496,79097,83868,736897,171530,8386,10985,62264,373,190139,3471,27709,74,1735452,185916,1933,9192,21,490,4233,6866,10731,32671,33323,435931,204871,3121310,11664,3453963,4575,242509,35139,15957,16876
"Cheonan",718,374878,85397,383594,10933,769091,230909,1179172,251,342,66505,9720,58469,127,7105,105208,71322,30862,25523,71682,12444,27032,67335,71,27612,80301,535399,4350152,2030621,50498,32175,16391,9291,10318,23343,27523,208887
"Chilgok",267332,4918,98315,7655,27621,7749,4080292,28322,134567,808,26430,180,304097,69455,2635,64,115926,197143,316,1796,41,290,632,1031,1776,8467,4281,35134,17957,109687,847,18692,368,49222,9131,3011,1466
"Chungju",467,406379,84485,773140,10996,1160644,248838,1819005,208,448025,76188,17623,72548,117,334818,163333,50414,20439,64365,147778,22510,45190,119945,566976,88407,287505,282546,2514216,1163101,44173,107961,14877,32089,9512,61420,158303,152514
"Daegu",1284823,123073,800629,224384,4390013,235143,13484772,695014,705077,23368,590588,2516,4019449,372211,83295,255,2720833,3804652,8591,34073,124,3042,8268,25001,58809,154489,117798,1303281,592588,1010704,29424,159903,19126,1241136,169549,38482,45548
"Daejeon",3047,330412,191172,2091415,39465,1925495,690906,1805897,819,95879,270635,74515,182854,388,185439,481210,151691,61291,68945,786216,67131,193031,598486,141625,936762,1135178,255974,2519701,1023601,110239,99312,29741,28254,33058,261606,94522,113804
"Euisung",70035,159,9557,289,137368,229,641143,1033,0,14,312,12,456,22420,127,2,5319,6003,4,157,1,23,43,21,92,200,167,2262,1039,5911,12,2123,11,641,155,34,49
"Eumsung",30,66481,10025,328,1135,421742,25214,85570,18,0,6405,1408,5990,11,231105,14469,4729,2214,10635,12589,1818,4903,9454,69909,6328,9748,3365,1027080,404919,5337,20361,1920,9630,917,2560,44933,54015
"Gimcheon",828,38578,60351,60269,41465,74330,508650,264105,144,5777,61941,1495,409336,163,28860,1945,48888,34360,2781,13290,454,3144,5888,6798,11689,84373,44179,386419,188857,35158,6491,10249,2995,12148,105782,11937,12995
"Gimje",40,7498,398,9768,276,16815,2398,71982,11,1351,1557,27425,1379,6,7525,449778,1088,476,1245,72297,78986,598354,61270,1223,28088,2294,9719,100646,45660,950,2111,115,624,246,554,2669,3758
"Gumi",2199,25918,195400,52372,378106,66411,3594105,168848,496,5561,378705,1461,61884,275,15821,2616,167743,151284,2444,18307,494,4657,8358,6344,10889,49987,39904,225916,145425,131187,4926,25739,2172,46776,71538,9359,15946
"Gunwi",53008,80,4041,180,88638,167,366235,552,8301,10,222,11,335,0,73,0,2836,3721,2,51,2,13,17,22,51,131,134,1437,664,2632,14,846,15,518,109,30,32
"Gwangjoo",132,261211,26690,8972,3059,284802,73761,142378,61,224928,22851,5910,13213,50,393078,62289,13375,6168,128318,36196,7513,18595,37559,73159,16920,16342,8960,4898664,88612,11102,322948,4759,88502,2522,6831,208348,41208
"Gwangju",22,74858,149,101196,63,155511,596,489010,8,12321,1692,472533,2862,1,76299,0,244,84,15966,266620,1484635,828060,736828,13756,178903,9496,114590,1288501,504402,121,27168,26,10550,53,2402,26443,32043
"Gyeongju",30488,27660,1588008,74110,105947,51295,2500686,156995,5798,5177,52873,1106,165827,2932,67982,305,224645,454697,940,25728,53,2328,5156,4478,9705,34121,37378,281286,160401,692279,9351,493056,2261,216414,27862,8747,19821
"Gyeongsan",21175,16373,183621,35705,186496,19977,3995249,61865,6386,3300,36179,582,179553,3876,7677,74,439232,0,376,9122,28,749,3412,3729,5221,17265,17110,106153,101765,215156,2199,47170,1609,172092,15252,3729,4803
"Hoengsung",9,61134,1715,18427,319,53625,7321,58731,1,6543,2505,1251,2001,2,136539,14893,648,219,0,11217,1265,3584,9257,10069,5716,3118,21874,1173157,559465,729,544169,909,89838,89,1114,136292,110124
"Iksan",498,54710,9634,71233,2536,145587,33953,765128,106,12583,12888,68268,19066,31,48951,301235,30976,7294,13373,32230,50655,181797,66640,13012,148875,15000,75316,722850,305640,20495,21965,2118,5517,3607,4974,18488,25712
"Jangsung",8,10335,38,12086,29,20371,120,67437,1,1827,351,81222,444,2,10147,1230654,59,18,1718,44637,94677,168242,81794,2159,32986,1663,14698,162333,65686,39,3376,5,1195,13,431,3543,4610
"Jeongeup",82,24906,395,27435,348,42762,3525,194548,22,4829,3269,583482,33033,7,27317,794787,2449,588,3884,180420,166493,95758,434466,4189,76741,4968,31272,424001,159657,1160,5739,101,1920,400,1586,7889,10182
"Jeongju",186,404556,4612,71853,998,121574,9467,599231,31,9764,6033,58067,13077,13,52320,714475,4679,2354,10583,88927,79626,416351,0,10588,187292,8734,79093,836630,327016,5113,15479,586,5652,977,2469,19151,24652
"Jincheon",25,34543,7980,72,1810,510906,26461,129413,9,67073,8075,1472,6239,8,77244,14394,4310,2960,11696,12374,2179,4077,9738,0,7929,12279,828,287908,117461,5219,18435,1885,6890,944,2932,29004,18175
"Nonsan",330,21768,11375,26926,2666,82884,40305,890318,81,6322,12345,33635,11485,35,21804,204561,9904,5044,5970,147239,34702,83228,192994,8227,0,19015,21448,249219,103359,9273,9307,2134,2948,2012,8488,9833,7936
"Okchun",537,36455,31849,77566,10695,276172,135773,997226,176,9746,76602,2610,47650,86,21715,12476,28608,16028,3486,16989,2057,6053,10799,13149,19446,145931,37500,265515,133049,24246,6542,7025,2600,6811,131965,9019,10426
"Osan",353,290489,55354,558611,6339,299317,153418,259050,172,3913,52436,10791,52182,76,7367,134376,38775,16743,29218,81790,16910,35456,82430,922,25804,41395,0,2895760,976813,37720,54985,10629,15245,4798,14688,60262,158663
"Seoul",3307,4199383,467629,4504324,42780,2610814,1218492,2534179,2016,1151863,358453,105656,236424,1054,5094541,1308711,244075,81948,1410598,712276,130938,417404,851069,319832,276188,275301,3122191,20439,8040596,173749,2230377,42056,648299,49145,122005,1809142,5146886
"Suwon",1663,1942827,256612,2121913,25329,1207939,666458,1016853,915,419987,207495,50645,167693,461,70803,562678,143132,66653,675044,310873,72809,164074,331541,124593,116928,140820,1076330,7772190,1577819,130249,1273125,38365,403523,23215,61164,1524197,3365619
"Ulsan",37315,24071,2903804,56863,103061,48677,971396,121116,6072,6595,40147,1118,151745,2305,16240,93,674225,215625,968,23385,33,1198,8981,5787,10003,27104,34306,215870,169387,4599505,7092,1542478,1904,209657,20995,8077,10380
"Wonju",16,152441,10487,28333,1048,108778,27383,99039,12,19438,5883,2188,4954,1,388451,27404,10884,1628,647873,21369,3701,5798,20574,18983,10059,7088,52561,2262841,1316824,7021,927035,1529,442850,1172,1968,414017,750161
"Yangsan",10063,7500,3412935,15861,16833,14644,147815,29523,1752,1985,10609,106,28616,656,5483,7,436399,46063,661,2087,1,48,664,1565,1798,8497,9095,59249,42244,1461731,1721,17601,525,63280,7066,2260,4736
"Yeoju",13,24643,5419,8274,563,33568,16151,28068,6,7629,3136,658,2273,6,97751,9689,2127,945,90465,5492,1098,2083,5957,7380,3143,2539,13404,598313,394585,2153,402720,1024,0,488,901,137719,102219
