"","Andong","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gumi","Gunwi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Andong",150588,314,45210,763,287515,403,1318762,3275,110128,24,741,13335,25,1822,71929,139,11,27949,24005,11,372,3,64,165,17,318,560,294,3260,1632,38808,14,7655,13,3158,386,53,126
"Anseong",314,874,42137,407907,7576,433473,138553,340103,178,54962,45091,8521,9028,32501,79,302507,96812,25637,13257,85201,64961,14100,29017,53026,31067,24599,45390,294814,3796654,1565579,24859,144781,6999,33789,5874,12518,100626,230316
"Busan",47880,34674,80,68803,80586,73402,630204,151810,8727,9838,55773,410952,267,174571,2837,24572,42,1470939,168854,1836,6107,7,324,3583,6799,9905,31437,28435,358056,174111,2815302,9682,3854587,4026,214112,31632,14513,16690
"Cheonan",818,439518,77184,499773,11132,846041,240127,1119381,294,361,65622,16020,10715,60046,122,8484,118526,83625,30412,32465,80023,13976,31206,63523,98,29241,87890,565499,4422566,1782417,59821,34719,12438,10481,13800,23739,29262,251272
"Chilgok",296446,5024,104103,8374,26531,8288,4365321,28830,135541,1032,23972,15217,143,281996,59383,2701,59,122081,219806,369,2089,14,255,697,1184,1919,8260,4363,34055,17361,121754,868,17790,369,60765,9914,3548,1540
"Chungju",430,446382,75534,825860,11370,1281331,247681,1856825,203,463694,73658,13024,17897,74950,114,351390,164528,47570,20103,77159,160905,25119,47153,110909,683219,86908,304708,283395,2519553,1187805,45683,113099,11545,35879,13306,53601,166054,180487
"Daegu",1420628,129634,691398,230261,4640011,235910,17505732,702291,752950,22773,601315,136607,2505,4012992,374836,86286,271,2531155,3801448,8757,31861,83,2922,8212,29449,42548,152826,120197,1252876,587077,972950,27671,119364,15832,1293214,174134,36894,48242
"Daejeon",3470,355533,181273,1231572,42605,2012240,714194,2109384,949,96392,276205,31202,80998,194759,386,197645,523479,150755,67585,77581,801772,71464,205436,585215,152595,853711,1199204,251831,2477936,1025397,122918,106708,25274,30613,39022,262259,96855,121321
"Euisung",80226,165,9309,305,141779,232,687465,1171,0,40,318,2842,11,515,19883,111,2,5428,7266,8,143,0,31,49,25,91,254,161,2271,1121,6234,10,1471,10,716,120,34,75
"Eumsung",33,61187,9649,300,1292,435158,25008,86596,43,55,6424,2201,1421,6258,15,214928,14972,4487,2114,11424,13904,2372,4940,8816,64916,7352,10130,3019,923568,394825,5184,21101,1435,10429,1070,2108,49759,62519
"Gimcheon",792,39401,55877,60865,37462,71115,531466,262393,259,5789,57029,12641,1581,398488,155,28305,1869,47256,33720,2889,12586,423,3179,5782,8268,13771,80721,40190,358433,172615,35964,6294,7444,3166,14135,109180,9759,14140
"Gimhae",15555,7872,430676,16152,14591,14652,142409,36054,3048,2051,14393,9,38,27929,954,5548,317,1049669,67009,562,743,16,30,231,1673,2420,7417,7004,78683,42705,2814197,1939,3347478,1079,106540,8201,2900,3694
"Gimje",30,8558,269,9799,176,17829,2626,76697,5,1323,1508,28,17409,1281,7,7528,490581,938,444,1422,76513,81945,621054,67667,1682,32115,2276,9107,97655,46548,756,2053,63,647,279,549,2768,3974
"Gumi",2300,29122,181940,53385,348823,68253,3674307,182054,499,5957,374906,24636,1436,62609,297,17684,2708,162850,150706,2694,17860,433,4560,8312,6535,11428,48167,40730,218530,147342,138653,4900,20216,2073,52362,74297,10376,17730
"Gunwi",58624,108,3577,204,78267,155,358011,540,10556,18,211,1059,2,330,0,97,1,2757,4072,3,52,0,5,21,25,54,139,130,1434,652,2726,12,606,7,489,109,34,36
"Gwangjoo",116,296186,23679,9523,3225,302204,74580,148659,92,214476,22143,3951,5826,13857,71,359733,64582,11974,6159,131530,39749,7883,19967,34868,77463,18496,18260,10197,4764165,95946,10871,339230,3979,101337,2915,6609,227523,48436
"Gwangju",44,83047,78,108613,87,159331,594,514149,5,12308,1618,4,513821,2961,0,77132,20,126,65,18737,277638,1510662,882767,760024,15012,198996,10591,113057,1266456,514671,155,28510,33,11900,39,2338,28667,36866
"Gyeongju",33362,26447,1391559,88288,113032,47983,2327159,152493,6008,4536,48387,948811,1044,159043,2738,18135,107,192883,487640,890,19014,42,1572,4664,4608,8832,32645,35528,253153,139990,707311,7214,257289,2102,219161,27506,7917,14857
"Gyeongsan",24406,15762,171032,35353,205178,19847,4000880,63651,7928,2910,34984,62817,662,160195,4345,7065,58,484602,26,401,8301,34,973,2930,4332,5554,16476,16236,101410,92753,236010,2159,33993,1479,189697,15221,3122,4592
"Hoengsung",5,63992,1465,21699,275,64543,7329,64243,7,7454,2370,372,1549,1899,1,139285,16628,729,254,4,12730,1660,4344,9477,11729,6331,3645,21001,1203861,619175,785,501870,756,95651,101,1047,146620,134516
"Iksan",423,62909,6171,80006,2522,158265,30882,774420,90,13739,12223,847,73414,18351,31,50978,304478,26830,6129,14855,22896,49881,174911,64094,16090,167201,14031,78938,721936,323025,16154,22589,1288,6341,3431,4736,20147,29746
"Jangsung",10,11586,25,13197,18,23051,178,71181,1,2030,422,1,84769,424,1,11114,1264932,32,16,2168,46930,92511,176348,82774,2364,33391,1665,14606,176426,69502,24,3785,4,1420,14,450,3793,4847
"Jeongeup",84,27210,227,29285,356,46391,3808,203160,27,4882,3200,38,606396,5075,7,27913,852669,1784,704,4963,174193,175700,92909,411231,4813,85331,5025,31905,430141,165493,965,6359,58,2198,373,1561,8663,11565
"Jeongju",194,51923,4116,64064,1059,115157,9935,584226,40,9281,5998,302,68319,11620,11,48989,762160,4648,1957,11678,87700,81417,398378,37,9999,184522,8530,62443,772882,290887,4506,15644,467,5246,1115,2304,20128,24678
"Jincheon",17,34595,8253,83,1605,602821,30766,140122,22,63506,8324,1903,1733,7152,11,83617,16231,4422,3055,13338,15708,2467,4923,9004,24,8929,15791,857,297771,128075,6388,19818,2002,7583,1301,2560,28150,22588
