"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Haman","Hapcheon","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Andong",147280,210,39485,0,509,267453,354,1227788,2842,0,77882,15,769,13708,15,0,0,1507,53568,92,6,27160,20760,0,0,6,359,5,53,126,19,0,234,460,211,2162,0,0,1216,36059,21,6785,11,3352,333,34,88
"Anseong",238,3519,34003,0,355863,6196,363157,115282,312372,0,158,40037,38380,8248,7401,0,0,27541,64,276176,78322,21054,9626,0,0,76887,58673,13037,27411,46031,25996,0,19900,42074,218238,3627676,0,0,1429442,19947,122934,5812,27587,6341,11457,97893,210400
"Busan",42951,29238,1534,0,54473,75478,69940,564322,135977,0,8023,7740,45165,355125,159,0,0,160097,2824,17812,37,1340301,142235,0,0,1462,4196,4,171,2961,5005,0,5635,24820,21427,292807,0,0,139319,2305426,8305,3431758,3438,203025,25939,10364,13715
"Changnyeong",0,0,0,252034,0,0,0,1074639,0,0,0,0,0,0,0,0,8083,0,0,0,0,0,0,1607378,32799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheonan",636,367526,65528,0,373240,9007,692274,207383,1014429,0,270,275,60362,15941,8744,0,0,52922,159,6507,98412,60128,21198,0,0,32135,69748,12808,29654,57762,70,0,24175,82325,450700,3525501,0,0,1497016,47893,29747,9510,8996,15241,21218,23646,226656
"Chilgok",289579,4898,90240,0,7180,27214,8083,4105512,23272,0,107171,872,18722,16180,138,0,0,221077,41068,2372,54,110170,189086,0,0,403,1711,9,340,617,854,0,1313,7414,3409,29878,0,0,15350,106100,719,14982,355,59891,7855,1771,1430
"Chungju",417,385126,68516,0,701346,9606,1035724,221461,1721398,0,192,376774,70142,14274,15760,0,0,63052,78,286112,136388,38777,17006,0,0,72586,143380,21645,46015,104206,544020,0,77619,296570,236673,2042062,0,0,1089974,41882,99409,9205,32690,13872,49722,143053,156391
"Daegu",1326311,106469,604406,1100657,197048,4215534,218381,13361197,615464,0,673391,18620,569412,143565,1964,0,1866539,3626923,319518,70566,167,2215306,3232664,3691221,1465075,7153,25861,69,2659,6622,25273,0,30343,135430,96167,1065967,0,0,501729,855054,26876,104001,14247,1222023,150901,30539,43095
"Daejeon",3002,320678,160111,0,1060529,30261,1758456,625252,1658460,0,795,80739,247692,31695,68307,0,0,172003,383,156458,439022,115462,51930,0,0,76139,704625,62127,190020,528407,135857,0,649045,1152799,208552,2219345,0,0,930343,105731,95725,21440,26315,42529,238701,86294,106871
"Damyang",0,0,0,0,0,0,0,0,0,6664,0,0,0,0,0,53786,0,0,0,0,965393,0,0,0,0,0,0,0,0,0,0,80228,0,0,0,0,14033,103789,0,0,0,0,0,0,0,0,0
