"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hapcheon","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Sacheon","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Andong",155463,211,39211,0,465,292030,283,1180090,2658,0,69586,9,592,14710,19,0,0,1155,52393,56,3,0,26380,20555,0,0,0,2,337,2,63,163,15,0,176,390,177,0,1868,0,0,1068,35976,34,16,6298,8,3627,292,23,80
"Anseong",231,51941,36328,0,422840,10944,460631,138350,411484,0,181,50719,48232,11301,6468,0,0,36955,59,356092,101863,0,26596,9469,0,0,0,195786,80356,14908,35951,58892,33575,0,25690,57164,278252,0,4281384,0,0,1725071,25562,6542,307144,6726,63854,8901,14033,147989,299213
"Busan",39931,30704,2451,0,57161,80365,72086,575770,135628,0,7344,8400,43460,548199,94,0,0,159366,2633,18518,35,0,1333347,143158,0,0,0,907,2907,4,116,963,5521,0,5245,22369,26011,0,304196,0,0,137652,2333387,76,7353,3612688,3805,197054,25105,10947,15557
"Changnyeong",0,0,0,272115,0,0,0,1150794,0,0,0,0,0,0,0,0,8404,0,0,0,0,0,0,0,0,1684689,35272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheonan",571,430565,67619,0,434130,12392,739999,238096,1144861,0,254,350,71440,19246,6924,0,0,62781,127,7210,105374,0,78211,19781,0,0,0,20236,81611,12428,33906,63535,65,0,27156,103471,536560,0,3738558,0,0,1492990,56877,6168,30820,11053,9666,22960,23828,25007,290327
"Chilgok",284267,7265,96472,0,8117,49605,9935,4403722,26864,0,81592,1284,21622,20441,120,0,0,250327,33155,3036,70,0,121930,196470,0,0,0,207,2059,13,421,706,1206,0,1849,7255,5080,0,37952,0,0,18599,114632,110,776,16994,393,80252,9132,1215,1824
"Chungju",337,480472,79479,0,738182,13302,1246955,250023,2073059,0,137,436947,85648,17973,12025,0,0,75644,117,304599,151538,0,42128,15645,0,0,0,46054,164648,22491,52948,110153,686404,0,90821,350672,288207,0,2294147,0,0,1171179,48531,13202,103326,10814,36162,18353,58603,153708,178348
"Daegu",1272909,129663,629547,1164579,223312,4640278,242701,14136329,666430,0,639317,23194,563627,178109,1660,0,1933293,3789498,320674,78997,224,0,2367423,3320681,0,4017011,1533136,4814,27637,81,3278,6954,29039,0,31224,126612,122359,0,1159975,0,0,550108,903818,1030,25530,112879,14263,1354956,162688,33480,52865
"Daejeon",3045,412889,165903,0,1165526,38282,2077092,668584,2019992,0,807,96801,280194,37186,50449,0,0,195053,348,175955,471501,0,128665,44171,0,0,0,48727,742453,63076,207595,538189,157117,0,682510,1371860,252744,0,2489208,0,0,1022695,115964,50173,106909,24208,28953,54465,278058,95474,133125
"Damyang",0,0,0,0,0,0,0,0,0,8645,0,0,0,0,0,59165,0,0,0,0,1124192,12483,0,0,1940,0,0,0,0,0,0,0,0,92451,0,0,0,21246,0,13977,74585,0,0,0,0,0,0,0,0,0,0
"Euisung",66515,144,7374,0,246,83182,156,529888,736,0,1755,16,209,3228,6,0,0,312,9721,52,1,0,5150,6417,0,0,0,2,80,2,21,31,16,0,62,172,96,0,1192,0,0,667,6916,6,4,1322,6,808,106,20,49
"Eumsung",12,58044,8682,0,246,1553,400950,24329,92881,0,9,163,7171,2262,1010,0,0,5715,10,177901,13213,0,3757,1758,0,0,0,6943,14844,3014,4635,7430,42442,0,7794,11460,2497,0,846242,0,0,374910,5849,896,22386,1563,9216,1386,2118,41308,53612
"Gimcheon",721,42905,43253,0,63956,35740,84547,481013,264904,0,232,6750,91887,14256,885,0,0,379157,131,30523,1643,0,40437,25839,0,0,0,1497,11219,364,3308,5374,8229,0,10876,63326,45324,0,337357,0,0,165265,30545,769,5173,6171,3024,17292,104108,9189,16571
"Gimhae",16421,13546,565148,0,19282,18985,19395,173824,39595,0,3340,2237,15161,6078,23,0,0,33195,1017,6717,481,0,1166780,80033,0,0,0,2209,493,40,29,131,1752,0,1625,6868,9110,0,89094,0,0,47361,2953468,545,2197,3799066,1152,128393,8915,3445,5151
"Gimje",14,6217,124,0,6202,129,11985,1699,50524,0,6,1137,793,24,8170,0,0,882,1,4092,419743,0,632,383,0,0,0,504,56117,61953,489570,46886,1339,0,20245,1211,6564,0,62021,0,0,29991,455,10906,1110,30,450,264,380,1860,2464
"Gokseong",0,0,0,0,0,0,0,0,0,60136,0,0,0,0,0,114931,0,0,0,0,1662932,55287,0,0,4098,0,0,0,0,0,0,0,0,1590,0,0,0,56361,0,394,246389,0,0,0,0,0,0,0,0,0,0
"Goryeong",0,0,0,6183,0,0,0,1834460,0,0,0,0,0,0,0,0,101604,0,0,0,0,0,0,0,0,21525,339617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gumi",1814,33904,163609,0,56336,334047,71877,3423262,184291,0,453,5498,364460,30242,903,0,0,73543,252,15233,2301,0,152492,132171,0,0,0,1222,16077,457,4521,6797,7935,0,10271,38784,47075,0,199128,0,0,143677,138407,853,4036,19880,2174,59397,70254,10462,20937
"Gunwi",39233,60,3018,0,154,40405,99,276182,419,0,6460,5,153,1061,3,0,0,213,2301,38,1,0,2843,4404,0,0,0,4,46,0,7,16,7,0,28,103,92,0,926,0,0,463,2660,3,10,578,7,501,51,18,23
"Gwangjoo",85,373697,19077,0,7895,4048,283919,71812,161651,0,56,189837,23092,4432,3451,0,0,12915,31,241715,57142,0,10708,4803,0,0,0,84437,39733,6918,19558,36401,70779,0,17451,21272,7746,0,4055466,0,0,74724,10181,3230,316799,4019,77376,3937,6429,190227,31859
"Gwangju",48,86682,37,0,91711,71,144833,1937,474303,1143485,2,11972,1228,108,444210,1701085,0,1880,0,60241,7954,405929,495,17,49131,0,0,10731,234058,1308512,875257,602000,13226,763873,163832,11137,100466,579121,1102360,275950,2066970,466803,144,125722,25320,654,9251,28,2075,25548,36616
"Gwangyang",0,0,0,0,0,0,0,0,0,11567,0,0,0,0,0,60398,0,0,0,0,379993,2030495,0,0,282733,0,0,0,0,0,0,0,0,193,0,0,0,1217505,0,98,988450,0,0,0,0,0,0,0,0,0,0
"Gyeongju",28495,26450,1263471,0,67501,110427,43216,2183169,126100,0,5986,3920,40229,1109856,632,0,0,145768,2533,13585,73,0,148466,437769,0,0,0,453,13890,30,1373,3682,5033,0,6089,22621,28915,0,202277,0,0,126099,678202,616,5631,219636,1732,201891,22259,8892,14222
"Gyeongsan",20840,8264,148508,0,17235,172639,13979,3420748,38595,0,7288,1557,24922,77383,217,0,0,129556,4770,4570,17,0,432021,5602,0,0,0,132,3167,14,470,1010,1765,0,2661,10101,9888,0,56097,0,0,35926,197953,179,951,27889,569,158150,9206,2060,2882
"Hadong",0,0,0,0,0,0,0,0,0,1742,0,0,0,0,0,4652,0,0,0,0,47306,245035,0,0,132538,0,0,0,0,0,0,0,0,73,0,0,0,1686405,0,33,84919,0,0,0,0,0,0,0,0,0,0
"Haman",0,0,0,1737818,0,0,0,3907680,0,0,0,0,0,0,0,0,24487,0,0,0,0,0,0,0,0,996395,91970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
