"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hapcheon","Hoengsung","Hwaseong","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yechun","Yeoju","Yeongchun","Yeongdong","Yeongju","Yicheon","Yongin"
"Andong",126903,300,33855,0,493,294543,343,1222998,3014,0,53778,20,532,0,27,0,1,777,45639,675,13,0,29271,22696,0,0,0,360,93,423,1,76,200,23,1,230,193,245,221,8,1,9863,0,0,1902,38091,51,3527,11851,32667,387,4702,247,418612,721,673
"Anseong",319,6089,38779,14,480308,13557,525342,152662,432137,1,192,61856,45606,723,4820,0,31,44405,87,361114,88078,201,28235,9698,255,2093,23,24681,8060,59971,11107,28238,46817,41853,244,18656,32878,434043,33093,129,1043,4095397,6,133,1331245,32833,7660,124390,14186,23,38873,12831,13453,356,138042,401274
"Busan",30737,32620,766574,28985,56604,79364,74486,717827,152532,1005,8115,7453,41051,913627,84,2166,963,148798,2993,21659,21875,34766,1453768,154413,32360,81746,1550,803,2133,3388,22,139,8208,6199,8041,6180,14383,30016,945,647,35051,377709,215,23965,87453,2732169,274,4520,4795379,5123,3800,194803,23114,44435,11703,21144
"Changnyeong",0,18,28211,263574,26,0,33,1287141,291,73,0,5,0,30683,1,84,8942,0,0,9,1342,2134,0,0,2081,1668421,35566,0,4,14,0,0,1508,1,453,16,2,23,0,0,3358,163,34,1540,29,0,1,1,0,0,1,0,0,0,1,11
"Cheonan",549,504359,66501,19,624439,16488,732311,260113,1189285,1,283,327,68568,1140,4606,1,53,80454,154,7339,93609,222,78292,17756,309,2807,49,6243,6045,53546,9710,26090,48994,116,207,16073,66571,720692,11247,57,1683,4098442,3,119,1251081,71551,6910,31330,25906,18,9429,28084,24479,237,25830,437564
"Chilgok",340493,9140,89933,0,10824,20919,12079,5007827,35440,0,99733,1462,24069,0,165,0,0,272421,42700,3190,107,0,135043,204264,0,1,0,276,129,2709,36,459,1329,1528,2,2228,4742,7145,411,14,1,44854,0,1,12502,116419,265,1794,33550,14920,659,111422,9605,135698,2125,3043
"Chungju",389,535337,97441,40,723398,16968,1148625,310520,2900382,5,196,554711,94546,1866,11351,0,60,99578,157,321250,170334,668,53929,16440,514,3302,48,19079,7172,180977,25867,60464,117770,883633,441,98398,344859,310013,31731,89,2425,2608363,19,325,723464,68216,20632,118757,32625,17,45226,27049,72029,227,200951,219180
"Daegu",1193220,142968,763785,1281967,237168,5128476,271160,14617218,780023,2357,739032,23721,552354,67089,1720,168,1813124,3991541,446201,77029,31103,19322,2483601,3610111,8271,4048367,1418276,2109,3023,33265,118,4181,15656,29855,17934,35679,74238,129076,2808,139,11817,1293282,2268,10493,337624,1035256,2393,16070,227364,81003,12363,1997902,150392,629055,39554,73533
"Daejeon",3111,433645,169626,243,1223433,47155,2826184,783096,5746394,33,978,108123,309113,4693,44675,3,268,252003,455,179918,510757,2174,151559,45099,2142,11751,371,19957,6041,810191,67615,211595,559613,184230,2742,824109,1741259,298158,32272,67,12061,2859513,78,1297,703539,152094,86406,123826,53914,65,37130,83457,387924,1036,113700,182940
"Damyang",0,4,658,54,0,0,4,2375,25,10882,0,0,0,994,0,68559,236,0,0,0,1128021,15286,0,0,3316,684,78,0,0,0,0,1,986,0,90703,0,1,2,0,0,4530,12,15563,81395,5,0,0,0,0,0,0,0,0,0,0,0
"Euisung",52684,169,8348,0,263,81673,216,686038,1058,0,833,16,294,0,8,0,0,318,13658,108,5,0,7482,8300,0,0,0,54,14,174,0,28,60,24,0,91,76,154,16,2,0,1848,0,0,484,8826,21,478,3067,3801,32,1520,126,35813,81,105
"Eumsung",29,67745,8186,0,269,2140,523459,28493,105354,0,16,381,7426,207,850,0,5,6311,15,179520,15303,32,3950,1362,45,246,3,3391,3934,15916,2931,5669,7085,52074,38,7987,6966,3343,4057,80,178,847521,1,16,206698,7252,1471,21624,3575,2,12418,2152,2082,53,56599,64809
"Gimcheon",675,40582,40668,0,60135,35790,88466,476671,300535,0,252,6420,103294,0,805,0,0,448157,162,26856,2857,4,40477,23805,3,1,0,546,623,13983,571,4348,6399,9013,5,13528,41285,45322,715,10,3,329295,0,2,93402,34083,1451,4030,13189,25,2625,23469,109217,310,9183,17988
"Gimhae",0,500,960323,28040,942,0,1138,67785,4289,1106,0,98,0,1427438,2,2465,874,0,0,231,22715,31590,0,0,27540,94955,1417,1,20,171,0,0,9185,114,6114,357,37,475,1,0,30299,3851,181,23997,698,1,4,8,0,0,17,0,6,0,150,224
"Gimje",22,4675,99,0,4196,223,10779,2000,42848,0,11,918,1051,0,8405,0,0,894,3,3683,457978,1,453,331,0,1,0,200,810,60496,70493,516661,39209,1113,0,25703,1275,4774,225,416,1,52571,0,1,13107,492,8523,982,36,1,362,339,410,11,1546,2415
"Gokseong",0,1,1648,82,0,0,0,159,12,82555,0,0,0,2293,0,98205,3,0,0,1,1840959,74431,0,0,8377,1486,7,0,0,0,0,0,2431,0,2136,0,0,0,0,0,11678,5,465,274512,2,0,0,0,0,0,0,0,0,0,0,0
