"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",131809,10661,2170,43,2,30830,0,0,659,324235,27013,460,1283454,3693,0,308,91714,57672,1293,174,7491,0,82,607,0,35,2,0,0,808,5236,8,54349,13230,19,1,29042,24646,76,0,0,0,5,0,13299,14985,114,2050,513,10,7,60646,115,404,85,2,5,21,1,279,152,1862,4191,99,0,2,57,4,428,202650,29829,0,0,23508,40552,64,84199,10556,5153,35163,10623,5028,270,0,365729,14265,23029
"Ansan",10837,72917,134480,41175,28876,26775,149,2560,141311,5130,5808,137846,63203,118311,4,125302,6800,888,176126,44971,43021,832,7845,17901,6999,10306,17657,6,109,24297,458268,77765,467,6890,15259,1385,15697,4863,1342,1164,12682,5577,3048,106,17407,7645,29791,519518,7307,2209,1287,36939,1496,7566,15021,6407,29420,4409,1077,4686,12992,74631,17192,274155,5690,2531,402,16085,65582,5663962,3694161,27,734,709629,18715,575,78210,8104,24880,1981,37943,8084,6349,8521,16274,133148,620254
"Anseong",2803,134012,4072,468,43,46833,320,4183,512174,15881,14786,586115,117278,463031,30,1367,2384,322,33883,65458,41172,2261,25526,44331,12454,3720,25,19,272,48421,79769,129,141,338986,68528,3725,27886,10465,6709,3147,28718,18,7344,331,21723,13662,360,21525,45405,7784,7380,11838,20652,41465,51475,15436,110,10649,3274,17374,34426,479366,20280,1236,13276,7412,782,80,1042,4278931,353223,109,2575,479550,32381,5984,96201,12351,27700,269,30852,13291,14661,17,5030,133829,1024613
"Boryeong",47,38294,351,151165,49538,8,0,0,61,3,688,86,15,61,0,79784,742,1,5809,90,2068,0,1,5,1,31944,27831,0,0,5,18765,422239,0,573,1,0,3,0,0,0,2,5750,0,0,502,533,174848,164071,1,0,1,1780,1,0,18,3,35294,4,0,1,2,268,537,82764,4,0,1,186375,211361,548664,122127,0,0,25911,5,0,2913,0,1179,9,1212,3,0,9574,182,3402,14607
"Buan",4,24256,28,58592,35437,2,0,0,2,0,112,3,5,6,0,17237,12,0,2356,7,206,0,0,1,0,60728,78712,0,0,3,8253,328644,0,74,2,0,1,0,0,1,2,21564,0,0,49,53,39312,70509,0,1,0,57,1,0,2,0,106363,2,0,1,1,35,43,26663,2,2,0,37554,39115,246254,78531,0,0,7915,1,0,264,0,153,1,128,0,1,39806,15,362,2756
"Busan",30648,23444,40076,409,195,4260151,203789,3125896,70392,66212,8660,95498,1222041,190100,5758,318,10168,7787,3937,9481,3618,27422,14522,29186,6306134,189,165,14248,7084,118956,11676,626,2915,22545,154793,219551,1440299,154551,3191,224922,498441,95,33743,6907,3096,4871,247,4375,3544,49097,13,10959,136,50373,7335,455288,748,21054,62574,7402,9350,35325,2662,583,219121,62071,27747,220,297,431971,64311,2041,160105,25557,2825258,301,19792,4931532,3124,4070,2947,189718,16195,95,23031,13360,82837
"Changnyeong",0,361,290,0,1,206827,246975,158309,509,0,3,648,1136529,2974,630,1,0,0,23,39,1,15514,711,0,225124,2,0,793,7373,0,111,0,0,109,10698,15469,0,0,107,15329,1305871,0,2765,7315,1,0,0,24,121,3173,0,0,2,11044,34,84392,1,874,4811,202,20,304,0,0,24097,4864,0,0,1,2561,436,395,11776,185,1,4,0,0,2,0,4,0,2,1,0,74,375
"Changwon",0,2269,4381,1,0,2975929,198947,2307465,8425,0,5,9291,281545,27653,2976,2,0,0,323,975,9,12290,4247,2,4370917,7,0,5834,3203,2,997,1,0,1804,58267,73847,1,0,801,74770,538269,0,14795,3727,1,0,0,244,570,16669,0,1,8,38261,888,260108,0,6034,16599,1533,272,3915,1,15,92715,29904,0,0,4,35617,5948,755,56307,2592,1,12,28,0,10,0,109,0,7,0,0,845,5686
"Cheonan",817,141951,540441,77,7,76269,481,6946,604891,19510,5348,758405,199456,1221193,28,251,550,335,27768,291,16633,2762,43860,59880,20229,3400,4,21,470,88240,89644,22,132,5165,67617,4283,74069,19031,7998,3619,37097,2,8936,545,4396,3386,45,17210,37509,7776,5632,3663,18217,44026,83,22485,21,16253,3528,11780,62240,775759,6366,483,19111,9411,1907,12,190,3856445,416190,55,2757,392225,69591,5924,20344,19552,11142,45,6714,31169,25887,1,1245,21596,1066487
"Chilgok",366572,3964,9888,4,1,62238,1,1,12511,22857,15168,15563,4667731,44834,0,9,31723,111349,342,1752,8962,3,750,29798,1,197,0,0,0,392211,1521,5,50748,3751,118,1,120627,195098,612,0,4,0,17,0,4149,7174,2,469,3053,31,41,18557,547,2212,1675,6,9,117,5,2748,5087,7886,3993,16,3,2,48049,1,5,58774,8614,0,0,5055,103029,452,24178,28445,5876,13367,1870,118925,11892,0,118242,3803,10493
"Chuncheon",23340,5749,12311,661,141,8192,0,0,4368,11965,1745,21008,73196,27189,1,1135,13505,3144,853,2253,76269,21,629,268,1,238,46,1,0,104,2295,322,3655,1766,6219,128,6408,2152,738,46,11,28,138,1,356464,1363447,589,1682,3360,258,715,88126,1694,3220,3169,307,355,459,135,1885,825,3692,19767,379,144,117,1,187,1438,9799,9078,9,110,18221,7306,553,602616,2260,19383,7390,18011,2300,344,50,23851,13922,26989
"Chungju",661,134352,552810,69,5,126029,598,9855,766462,22588,23941,1172818,252197,3231011,56,285,1032,213,19357,616169,53234,3379,122960,96020,33464,11516,5,35,514,109804,66766,14,144,267030,164740,9040,59875,19175,43278,6678,47476,0,13169,725,15609,15329,47,17209,176046,18363,21978,6152,73509,137983,940754,34482,13,31539,6386,102248,351953,310099,19335,400,29139,13677,1397,10,278,2596061,346614,203,6144,250903,71199,21882,91792,29250,36725,41,36045,31673,83822,1,1004,189383,439414
