"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",140989,12037,1947,41,2,31035,0,0,766,340759,175,26610,494,1309044,3859,0,263,87656,59921,1386,1656,7268,0,62,605,0,40,2,0,0,905,6939,6,60090,14293,22,0,28576,24694,95,0,0,0,1,0,14683,16015,72,2257,429,6,6,69083,123,506,92,2,1,21,0,255,176,2145,4988,631,0,0,47,3,356,233793,35550,0,0,29063,41176,61,89880,9406,5548,38537,14749,5095,213,0,248345,12868,22355
"Ansan",11302,79398,128140,36293,21548,20757,100,2214,118863,4714,30758,6408,120635,53496,104249,1,116938,6752,882,182672,53275,41212,894,6811,14262,5868,7648,13453,5,138,21625,465305,66436,513,7554,16180,1388,12556,4570,1105,959,9632,5103,3071,121,17900,8732,29712,420977,7449,1886,1419,35087,3221,9566,14748,5993,25660,4281,989,1412,9626,83824,19142,238207,5337,2724,363,14722,61252,5888998,3999525,1200,732,802027,14642,1022,74817,5733,24749,1616,40500,7667,5893,6332,16191,130958,722834
"Anseong",2636,139627,39740,17898,2016,41205,253,4092,419520,14217,1612,16170,558418,98364,416103,27,45776,2279,215,32328,73170,38118,2363,22812,36770,11556,4069,1232,13,287,39555,71503,5694,153,320263,75045,3361,21933,8987,6469,2772,22608,685,7338,303,22493,13391,14808,183320,47060,6637,7489,8613,23601,49576,57232,14652,4910,10600,2819,12596,26025,535259,21418,253951,14242,8768,659,4136,37356,4358473,404995,212,2206,517120,25651,6405,86531,8736,26785,222,29501,11185,12847,804,4647,149098,1099025
"Boryeong",46,36213,19784,142090,46325,30,0,0,1733,16,184,763,1240,131,542,0,80976,416,0,5589,77,1937,0,10,53,2,26067,25225,0,0,53,15368,420303,1,651,7,1,32,4,2,2,14,6238,5,0,533,581,183953,181574,3,2,0,1497,0,4,11,6,33732,8,2,1,42,7380,572,86233,6,2,2,212216,209649,586717,124404,2415,0,26533,32,0,2634,3,1478,7,1266,21,20,8552,196,3370,26257
"Buan",2,19252,1672,53048,28752,4,0,1,121,0,10,106,44,21,27,0,14969,10,0,1635,8,168,1,1,7,1,46668,80416,0,0,3,5723,281249,0,78,5,1,5,1,0,1,8,23020,0,0,37,42,36863,65934,2,0,0,37,2,4,1,4,102828,3,0,0,5,1136,52,22088,3,1,2,36728,35760,223698,65038,956,0,6407,3,2,234,0,106,0,126,2,0,37683,11,324,4516
"Busan",30207,22189,37369,410,46,4077175,216871,3266811,71540,64824,37,8858,97171,1284321,192489,6467,1291,9494,6952,4232,10639,2690,23831,15374,26350,6616654,132,44,14163,4843,110482,10292,616,2819,25981,159596,230854,1427308,148800,4861,206875,505281,25,34525,4546,3268,5421,287,17875,2943,69055,11,11205,117,22155,7786,480503,165,25178,51608,6968,8939,31353,2908,13751,253999,58727,29441,230,1047,461706,73809,2467,169404,29037,2747895,343,19152,5218777,2974,3477,3228,191808,14162,29,22131,15274,86400
"Changnyeong",0,656,296,0,1,223166,169362,248331,543,0,0,1,652,1072655,2699,595,16,0,0,18,50,1,11217,646,1,251927,2,0,814,4806,0,78,0,0,114,10699,15081,0,1,73,15779,1286416,0,2801,4447,1,1,1,177,71,3172,0,0,10,3869,55,92471,0,838,3460,282,18,255,0,149,29719,4621,0,1,8,2920,455,400,12405,226,0,2,0,0,0,0,2,0,1,0,0,107,420
"Changwon",0,2881,5010,6,0,3098168,300024,2388131,11111,1,3,5,11937,408705,34656,3027,260,0,0,415,1338,14,13544,4842,4,4642211,10,0,6329,2512,3,1109,2,0,2512,63462,79349,1,1,992,78860,719109,0,18020,3152,2,2,9,2492,578,22867,0,0,9,17766,1445,347160,1,7424,14844,1999,274,4179,6,2157,126760,33275,0,1,208,46791,8226,879,64432,3522,0,27,22,0,5,0,165,2,8,0,0,1282,8549
"Cheonan",852,116735,470509,1599,112,70245,427,7631,566416,19131,547,5528,777735,179051,1174273,15,6436,584,283,24040,485,14859,2897,39659,52759,21644,3923,55,20,437,79312,53260,283,157,4949,88700,4187,53024,16788,8763,3326,36308,16,9467,560,4244,3576,1174,111704,49046,6295,7753,3236,22420,60258,79,23562,314,15972,3106,5466,53753,576636,6585,179374,21152,11324,1807,281,6621,3463559,388088,78,2256,371366,57619,7221,17969,16710,10155,40,6306,25679,23834,27,1283,21632,1015293
"Chilgok",376283,4481,10369,16,1,58048,0,0,15188,29633,24,14397,19492,4540384,52928,0,257,34072,117848,735,2062,9081,0,852,37949,0,210,1,0,0,448975,1500,4,57996,4959,136,0,120455,206097,777,0,2,0,10,0,4777,7843,20,3000,3502,29,30,20580,673,2856,2364,5,1,92,2,2941,5958,8310,4746,3737,3,2,68209,0,302,71029,11213,0,1,5794,104379,571,25829,25887,6565,13686,2146,121239,13339,0,122895,3968,12176
