"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",134429,10846,1456,51,0,29239,0,0,839,320476,146,25072,490,1296398,4347,0,247,87343,59309,1302,1030,6823,0,88,818,0,30,1,0,14,0,1399,7002,2,60829,14624,25,0,26175,24963,83,0,1,1,1,0,13151,14143,76,2481,547,1,13,104391,116,547,84,0,5,17,1,282,273,1941,5182,299,1,0,34,5,338,227662,34340,0,1,18410,38129,117,79861,9542,5420,35323,9812,5044,301,0,222784,9665,34177
"Ansan",10857,85512,118897,34293,17814,16204,92,1894,126143,3255,36431,6284,109902,49030,88494,4,115353,6062,641,195073,69011,37149,741,6348,10791,4803,6489,11456,7,17511,124,19511,421323,56534,453,6983,16210,1532,10909,4128,1123,942,7987,4666,2796,107,19158,9090,29659,311038,8152,1906,1395,27518,3517,10252,14293,4647,23751,3699,885,9963,8336,89553,19222,292260,5466,2608,350,13042,61700,5806307,4268550,15,691,202245,12374,1142,74304,4862,22799,1369,43997,6519,5015,5498,15150,121852,1328683
"Anseong",2048,130248,43611,23490,1790,36528,163,3891,499204,9966,2078,17907,500618,100225,390080,24,55135,1462,203,32728,71497,38115,2137,23306,29309,10095,3520,1169,16,57467,211,38655,65902,5743,133,308608,74278,3460,19520,8338,7485,2517,19521,605,7804,333,25502,15443,20453,213691,46781,6764,7114,4523,23400,48837,55602,12554,5721,9784,2491,31571,25386,587856,23707,317142,15041,9173,529,4202,48154,4277209,406511,59,2000,348752,23904,6448,95168,9185,26545,235,37210,10962,11855,860,2843,179698,1313364
"Boryeong",61,33683,26041,185772,49159,50,0,0,2527,7,234,965,1822,218,669,0,91143,151,1,5911,181,1840,2,21,44,4,26666,26829,0,39,1,138,14127,446727,2,823,6,0,42,10,5,2,11,7032,4,0,610,669,201337,193332,6,1,0,596,0,6,7,19,37415,13,0,11,50,10375,699,98565,14,3,4,237012,221104,614184,125380,0,0,10496,48,0,2860,11,1355,16,1495,23,28,9214,153,3846,50113
"Buan",3,15420,1828,53805,23277,6,0,0,124,0,12,103,46,20,26,0,15205,9,1,1289,14,146,0,2,7,0,32904,69363,0,4,0,2,4696,214893,0,63,1,0,3,4,0,0,6,22304,1,0,40,65,34515,60206,1,1,0,27,0,1,1,1,87452,3,3,0,2,1442,51,27873,3,1,0,30557,32186,197400,54120,0,0,2099,4,1,183,1,85,0,93,3,3,33535,6,259,7656
"Busan",28723,18481,35107,263,1,3809806,232932,3212358,77022,51086,489,8766,91907,1328676,174763,6670,1880,9010,6610,4123,10046,2441,12451,16863,24609,6629169,106,0,14379,237,39,109406,8507,375,2614,23136,162964,243038,1340193,130613,4938,198882,511453,0,34896,196,3208,5689,304,19768,2738,83807,6,11461,92,91159,7601,402299,5,23776,43876,7145,8430,30265,3101,17859,259991,61424,13411,141,1398,408496,69231,2753,162034,21478,2465598,230,18044,4983982,2786,3053,2499,182398,13412,0,21164,13453,82176
"Changnyeong",0,309,191,0,0,242435,141966,262907,479,0,0,0,443,977912,1730,470,23,0,0,10,44,0,243,518,0,265836,1,1,880,2,8,0,51,0,0,76,10233,17260,1,0,74,16816,1329180,0,2009,6,0,0,0,191,32,2443,0,0,2,20775,44,78944,1,611,1453,131,10,184,0,130,31929,5042,0,0,15,2079,355,192,11814,120,0,3,0,0,1,0,4,0,1,0,0,64,340
"Changwon",0,2927,4918,3,1,3063080,318824,2499547,14482,0,1,7,11739,477908,34536,2896,481,0,0,406,1617,10,7276,5407,1,4542311,7,1,6842,41,32,1,988,0,0,2145,67367,86723,1,0,998,78160,732440,0,18007,89,5,5,14,3039,630,27759,0,2,11,77013,1287,287414,0,7332,13531,2060,278,4250,4,2908,128014,34464,0,0,334,44335,8046,932,62871,2671,2,28,20,2,9,0,122,0,7,0,2,1272,9006
"Cheonan",1071,130436,560002,2583,141,85347,359,10012,559898,16930,808,6161,880428,245838,1416690,21,9197,564,437,28170,919,14723,3560,53667,64121,25298,5996,64,25,162409,415,112958,64548,336,291,5339,147840,5746,85386,23932,11361,4148,42816,37,12178,689,5066,4322,2001,201755,81539,7277,12570,2397,35401,98767,85,25561,460,18785,3241,97255,66392,687702,7257,273061,27185,17980,1550,387,11970,3964832,474129,78,2343,347116,80372,11824,18635,22631,9985,35,7458,33139,29450,39,1125,23249,1280413
"Chilgok",350034,3924,9178,10,1,50954,0,0,15301,28257,331,12383,16125,4777171,41340,0,325,30901,112348,826,1875,8028,1,721,32506,0,171,1,1,48,1,335601,1791,2,58698,5106,85,0,112846,211042,745,0,1,0,8,0,4018,6583,28,3729,3173,27,24,20092,758,2632,1810,0,0,74,3,2436,5134,7033,5027,4584,1,2,34527,2,358,61106,10746,1,2,4054,98026,458,22841,24597,5923,11638,1680,121092,9980,0,113783,3835,11439
"Choongju",138,40120,2296,218,20,714,0,1,502,282,53974,6417,538,4883,991,0,514,157,12,5592,53474,10948,2,23,417,8,24,3,0,25,0,1904,31651,25,12,92287,294,25,604,315,27,3,18,1,7,0,3520,3745,241,9131,154,17,24,381,93,185,190,28,35,17,4,74,42,4676,4225,593,27,8,924,28,797,870669,120972,0,2,78747,871,29,15345,278,8670,18,51723,119,65,4,166,78764,148173
"Chuncheon",22667,6442,16437,912,127,8004,0,0,5218,11159,6036,778,23044,75361,31919,1,1343,14359,2496,970,8679,65184,7,772,271,1,261,46,0,462,0,205,3795,274,4360,2502,6405,154,6497,2013,1039,73,12,29,172,0,371935,1198854,819,2319,3617,441,706,102085,1800,5285,3746,300,463,544,176,2251,1068,5018,21087,1635,185,157,29,228,1624,13692,12263,3,173,11820,7875,681,618027,2170,14771,7011,18194,2221,377,37,22884,15178,45505
"Chungju",712,117967,502146,1342,29,106168,390,9914,906768,18371,1323,26048,1365023,276277,3362697,102,10226,686,246,17958,494867,48675,3713,129110,101781,28232,10220,14,33,3225,507,120904,54961,75,204,277646,157749,14609,59496,20042,56911,6698,42115,2,15622,736,16081,17052,2297,105370,163943,23402,24190,3013,76019,163021,541717,36621,76,36144,6626,94812,353027,254520,20968,133397,35948,21460,1064,132,12426,2701602,344605,260,7483,222691,72012,23162,84297,28936,31430,38,41844,32353,94594,5,973,224673,517444
"Daegu",1321225,54201,94020,212,13,1415252,1025636,389511,224395,4782467,4118,78214,244126,14030196,621631,37351,4776,130026,813082,5082,22585,40169,543849,11562,637674,681625,1955,1,2024,826,1772415,5368324,27598,61,535545,55776,297713,148645,2223611,3737414,14320,75902,2063635,0,79877,311248,29723,44775,683,47905,33262,69861,180,116130,5601,65104,26016,238658,11,11582,157370,32334,69160,83263,30148,45951,125719,41749,426629,32,6033,1019687,147008,28718,92665,63633,1056415,4164,136963,226105,34246,69546,14213,2153923,135111,1,506809,32265,191817
"Daejeon",4431,90875,407992,537,12,195887,1524,28091,1454408,44569,1328,34635,3389639,653113,9108976,393,18642,1081,1481,13729,121724,51595,13988,2287791,309119,74199,42121,10,150,3741,3236,282812,47553,48,756,152392,454179,37138,146193,46362,536516,19955,134206,2,67076,3539,17475,22113,950,117997,724849,90932,51153,5167,233112,717004,186360,116580,20,512668,27507,834803,1754194,257861,23991,133807,131059,60503,7388,28,13667,2856410,327472,1070,21677,186892,155563,99716,84136,37198,30755,112,32613,93454,468298,2,1557,115909,558291
"Damyang",0,9,33,0,0,5493,375,2537,28,0,0,8,118,36547,411,8208,0,0,0,0,12,8,6761,294,5,7064,0,0,101712,0,5352,3,2,0,0,15,518519,18462,0,0,2,2669,5615,0,5741,1190,4,0,0,4,0,10673,1,1,1,567,14,3666,0,1553,73837,1,19,20,1,8,4517,2450,2,0,1,389,26,42761,100698,15,1,0,9,0,5,0,7,0,2,0,0,10,39
"Dangjin",332,116313,58665,92555,18534,3563,20,405,11640,864,497,1434,11865,8374,22617,0,66680,266,40,16459,487,3790,146,1185,2418,971,4861,8225,0,1227,18,2458,43220,72262,20,1701,301,202,2460,755,159,179,2089,3039,436,13,1776,1529,73655,762779,155,86,20,966,67,312,25,904,17988,440,48,779,1307,32341,1859,578708,985,342,51,26394,299094,1502476,571727,1,31,23940,3305,20,6441,868,2118,28,3011,2850,688,3866,537,6593,119763
"Danyang",95013,6206,888,142,3,8783,0,0,416,31212,112,13068,544,127133,927,0,226,37482,11371,929,529,5945,0,14,73,0,8,5,2,12,0,132,4586,15,7590,9104,109,4,10758,3077,17,1,1,2,1,0,8755,8917,100,1360,177,8,5,122882,61,181,350,1,14,11,0,73,30,1294,3146,204,0,0,1,19,227,110123,19889,0,3,11177,26449,26,92331,3999,4806,37508,7071,2525,33,2,268449,6661,20765
"Euisung",56978,623,187,0,0,7012,0,0,373,94584,8,3147,271,768750,1693,0,45,7694,1040,88,74,1162,0,43,501,0,15,0,0,2,0,649,388,0,17424,999,10,0,6513,8813,16,0,0,0,0,0,1312,1645,2,179,197,0,1,7312,35,120,6,1,1,4,0,111,99,166,682,41,0,1,36,0,22,12095,1898,0,0,1080,8440,35,15385,2374,798,2894,652,1868,145,0,20940,1052,1878
"Euiwang",1450,184407,33162,6663,1441,11241,26,546,31381,933,4988,981,20110,7885,18256,0,19188,1033,99,81,11424,5310,117,1190,1257,1764,651,850,1,3882,23,2727,84546,4253,80,1380,3351,870,1083,330,264,176,1935,448,376,15,3017,1273,6525,31831,1821,382,290,3407,763,2183,2588,726,3010,621,153,1706,1512,30387,3834,33317,913,1321,34,1920,11323,420304,497551,4,125,28847,1783,241,12197,2024,4977,222,8142,572,774,535,2057,33924,334975
"Eumsung",756,75422,70205,227,10,9736,37,936,678,1758,41797,9680,471625,24405,116427,7,794,646,49,11306,4181,17544,291,6863,6435,2823,918,11,1,61,33,9138,50523,32,71,250636,15447,1075,3842,2442,2290,378,3041,4,1113,31,10048,6714,173,15031,14063,2503,2250,1674,7013,13225,55163,2223,32,1542,386,6572,6647,8305,9544,2050,2016,1806,359,34,523,1423828,182029,23,449,135702,8606,1679,48292,3203,12145,80,44815,2123,2327,0,938,148353,266153
"Gangneung",6551,41267,31980,1781,139,2237,0,2,11386,6656,10634,62469,42297,37001,47972,3,3272,6153,1024,5228,16474,12870,21,1194,347,6,388,86,0,576,1,184,28852,519,940,53817,9385,590,879,956,1941,125,30,40,300,1,331544,13691,1110,9744,5529,569,3957,27182,2919,8093,6329,627,656,617,226,2892,1902,12521,878170,4022,506,361,20,335,3530,780676,131197,7,245,70300,1625,977,516492,577,129731,3952,58692,324,473,82,9387,53263,152684
"Geochang",0,756,2062,1,0,9971,162,4814,3560,1,3,14,3997,507231,14906,7221,89,0,0,105,370,23,475743,2364,5,10939,1,0,105,18,236124,2,473,0,0,1054,46004,10312,1,1,314,7972,22726,0,128648,79248,5,20,6,816,150,19841,0,0,4,3833,482,91182,0,2268,43831,567,190,1795,23,819,42187,44417,1,0,45,28486,2979,7145,4393,1410,1,5,41,0,21,0,130,0,10,0,0,519,3897
"Geumsan",80,6747,25386,12,1,20284,427,4382,55913,671,34,793,131285,11311,2098538,293,671,18,24,839,7096,1330,1872,59715,3234,10733,1212,0,28,269,1211,4244,3271,4,13,8648,7950,5311,1861,685,16379,3877,14574,0,12157,414,956,566,36,8192,7683,21937,3011,145,4347,8597,9786,15665,0,67477,3366,13348,5981,15871,572,10352,15089,13467,139,5,450,147322,22767,305,2205,10229,2197,1456,2379,175,672,1,1741,1287,3220,0,40,5088,23356
"Gimcheon",913,12731,28653,28,2,22788,0,0,61289,34051,332,338,96391,574873,294205,10,747,107,455,1051,5986,430,8,3484,129463,1,843,1,2,185,0,350814,6420,2,290,18740,2288,42,32893,27959,2664,19,5,0,41,1,129,184,90,13967,12524,191,472,159,4441,9912,8026,78,3,357,45,10377,44050,27804,177,18357,88,29,7356,5,799,241410,45764,4,40,19126,30602,1238,1034,10108,250,23,1159,28904,111384,1,306,7852,47080
"Gimhae",0,5905,11435,6,0,6660424,260262,4667493,25855,0,5,12,25281,677209,72255,7720,773,0,0,890,2679,14,13244,11084,3,9770517,27,1,18287,68,64,0,3155,0,0,5282,178442,247699,6,0,5480,192126,702123,0,38369,223,11,6,42,6963,1457,66696,0,3,25,117169,2677,525613,0,19922,36884,4884,611,8728,7,5482,261462,73518,0,1,475,99190,17322,2615,179574,6432,5,77,68,2,17,0,338,0,26,0,0,3040,19330
"Gimje",37,6266,3512,26851,28608,84,1,9,5661,164,3,243,9689,2283,36412,0,5093,5,10,648,925,351,3,1207,1111,31,6749,74432,0,2559,4,965,2516,56840,1,1565,376996,0,423,216,1832,1,32,22813,11,0,125,198,10807,23595,50673,4,51746,36,434993,71486,907,33,73145,282,2,18348,1197,3027,149,8371,19,10,53,16905,9657,102197,22581,0,0,2571,460,13587,582,11,221,1,306,450,902,24316,11,1389,7292
