"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",127597,7640,1026,40,1,26730,0,0,657,306915,60,21212,423,1257105,3456,0,201,79381,785,55842,1017,445,6301,0,78,793,0,16,0,19,0,10,0,1538,5506,0,55299,10900,21,1,25680,25661,101,0,0,0,2,0,9743,10839,65,1939,429,6,3,86309,92,476,76,1,2,293,15,0,228,160,1523,10545,4858,242,0,0,71,7,287,175299,23836,0,0,22042,37725,83,63839,9476,4227,28282,8257,8352,235,0,200624,7854,18643
"Ansan",7395,88880,108468,30930,14518,15466,58,1300,115355,4420,28538,6292,99906,70094,83029,2,116624,5895,13316,324,187138,74488,26647,1275,5822,7970,3008,5786,9614,6562,1,17521,84,28562,364996,48218,256,5716,17078,1618,15522,4709,1110,919,6302,4044,2617,109,18465,8274,26887,280323,8516,1747,1485,26357,3701,11009,14069,4321,21001,4049,8570,920,9481,7470,94606,7127,19158,265519,5209,2327,19568,12043,57405,5797786,4485854,11,552,768655,15645,1293,69773,6905,16742,566,42916,6343,3764,4674,13177,111382,727228
"Anseong",1399,120168,61828,31106,2917,25922,104,3045,605921,6952,1805,17000,497108,73576,400941,27,90340,1115,10179,114,34711,73144,28696,3173,24307,21712,7612,4024,1701,515,9,72526,166,25231,64508,8138,71,287673,83325,4404,12807,5571,7874,2567,15939,1008,7755,274,21653,13750,26839,244602,50866,7591,7995,3817,25052,54074,59324,12733,8080,17343,446,2558,37066,26759,615752,7956,20836,336983,14833,8584,1494,7511,68175,4153085,400616,71,2181,502542,17209,7449,81564,6702,17571,84,35407,5351,10494,1204,2179,160697,1129981
"Boryeong",44,28554,31814,170479,50974,56,3,4,3020,11,222,878,2100,248,747,0,94480,84,558,0,5306,212,1319,1,26,59,11,26226,25586,30,0,60,1,128,13245,438394,0,492,5,2,25,7,5,0,20,6793,11,0,481,662,204542,205538,2,2,0,510,1,8,5,17,35791,30,17,0,14,72,11465,28,535,98827,12,14,40,250740,226405,606857,121780,0,1,25530,53,0,2500,11,988,1,1157,16,31,8662,137,2661,31589
"Buan",1,12258,2734,54735,22002,9,0,0,120,3,5,100,48,20,22,0,17070,3,37,0,1170,13,118,1,2,3,0,29665,74117,1,0,3,0,1,3983,198027,0,38,3,0,4,0,1,0,5,25264,2,0,28,48,36098,62110,1,0,0,21,0,3,0,7,92113,2,2,0,0,3,1675,6,32,28701,3,3,1,30542,33690,188905,48335,0,0,4927,4,0,167,1,74,0,102,2,3,35436,3,221,5084
"Busan",26629,15249,25922,229,2,3986150,239090,3125010,74444,49912,13806,7973,72187,1500591,156596,6670,2659,8132,204,6412,2793,10804,2173,10951,19315,21636,6823066,87,0,8851,14383,229,41,102225,6773,278,2497,19496,156890,244013,1300208,118810,4635,197685,512470,0,35759,154,2790,4852,299,16547,2311,90869,1,9491,49,87639,5338,414189,1,28450,5425,39357,7076,7437,26157,1195,3305,17468,254976,61147,23752,156,1751,329846,56309,2602,160850,24074,2345559,217,16183,4904968,2257,2623,4959,153383,11482,1,19297,13653,66628
"Changnyeong",0,72,183,5,0,250414,140320,258117,434,0,1,0,345,982351,1828,449,19,0,0,0,3,19,0,228,565,0,278894,0,0,0,895,2,6,0,15,0,0,26,9440,19799,0,0,69,15379,1296692,0,2097,2,0,0,0,113,46,2822,0,0,3,20696,34,74914,0,572,0,1415,230,9,137,1,2,99,29331,4975,0,0,10,1061,190,157,12784,86,0,3,0,0,0,0,0,0,1,0,0,5,239
"Changwon",0,1978,4039,10,0,3016599,311232,2617192,14145,0,2,7,10216,564322,33063,2938,610,0,2,0,230,895,2,7073,5355,3,4553166,7,1,0,6718,36,18,1,489,0,0,874,67383,88987,0,0,1010,76433,743077,0,18299,86,2,1,27,2869,697,29563,0,2,8,78555,1069,288758,0,7644,0,12726,2199,276,3916,0,5,2971,123438,34503,0,0,351,26168,5325,961,63070,2275,0,19,11,4,3,0,54,0,7,0,0,407,6211
"Cheonan",746,122201,680051,2932,115,83589,404,9963,396203,20150,759,6415,874065,261530,1444547,30,11165,452,4023,329,26793,832,11428,3545,59279,62261,25422,5933,71,127,27,158095,419,123389,61741,332,294,4648,155653,7325,78741,25201,13395,4461,42987,41,12591,657,3788,4301,2325,227987,82153,8220,13333,2182,36613,103426,83,26718,519,63617,124,3694,99520,66250,682350,30428,7150,291500,29907,18145,2507,505,13277,3830823,468462,52,2324,413317,85596,12601,17007,23084,7315,20,6688,27047,29514,44,922,20258,1159153
"Chilgok",330822,5396,6060,11,0,51959,0,0,18017,26499,8543,9904,14533,4988014,37128,0,555,28997,1237,109913,773,4337,5483,0,709,31880,2,271,0,6713,0,46,0,323364,2674,1,62022,7485,98,0,100548,211888,826,0,0,0,5,0,3121,5227,29,3476,2947,19,21,18275,758,2756,1144,0,0,3199,5445,1,2371,4794,6259,123091,4763,4861,1,0,54178,0,383,71819,12589,1,0,7121,95289,431,15985,26589,3592,11279,2517,139442,8752,0,112731,6265,11975
