"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",125185,7305,910,54,1,25627,0,0,595,311103,66,21088,350,1163845,3562,0,232,76171,643,50848,1173,472,5847,0,72,755,0,15,0,22,0,7,0,1,1231,5661,1,44965,11474,11,1,28375,26524,142,0,0,0,0,0,9632,11243,55,1841,496,3,3,86364,152,461,71,0,0,11,21,0,209,162,1400,9930,4806,220,0,0,63,2,301,179038,22800,0,1,22756,0,44749,67,63110,26155,3573,28459,8660,8899,190,0,200894,8077,19205
"Ansan",7577,118573,118998,29738,13698,12450,24,771,117727,5050,29402,5235,103208,65561,82719,17,118728,5678,13687,322,196204,80005,25179,1608,5638,7650,1290,6176,9236,7424,12,20068,60,903,27037,379824,45732,215,5227,21199,1424,19785,4672,1144,1000,5182,3818,2820,103,17368,7233,25679,284757,10785,1894,1878,26743,4697,13752,14416,4085,20695,3520,7870,786,10998,7236,95819,7622,18248,259905,2454,2066,29689,12445,56392,5643404,4584487,16,588,747828,3573,20598,1747,68050,14311,15480,497,39396,7230,3958,4386,13099,112222,706332
"Anseong",1351,127409,79826,41571,3653,17718,47,1689,735192,8265,1827,16368,533131,73381,438405,99,117761,1072,9939,110,34076,81627,25929,7072,26319,21285,3520,4909,2305,543,65,100281,137,3040,24588,66280,11490,59,283423,103577,4860,14099,5376,8866,2862,13241,1267,7590,246,21479,13176,32957,273573,60396,8990,11136,3643,30615,66324,65916,12731,10737,10718,449,2562,46282,29229,676607,7842,19351,420198,7241,9062,1598,10252,85284,4295294,395527,70,3877,485567,10169,20239,9975,77701,14060,16120,83,34159,5766,11570,1702,1902,168215,1136486
"Boryeong",53,26008,41073,198617,52184,35,2,0,3401,11,203,927,2046,215,678,0,93699,88,473,5,6290,199,1145,4,17,44,5,29278,27485,26,0,37,0,4,112,13694,466353,3,453,12,1,35,9,2,1,12,7404,5,0,446,536,207240,221324,5,0,0,446,2,6,7,10,36567,8,21,1,12,31,13375,41,562,100836,5,7,39,274800,243367,601351,118678,0,0,25607,16,71,0,2233,15,764,1,998,18,29,8825,191,2265,31125
"Buan",1,10102,3095,53942,30820,4,0,1,118,3,6,82,43,18,17,0,15783,4,36,0,1197,3,97,0,2,5,1,32435,85372,1,0,4,0,0,5,3791,188245,0,40,2,0,5,0,1,0,3,26830,0,0,15,31,34951,59007,0,1,0,22,0,0,1,1,84573,1,2,0,0,2,1502,3,25,24854,0,0,0,27816,37280,169883,44183,0,0,4397,3,8,0,129,1,61,0,58,1,2,33249,6,167,4215
"Busan",14595,7222,12729,27,0,4545635,223365,2916352,37464,32500,7457,4380,31436,815355,95047,6515,1375,4275,131,3631,947,5063,1097,10847,16939,12817,6969368,62,1,5241,13918,185,21,9547,61032,2911,0,1539,10499,153300,240699,1401876,78496,3066,192058,521509,0,35623,134,1372,2192,77,7712,1795,97611,240,4904,295,94680,2092,415485,3,21998,2838,34133,4906,3887,13186,1058,1607,8443,257095,61096,12180,2,1043,175802,25519,2829,159237,13655,60259,2775063,126,7477,5176888,1045,1382,2765,144352,6651,0,10082,7321,35064
"Changnyeong",0,35,68,3,0,229368,128568,196609,257,0,0,1,148,876286,920,400,6,0,0,0,1,5,0,201,454,0,263998,2,0,0,744,0,5,1279,0,11,0,0,6,8236,17655,0,0,48,14125,951280,0,1805,1,0,0,0,39,34,2742,14,0,9,17975,9,69703,0,545,0,1213,127,1,109,0,1,43,27525,4643,0,0,5,376,82,154,11250,23,8032,1,9,0,0,0,0,0,0,1,0,0,9,103
"Changwon",0,1055,2783,4,1,2634342,230430,2620996,9081,1,2,2,5936,479981,22840,2766,508,0,0,0,165,443,4,6584,4324,4,4139204,17,0,0,5948,32,20,4995,1,328,0,0,414,59669,87051,1,0,843,71283,728592,0,17598,51,2,2,14,1744,381,29297,88,0,96,76243,596,276638,0,6556,0,10905,1682,225,2696,0,6,2207,120010,34421,1,0,314,14429,3487,1021,59622,1358,25336,1,17,12,0,4,0,22,0,6,0,0,182,3642
"Cheonan",791,119405,809217,3335,127,61254,168,5781,417875,21095,756,5905,917211,253621,1542720,154,12397,410,3653,309,25744,848,9866,3730,64336,59693,10874,6797,44,127,122,214294,364,5978,128201,59421,379,206,4037,185054,8399,86327,24382,13682,5288,40020,30,13352,534,3540,3815,2487,251141,97461,8503,16230,1894,43086,122843,82,25194,477,21027,122,3445,116967,70027,723874,31818,6859,339913,13660,16928,2693,518,13236,3897822,466817,55,2994,393278,21712,105638,15943,15675,58730,6767,23,6077,29463,31618,39,751,17981,1181867
"Chilgok",335424,5368,7230,11,1,60072,0,0,17984,34213,8650,9578,15490,5212299,38448,0,635,28388,1019,113294,888,4126,5165,1,843,32917,1,191,1,5713,1,84,0,2,316204,2521,1,61931,6567,122,3,122793,237160,777,1,0,0,7,1,3004,4897,30,3442,3065,27,28,18874,680,3505,1280,1,1,59,4586,2,2511,4365,6817,132630,5149,6051,1,4,35331,1,556,68806,11255,0,2,6803,2,122387,579,17153,72603,3281,10168,2213,166851,9674,0,117134,6068,11195
"Choongju",106,31022,2145,282,3,19786,0,0,568,9381,76438,5292,652,123599,1254,1,572,136,2391,14,4271,54652,8471,1,31,7677,0,12,3,53352,1,28,0,3,48822,24553,22,19,78426,375,20,18671,9115,23,3,1,1,13,0,3241,3093,281,6868,159,24,25,400,109,258,231,18,34,27,40241,14,82,106,4357,14280,3710,551,6,3,122904,48,734,666070,84072,0,10,93960,23,34786,46,12971,28615,4715,4,40558,10601,909,1,117,69453,92698
"Chuncheon",20220,5365,14908,943,74,5886,0,0,4754,9345,4820,852,26338,63898,35268,6,1177,14059,18106,2090,1201,10348,44971,18,1028,1068,2,243,29,2196,2,544,0,83,2236,3511,212,3261,4163,7590,410,6496,1899,1238,117,7,33,260,0,380088,1185272,814,2137,3689,547,790,118895,2182,5388,4098,508,343,552,943,265,2413,1026,3813,5111,19689,940,227,183,3187,224,1636,12952,9974,6,226,24435,457,9535,794,650153,5280,7752,4095,20482,2087,389,53,21955,20918,43376
