"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",132091,6957,934,33,0,27066,0,0,572,329082,40,21846,4640,357,1230610,3465,0,205,80326,611,51764,976,444,5964,0,83,759,5510,23,1,14,0,11,0,0,1243,5827,0,45484,12076,32,0,33111,28442,107,2,0,0,1,0,10320,13504,90,1548,475,4,5,93026,109,517,61,0,10814,2,7,21,0,285,205,1300,10615,5459,233,0,0,47,2,287,179669,21143,0,1,22590,0,47915,102,65388,28451,3359,26838,8481,9856,262,0,206371,9134,19523
"Ansan",7633,236657,131808,31432,13694,15029,335,859,137247,5944,29840,4730,853,118063,79417,93486,497,152607,6012,14816,281,263467,92842,26788,1463,5957,8962,3692,6417,9040,7300,366,26381,220,1003,27749,550087,51453,191,4503,24952,1926,22742,5336,1393,1112,5853,3989,4115,88,17213,7472,26260,355216,13788,1975,2277,28066,6364,17923,14938,4719,4717,21826,3506,8045,890,12641,9535,109483,8396,18690,310173,2953,2365,34725,14478,61464,6006836,5618060,33,3755,837045,4299,24584,2307,70970,17860,15189,469,42504,8510,4352,4527,13529,125299,755541
"Anseong",1357,142464,86988,45016,3095,16972,267,1178,809917,9243,1760,16745,1116,550148,86679,463125,1926,137746,851,10552,105,33654,88471,27872,7632,24167,21112,5025,5110,2003,543,1518,115094,304,2925,26021,70080,11719,67,292527,103913,5276,15738,6119,8853,2712,10386,1130,8159,238,21053,16545,35465,266840,63031,8911,10875,4048,33510,74288,68387,13726,4464,10608,10914,416,2603,53243,31783,727919,8666,20683,453983,7191,8115,2009,10966,91157,4310641,385931,143,12952,478910,11413,23350,10127,78491,15394,15482,68,40186,6058,11144,1507,1778,183362,1089806
"Boryeong",39,27594,44109,220353,55247,50,0,2,3251,14,216,809,5,2150,227,646,27,92313,77,546,1,10112,217,1003,2,18,38,18,27975,28053,34,12,39,1,1,110,14004,499470,0,374,911,37,31,11,3,12,19,8506,5,0,508,690,206009,232779,3,3,29,481,1,6,8,30,6,35285,3,15,1,15,29,15115,54,540,102006,5,21,58,266224,254048,600398,114760,3,230,25475,17,80,0,2164,25,755,6,1020,17,21,10245,165,2075,31690
"Buan",0,10426,2784,56077,28279,65,1,5,87,3,4,41,0,27,32,14,117,16749,2,19,0,1362,7,65,5,0,1,33,32842,85844,2,78,2,2,4,5,3419,152324,0,27,2760,68,2,0,0,26,42,27062,10,1,23,56,33846,55801,1,1,150,22,3,17,0,22,0,78797,0,2,41,0,1,1636,1,32,24737,28,12,2,26096,39680,156316,39516,35,441,3811,54,5,0,107,13,34,0,65,0,1,34231,3,130,4013
"Busan",11786,6042,9571,29,58,5430983,229952,2933568,29193,28614,6622,3418,62630,23569,1657051,75613,8438,1424,3583,86,3120,714,4214,917,12407,15488,11411,7697747,779,172,4700,13174,158,1085,10589,46643,2493,7,1287,9540,146401,254969,1489588,69243,1943,190368,546600,3,37301,396,1004,2032,76,5770,2876,101193,5783,4451,7343,95330,1571,438915,375016,10,20257,2719,31906,4157,3465,10460,1250,1176,6936,278380,61570,10465,6,949,141201,19452,3213,157128,11086,66709,3109038,333,5312,5388942,930,1178,2688,147333,5981,24,8888,6846,24317
"Changnyeong",2,362,232,1,1,235827,135517,181805,788,6,300,18,0,821,897746,2030,424,24,0,1,0,19,171,2,1012,448,451,269646,47,10,173,673,1,1223,1578,772,99,4,0,366,6760,17235,2,2,43,14810,883678,1,1764,296,1,6,0,176,99,2546,341,0,356,17899,39,66959,2,2,463,98,1204,156,141,276,4,8,238,28048,4544,539,0,18,3552,550,158,10447,377,8359,2,22,30,1,3,0,93,2,123,4,1,371,495
"Changwon",0,1072,2221,4,14,2604898,217125,2803930,6903,2,343,14,0,4263,454867,18806,3393,440,0,0,0,148,340,13,6873,3766,397,4262086,221,54,191,5544,51,791,5637,526,382,0,1,539,54216,89599,2,0,663,70882,765208,1,17517,315,7,10,10,1322,698,28885,2580,2,2702,81461,391,282298,2,0,5818,119,10359,1707,315,2133,1,11,1692,131226,33993,530,0,262,12100,2707,1167,59068,1220,27720,9,96,28,19,2,0,133,1,111,10,2,351,2740
"Cheonan",612,141193,879051,3360,97,62697,937,4388,429319,25554,631,5683,3059,973717,299364,1597579,3620,14061,377,3556,331,27975,849,9588,4216,58081,63478,15168,7046,49,105,2664,239721,763,5906,138612,63317,378,225,3373,178591,8790,90034,26940,13543,5007,34472,47,13309,566,3307,4346,2668,260226,102572,8421,16256,2028,47702,132087,81,27382,18542,510,21185,166,3692,129173,74400,783133,33817,6748,378407,14835,17271,5581,520,13182,3918827,470942,213,25678,405956,25318,118137,17337,14385,66090,6268,22,6592,33068,30722,50,698,16623,1163846
"Chilgok",351844,5290,8076,10,1,70695,3,5,22133,39564,9627,9952,19235,18404,5876723,44295,0,955,33284,1061,116760,675,4532,5131,1,913,35256,10953,185,0,5408,1,95,3,4,303586,2624,2,70800,7056,152,4,141744,259378,793,1,8,0,5,1,3377,5937,45,3929,4316,21,37,21511,723,4615,1525,0,30124,0,54,4762,2,3123,5367,7773,148035,5433,8718,3,1,37725,0,640,72086,11249,2,0,6720,6,154032,535,17940,86054,3066,13007,2318,184379,10336,0,127858,7017,11001
