"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Andong",137689,6747,862,13,14,0,26453,5,1,300,316708,34,20489,5179,215,1189370,1925,0,187,74565,536,53929,911,489,5048,0,58,655,5537,14,0,10,0,2,0,0,910,5834,4,44753,12825,14,1,32723,27961,58,0,5,1,0,0,9373,11191,40,1528,246,1,2,85093,41,259,1,43,2,10994,1,7,10,0,1,162,128,1430,10374,4954,233,1,0,39,0,203,180044,19167,0,1,8,22184,0,47222,54,62388,29772,2877,28673,5873,10194,187,0,198550,9643,18982
"Ansan",7218,276216,154555,4215,29516,10146,21864,3955,3917,139551,4700,29613,3929,706,112834,54619,93027,896,162699,6349,14119,275,271546,93981,25451,1063,5494,10630,9456,5260,6974,6715,839,25741,2533,1099,25220,545533,48885,192,3663,41241,2305,19608,4650,1304,1118,18231,3497,5814,80,17421,6745,22487,369027,9648,1696,3719,29838,5326,14223,489,15448,4685,3020,20301,3402,7599,270,820,13023,8055,104919,8370,19283,300887,2702,2199,32980,14026,59187,6292586,5936147,119,7103,2931,836928,4624,20947,6699,69687,13722,13576,342,45289,8275,3367,3928,13387,118584,721120
"Anseong",1074,162021,511062,15148,50014,3103,23663,4525,3151,797966,8160,1437,16935,1194,534780,74895,454563,1912,192146,947,10939,52,38397,105750,27461,4357,22510,19892,9651,4930,1931,423,1734,122083,2542,3119,32116,81175,11386,59,294245,95406,4973,15924,6844,8891,3187,20028,1282,10908,271,21563,16622,35581,327297,49395,7717,9424,4220,30902,67662,2007,75236,13622,4473,10556,11092,437,101,2623,59130,31904,942574,9487,21397,737210,7282,7575,16829,12131,99436,4414506,403391,173,13737,2251,513943,12381,24065,33952,81246,15793,14159,41,48251,6637,9377,1547,1580,191333,1017736
"Boeun",13,3824,15508,67406,35,4,4331,1590,1101,45945,1692,1714,756,277,657997,25194,103301,46,735,13,221,12,525,5516,661,124,670,2980,2147,221,8,1210,36,337,859,53,16892,2311,1,6,7628,2923,221,5062,1678,1174,78,5635,16,135,89,364,538,63,6293,2424,228,258,70,1424,2920,47,9064,398,978,117,276,1675,1,102,3060,506,12980,3997,493,7801,213,135,83218,1,620,100246,14135,9,269,2264,10117,333,6801,1130,1590,3270,430,0,1489,2140,123,16,7,4136,14116
"Boryeong",23,26398,53050,34,223786,35497,183,9,41,2553,10,166,641,1,1772,214,518,1391,90190,80,416,0,12897,1036,941,5,10,19,176,21974,17904,30,1046,33,5,14,70,13569,457428,0,303,43062,1596,28,10,5,557,192,7958,15,4,425,580,184217,227726,3,4,3177,438,27,20,2,178,65,4,32521,6,17,526,184,9,31,14214,39,635,96396,138,9,103,261709,242050,549208,103245,249,10101,3,22862,109,55,3,2101,12,620,2,939,10,11,7148,107,1925,26925
"Buan",0,7797,2903,0,35375,29883,2946,134,641,78,2,9,41,0,41,1921,36,5831,10903,2,16,0,1798,35,37,185,3,8,2275,33603,82923,2,3887,3,177,204,9,3515,119179,0,41,130548,2625,1,0,2,949,2291,23076,745,60,13,28,19601,49936,7,180,11798,13,89,302,1,4,1156,0,71033,4,0,1034,3521,4,2,1629,2,18,16651,1133,243,6,19507,21213,140956,30463,1400,14808,15,3845,1357,1,25,82,0,30,0,70,0,0,33838,1,120,3444
"Busan",10377,13156,13830,2384,150,2627,6104063,222743,2770241,48663,21232,12326,2435,64149,37554,1503080,83179,8020,4818,2870,67,2662,1685,8020,671,30498,15734,25738,7281435,1443,4125,7726,11605,623,18614,10905,37576,4721,203,1143,16004,143277,260992,1463830,61609,1544,184860,544543,207,34791,7006,824,1621,108,9039,23245,8222,3806,3593,5706,124513,4507,3048,415031,399174,1066,17245,6651,2,18883,8605,5562,15091,985,974,13789,273175,58149,19447,46,824,167203,31547,2666,148048,22454,14580,59591,3065436,63163,4576,5128625,602,936,4674,138008,6294,1944,7502,13586,31544
"Changnyeong",4,4596,3804,1254,7,103,226657,148888,168803,11626,24,5558,131,1,14007,722295,23239,580,733,2,11,1,272,3367,101,22143,639,22387,250233,120,349,2725,601,56,18862,1739,9000,1475,6,2,4699,7177,18551,25,4,689,15368,846254,42,3348,6902,59,108,6,2457,1239,536,232,5,387,19495,380,843,64978,4,76,529,1836,1,1913,1220,2462,4844,26,101,3706,27683,4340,10288,4,162,55062,8534,362,9957,25700,5811,8327,44,3148,341,72,63,0,2008,13,2478,93,4,5053,6895
"Changwon",7,3780,4470,1285,30,667,2472149,202552,3055489,16139,32,4562,159,5,10796,302809,24968,3357,1349,6,21,1,661,2269,97,18636,3262,14689,4110115,474,1547,2534,5094,300,12035,5568,6615,1580,76,1,3650,52844,95343,53,3,629,70319,766216,102,15896,4984,59,117,27,3126,7455,2898,1898,5,2277,86629,1916,1175,268945,22,356,5096,1974,0,6763,3279,2252,4512,16,84,4441,130924,32600,7972,14,301,47718,9462,1121,57771,16147,4736,26621,244,18836,477,369,87,1,1510,6,1615,664,4,3231,7353
"Cheonan",356,139830,871797,44900,2452,68,87731,14633,13024,383572,21776,569,5164,3005,880895,238555,1612871,3688,13800,406,3176,142,28578,2930,8826,3351,56589,52864,32000,7477,185,229,3006,256154,8903,5662,149578,63846,245,134,3507,170905,8734,88004,26566,13105,5290,71635,202,13536,543,3204,4442,1817,250842,86369,7485,14408,2293,48069,126446,3664,405,26701,14358,1867,23041,852,4,3547,137492,68237,811290,34892,6472,367729,15035,12929,73936,367,10160,3719365,433077,282,28619,9098,392041,26721,113110,59843,13541,55828,5403,14,7002,34370,20739,324,496,15290,985776
"Chilgok",339896,3822,7178,1530,10,0,63543,26,18,19077,40354,6407,8716,19512,17161,5764647,37478,2,949,28172,715,118043,458,3406,4850,22,1022,31663,10308,134,2,3746,2,62,33,1,282886,1844,4,85809,4930,154,14,138850,258764,592,5,82,1,8,1,3184,5319,20,3530,3275,13,62,22679,471,3663,5,1469,17,30837,8,33,3998,0,15,2552,4607,6615,153291,5321,7850,14,4,30371,1,444,52970,8639,2,15,104,5225,18,146271,528,15994,80024,2655,9887,2031,179238,8825,0,127156,5573,7253
"Choongju",40,30300,2007,1423,194,2,25198,7272,4945,489,6573,74155,4069,952,814,84147,1718,26,516,104,1798,9,4087,61303,6235,382,58,13021,11388,13,1,52582,9,32,3556,149,34697,24668,11,17,83668,571,1410,17226,9700,48,303,22176,2,139,178,2605,2772,239,6634,196,41,31,380,136,518,10,170,1444,5005,41,25,33350,0,204,99,63,5178,11430,2752,464,663,136,106427,35,628,675946,70458,28,513,4942,94072,634,30140,100,9714,16897,3124,2,48368,8246,834,7,78,74973,90229
"Chuncheon",20964,4032,16953,552,644,50,5777,59,59,4162,8130,3711,10372,446,27630,62135,37509,120,1046,13423,14814,2088,594,12476,34436,60,936,1284,1070,283,26,1987,63,551,105,82,2418,2961,179,3047,2901,8115,596,6719,1818,1336,182,290,31,379,11,416589,1309505,628,1686,3485,526,759,128081,2205,5524,118,4527,634,2036,326,488,845,1,262,2597,1384,2722,5330,15209,756,263,270,3171,152,1157,9359,6121,16,650,197,20193,738,10569,1992,659697,6433,4533,3510,20491,2046,359,68,22504,24781,39638
"Chungdo",5,1,2,0,0,0,58898,0,5,5,8,1,1,1574,3,495059,7,0,0,0,0,1,0,0,0,0,0,3,22501,0,0,0,0,0,0,0,13,0,0,0,1,0,0,14358,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216192,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,34,5,0,0,0,3,0,41831,0,1,94422,0,0,0,761,1,0,3,1,3
"Chungju",270,114958,542246,682503,1410,26,65652,13143,9573,912312,20427,1496,29605,2735,2476299,244556,3855463,3089,18928,766,12828,108,16879,460861,41692,3999,121455,69188,27502,9926,255,1102,1660,3625,7852,5279,142232,51818,35,99,288456,173621,17051,57658,16349,69253,6477,54407,346,17450,614,18263,21885,2295,119822,137782,27155,17199,3213,76538,162719,3697,531547,29757,11085,4263,37990,2690,16,6097,100440,343860,282206,35679,22978,167460,16245,14080,198916,101,13563,2643756,283054,318,15345,11528,259877,31927,79009,62604,85550,47649,20412,10,61262,21941,74787,530,467,314544,400358
"Daegu",1292835,78700,101377,30640,191,1800,822648,774366,247493,333837,6021905,113938,80590,383428,329976,17470696,751927,26858,21156,133841,3691,743869,8838,70875,35875,537688,13941,672261,403922,2783,8553,74063,1666,1244,1733279,9119,5219172,45827,75,572446,131584,309217,192896,1903599,3983342,19717,66763,1574284,679,84329,289648,31270,53451,908,59073,40302,20803,11835,141812,10020,72585,10756,25609,209548,638041,4556,8896,91097,3,114257,34250,59266,122574,2699744,44378,83228,121884,39239,553863,22,11365,1536139,192224,26768,73984,127290,148252,79344,1334837,83597,133548,651310,24932,59906,51207,3272196,114517,3405,555977,107015,239892
"Daejeon",1826,88487,457312,107759,376,41,141130,23504,22227,1645474,41159,2640,38567,6423,3817530,599404,9652980,8271,36008,769,14207,743,13821,147302,39189,12440,1224818,246541,53140,45802,630,1464,4471,3680,14332,17327,284332,47723,63,656,154729,437472,38785,134502,41977,539051,19575,139796,909,67587,2367,17782,27453,1248,143015,601461,83039,46294,4589,224536,705494,13872,199020,96942,23874,9403,494092,5087,23,20862,803851,1339743,312295,106613,27228,179045,62988,45782,144200,34,26701,2828484,284891,939,40512,16842,240721,111001,177176,248060,88048,94928,19285,36,49746,52022,419630,1352,453,145157,465943
"Damyang",1,1001,2306,54,1976,6334,7879,589,2966,4614,0,19,170,0,3530,31507,8860,18581,623,0,34,0,140,301,85,4670,287,479,10083,6843,15351,23,135744,823,2486,788,383,486,6261,0,620,749588,22347,3,1,527,3545,7961,645,3904,967,95,98,1068,2933,3022,7957,14753,18,8841,9436,46,165,5887,0,3241,1019,38,4,51487,3273,188,2150,3,63,1919,4060,1960,313,701,1434,25717,3895,26280,128557,729,1586,4386,0,4350,367,0,68,0,216,1,26,4371,0,926,2883
"Dangjin",222,173547,190663,911,89803,10944,10212,915,1322,16736,2106,477,1157,208,20597,23011,41907,1525,323411,189,1224,13,44840,4617,2221,110,1441,3482,2916,5069,6222,98,445,1839,656,281,6339,47864,86081,8,872,25933,4075,10476,1947,272,315,4786,3421,337,12,1085,1264,57651,1089315,214,76,1660,1093,124,594,21,1247,1107,908,18985,540,92,214,113,1392,2289,53051,7373,1416,862031,558,343,2902,27448,173515,1742777,623030,89,14135,536,68284,1060,11082,143,4207,4663,1179,12,2415,5460,710,3331,420,4113,78819
"Danyang",82520,5715,813,3,97,5,8083,0,0,314,32731,33,11037,752,554,127299,729,1,233,32861,899,6732,668,439,4781,1,7,57,1584,10,0,23,2,20,2,1,97,4327,11,7588,9927,66,12,10798,2701,13,1,5,1,1,0,7542,8733,62,1110,135,0,13,165274,87,175,5,118,2,3449,12,3,6,0,1,65,33,927,7614,2646,131,2,0,9,16,168,98108,14582,0,3,2,16242,4,25960,53,87210,9970,2212,25414,5453,3492,15,1,245353,8914,15954
