"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",141524,6913,813,7,16,37,34976,14,10531,4293,152,367275,22,18940,5793,130,8,1253590,1027,695,133,64039,400,68034,1088,358,4866,1722,3652,25,459,9805,25,189,7,19,20,16446,126,686,7294,19,56685,12446,9894,6152,39436,32113,25,1175,44116,4,1036,1800,6881,9294,10,5209,154,36,318,262,80838,126,875,193,32,3748,16265,29,57,6,0,2284,3643,73,33,2055,13875,4315,471,2782,537,35,17,11,108,209012,23616,481,1998,606,29047,1400,51548,1213,59912,276,34631,2631,32579,11965,11155,111,120,119029,53,8180,19787
"Ansan",7933,406758,125758,4036,28664,9068,24916,3833,5668,3449,121261,7995,36045,793,721,90990,1229,58569,79487,1175,155719,5929,15279,231,287467,90012,23539,4,1005,4340,9927,11647,5063,5987,8550,672,20475,3332,709,26778,640977,47003,185,2594,44869,4059,21103,5925,1388,774,20122,2909,6293,106,18334,1949,18782,441460,8022,2032,1020,4278,33723,3134,10721,440,29905,3804,3236,20872,3070,7266,187,1216,1,9597,5917,67496,10386,16929,323479,2504,1848,33940,3835,13635,64230,6805679,6790403,386,5983,2952,777137,3805,22805,6151,69408,0,12828,8165,302,53461,7835,2248,3927,13813,21530,129569,722349
"Anseong",731,139754,615048,21036,49849,6690,30648,10689,8247,3178,917487,11488,1060,13213,1669,667108,4147,85384,480598,2886,245830,875,13649,38,27915,296269,28762,15,1143,22847,21984,12195,8088,4689,293,1019,90379,3100,2866,44586,62756,28474,17,302072,107727,21358,19479,8482,12955,3051,23147,1479,13135,253,22613,16711,33288,965460,54277,12151,4322,9436,4535,25435,67232,2556,454320,13770,6331,18150,11135,244,46,6117,8,50382,27142,1077404,11247,22211,1078495,8182,8343,20578,14620,12811,100203,4191248,392152,1837,22094,3360,411893,14284,26178,39819,87805,3,17416,11476,31,82862,7378,8718,3086,1278,21101,232613,756665
"Boeun",21,3555,20799,81093,242,42,6711,467,1856,1057,56692,2623,977,650,403,674227,360,28747,126129,58,1028,6,262,9,520,5731,636,2,97,573,2644,3236,264,9,757,28,1052,721,46,18488,2024,489,3,7927,4228,726,5327,1747,1677,71,6823,13,148,50,375,596,48,17981,2920,334,116,343,59,1939,3548,68,9317,461,1824,197,260,1400,3,161,1,2258,417,16850,4444,374,17613,213,143,82298,1318,470,1001,114943,18286,10,734,2789,9375,396,8516,2546,1734,0,4610,321,2,2279,2063,70,15,3,1993,4326,14112
"Boryeong",8,29877,49735,238,312207,29144,297,8826,55,48,2056,178,65,254,32,5478,576,2749,41580,2409,100532,65,394,1,21171,8099,765,2,5,438,686,139,18645,13452,21,1419,7266,17,14,1242,13166,448598,2,609,54506,1041,398,116,180,500,175,5926,4,1,322,318,178984,182978,15,3,8,4046,292,28,36,0,4063,55,69,29432,130,8,223,137,1,156,593,6494,432,435,206048,131,10,484,20494,278430,231159,538440,115778,283,7630,49,18693,105,722,9,1735,0,124,362,0,1191,141,190,5955,34,2475,1910,9125
"Buan",25,9100,6387,59,30728,29431,3270,8294,263,1321,16300,32,2,54,11,1482,1523,2396,3844,11160,9823,6,44,6,1495,178,54,0,166,19,59,4264,33536,95938,2,5975,13797,218,386,122,3427,112630,7,126,238328,3991,264,75,10,1562,3579,22710,322,142,27,55,12871,41843,14,51,128,19047,27,89,462,6,139,1865,6,79888,12,19,969,5192,0,9,26,7578,312,32,21113,1839,581,206,8149,17979,16106,169482,34212,2393,22131,38,4827,2642,103,54,158,1,1,39,0,158,135,13,40531,5,2526,235,7042
"Busan",11676,18440,20605,3445,166,2949,11590424,217,244724,2217624,56366,35977,14894,2661,78223,46398,476,1714332,85944,9302,9721,3732,39,3138,2939,11653,464,74,49190,16103,43913,7294178,2015,5295,14576,10650,4874,28282,4116,50851,4084,144,1559,23392,163620,301883,1628997,58398,1605,168584,555946,31,32897,14524,1263,1910,56,34899,31078,964,6061,4975,6018,7147,120192,4220,5307,402167,492403,144,12897,5113,0,17917,84,6671,5381,18733,675,967,30225,280888,55570,24238,2746,105,7997,175484,39153,2523,129090,26467,15343,3905,6936385,78683,5997,9,5827658,458,754,14773,153006,5678,2976,8258,7186,18944,24665
"Buyeo",10,3804,10704,294,10329,8253,535,36627,143,17,31151,428,9,66,66,4874,14165,4806,103297,482,9657,10,53,6,326,367,98,0,3,694,961,124,3825,4147,7,193,69312,49,5,1864,1406,81175,2,234,14596,114,926,220,159,27,145,1612,5,1,62,70,1014,18092,64,13,3,918,34,22,81,10,440,21,280,9153,217,20,76,17,0,157,1907,13800,1056,74,11493,8,19,1218,58190,69042,4458,105993,15887,21,704,124,6206,25,1272,44,294,0,322,59,0,226,407,451,2432,5,14851,397,12312
"Changnyeong",9344,6283,6759,1492,41,210,241248,149,183891,159217,15727,24606,6124,1362,44,18399,189,726089,28894,709,2856,2092,29,4263,384,5222,563,40,30466,713,25722,302045,172,418,4264,524,932,31976,1063,33787,1625,39,2270,4886,9419,24336,7617,13054,698,15975,969234,9,3756,13427,465,889,10,7457,2024,84,570,303,2586,609,21195,556,1807,73154,38,37,526,2629,0,2364,11,896,1984,6093,20991,491,7139,31724,5310,14640,1269,49,1884,66982,12666,443,10237,31446,7231,4166,414,5167,2147,0,43,388,338,6234,15321,2957,164,5828,2311,4653,8043
"Changwon",6172,4219,5229,1337,30,1189,2023781,41,215326,3363140,17699,15146,4131,1480,10,12973,116,220719,23773,4814,3130,1568,33,1973,483,2828,575,20,26676,2875,14745,4378186,831,1953,3012,4432,901,15691,2865,26175,1694,47,1348,3736,63978,118503,240,1429,518,69365,747674,13,15412,9934,436,1027,17,7060,10025,393,2247,2107,2679,2765,84245,2110,1320,275479,38,70,4302,1974,0,7648,9,2961,3377,5072,1639,609,7378,145061,33779,8847,1263,15,6083,51754,10261,1411,54457,15467,5174,5380,262,24543,2674,0,165,433,405,4804,1697,1541,1128,3940,2517,3152,5926
"Cheonan",137,124706,994306,53955,2117,15670,91175,30044,17946,12873,718091,28046,558,2389,3507,1013685,11663,243634,1658239,6136,10011,556,4122,41,22130,35218,8722,7,2439,58128,54139,34089,17004,11383,150,2232,259730,10034,5487,154503,48199,69381,45,6789,221804,50561,84102,24613,12482,5528,75207,2895,14721,1516,4130,3528,1294,995768,112396,28144,6179,18395,3014,44259,149136,5853,15601,25119,18294,37862,23411,886,83,12685,5,121284,70194,993555,33519,7615,561337,16082,11991,91564,39529,19066,9203,3557240,482568,4412,51744,11353,321117,30336,93510,86428,16415,2,49987,4877,2,12454,27541,19910,7283,391,3360,21475,746665
