"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",168353,7397,8529,19,91,0,19,40051,17,13297,4667,478,467403,18079,21077,8571,554,14,1369702,1407,861,879,77614,401,86828,1225,6473,0,5897,2598,5764,34,735,12951,36,199,95,1,43,28,22937,174,1431,7933,25,81519,101,16131,12276,11250,38057,37024,24,1970,53072,2,1886,1644,7113,9180,120,8896,154,52,0,374,301,84527,113,903,336,1429,5653,22395,14,57,33,0,2710,4424,72,112,6403,16656,2682,6452,4321,711,181,77,11,669,228715,26452,686,1586,784,45452,1821,53210,1301,66942,9037,38554,2917,35519,11631,0,10428,176,171,105427,133,8680,13757
"Ansan",8278,558918,76385,2502,14463,0,6647,17363,5047,4172,2249,61809,6482,37830,768,619,37355,1971,41757,38824,427,62239,6485,18921,217,282552,75445,1,27647,13,269,2258,4679,7436,2255,4543,7112,3,275,13260,2924,422,18443,704544,25994,153,103,3553,12519,753,14378,4479,910,243,13891,1584,5182,96,22281,2065,10142,476859,680,214,0,629,1782,32702,251,1199,72,16247,2108,3037,16894,1674,5837,52,247,26,1125,2589,73116,6932,10103,143294,1216,866,30466,4573,7631,33922,7125863,5932176,23,609,2488,1232621,2529,15958,555,83001,917,7785,8018,280,62726,2,4982,1019,2767,13822,14136,172924,497865
"Anseong",10557,213213,662004,20388,42166,3,24351,31733,44436,7939,3850,962672,12832,480355,19475,1825,577327,14163,83956,474529,1146,134818,32153,18543,284,26958,550151,10,40153,22,1200,19510,20133,15565,8298,18923,13344,4,109,122537,3158,2524,36094,77925,113035,291,845,353918,28270,6813,18957,10253,14362,1537,23974,4718,13820,219,30165,22256,28540,1263741,11088,2035,1,3842,5776,90064,7022,16351,512,620444,13450,9214,73552,10667,8562,73,1893,38,6723,20224,1387995,12509,13626,1143965,7988,6171,56229,41715,29484,83369,4581779,521868,226,1929,3564,1294082,13236,24393,8331,96530,16297,17580,14816,500,112320,2,7837,6752,11921,23497,22202,303128,96425
"Boeun",35,6454,22580,78720,384,0,179,8635,944,2451,1143,66617,3792,5791,884,639,705447,517,31648,152233,90,958,379,247,10,539,7408,1,700,1,111,506,2432,3658,525,126,548,0,6,2130,1733,44,20591,1867,1728,4,199,9057,5241,1938,5409,2703,2123,63,7573,48,103,81,329,706,35,27782,3682,536,0,86,770,1215,2031,5224,73,13869,322,2153,642,190,1276,0,209,0,3596,539,20862,5111,168,17555,258,112,100919,2098,689,1363,131109,29362,55,503,3238,26693,301,9415,3125,1349,665,4959,402,1,2068,0,2752,82,142,23,2937,5969,2441
"Boryeong",90,41131,41280,412,371340,0,34517,177,8678,64,32,1809,282,16673,207,49,7734,560,3691,48808,2578,173870,2520,722,2,21433,7105,1,835,1,6,718,1266,104,18747,15650,331,0,1475,8356,28,9,1685,17401,568978,7,38,414,76464,1292,553,163,121,314,149,3543,14,0,346,280,176271,198458,14,6,2,1,7756,3677,22,32,3,4165,40,100,36973,163,99,134,56,6,70,1168,5361,700,205,231640,83,15,844,34976,304258,272150,480870,150537,101,7893,79,24715,60,920,16,1365,207,76,303,2,1157,3,238,266,7658,467,2478,1561,2060
"Bosung",0,2,0,1,2,1085675,4,18,0,0,0,1,0,2,0,0,2,1,9,19,25,0,1,0,0,0,1,65111,0,0,0,0,0,12,1,23,0,688,82,0,0,1,1,0,16,0,0,0,160,32,5,1,0,11,17,3,0,0,1,1,0,1,3,1,148556,0,73,1,39,14,0,0,3,0,153,1,0,0,21,0,0,1,1,0,0,1,2,0,0,2,0,1,22,4,0,831826,0,1,4,1,28,1,0,1,0,0,1,140523,0,0,1,0,1,2,2
"Buan",20,13667,7060,68,37213,5,36956,3447,13672,263,960,17481,31,314,54,10,1439,3003,1622,3038,10956,14864,17,36,1,990,222,8,75,0,171,34,57,3380,29532,106732,7,1,6067,28027,220,285,167,3793,143078,3,1237,105,264586,4539,178,51,11,1754,5064,19848,385,154,37,40,14188,43938,15,55,4,0,29348,89,112,494,0,159,1461,23,84032,16,12,385,4749,1,10,51,9543,223,15,20300,1512,304,264,13666,20474,21219,152984,42450,1652,24251,28,13664,1977,1237,74,132,38,841,38,0,125,3,88,14,39082,10,3832,209,888
"Busan",43830,30885,39506,5899,234,14,3627,106270,982,276589,2391299,103886,142625,24688,7788,125231,93368,1056,1060431,153103,12129,18155,11069,37,12073,4518,32697,9,1083,195,49174,18591,70596,8204728,3852,6864,29051,7,11828,10905,39485,4055,154105,9402,1351,7985,3712,46324,195442,502665,1671929,102582,3058,198177,667953,97,38176,13139,3021,3918,59,57954,43288,1737,13,6178,6063,14245,8691,137126,6527,12498,503849,545371,829,15895,10339,1,20781,131,10548,11264,36899,51195,1427,57330,345682,74766,40375,15312,442,18782,362101,67954,2720,72210,35728,62634,3821,2520052,107617,13453,14656,6175992,1108,2141,20359,27,238915,10598,5055,25759,17267,37872,24096
"Buyeo",13,6773,13326,720,10248,0,14714,508,33319,223,48,42178,727,1587,92,108,8049,18528,8175,139451,1043,14789,73,82,14,391,911,0,171,1,1,1083,2194,185,5319,6268,20,0,180,104774,193,8,3185,1729,142610,3,5,194,22535,56,1546,501,117,3,208,1174,15,0,69,109,1069,26832,38,9,0,6,2311,342,15,61,3,1648,26,369,12184,418,18,51,6,0,103,2521,18716,1629,56,12348,15,6,2425,113807,50961,8716,135676,25300,6,254,295,24447,36,2109,29,373,65,309,57,1,294,0,753,672,3265,39,23329,543,1666
"Changnyeong",12442,6843,7556,1690,40,0,325,259103,274,198790,124502,20854,32060,6367,1566,43,19734,230,695719,31754,799,2763,2805,31,4073,414,7401,0,666,19,33894,858,29946,280309,294,544,6005,0,621,1349,36657,1330,37879,1942,146,3121,271,5595,9516,32535,6682,13497,338,20122,1002163,11,4013,11372,612,968,17,9090,2243,165,1,368,251,3282,683,21652,632,2326,88784,61,93,556,3506,0,2206,14,1070,3061,6737,24409,329,8308,40139,6210,13763,3389,55,2769,72450,11737,342,5302,36909,12731,5044,8484,5467,2351,4101,30521,396,507,3957,0,15585,3723,253,6053,3641,6031,4302
