"","경산","경주","구미","금강","기흥","김천","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","원주","유성","이천","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,6684,1177,0,3,114,121,501,0,39611,16,1,15122,43,2256,10,2388,546,45,191,0,988,9,17,4590,90,199,865,11,18,29,9,830,303,211,17,89,200,79
"경주",5288,0,4180,20,34,1387,721,8219,30,143969,195,16,239116,485,16381,55,79878,8116,698,1256,9,6648,89,135,2475,2967,1467,2836,189,247,256,212,4295,2213,2886,70,3990,1673,448
"구미",1683,4881,0,25,6,14714,228,3165,0,4381,80,0,15817,47,172721,21,16010,2192,196,631,8,1508,43,125,668,733,1023,3293,43,45,85,33,1751,1009,1295,269,234,139,1054
"금강",2,25,19,0,0,142,10,5145,0,5,1,0,43,3,108,12,346,24,11,0,0,14,0,390,2,99,13090,4,0,0,74,0,67,39,172,84,3,4,137
"기흥",2,32,6,0,0,7,15,99,14,11,188,1,75,44,49,1,48944,37264,347,0,79,2,108,1,0,2271,30,3,145,272,18,67,152,360,207,2,1,5050,0
"김천",94,1372,13779,134,1,0,556,6863,1,614,128,2,3318,169,13658,11,28498,2953,357,26,2,187,44,699,198,1111,1758,171,55,108,89,59,2629,1966,1859,2819,50,695,1428
"논산",107,788,258,9,13,595,0,465,5,239,135,0,1835,68,2739,125905,25340,1126,233,14,2,87,37,52,112,794,1404,34,47,68,4234,12,32904,775,1792,63,9,468,33
"대전",510,6740,2927,5865,196,8461,730,0,56,1903,381,9,29642,1092,47052,314,162377,13541,5690,84,29,1252,199,2765,582,11525,15576,435,321,1098,1815,393,15902,67828,120959,886,77,3872,2005
"덕평",2,26,1,0,41,5,10,76,0,6,202,19,29,47,18,0,14080,2430,92,0,1136,1,865,1,4,595,19,0,9238,356,2,1357,51,150,37,1,1,2458,2
"동대구",44875,170932,5557,5,9,768,188,2002,1,0,34,4,174036,59,5006,43,8474,742,325,723,0,20898,9,128,27325,545,641,13748,29,52,50,35,1079,463,572,130,1709,235,289
"마성",14,170,55,6,187,131,104,539,109,28,0,31,349,1225,555,27,71597,38023,470,3,364,15,857,12,30,1170,80,15,3571,842,103,498,1278,3015,855,23,11,1851,8
"문막",0,4,3,0,1,2,2,6,15,4,22,0,13,457,12,0,3697,367,10,0,15,4,3029,0,0,33,3,1,164,18130,0,1009,80,37,9,0,0,222,0
"부산",13379,227687,17414,26,38,4167,1688,31353,15,192263,634,12,0,2523,29036,212,240024,29792,2736,153336,17,123514,213,473,17123,9324,2885,7863,1173,1621,644,518,11712,11751,12042,260,67547,5973,1602
"새말",45,519,54,0,43,131,92,1265,41,192,1225,357,2113,0,1238,36,93339,6564,379,0,58,34,1566,17,52,699,95,17,2564,67412,89,815,1677,1610,443,4,2,1923,1
"서대구",2455,21858,184523,105,35,16068,2407,46778,11,3990,515,6,36396,993,0,111,126643,10462,1699,252,8,1444,113,1001,3213,4567,3937,278067,406,581,644,326,16114,6244,7969,1013,214,2137,2388
"서대전",2,79,19,27,0,23,127704,257,0,11,14,0,147,38,128,0,2815,356,112,2,0,6,6,5,3,348,120,2,9,26,11787,13,102035,1772,2473,6,0,80,3
"서울",1433,57478,15845,288,47238,24650,23142,163565,11985,6728,66145,3052,224343,86126,114172,2849,0,300546,130776,510,27206,16742,52770,1526,1997,186729,7932,1499,89971,133716,9115,82349,279332,328763,162362,1381,363,156316,1324
"수원",378,6343,2646,48,42330,3808,1650,14734,1932,860,36172,344,31119,7687,16978,256,272558,0,12418,95,2045,1857,6712,122,226,13405,1451,179,1680,24814,644,10614,23807,19590,15767,129,1093,38918,136
"안성",46,490,155,13,270,372,251,5075,85,383,405,8,2534,384,2132,90,128777,12221,0,27,57,92,379,57,164,17188,636,143,368,1066,254,357,4359,10941,5865,32,33,5038,84
"양산",177,1417,910,0,1,54,5,67,0,1024,7,0,149970,3,301,1,950,371,10,0,0,6471,0,0,225,87,23,54,4,10,0,1,8,45,51,4,9237,12,39
"양지",0,10,5,0,67,2,3,31,1230,5,444,24,34,58,15,0,28848,2952,89,0,0,0,835,1,0,217,27,2,20477,430,1,815,39,65,54,0,2,1911,0
"언양",718,8089,1899,10,4,241,126,1732,2,20540,38,0,126378,47,1325,17,21186,2333,100,6157,1,0,18,35,596,251,201,196,26,20,17,14,1257,354,630,142,21006,226,199
"여주",1,66,39,0,86,57,21,159,802,15,1044,3384,484,1273,189,4,54674,6770,363,1,796,6,0,2,2,554,22,4,7436,19475,18,8548,395,748,154,16,7,4162,2
