"","경산","경주","구미","금강","기흥","김천","논산","대구","대전","덕평","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","원주","유성","이천","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,9897,1909,1,1,216,191,50593,770,3,34,3,15685,31,8905,8,3781,428,76,250,0,1784,4,37,5498,171,161,2022,12,29,56,21,834,344,224,32,143,164,140
"경주",8237,0,6947,49,72,1924,1029,187858,13451,21,196,11,297981,460,34800,119,109657,12382,1793,2612,3,13160,141,188,3386,4849,1607,3371,320,562,475,631,5195,3564,4973,95,5559,2062,662
"구미",2155,7758,0,63,10,20733,427,10134,5391,1,89,0,24961,118,323481,21,25384,4052,317,935,9,2739,77,243,962,1442,1435,4514,94,103,364,180,2670,1194,3272,636,241,537,1611
"금강",0,52,62,0,0,131,27,8,7677,0,1,0,86,1,188,16,617,45,23,0,0,39,1,550,3,31,20301,3,3,0,148,0,76,130,210,254,1,98,146
"기흥",8,234,22,0,0,31,24,15,545,37,241,36,212,73,318,20,76367,66260,757,4,131,38,131,1,2,3597,60,16,386,731,27,403,197,521,220,8,0,10115,2
"김천",133,1492,17007,98,3,0,499,822,7149,5,109,3,4117,194,19214,30,26019,2527,634,28,2,341,83,697,236,1731,1865,771,78,204,155,221,1517,1926,2913,1755,64,873,1660
"논산",136,1116,421,14,36,551,0,391,749,7,130,5,2839,128,3975,169873,29811,2505,355,16,8,206,52,79,84,1125,2098,59,103,118,7303,29,38585,1191,2235,275,19,969,108
"대구",58094,212160,11778,11,14,1091,344,0,3507,1,37,3,185869,116,14822,23,14805,1355,491,2244,0,39117,22,148,33031,849,499,25006,37,93,119,419,1169,724,1109,279,1918,797,440
"대전",698,12517,5105,8645,568,9421,1165,2981,0,38,470,29,37139,1840,67052,422,208653,22471,8123,591,40,5485,321,4409,689,19111,26334,652,608,1728,2658,1012,15310,98556,160344,4357,108,6887,3388
"덕평",2,16,3,0,33,6,4,10,83,0,194,56,22,63,17,2,15104,4554,137,0,1711,1,691,1,2,724,17,0,11225,251,3,3454,48,176,51,2,1,2494,1
"마성",30,297,111,4,223,148,162,49,718,122,0,32,348,1270,774,16,76360,40966,475,2,257,53,1154,11,79,1021,93,9,2422,960,113,792,1249,3478,1095,84,4,2616,10
"문막",0,4,2,0,69,1,4,7,17,50,43,0,33,1115,13,1,7339,2110,33,0,225,1,6957,0,1,58,0,1,632,48880,0,6621,17,62,22,2,0,504,0
"부산",14330,297864,24754,64,95,5128,2026,195519,37034,11,400,18,0,1705,35878,2996,248209,31232,3312,253415,27,184529,242,530,18996,11301,2975,7400,1587,1694,1158,2452,14801,12237,13643,348,98931,7168,2022
"새말",25,320,71,1,108,142,116,106,1683,45,1382,1070,1378,0,1348,33,135426,11191,545,34,133,51,2679,11,23,1004,123,15,2366,84948,80,3311,1496,2451,494,61,1,3232,9
"서대구",7618,43066,344216,148,98,23913,3334,12561,66956,14,923,29,45594,1194,0,279,224807,21987,2743,585,44,3807,259,1525,8169,8800,5246,381272,591,1237,1359,2491,16164,10346,12581,1834,291,4007,4619
