"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,15772,1638,3,10,344,1565,184,1305,3,49091,17,0,19703,5,13093,16,3965,452,277,928,2,2864,9,30,7096,471,169,2976,20,5,66,17,81,595,368,272,17,175,319,157
"경주",11680,0,5181,48,353,2761,7107,1224,16582,13,232038,164,5,345003,35,34182,80,94109,12475,2108,5735,42,14170,172,341,3855,5920,1368,3677,530,185,647,604,1365,5146,5313,3926,87,7016,4098,851
"구미",1364,5274,0,57,34,40498,75,429,5668,4,8092,84,0,13283,10,131401,42,28606,4739,410,257,17,1770,16,378,1028,1584,1403,5830,206,47,396,94,282,1766,1199,1415,507,237,1039,1821
"금강",4,58,76,0,5,196,1,30,7403,0,22,0,0,42,2,177,17,738,77,17,0,1,17,2,607,2,36,18144,7,1,1,164,1,14,60,223,245,149,0,282,73
"기흥",6,199,50,4,0,113,0,13,566,75,73,426,28,564,145,768,18,96966,61355,916,17,218,1002,2897,20,5,4275,105,20,452,587,51,489,120,674,1227,643,13,1,6827,3
"김천",243,2694,36720,165,33,0,99,996,14783,22,1880,209,5,6047,69,16939,46,60569,7015,1330,63,22,964,171,1162,455,3666,3543,521,150,99,343,631,916,2247,4525,4181,1505,80,2747,2609
"낙동",1886,8388,79,0,0,282,0,18,192,0,12792,0,2,30585,0,280725,2,2320,281,14,755,0,2168,23,6,757,82,19,13868,10,7,1,2,20,305,113,427,14,550,68,14
"논산",161,1369,436,14,10,1055,11,0,893,5,523,81,22,2579,170,4323,190576,34180,3028,559,33,8,449,62,130,358,1410,1859,204,61,65,8502,55,7159,39806,1433,2295,127,22,1872,57
"대전",1101,14587,5169,8055,349,17832,116,1744,0,52,5204,418,24,42170,2154,70945,231,228676,29369,9870,615,103,7528,467,5465,1143,21839,20802,1545,564,831,1455,2192,960,22340,107567,183057,2096,216,9952,4191
"덕평",0,12,1,0,61,4,0,5,60,0,11,173,70,46,110,46,1,12673,4940,165,0,1318,3,1893,3,2,328,1,0,8496,410,2,9398,9,55,212,48,0,0,900,0
"동대구",53363,253509,5840,10,26,1758,9695,421,4932,9,0,50,1,195333,10,15454,25,19841,3532,551,4653,9,48364,23,191,35608,1331,688,27679,67,36,221,1298,477,1287,1319,1433,280,1902,2173,518
"마성",18,159,104,5,193,216,0,123,638,183,79,0,28,285,1093,532,9,71900,37383,548,4,319,36,980,37,42,911,65,14,1708,832,117,1492,165,679,2867,807,30,6,3921,9
"문막",1,3,0,0,18,4,0,27,8,47,2,18,0,32,1897,14,6,4342,1503,43,1,33,2,4169,0,0,82,0,1,382,37525,2,8804,4,91,89,8,0,0,103,0
"부산",16333,391415,16928,26,402,6801,25254,2028,38896,55,196997,267,21,0,39,39829,1424,227414,33014,4199,393408,33,168854,635,660,23944,12250,3751,9625,1551,832,2163,4027,2506,12957,14236,12998,347,105322,10207,2004
