"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,23102,1966,5,10,526,2739,60,1171,0,78691,97,1,28405,3,20114,94,5658,872,1102,3922,1,1996,8,101,10953,862,292,5051,44,3059,7,185,15,183,368,366,631,28,362,612,143
"경주",18016,0,5735,87,441,3540,11078,910,24361,13,337251,398,2,473480,9,71426,810,113478,18560,2657,15172,64,15732,117,1315,6220,23948,2455,6883,478,4021,163,1686,1084,3208,4425,6519,6929,116,9888,6725,1723
"구미",1525,5773,0,262,88,39396,67,317,7462,42,4591,179,2,9358,31,110528,291,36778,8739,695,223,8,162,26,648,959,4110,1605,1711,346,1588,32,871,129,527,1854,2843,2394,850,157,2399,2314
"금강",2,103,258,0,6,578,2,26,14762,0,89,4,0,102,11,719,34,1740,182,98,3,1,38,2,1121,9,141,26761,17,4,0,0,322,1,40,71,299,397,294,1,215,160
"기흥",10,235,80,6,0,189,1,25,834,369,61,687,107,1622,184,2427,44,172220,103722,1842,31,1062,11,289,15,12,7005,40,6,957,3575,1027,126,1570,523,884,1415,924,8,10,20578,7
"김천",295,3052,34936,570,129,0,117,626,21259,17,1631,583,8,6521,54,28512,573,80171,10303,2605,287,15,131,65,2358,413,7889,4874,343,319,652,112,1028,954,1123,1978,5686,5297,2540,146,6082,3090
"낙동",3224,13156,102,9,1,345,0,8,235,1,11659,0,0,41713,0,353838,10,952,397,24,1605,1,394,0,16,1195,145,29,3713,7,4399,2,36,0,37,94,80,118,31,648,69,16
"논산",54,1123,321,17,10,564,7,0,632,12,356,137,6,1766,104,2607,80660,34147,2843,597,219,12,13,36,96,103,2148,940,46,100,317,94,5397,117,11364,61473,714,2510,110,26,1980,46
"대전",899,21242,8639,15286,715,23735,359,2014,0,92,6148,1182,63,45957,2702,94211,414,270280,39197,14939,1582,95,343,465,8645,1528,37579,26037,1032,852,10482,820,1640,839,3329,28472,127054,99912,3361,302,16126,7296
"덕평",0,13,4,0,289,5,0,16,176,0,2,300,107,175,288,186,0,21747,7232,166,1,3168,0,1641,6,0,546,3,3,7119,4,522,8,17886,14,160,271,76,2,0,2998,1
"동대구",87291,357572,5903,74,30,2127,12037,354,6378,8,0,154,54,229741,16,23410,251,22995,4166,1032,11109,4,6380,30,343,53021,2283,1078,27694,104,61134,38,483,886,591,1035,1649,2081,490,4318,2007,631
"마성",26,267,139,4,316,426,1,98,1221,205,102,0,44,472,1574,1357,74,100823,57188,1326,5,1125,7,1421,98,65,1945,131,23,2103,58,1772,291,2477,446,1522,4654,1500,47,8,7084,15
"문막",0,3,3,0,197,14,0,22,70,91,115,35,0,739,4305,429,3,6167,4096,56,5,232,1,6759,3,0,94,2,0,917,3,53436,9,22287,50,93,1473,161,1,0,157,0
"부산",24507,494322,10567,79,1757,6798,32118,1108,44961,218,219353,289,164,0,72,51194,2151,235535,41702,7647,747320,280,137816,401,1675,65130,38569,4471,10521,2126,103631,530,3641,1533,3918,13500,13840,17171,414,145349,15160,2328
"새말",4,19,16,10,97,56,0,96,2085,205,10,1867,3519,68,0,154,38,150848,20561,1248,3,1256,1,5726,24,5,2014,55,1,2502,3,124293,151,74563,492,1473,2857,389,7,1,2454,13
"서대구",20492,87549,122376,701,2062,30811,352473,2791,93151,106,20639,1430,129,73252,86,0,2098,301712,41247,6978,3542,133,1872,284,4323,13230,28667,10099,448178,1129,11574,589,4274,4846,6260,10424,18767,18800,2176,951,17756,8669
"서대전",131,1305,290,62,30,829,15,86651,458,8,303,109,3,2712,56,2963,0,15835,2180,834,116,5,44,55,77,167,3397,1059,38,79,360,79,17401,57,82692,128797,4904,5215,140,30,1277,25
"서울",2488,73064,29337,1753,157034,66344,857,32381,278060,20386,15287,82332,6979,206524,147018,252544,11304,0,757596,341835,7008,156547,1975,52523,11431,3607,465358,16856,2552,276794,31465,145329,47101,87571,94794,439267,642294,283984,5106,903,286493,3329
"수원",928,15386,8883,191,118162,11861,235,3716,44418,6614,5360,52003,2877,50404,21078,55997,1809,701596,0,65860,2227,15305,620,20624,1785,1069,37372,3387,419,8107,4562,33904,4667,66069,9642,56838,80752,52342,1131,702,143641,584
"안성",576,2167,877,103,1504,3120,28,669,15301,118,1134,1189,61,6626,1191,7901,509,325577,61997,0,196,249,75,666,478,345,41402,1613,774,1835,482,1206,1543,1306,2401,9753,30286,25179,222,150,28994,149
"양산",2975,15457,329,0,14,370,2442,214,3303,3,12442,8,5,741518,0,2933,310,10603,1825,116,0,4,14321,8,39,2601,2024,115,474,53,30176,336,291,32,471,212,637,948,3,16474,432,35
"양지",1,77,14,1,604,37,0,11,143,3514,9,1410,261,228,1404,162,9,162992,14142,178,5,0,1,5512,1,2,1005,4,2,13229,33,2613,45,20750,40,241,381,63,2,1,16875,1
"언양",1942,15686,96,2,5,75,237,78,446,0,4617,12,0,132859,0,1284,36,3398,865,77,10272,1,0,1,28,1429,1545,51,99,19,180355,3,58,15,44,81,386,103,4,22441,281,41
"여주",3,94,33,6,213,89,4,46,462,1425,41,1428,8032,1453,5107,308,30,56314,21657,771,28,4779,4,0,17,5,1759,73,6,11045,41,39272,128,161698,148,925,1410,208,25,8,927,2
"영동",100,1045,679,998,7,2404,12,110,8399,5,223,56,1,1669,52,3257,51,10326,1202,410,26,5,32,19,0,68,796,12458,60,25,288,17,390,34,209,227,871,1902,1057,42,636,2537
"영천",8738,6946,956,3,37,434,740,105,1703,1,52195,67,1,60460,0,12256,177,4857,992,345,2040,2,1877,24,81,0,1366,362,1412,23,2772,31,109,45,141,575,681,327,30,568,315,317
"오산",1334,22234,7685,145,6130,15598,191,3471,58454,613,4003,1985,166,61890,2841,56403,4486,472502,32593,55256,4814,1410,1203,1771,1432,1006,0,6214,625,4183,6495,3283,5745,6580,26647,81218,102660,65240,1275,769,68411,988
"옥천",186,2122,1736,26572,37,6641,35,1233,22207,3,1111,104,2,3613,57,9974,802,18132,3336,1907,102,2,67,62,13424,336,3676,0,190,115,607,55,2603,76,2498,4295,3624,14904,2058,31,1717,1973
"왜관",4870,6590,1636,11,6,367,2580,61,986,9,25799,47,2,11702,4,448610,21,5232,536,894,317,3,168,3,87,1735,469,156,0,8,1251,0,68,20,128,165,220,260,33,176,269,151
"용인",23,214,255,0,369,263,6,104,932,7493,167,2615,834,3033,2399,1942,46,252004,6626,1202,42,16316,16,11642,22,43,2189,70,5,0,77,6502,95,30350,221,1316,2262,599,16,9,30211,14
"울산",3221,5795,2328,34,3794,822,5379,305,14091,0,65633,82,6,99906,11,13972,412,48393,10797,643,28353,15,176746,31,294,3049,9979,890,1340,249,0,119,445,117,1649,2548,3327,3428,60,26641,2128,631
"원주",1,62,17,1,1487,44,1,53,647,456,24,1511,57949,249,138640,365,24,145743,38754,1169,0,2384,6,38115,27,9,3077,28,5,5701,18,0,78,181323,335,1081,3276,145,7,4,3803,8
"유성",116,1632,1119,417,133,1595,19,6576,2223,18,608,241,67,5603,199,5822,15260,64579,6072,2080,143,30,28,95,391,217,5917,2797,77,193,464,146,0,174,10924,26443,8746,12428,351,53,3147,99
"이천",37,956,81,5,899,228,14,119,1487,17011,2309,2161,23472,7231,71984,4976,48,77534,60793,1588,37,17620,26,16483,40,23,6051,81,18,27019,144,173351,109,0,2901,9651,3689,451,38,8,553,4
"익산",72,3045,618,40,640,1280,15,10416,1687,12,572,604,142,4927,720,11020,77337,111953,8392,2370,313,29,95,157,268,169,15815,2786,89,300,1359,690,10202,5222,0,12343,2821,11205,97,28,8556,47
"전주",333,3115,1479,58,558,1893,60,59745,24541,102,818,2361,99,12951,1500,14098,121713,512903,44989,8623,147,112,234,1206,223,502,40491,4325,87,1536,1802,2047,26574,5738,11047,0,13658,32983,294,47,28358,101
"천안",459,5189,2943,170,1247,6716,87,1156,127826,177,1689,3818,1159,20013,2996,19178,3991,663405,78248,29588,727,440,187,1491,1035,744,77195,3323,203,2277,1389,3384,6014,2665,3309,15485,0,72687,1309,289,61249,388
"청주",261,5476,2439,368,504,5865,155,2514,99204,84,1846,1110,20,19858,395,19763,3784,293192,49206,25034,722,56,100,190,2137,392,45351,13089,232,556,2155,237,10387,362,11322,36385,74514,0,582,105,20366,665
"추풍령",25,166,774,316,5,1456,4,165,3252,0,344,94,0,597,13,2718,149,5165,923,271,6,2,8,11,932,42,592,1807,52,24,84,3,317,18,150,300,1185,611,0,3,466,750
"통도사",402,12487,199,2,6,213,649,15,394,0,4324,15,0,149045,0,829,20,1631,402,50,12470,1,23116,2,42,558,796,55,218,11,26623,5,46,5,22,30,138,134,3,0,134,47
"판교",358,6404,4064,148,15256,8140,1289,2511,22044,2719,2446,6569,207,30206,2637,24512,1152,275776,145261,35236,803,18444,530,849,1041,652,69003,1984,443,34190,2648,3249,3283,986,7932,34954,67326,22784,600,142,0,404
"황간",173,1193,2536,170,3,4239,5,62,6982,0,898,12,0,2973,8,8900,36,3468,450,141,31,0,60,1,3019,293,538,1826,240,6,1281,3,74,13,52,160,381,719,1029,22,372,0
