"","경산","경주","구미","금강","기흥","김천","남구미","논산","대구","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청원","청주","추풍령","통도사","판교","황간"
"경산",0,28830,2135,8,49,601,3521,41,6340,1796,0,97027,35,1,30328,0,22220,102,6398,1132,79,1359,4490,2,2245,11,156,11916,1490,319,6246,43,4049,6,131,38,132,180,641,4,381,53,791,629,159
"경주",24226,0,6906,100,834,3620,12571,996,35734,23782,49,375495,222,6,522915,5,60979,876,100181,17790,1542,2903,18584,28,18622,188,1772,9214,37612,2028,7803,579,6664,162,1606,1269,2659,3476,6054,48,6021,119,14530,7712,1210
"구미",1764,6888,0,275,164,41047,196,216,39980,9073,60,8145,155,1,9562,26,88687,227,40771,10514,765,953,535,16,170,40,830,1110,7296,1721,2212,216,1781,42,1046,207,530,1465,3186,27,2814,1092,236,3332,2882
"금강",7,103,276,0,9,687,2,27,173,19000,0,150,1,0,212,6,641,36,2120,285,409,128,5,1,1,2,1285,7,222,30770,9,11,67,5,446,2,46,82,299,12,441,318,6,221,183
"기흥",13,572,254,15,0,290,26,41,1287,984,364,124,1276,100,1932,327,1453,112,220240,146791,241,2802,53,975,24,941,20,27,6985,58,11,1429,5586,526,181,2797,396,1154,2199,1,1725,15,4,26911,7
"김천",544,3610,37138,655,184,0,180,451,10525,22536,18,2604,377,32,8067,56,21723,628,91722,11755,2224,3054,315,27,139,110,3219,576,11459,5476,363,298,761,110,1554,1544,1029,2081,5946,154,4831,2250,192,7447,4381
"남구미",3870,14643,147,7,4,438,0,5,101316,332,1,18118,0,0,53969,1,257407,7,920,262,27,24,1762,0,436,2,28,1132,217,29,3531,6,5413,0,25,6,25,85,55,0,93,32,1112,110,33
"논산",67,1087,227,13,26,415,18,0,655,507,10,215,83,19,1335,85,1513,82517,34191,2890,1494,606,491,13,26,67,97,97,2503,1099,48,93,291,99,5139,263,5998,55182,734,101,2189,82,11,1841,36
"대구",7169,33934,37138,147,1134,10692,81960,644,0,30381,31,5911,213,51,11680,43,1191,545,94460,15661,1822,2754,1056,51,759,217,2085,5683,17096,3500,113952,388,8854,279,2117,3062,786,596,7269,278,6853,684,442,6919,3034
"대전",1488,19942,9144,19402,1031,23960,665,1702,25630,0,132,7427,791,108,48089,5107,74932,453,282575,39390,26463,15618,1534,139,254,520,9441,1789,41572,26904,862,674,12856,957,1355,756,3152,29928,127652,2805,110304,3615,291,19395,8200
"덕평",0,73,44,0,260,17,7,38,101,206,0,18,308,143,189,455,195,8,27622,6171,12,190,2,1619,1,2908,6,0,611,8,7,2345,9,764,20,21849,16,236,326,0,81,1,5,3370,2
"동대구",102805,402998,9095,91,172,3271,17029,255,8207,9332,7,0,109,36,231013,4,18659,395,27439,5792,595,1077,11772,4,6890,55,546,64770,3343,1284,29777,176,67108,45,680,998,500,777,1960,49,2319,594,6055,2075,944
"마성",25,176,100,8,799,322,0,69,250,891,216,92,0,56,353,1143,725,73,97128,47680,80,1288,8,1123,11,1070,64,37,1727,91,14,2290,71,1626,258,2829,305,1260,3451,0,1214,21,14,6171,11
"문막",0,10,2,0,103,57,0,38,285,90,127,196,37,0,732,4924,470,14,9385,3442,9,142,4,636,0,8865,1,1,194,3,1,571,2,76272,85,24996,108,60,954,0,54,2,0,395,0
"부산",27425,545891,10630,212,2012,8039,42769,1053,6695,45923,191,222108,268,89,0,21,45115,2132,227770,46578,3648,8469,954605,121,115972,563,2085,74375,60386,4259,10993,2085,132809,498,3368,2589,3647,15117,14931,195,21196,474,150392,18471,2388
"새말",1,12,16,2,192,60,0,141,0,4787,414,57,1192,4335,81,0,119,53,182629,28365,79,1442,2,2117,1,6920,38,0,2191,58,9,2264,4,145776,182,74014,450,1702,3393,2,359,4,0,2782,17
