"","경산","경주","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","장성","전주","정주","천안","청원","청주","추풍령","태인","통도사","판교","황간"
"경산",0,43843,7,5136,7,0,65,1,847,4002,99,16625,3141,14,131779,13,158,7,0,38957,0,0,39652,143,6730,876,77,419,6177,4,3019,7,317,17876,3529,453,8889,40,7051,18,346,21,150,0,179,16,1356,411,460,176,2,1351,1795,253
"경주",36855,0,421,12568,91,0,452,31,4547,13654,1212,69371,28508,102,464443,259,419,5,0,602963,0,5,71148,885,123362,15603,1941,5631,66385,45,28672,249,2126,10457,68638,1955,9998,525,7485,164,2154,1712,2733,1,4118,104,8344,2758,6281,179,16,20421,10005,1414
"광주",0,0,0,0,14,210,75,17564,0,0,7611,0,5132,26,0,3,248,0,13543,0,24,352,0,14733,107979,9546,885,1983,0,0,0,299,0,0,18609,426,0,380,0,770,3409,1215,2766,133811,46391,57152,2940,4477,5021,0,5358,0,22596,0
"구미",3077,9262,75,0,278,0,304,9,16262,950,331,69707,11770,87,12020,170,901,4,0,10733,1,33,116208,615,44582,8317,822,1025,773,94,236,36,1015,1819,16986,2233,3789,713,2035,49,1353,605,774,1,1665,124,4226,1091,3728,1067,22,551,4974,2430
"금강",7,105,25,263,0,0,1,4,635,17,97,224,22850,2,127,3,53,1,2,247,3,28,485,71,3060,303,588,209,0,1,5,4,1746,5,266,31120,9,6,33,5,624,4,93,1,94,12,561,822,424,383,1,6,175,242
"금산사",0,0,276,2,0,0,0,1028,0,0,19,2,7,0,1,0,0,0,14,7,15,2,1,19,70,3,1,1,0,0,1,0,0,0,23,1,0,0,0,0,0,1,3,7,239,141,3,3,2,0,106,0,8,0
"기흥",27,421,205,256,3,0,0,2,334,1,30,1648,896,670,97,1996,67,254,4,666,3,407,412,41,337383,165798,554,2849,46,1312,16,534,26,57,2151,55,15,2326,1649,674,139,3073,395,3,767,27,2709,56,1347,14,4,10,33649,3
"김제",2,40,21568,16,3,883,8,0,31,3,928,35,98,0,13,11,17,1,752,198,6,21,134,1382,4098,384,47,92,2,1,2,8,9,8,752,43,0,1,24,16,532,11,145,1093,4035,49653,126,234,197,3,27067,0,656,4
"김천",620,4110,42,17232,654,0,490,36,0,247,849,13314,30586,74,2427,335,331,16,3,8637,1,67,21214,1131,91797,10880,1327,3769,528,35,139,121,4505,601,19908,7315,460,376,860,101,3125,1851,1613,1,2085,125,6469,6555,4415,2072,38,161,24460,8754
"남구미",6051,17548,30,361,19,0,4,0,455,0,28,124212,614,2,26731,2,2,0,1,55461,0,0,316717,28,2125,390,60,41,2767,0,1062,0,42,2054,807,121,4678,29,6252,16,42,30,46,0,124,4,114,29,84,43,1,2116,78,56
