"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","일죽","장성","전주","정주","진천","천안","청원","청주","추풍령","태인","통도사","판교","황간"
"경산",0,2,56758,8,19,11755,10,11,32,3,1018,269,99,64607,3598,11,120607,68,62,976,2,0,44196,2,7,5932,205,9007,6,1208,99,403,9659,3,4073,12,306,21444,3988,467,10822,8,12708,20,3,47,128,2,1,75,63,1,1457,402,579,209,5,1902,2474,341
"경안",13,0,20,1307,108,9,0,0,3,4,35,0,11,107,349,35,10,23365,0,17,65,1,138,7,70,0,14,6,240,32,33,5,5,16,3,102,2,1,4,15,2,26,12,97,0,495,28,427,3,57,12,176,29,19,11,0,3,1,0,1
"경주",47058,34,0,125,1727,33672,116,14,704,86,5452,0,1759,173018,37957,158,557476,655,0,4919,202,1,619667,37,17,0,859,155380,71,22142,2170,8879,158851,95,43095,311,2460,14718,77221,2498,11176,1022,14634,192,0,1723,2996,25,3,3224,314,35,9085,4264,6462,172,61,27721,12075,1705
"곤지암",17,1131,185,0,459,69,17,6,6,10,187,0,56,780,1200,235,73,53969,0,32,438,13,690,12,303,0,76,22,1139,262,116,30,64,55,3,200,26,4,38,52,9,81,43,248,0,403,160,1998,4,308,80,1199,68,48,23,6,15,10,0,8
"광주",0,133,0,194,0,55,15,15716,394,61888,0,0,28163,0,32608,194,0,1569,2,7987,58,49325,0,4750,1149,0,49048,379216,307,32307,3256,6483,0,31,0,1601,0,0,56536,1487,0,1708,0,1379,0,2302,8674,120,446216,151561,180105,99,10180,16663,14070,0,16412,0,58717,0
"구미",4617,10,12789,44,276,0,365,70,405,32,17982,238,404,292037,16151,104,16248,440,268,4078,49,5,14498,86,43,10239,770,56429,104,10418,1335,1488,1601,76,475,55,1539,2383,23599,2370,5875,598,3335,71,624,1218,1093,22,4,1322,307,26,3280,1968,4614,1068,91,1167,4920,3087
"금강",10,1,127,3,49,350,0,0,5,3,643,2,58,786,27272,0,110,19,7,401,2,0,150,4,26,11,60,2666,5,279,822,297,5,1,2,4,1466,11,269,30911,11,2,43,8,542,15,70,9,0,78,22,2,381,890,369,304,1,1,378,190
"금산사",8,3,36,3,21560,160,3,0,2,69318,46,1,1827,198,833,0,14,45,7,314,5,1250,649,1023,15,14,2212,6465,7,547,83,138,3,1,0,7,7,11,1223,74,15,49,11,31,9,56,546,2,619,13993,11494,2,330,391,252,18,7391,1,586,1
"기흥",29,1,359,6,957,385,7,3,0,24,408,5,76,2251,1509,786,117,4,5181,241,381,9,758,6,586,68,72,419970,2,82440,568,2893,91,1471,30,691,80,80,2689,73,23,155,215,740,63,3562,430,10,21,519,120,3,3890,89,2938,25,13,18,39133,33
"김제",1,2,85,5,69746,37,10,69760,12,0,64,2,1267,239,981,6,31,108,41,247,5,2581,85,820,59,38,2858,9375,4,915,108,237,8,2,1,24,18,2,1502,91,5,0,48,33,104,47,873,6,3384,7033,170636,7,301,506,429,4,91262,0,874,8
"김천",949,21,4804,103,222,18680,619,34,171,94,0,1505,800,33231,38471,48,3092,443,767,6669,10,7,10471,55,83,3116,846,108299,65,12894,1729,4137,940,37,202,135,5465,692,21427,8601,671,227,1200,133,3304,1700,1671,20,3,1394,427,36,6570,7307,4752,2769,88,215,23070,9319
