"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"경산",0,222,107196,594,67,29599,27,4,86,50,4375,0,731,293728,6957,176,145889,10794,254,1377,64,0,74630,30,37,0,903,15005,168,3313,326,1284,22394,38,8138,275,642,28678,7142,1372,16653,25,48892,174,0,230,291,693,190,1,212,176,151,99,1454,1371,1542,293,12,4828,987
"경안",217,0,1180,40109,5375,1058,64,90,182,324,1693,0,1514,6707,12608,1895,1088,1186121,29,82,5965,119,2888,182,7770,106,892,111,13786,3032,1574,356,375,1178,68,6030,512,132,753,872,152,1339,826,6021,0,10796,14266,2875,16168,173,3247,1216,3696,5736,1052,685,44,152,283,33,174
"경주",91609,700,0,4594,855,59093,146,57,821,185,14709,65,2342,352808,55319,153,826656,103751,1024,8636,647,5,892426,57,96,1279,1409,133407,1028,23331,1866,14672,358355,209,114622,896,4715,44297,70118,4564,19826,739,226841,844,7,615,3281,5038,1361,4,2715,447,987,1304,13509,3361,13775,270,167,53569,2904
"곤지암",836,31844,4178,0,22349,2640,95,321,704,1018,5622,350,4180,24617,34161,6670,2792,1514147,561,126,48124,371,10634,540,41412,4611,2405,485,54153,12473,5040,690,1645,2688,256,13632,1480,379,2353,2910,338,2466,2672,26784,0,56124,36163,9680,56927,551,15119,3840,25453,20268,2565,1859,7,276,1006,338,475
"광주",118,3089,20,11566,0,629,20,37032,1110,129503,125,4,53873,0,79442,881,0,313187,0,13600,1799,122581,0,19057,6649,0,90869,504127,5048,72752,5942,20129,0,677,0,4787,297,0,110883,3351,0,4411,0,5146,0,3132,7209,35138,3157,891030,320921,313169,10418,2839,22402,11552,31661,0,28815,0,64
"구미",13838,1118,32678,2261,763,0,1105,59,881,230,46420,589,2051,866828,41762,624,76078,46169,1685,4622,897,25,33035,128,575,59,1757,71080,2008,23236,2180,3713,6466,428,2219,597,4701,5077,32189,7096,22214,20,14512,619,0,817,2193,5200,951,35,3306,845,2314,751,8748,2188,10461,4048,325,1304,12864
"금강",25,44,170,95,40,695,0,1,274,3,1064,12,137,1010,33116,6,130,1842,32,745,12,1,290,4,49,194,200,1810,297,430,1268,246,25,6,24,16,2052,10,640,28379,33,6,190,24,1503,29,39,149,60,2,95,21,106,25,679,783,816,322,7,8,270
"금산사",10,72,99,437,48301,168,6,0,22,8315,154,0,3201,337,2666,15,27,8170,0,487,37,3040,133,3595,100,3,4343,8994,164,1870,243,400,5,15,2,76,21,12,2216,264,2,225,70,109,0,93,159,2523,77,3377,16539,17441,413,66,664,393,484,22,3006,1,9
"기흥",70,132,826,648,1805,1334,208,21,0,110,716,0,301,4366,5249,2650,570,203,10603,850,1250,25,1688,38,1397,8,331,729727,139,115622,1472,7324,281,2813,69,2181,165,50,5400,321,50,2062,4257,1365,0,733,7230,1330,403,214,1319,320,385,211,12242,574,5959,46,58,45,27
"김제",19,205,231,703,130051,241,5,9900,79,0,330,0,3041,506,5479,27,81,15054,251,427,75,6395,181,3809,202,6,8170,17891,428,3422,307,800,10,39,6,115,61,24,4477,401,20,0,145,164,0,203,336,2631,174,5325,19249,292694,698,156,1063,841,1156,53,59060,1,21
