"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"경산",0,369,155062,821,18,43030,32,0,116,86,6795,0,1200,433646,10358,288,205208,16655,0,384,1947,317,1,85997,55,56,1287,1296,19207,37,6519,449,2419,29639,48,10722,498,1151,41212,10034,2292,25300,26,51816,296,0,363,469,1127,327,1,373,72,362,229,2321,1903,2611,339,22,4610,1196
"경안",586,0,2861,75129,14170,2362,83,280,283,766,4199,0,3856,17932,28517,4997,2581,1503739,0,0,173,13733,385,7546,511,16901,0,2363,150,29743,5166,3945,584,926,2972,224,12003,1136,377,1603,2010,445,2647,1752,11960,0,26808,31771,7436,35467,444,8371,2939,8619,10604,2152,1595,35,286,699,117,364
"경주",120812,1167,0,6390,397,81135,172,45,3888,204,22323,3,3377,486666,71939,415,936121,126577,0,72,12123,1172,4,1010468,100,123,0,1687,140769,54,41510,3059,21132,470645,373,139966,978,7041,62135,96976,8714,28791,2330,137350,982,0,1099,4436,8192,2163,7,3142,569,1402,1454,16872,4638,19852,336,169,52317,3951
"곤지암",968,45983,5660,0,31643,4036,145,525,837,1439,9086,193,5567,33436,43920,8758,4119,1644685,0,560,5,55667,688,13669,824,42220,2526,3431,663,64841,15182,7137,971,2492,3723,403,19595,1854,553,3233,3878,652,3926,3481,32431,0,71641,66358,14126,79058,874,21319,5914,24383,26034,3196,2945,1,434,1524,319,613
"광주",6,6790,22,18455,0,680,16,50076,1988,159547,166,0,71304,0,104347,1133,0,416287,0,3347,10234,2433,147110,0,26016,8430,0,102763,501891,8420,99393,7773,24269,0,1079,0,5826,301,0,136013,3668,0,2521,0,6540,0,4707,10262,45713,5069,1036531,381692,362308,13999,4115,28894,12169,36240,0,34348,0,55
"구미",17519,1861,39262,3275,969,0,1228,90,966,510,72328,1027,2871,848524,52144,821,96194,55338,0,1710,5079,823,8,39067,152,676,1073,2111,77402,1398,28072,2637,4876,7423,395,2529,800,7500,5765,37708,10975,38294,38,15865,856,0,1246,2488,6188,1359,41,3559,1042,3059,1256,10310,2854,14221,6175,376,1231,17294
"금강",20,112,171,176,53,986,0,9,365,10,1588,50,145,724,8792,4,203,1781,21,9,504,12,1,262,5,41,606,208,1545,892,536,1194,287,21,5,27,8,816,9,654,8990,131,33,134,30,1557,53,47,127,74,2,90,14,136,56,795,821,434,482,4,10,502
"금산사",0,199,98,692,62853,191,0,0,0,4748,214,1,3752,319,4034,0,59,9623,0,1,593,31,4513,86,4380,142,5,5293,11824,73,2605,271,501,0,0,0,121,0,0,3146,297,0,365,68,130,0,220,233,3834,120,3400,19241,20993,787,56,698,468,847,0,2105,0,0
"기흥",147,208,4336,834,3855,1864,402,51,0,179,1116,0,573,5458,7651,4032,839,425,0,11122,1738,1823,72,1940,63,2129,7,436,760906,163,92053,1444,12500,387,3138,94,2645,234,80,15452,503,100,1845,2100,1981,0,1366,7260,2258,744,156,1978,550,344,331,21423,657,8929,50,87,64,115
"김제",34,407,298,1141,161344,588,6,5238,96,0,426,0,4892,530,8783,57,147,21594,0,396,569,165,9330,190,5910,454,0,11085,22589,933,5364,268,1108,48,54,7,186,84,28,7186,526,41,5,124,332,0,507,435,4366,320,6993,22607,303959,1060,216,2835,944,1593,67,31673,11,39
"김천",6256,2360,20683,7905,716,90727,2035,131,619,469,0,284,6801,176499,82323,1279,30997,109992,0,2257,9095,720,12,30641,254,1023,0,3445,153947,2514,36840,4407,9000,6383,414,1850,1605,15823,2538,46956,23283,6105,133,9375,1381,9852,1385,4594,5596,2250,96,2705,1105,1762,1322,13155,7465,15452,10236,250,759,22661
