"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"경산",0,390,223496,1403,15,63722,45,5,135,86,10289,156,1556,527294,12583,174,316433,15622,5061,483,1966,354,1,103949,34,76,2600,1901,20456,713,8592,874,2808,35928,126,13344,273,1349,50881,5078,3384,40005,48,55510,335,0,514,745,1449,531,2,364,125,584,370,2615,2724,2502,476,35,5650,1602
"경안",475,0,2793,69022,12546,2130,80,222,122,716,3459,0,3714,13887,23287,3385,2425,1772230,1178,35,83,12035,371,6277,542,14242,0,2058,69,25845,4280,4373,331,712,2363,216,8084,906,364,742,2085,349,1977,1416,9401,0,23236,20076,6132,28264,479,7329,2650,7963,9208,1355,1800,5,258,648,102,368
"경주",194636,2070,0,9350,549,127518,112,70,7287,290,32478,12,5825,659867,98785,632,1250648,142022,36727,1696,16869,1588,3,1181222,195,126,2,2442,141475,3137,75863,4511,26571,533901,318,173815,1466,10525,118804,66429,16097,43424,1644,109533,1981,0,2558,5757,11565,3038,7,4451,909,3427,2366,19864,10337,23393,672,233,60667,5361
"곤지암",1469,36193,8096,0,42996,5562,116,750,702,2291,13739,0,8092,42668,59122,9354,5720,1786260,3064,34,127,57457,1048,16973,1319,39932,237,5279,572,86061,20285,14216,998,2746,4527,656,14719,2337,662,2633,5971,926,3699,3915,32054,0,94306,40243,20262,81947,1703,29480,9149,32134,32690,2821,4051,0,598,2931,418,833
"광주",0,7084,0,32056,0,1076,0,63851,1863,164127,166,8,86138,0,125573,1218,0,550482,55137,6554,10921,2922,158196,0,30547,9296,0,117476,440532,7130,152658,11579,25207,0,1342,0,5471,326,0,90110,4649,0,0,0,7559,0,5941,11592,57173,6958,713226,458130,404578,19769,6055,35802,13931,45454,0,42918,0,55
"구미",29762,1721,63005,4903,911,0,1596,127,1010,444,109665,1052,3848,1149963,65610,732,165807,66203,19365,2005,7415,553,15,50893,162,933,4768,2684,72626,4014,39258,2637,5907,10155,666,4295,759,8148,8225,23501,15303,46140,34,20641,1007,0,1668,3965,8886,1558,35,4418,1190,4031,1246,12962,3835,15474,9549,302,1216,20436
"금강",41,127,267,184,54,1252,0,0,279,11,1713,82,179,1144,10344,6,330,1975,861,9,788,22,2,261,8,60,751,432,1416,1132,407,1619,357,35,19,32,20,1000,18,459,11064,106,15,106,18,1886,66,69,148,87,6,74,24,201,78,804,1321,357,548,5,9,554
"금산사",0,153,164,1145,78223,232,0,0,0,4329,254,4,4587,349,4603,7,56,13071,1502,0,631,67,6563,108,5504,217,25,6122,10470,196,3952,383,512,0,0,0,125,0,0,2037,358,0,464,95,127,0,468,274,4534,144,5909,21670,24118,1010,92,941,565,1036,0,2223,0,0
"기흥",178,91,7579,563,3621,1911,349,48,0,158,1001,0,540,5521,7715,2848,784,373,94112,5179,2086,1637,91,2350,90,2143,0,373,904247,362,197106,2121,12439,463,3064,98,2268,249,93,18271,717,88,6880,566,1680,0,1740,6184,2099,632,227,2121,524,283,284,25332,622,8311,57,116,63,122
"김제",76,462,365,2029,167095,559,10,4673,102,0,494,2,6445,672,9503,49,178,28951,4208,477,763,282,10568,192,6411,565,0,14634,21017,2004,7954,886,1625,71,98,19,196,99,31,4620,652,48,12,157,383,0,687,605,5799,478,9854,25567,325063,1426,391,2149,1243,2017,43,28223,7,39
"김천",10072,2272,29994,14092,886,132537,2156,140,557,504,0,0,7203,232947,94321,1010,48803,138041,26380,2472,10902,640,28,39375,362,1329,699,3405,139261,4858,49977,5782,11290,8522,588,2728,1549,15973,3172,27917,29166,8583,37,11934,1501,13079,1939,4983,6422,2720,85,3147,1539,2869,1920,15952,9001,17010,14440,294,1016,25288
"남구미",37019,88,66108,455,171,1276,209,20,149,44,12665,0,379,963845,5049,39,172857,1017,5161,373,1355,48,3,95933,28,157,215732,333,12921,507,8206,803,840,10176,74,7315,376,724,6811,3316,1319,50821,167,35171,129,0,184,375,1112,176,8,515,187,726,277,1497,583,1940,916,25,2460,1350
"논산",1545,2809,6734,7763,98034,4286,221,4150,355,7508,8230,0,0,22408,47873,588,4574,99437,18639,1809,3136,1559,3948,8783,7707,2787,0,408530,79949,116,27564,16540,6010,2008,474,552,1706,1180,574,15859,9229,846,2,4225,2439,67155,3276,4464,50083,2972,8934,112320,33893,10924,2705,9048,11951,20986,495,8742,141,911
