"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"건천",0,150,1,240,5,0,29,0,0,1,0,1,0,2,368,10,0,542,1,7,0,2,1,0,206,0,0,0,0,0,50,0,2,0,1,56,0,56,0,1,100,7,2,18,0,16,1,0,0,5,2,0,0,0,0,0,0,3,4,1,0,0,176,3
"경산",180,0,506,260827,1725,14,93695,78,28,394,94,17026,0,1777,892436,25245,283,748882,21776,32770,582,3894,271,7,130837,1981,76,118,0,2274,40886,2797,8373,1449,5545,36772,104,14791,319,1924,68649,11030,5692,73889,86,72535,536,0,1004,1381,2099,1097,3,744,237,952,782,6043,2986,3663,632,38,77255,2559
"경안",0,464,0,2737,70946,12479,1995,66,181,91,673,3243,0,3536,14643,24892,2443,2258,2238751,3111,0,179,12185,364,7036,1641,427,14440,0,1793,77,24349,2550,5738,170,840,2022,266,6356,823,301,712,1690,317,1649,1467,8642,0,24407,18373,5523,29887,821,6958,2247,10166,9448,1602,2079,0,325,524,101,259
"경주",159,234554,2043,0,9405,501,142448,126,46,7641,217,38924,0,5767,802032,127929,672,1397473,118788,105543,4039,19012,3932,10,1338487,3886,136,133,0,3508,185563,4531,42030,4918,27251,524811,764,158119,1678,11315,151869,51260,19104,57629,12,72214,2269,0,2877,6658,11049,3629,12,5698,811,4320,2749,25779,13572,23099,812,184,143857,6807
"곤지암",1,1995,40787,7092,0,35375,5442,125,742,767,2109,11951,0,7669,41359,55320,8284,4562,2206476,11543,1470,160,74290,969,16454,1397,1241,45666,0,5246,686,89703,12658,17036,782,2790,4016,596,11806,2127,725,2448,6416,1283,1617,3476,34359,0,124225,42312,17905,105545,1466,24074,7995,43833,39362,3008,5701,0,532,2460,404,769
"광주",0,0,7300,0,28720,0,1352,1,83073,2391,185325,239,7,103708,0,176392,1661,0,436329,183199,6406,12769,3345,184173,0,21628,37526,10840,0,127204,685423,8883,114068,14489,28165,0,1420,0,6085,350,0,72572,5545,0,0,0,9530,212,6180,13951,74030,8142,757733,531202,457631,26855,7146,46334,19849,49805,0,57390,0,105
"구미",16,42841,1425,75869,5722,1004,0,1913,122,1152,444,137861,1448,4517,1364387,83688,745,152110,46735,52575,1515,8853,868,16,61962,4206,306,986,0,3295,107823,10641,24559,3122,7920,11960,826,6171,699,10387,12702,20490,20707,64476,498,1362,1150,0,1967,4950,10882,1996,63,5298,1227,5564,1346,15150,6178,13341,14165,372,26470,23816
"금강",0,52,94,308,217,69,1481,0,8,294,7,2032,98,261,1129,13172,9,363,1801,1252,20,946,18,1,348,480,16,42,909,1322,1810,1058,455,1894,353,58,18,36,19,1628,28,343,12970,174,24,24,30,2041,116,76,190,225,1,114,21,235,73,790,1261,547,533,7,141,660
"금산사",0,0,135,193,1108,99283,295,0,0,0,5034,295,0,6233,584,7221,18,62,11793,4844,1,527,79,8464,107,871,6534,198,6,7116,15267,400,2832,406,701,0,0,0,171,0,0,1436,502,0,548,114,185,0,330,306,5972,185,8953,20887,31836,875,124,1549,852,784,0,2733,0,0
"기흥",1,312,133,7864,661,4272,2378,308,47,0,199,1346,0,808,6833,10781,2000,885,351,286872,558,3298,1915,110,2955,731,172,2357,0,668,1109947,212,141453,3434,22932,556,2266,130,2428,302,108,19619,873,148,10619,72,1931,0,2154,6919,2677,797,242,3065,643,280,321,34624,1333,11725,106,188,620,157
"김제",0,106,428,542,1789,189330,580,12,5773,66,0,652,3,7887,704,11795,69,157,18910,15227,454,871,228,11562,184,952,5255,551,61,15799,37167,1526,2953,1118,1933,65,62,30,254,101,58,3644,848,69,35,234,394,0,434,703,6773,527,10588,21021,358686,1648,333,2615,1531,3573,87,27330,13,81
"김천",5,15537,2420,36308,12944,1173,168699,2490,151,832,696,0,0,6561,297769,119145,1297,50149,112732,71853,2357,13135,844,28,49252,5678,374,1542,0,4322,197685,10137,31275,8709,13845,9980,544,3156,1692,18250,4797,26202,33571,13428,13,1488,1905,16331,2388,5195,7248,2988,109,3898,1670,3895,2496,19835,12150,14839,19391,356,14613,32571
