"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","남원주","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","팔달","황간"
"건천",0,25549,94,43103,208,11,4762,69,2,44,14,1506,1326,2,213,45553,2058,62,90427,1482,3417,61,513,80,0,52827,80,12,18,17948,85,5300,238,757,192,595,16742,11,9207,76,353,16437,988,734,4209,61,17335,77,178,85,211,148,125,0,146,17,241,122,622,314,247,108,226,5,23127,0,372
"경산",24341,0,969,277078,3148,64,104733,694,45,939,142,22029,31755,11,3058,1289665,29951,209,989467,14180,65958,607,7799,487,6,153197,1101,150,183,364651,3589,69866,3708,10584,3399,9618,40098,183,18396,532,4366,92109,16294,9120,119619,350,55256,594,2475,2088,2084,3566,2015,4,1447,319,1921,1817,11526,4700,4525,1412,3959,239,69661,0,4342
"경안",109,1030,0,3293,99488,14216,3468,134,181,221,905,4037,89,170,3459,13596,21193,2593,1991,2313017,5007,287,47,13374,269,7671,3043,571,15441,2857,2509,391,27793,2845,5821,267,634,2379,255,6666,1103,242,812,2455,345,1829,775,9384,2488,28626,21092,7391,35489,563,8435,2737,12925,11002,1669,3246,8,192,7,749,1177,0,371
"경주",49480,257015,2733,0,9076,613,121302,2314,102,8664,309,39464,26118,35,6158,815613,92954,648,1197453,64277,114762,2738,22295,5012,11,1441879,18944,395,251,184323,3117,238766,7368,39789,7131,19079,512732,426,167943,1463,11693,160582,41569,22640,65987,1702,115239,1972,7600,3561,6255,11084,4480,11,4736,1421,5540,3447,39283,15553,17742,1601,1768,221,151473,0,8147
"곤지암",145,2970,79067,7315,0,32195,5971,119,732,894,2179,13513,248,1976,7371,32640,38976,6759,3950,2484222,19011,2819,149,75864,959,17265,5237,1294,46796,5052,5346,2070,89381,16635,18534,1088,3684,3853,736,12462,2037,875,3009,7173,1588,1779,1755,36377,4165,150004,43665,16512,128655,1849,20515,7121,56983,45580,3060,9220,34,662,15,2281,2380,0,1071
"광주",15,285,10567,2432,30743,0,2216,8099,117989,5156,216994,1356,94,125,129079,632,103102,2568,1105,177652,268629,5728,16675,4174,225237,64,60840,57899,11585,381,123349,1017456,18799,118922,18540,36942,17,1913,65,6795,609,369,81247,6602,43,2080,90,9383,56742,7179,16250,96081,10624,862202,604903,536209,34440,8767,58447,31767,38969,196,1,79805,4,0,355
"구미",3000,61891,2121,85685,6208,1513,0,4445,126,2318,564,176973,7254,33,5804,1274836,86323,814,122983,21823,72760,1869,11711,1200,53,76513,6908,516,1338,335812,4489,155808,16211,27378,5476,10431,14269,766,7269,746,13758,16637,24125,27474,46669,935,14334,1233,5411,2866,6011,12102,3482,59,6175,1570,5459,2851,18950,8822,12365,16612,1487,660,22127,0,31209
"금강",20,198,219,521,772,154,2147,0,8,185,30,3328,170,4,607,1865,36791,8,392,12146,4908,44,1670,23,0,585,2073,25,73,1742,1629,4269,1960,946,2978,653,90,12,44,51,4715,50,1195,45537,275,37,147,56,3538,129,460,560,321,14,257,90,411,142,2462,2381,1128,733,1,27,145,0,955
"금산사",3,33,271,243,1122,128154,356,3,0,106,7236,233,7,0,7629,366,4419,21,88,4423,7156,61,783,70,12295,135,1252,6952,219,121,7384,24780,675,3133,563,938,5,19,4,126,28,10,1760,557,30,547,48,161,2690,259,413,6997,330,13221,19819,40588,1081,135,1840,1033,800,15,1,3627,78,0,10
"기흥",38,580,164,8552,1026,6932,3571,145,102,0,291,2328,249,86,1285,8449,11546,4080,986,451,405484,5298,5872,3120,354,4056,2371,264,5648,1303,1034,1422514,147,204527,4485,40952,794,4341,235,2788,278,210,28576,2070,249,14173,448,2691,1564,2908,11884,4125,1840,459,4672,1297,546,499,53673,3532,17260,153,1,415,546,0,201
"김제",10,162,701,570,1954,214794,689,8,7631,255,0,780,34,5,9102,807,8895,102,255,8173,18628,397,1064,229,13208,211,3000,6888,573,253,16552,53605,2937,6099,1624,2363,92,101,56,275,147,82,4487,1301,99,248,149,413,5374,697,906,8688,819,14489,20455,401551,2131,503,2958,1921,2702,91,3,28547,208,0,103
