"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남원주","논산","다부","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"가산",0,569,9745,10,6485,11,1,84,15752,4,0,6,0,185,1651,33006,3,11,4779,106,3,20222,99,131,2,16,0,0,12949,103918,12,3,4,172378,5,32486,192,12,38,14,17,2138,2,1235,5,17,1889,21,45,404,1,10992,3,23,2,27094,11,14,5,0,10,0,5,4,26,10,10,18,35302,0,526,12
"건천",529,0,43055,182,75784,458,6,5045,84,166,8,476,17,2437,4168,162,123,322,122,3439,148,130947,3477,5072,26,798,72,0,67986,54738,358,44,35,44827,185,528,7779,415,1177,423,778,25211,98,10774,104,697,28031,1505,1305,6780,144,50247,134,840,134,131,402,358,227,1,320,30,363,152,1241,528,382,195,8584,8,6072,640
"경산",8998,41663,0,1661,333902,4943,103,72536,1406,1157,109,1932,348,28526,98120,1836,600,4089,1679,33793,414,1334858,33012,91565,324,11787,859,17,173520,928880,3753,596,323,1139310,4175,4718,66255,5411,11327,6519,12689,50791,404,23783,1228,6779,135594,16584,13287,145223,1395,146962,868,7562,3224,1974,3264,6276,3126,20,2958,439,3349,3148,16578,6097,3869,2187,142923,181,14044,6219
"경안",9,152,1415,0,3509,146197,15840,2928,5,165,348,407,1079,4405,307,4,20257,4404,0,15134,4291,2256,2281677,9203,1373,77,11125,611,7457,6035,5388,1109,24400,9269,2813,2,1225,31207,3453,7070,759,883,4028,293,14472,1009,660,1190,3331,789,2985,1922,9815,5912,34107,1,36461,7422,42329,1095,9256,3219,15791,12142,1585,6703,26,400,392,1172,196,480
"경주",5153,104213,339774,4874,0,11634,676,82649,910,4358,261,12287,903,42188,73155,1857,1666,8611,920,96173,1156,1201217,91865,120432,1105,27466,5078,46,1569610,430488,10897,1953,833,586781,4379,6311,199678,13651,42374,12123,20753,622097,766,193928,1909,13986,178271,40294,30270,75535,5034,216881,2519,20385,4230,1469,7322,20768,5262,29,5572,2069,8011,4425,45046,19419,8846,3642,64306,586,125676,12050
"곤지암",6,357,4568,16305,8631,0,39299,7715,9,274,898,2485,3096,15649,835,15,113279,10173,3,35539,9831,4950,2477923,57176,3299,245,50405,1442,19900,12281,11341,2489,79074,27689,7423,11,7524,102423,14731,23903,2916,4472,6523,844,38523,2675,1402,5816,9133,1939,8552,5385,41113,10567,165291,20,91212,19205,152300,2998,25734,9126,68835,50586,5116,17244,177,1241,1186,3298,682,1430
"광주",18,45,396,18624,1215,48176,0,2647,3,182,182065,11455,245337,1853,183,47,6631,159672,5,51630,4530,439,336800,344201,2785,23829,3496,319056,787,536,47300,88384,14879,435,149549,4,865538,43981,119951,27610,47007,35,3031,14,9397,1543,177,106121,9149,57,7573,101,11792,174984,10540,71,20605,120545,14317,975347,668688,608018,40358,12986,67822,39692,20995,241,40,107785,15,726
"구미",78,5388,72956,3445,89884,9027,1933,0,89,6106,255,5588,825,250878,21915,240,1003,7250,102,92341,1313,131848,58239,85636,1251,15086,1037,131,80521,824111,11362,1116,1944,845415,5812,337,131025,23914,31695,10816,14434,16447,1208,7760,1449,18874,21375,31644,35778,153439,2352,37659,1816,15345,4691,103,7005,12587,4310,229,6352,2582,7025,3956,22790,12785,9401,23992,63080,857,4674,39694
"군위",17753,71,1229,5,877,18,2,62,0,1,2,13,1,62,61,6107,4,8,8954,150,1,4353,164,178,1,19,0,0,1597,35105,16,8,2,58801,12,10841,306,21,62,11,29,371,1,119,1,29,156,29,44,376,2,719,2,25,5,3222,11,14,5,0,10,2,4,6,40,11,18,9,25822,2,80,33
"금강",0,45,351,287,1056,1653,616,2886,0,0,13,590,94,4173,230,3,139,1362,0,72266,21,612,6016,5116,62,2200,46,6,885,2320,4081,61,150,2780,2128,2,5400,2587,1128,4842,1034,136,16,75,52,9320,105,1880,87351,524,55,449,208,5908,207,2,879,986,640,29,630,261,772,155,3528,3283,1857,1199,250,60,72,1528
