"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원주","논산","다부","대동","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"가산",0,2210,35661,23,25084,45,0,185,53400,9,0,19,0,390,5763,122244,1134,3,36,16906,3032,266,2,67904,293,359,5,54,3,0,44784,336702,31,2,8,577601,18,94137,514,28,113,39,71,5923,4,4517,4,29,8232,79,99,1233,9,41241,9,50,13,109052,22,25,18,1,18,4,30,14,76,51,34,33,98768,4,2125,41
"건천",2115,0,54114,245,96276,620,4,5749,261,95,6,447,25,2779,4857,586,3088,191,428,341,15067,4162,271,136914,3682,4097,32,827,64,5,68548,55687,496,34,34,48711,280,1805,8416,587,1455,634,769,17308,94,13646,121,691,26585,1431,1751,6561,172,65787,128,835,227,492,334,604,334,1,329,22,395,287,1351,557,442,210,10177,18,6780,694
"경산",34563,50334,0,2060,388898,5617,74,78809,3876,648,119,2303,463,33476,100744,6518,5905,643,5221,6336,27599,36601,320,1514289,35224,89680,314,11654,537,16,183621,1045324,4449,615,376,1254695,4906,14657,70929,5258,12085,7571,13162,41265,460,27212,1609,7366,172092,17110,16617,145597,1726,172385,1019,8338,3300,6386,3409,8507,3211,12,3412,448,3691,3729,24051,6195,4833,2703,180941,301,15559,7886
"경안",18,209,1654,0,3860,200107,18741,3368,27,186,348,510,1167,4990,364,26,103,36784,5395,8,480,17018,6137,2130,2363772,10445,1629,106,9913,758,7695,6183,7028,1430,29233,12079,3616,12,1587,35950,4167,8428,1147,849,6290,346,20197,1322,850,1626,4249,820,4368,2273,10030,7066,37913,22,49307,8701,54718,1266,10456,3869,19505,15001,2254,7835,61,475,584,1164,273,587
"경주",20870,128369,400583,54711,0,12406,301,83442,2671,1796,189,12219,886,45765,71779,6064,72754,1989,9277,2860,413085,91046,1058,1155928,87629,114103,1175,28416,4504,28,1519460,417246,21679,2391,906,604390,4562,22033,181559,12321,40746,12985,20942,399906,965,196685,2140,13827,189829,35947,30479,73200,4717,278927,2475,20316,4950,5306,7084,22699,5615,19,4827,1754,8302,4191,43516,19988,8703,4119,71633,534,130454,12650
"곤지암",24,453,4514,192971,8853,0,43548,8390,23,373,1100,3645,3295,15854,1091,64,285,176973,11525,21,1096,38795,13076,4708,2525272,56640,3997,310,46311,1737,18995,12118,13338,3161,99085,34468,8099,30,8033,115202,17360,26808,4115,3522,9602,944,68305,3121,1672,7334,11534,2168,11167,6438,42937,12182,187015,39,139828,22904,201231,3752,27103,9964,83620,58158,6302,22469,160,1532,1491,3598,828,1801
"광주",3,10,84,22681,234,53618,0,2615,1,199,191850,15257,280683,1499,247,14,16,9966,178903,4,3,51577,4544,82,400795,375095,3305,26013,3370,389409,149,207,49589,113518,15966,279,158416,8,887706,44978,129307,32204,57286,10,3769,16,10550,1711,53,114590,9297,56,9712,99,13832,197224,12321,8,21899,153102,17572,1095226,736828,683733,43690,13756,75183,44585,22258,193,28,144327,6,691
"구미",282,6240,78737,4029,90727,9700,2197,0,179,4206,312,7038,959,313420,46167,630,1468,1453,9580,331,7092,99068,1478,131750,59877,85428,1412,15753,927,140,73058,837629,12760,1243,2107,923283,7035,811,135675,25784,33882,11547,17428,11342,1248,7360,1532,20685,25565,34066,40441,183666,3520,39361,1992,17650,4708,301,6670,14631,4908,297,6928,2818,7438,5459,27559,15294,10027,26841,80040,1025,4905,44781
"군위",60720,276,3721,24,2560,49,0,190,0,16,2,13,9,204,145,19986,115,5,51,27150,542,369,0,12804,489,469,6,47,2,2,4041,103924,42,8,2,174132,28,33022,948,62,195,30,68,731,4,390,15,50,518,134,115,768,9,1992,7,83,10,8301,30,43,12,0,17,9,19,22,133,46,40,18,75375,4,250,59
"금강",2,66,505,245,1109,485,609,3643,6,0,7,197,59,4166,272,10,32,60,813,2,112,66624,22,634,2264,2201,31,999,39,4,981,2385,3402,60,63,4051,1065,7,4757,1387,1015,4229,895,249,24,91,63,11248,174,877,73044,621,81,669,51,3326,206,4,204,567,307,37,429,158,662,142,1857,2708,967,1895,324,28,96,2589
"금산사",0,13,98,600,254,1813,172832,329,1,11,0,421,15260,302,24,3,2,275,11108,1,3,1242,89,114,10859,10846,517,932,59,17704,125,259,1789,15668,319,239,8434,3,20941,1059,3438,918,1602,26,72,15,171,101,58,2938,554,59,300,218,239,8254,382,1,617,12306,625,18113,27804,56691,1166,351,2247,1337,684,63,29,10876,8,43
"기흥",1,157,1785,490,8884,3382,11073,5886,9,115,188,0,769,3522,1306,14,108,12658,2153,16,457,11170,12606,1314,886,469463,32236,10505,3557,443,6411,3492,6796,848,13029,11410,1857,16,2024228,494,312562,8946,91552,1091,16904,476,7595,747,485,53013,3038,613,25789,1993,5445,4349,6538,11,29503,6772,4354,1188,6948,1921,2067,1692,91673,6993,25386,392,337,624,322,411
"김제",0,37,378,1546,784,3566,276946,956,5,12,12165,1077,0,1037,70,18,3,520,16980,1,10,3448,213,325,23852,23426,261,1567,198,19665,273,732,4257,25946,926,580,21949,16,44994,4439,7950,2555,3977,84,218,46,453,299,188,6781,1717,215,892,637,820,19136,969,10,1750,18377,1294,23504,33466,486409,2967,872,5022,3571,1592,155,120,44378,26,111
"김천",139,3170,32154,6146,42346,20029,1582,341231,153,5453,225,5075,1077,0,38899,429,1269,1943,10389,155,5671,161433,3357,43045,109742,122915,1370,19608,908,132,55255,182100,15256,1317,2596,218464,8584,345,236137,23438,42473,17545,26150,8147,1315,4903,2690,34748,11256,37983,62766,37166,3913,24655,3045,23969,5023,119,7415,10678,7564,257,5206,1892,7785,6158,33848,22143,12668,30993,21553,812,3189,52036
"남구미",275,4503,72547,610,66273,1482,419,15717,96,550,34,1649,156,35012,0,309,1377,185,1309,238,4576,12582,216,110695,9581,19261,177,3644,75,16,122342,568104,1918,252,337,899500,1043,449,20783,3167,6854,2405,2961,11552,276,8559,640,2304,21211,5838,4790,193314,626,66060,294,2840,853,195,995,2181,621,41,1430,651,1286,885,5416,2008,1407,3432,43104,163,4942,3768
"남안동",110096,523,6517,26,6012,52,3,482,30090,15,7,23,13,345,346,0,358,3,187,33952,1698,1052,3,22186,451,631,1,104,1,0,12180,175422,138,21,5,225420,66,66790,1073,57,237,107,140,2192,2,921,2,78,653,188,293,1356,18,6710,0,234,6,45820,22,228,11,1,76,26,11,12,223,58,45,22,129430,15,688,100
"남양산",965,4017,8440,244,87661,560,1,2353,149,75,1,249,7,1830,2316,474,0,93,327,85,1150143,2957,50,11616,3485,5047,53,672,48,1,446823,5962,374,18,68,4325,232,1750,6888,700,1227,433,936,7779,62,42040,81,621,13516,1158,1144,1868,175,139560,150,774,287,391,303,183,239,0,49,5,428,233,1857,515,405,199,1163,1,62979,649
