"","가산","건천","경산","경안","경주","고령","곡성","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","논산","다부","달성","담양","대동","대전","덕평","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","삼례","새말","서대구","서대전","서순천","서안동","서울","서청주","서평택","석곡","성산","송광사","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","해인사","현풍","화원","황간"
"가산",0,2489,38357,22,26556,0,0,27,1,209,42368,10,1,21,4,175,287,149110,1538,0,4,0,24,15678,0,0,6306,223,2,0,75017,325,325,5,0,56,2,0,0,50101,337150,35,0,4,7,662874,30,0,92193,533,31,0,0,0,0,84,0,0,0,43,52,5515,3,4811,11,39,0,8967,74,0,121,1205,8,34474,7,82,6,106544,25,22,24,0,9,11,24,10,0,0,72,38,29,28,91127,0,0,1,2953,0,0,0,0,47
"건천",2401,3,60049,246,82427,0,0,600,3,6330,280,113,9,282,46,2972,5250,730,4115,0,127,0,479,397,0,0,30326,3842,166,0,132376,3728,4163,27,0,1422,63,0,0,59729,53631,560,0,63,57,49700,269,0,2096,8014,582,0,0,0,0,1253,0,0,0,480,952,9537,82,13266,130,763,0,23407,1377,0,1776,7557,203,67852,111,961,171,550,345,705,273,0,229,48,340,238,0,0,1332,674,462,264,10026,0,0,25,7448,0,0,0,0,670
"경산",39505,57710,26,1692,426892,0,0,5373,58,77348,4345,664,117,2219,545,32008,82847,8312,7321,0,540,0,5554,6730,0,0,62817,36422,307,0,1392969,33953,82243,373,0,13416,665,0,15,171032,1132750,4622,0,411,401,1272680,4748,0,16094,67457,5257,0,0,0,0,10510,0,0,0,6436,12809,26672,512,29377,1479,7207,0,189697,16236,0,15812,158943,1488,189282,954,11423,2910,7928,2815,7890,2953,19,2930,547,3654,4332,0,0,21937,6082,4854,2976,202481,0,0,426,17351,0,0,0,0,8014
"경안",10,194,1571,36,3327,0,0,175912,18854,3193,15,104,338,590,1240,4872,301,13,159,0,37610,0,5928,10,0,0,1313,16120,7097,0,2039,2197216,10967,1375,0,119,10266,0,746,6138,4936,7161,0,1406,28451,12955,4551,0,17,1325,36335,0,0,0,0,3960,0,0,0,8177,1121,532,7418,389,20719,1154,0,835,1774,0,4904,866,5139,2205,9520,7583,34961,28,51136,9310,59617,1413,9922,3852,19194,14929,0,0,2264,8330,38,565,664,0,0,1695,209,0,0,0,0,567
"경주",22523,110398,427591,4812,55,0,0,12477,104,81953,2458,1520,206,7737,783,41053,65510,6431,59937,0,1550,0,8353,2879,0,0,918485,80587,912,0,1041965,78053,103377,1195,0,45370,3299,0,16,1331830,404397,22066,0,1021,833,560601,5031,0,24105,163358,11323,0,0,0,0,31197,0,0,0,12386,20305,183700,1039,184751,1972,14189,0,195754,34151,0,29236,77275,4292,293637,2064,26311,4365,5458,6494,17225,4917,26,4435,912,7719,4370,0,0,40164,18414,8469,4098,74463,0,0,587,140357,0,0,0,0,11884
"고령",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62898,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,0,0,504,10098,0,0,0,175372,1308,868638,0
"곡성",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,5704,0,0,0,585649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68913,0,0,0,0,28939,0,38608,0,114,94287,9657,0,0,0,0,0,0,0,0,0,0,22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"곤지암",19,497,4588,183720,7956,0,0,65,45728,9121,56,190,1075,4492,3173,15067,1242,46,511,0,185053,0,12568,26,0,0,2638,39055,15606,0,4957,2558464,62853,2725,0,357,52478,0,1816,17541,11811,14375,0,3377,103079,35363,9563,0,40,7160,120637,0,0,0,0,18166,0,0,0,28343,4444,2777,13039,865,80618,2943,0,2080,8423,0,13062,2294,13658,6336,44303,13731,179515,64,153684,25656,231004,3908,24946,10410,90687,62534,0,0,6783,26765,218,1639,1855,0,0,4010,867,0,0,0,0,1945
"광주",14,5,65,22508,121,0,0,54624,12,2732,0,114,188255,18042,325566,1377,229,15,25,0,10190,0,198996,0,0,0,4,51756,4127,0,38,393186,394262,3283,0,28026,3948,0,417697,78,140,57151,0,109443,18737,396,155684,0,29,873270,42167,0,0,0,0,120409,0,1,0,30736,63929,8,6110,9,11900,1583,0,39,113057,0,10477,73,9431,139,14372,218822,12308,5,24540,168195,19118,1092965,760024,720287,45167,15012,0,0,80587,47306,24691,241,20,0,0,162480,7,0,0,0,0,755
"구미",298,6717,79974,4130,88482,0,0,11022,2346,501,193,3604,294,8178,969,307009,47789,698,2548,0,1457,0,10213,301,0,0,14478,99406,1524,0,141205,57359,90261,1270,0,15463,858,0,131,65435,858880,13623,0,1100,2363,990042,8631,0,854,131541,24027,0,0,0,0,30957,0,0,0,12303,19989,7030,1410,7283,1819,22287,0,28929,34196,0,39266,182355,3553,40357,1954,25548,5136,320,7569,14499,5075,258,6835,2758,7713,5670,0,0,29210,17676,10821,28719,92871,0,0,1130,5095,0,0,0,0,45704
"군위",52567,261,4072,32,2496,0,0,65,1,170,0,10,0,21,2,196,160,24449,167,0,1,0,54,24684,0,0,1059,338,4,0,13237,483,509,1,0,58,4,0,0,3577,99937,57,0,8,3,176641,35,0,34175,951,43,0,0,0,0,143,0,0,0,37,79,439,7,461,7,59,0,489,130,0,129,1016,7,1967,7,73,18,10556,30,44,29,0,21,3,20,25,0,0,146,42,50,15,68196,0,0,2,298,0,0,0,0,50
"금강",11,49,607,113,861,0,0,245,84,3174,6,0,4,138,13,3545,338,8,38,0,33,0,164,3,0,0,250,26898,17,0,746,1068,1325,23,0,321,16,0,5,948,2133,1773,0,22,38,4014,603,0,7,2518,958,0,0,0,0,550,0,0,0,1775,426,152,29,118,19,6305,0,227,483,0,16730,550,65,693,24,1648,57,11,121,126,114,10,112,23,251,105,0,0,541,1611,395,1187,314,0,0,15,95,0,0,0,0,1713
"금산사",0,17,85,588,218,0,0,1731,171936,332,0,2,0,489,10764,273,25,0,5,0,174,0,11155,2,0,0,6,1461,149,0,87,10061,10485,378,0,760,113,0,15685,77,258,1919,0,13180,394,219,7936,0,5,19455,1160,0,0,0,0,2927,0,0,0,921,1851,14,148,12,159,85,0,71,2596,0,504,37,203,185,167,9534,368,1,605,12451,581,17513,25533,55486,1203,391,0,0,1673,1295,739,35,44,0,0,7974,6,0,0,0,0,37
"기흥",4,121,2166,625,4360,0,0,4646,11679,7218,14,60,177,17,721,4223,1788,24,181,0,14598,0,2241,11,0,0,1282,10978,14496,0,1625,1013,486353,28694,0,12075,4363,0,421,7800,3366,7556,0,800,14186,10883,2166,0,22,2116298,475,0,0,0,0,245355,0,0,0,9486,105302,799,18569,521,8967,804,0,681,55276,0,3301,664,30109,2940,6762,4996,7703,19,33348,7287,4782,1300,6182,2087,2152,1860,0,0,110584,8061,28062,478,359,0,0,799,393,0,0,0,0,399
"김제",2,24,359,1499,679,0,0,3710,318645,841,7,16,6642,1342,3,1084,83,15,3,0,541,0,20960,2,0,0,22,3952,237,0,354,23893,24851,275,0,1895,203,0,19318,192,863,4618,0,29345,1028,684,22400,0,10,44246,4378,0,0,0,0,8285,0,0,0,2443,4665,41,331,72,488,298,0,208,6511,0,1754,133,808,458,855,21513,955,4,1777,21537,1461,29429,42134,515425,3443,1291,0,0,5471,3842,1769,116,117,0,0,42169,23,0,0,0,0,129
"김천",144,3238,30998,6235,40299,0,0,19584,1462,328266,145,4636,203,6706,1195,808,39403,446,1759,0,1917,0,12458,153,0,0,11636,160349,1900,0,44208,106707,118446,1149,0,19983,883,0,112,50752,184215,15923,0,1138,2702,233634,9520,0,294,220411,20705,0,0,0,0,37515,0,0,0,16175,28088,4958,1662,4808,2861,36446,0,13191,35630,0,61772,33243,3318,24583,3008,28870,5126,227,6972,10363,7378,235,5202,1943,7913,7598,0,0,34695,23107,12706,28131,23976,0,0,831,3574,0,0,0,0,53511
"남구미",266,4916,70732,707,62735,0,0,1825,362,14301,104,452,44,2144,129,35709,18,308,2104,0,179,0,1215,231,0,0,10158,12931,204,0,108316,9018,19901,166,0,3551,124,0,12,116505,532226,2055,0,203,331,904834,1178,0,440,20612,2819,0,0,0,0,6223,0,0,0,2503,3310,8534,334,7926,254,2447,0,23433,6534,0,4845,165372,675,72319,328,3876,821,179,1079,2058,748,32,1477,502,1281,865,0,0,5161,2313,1603,3469,45933,0,0,170,5673,0,0,0,0,3859
"남안동",138609,617,8677,24,6248,0,0,64,8,560,31906,13,1,35,17,403,388,0,518,0,1,0,202,37873,0,0,3509,1213,7,0,27769,462,650,5,0,123,0,0,0,11922,211354,194,0,15,3,275075,109,0,79665,1207,58,0,0,0,0,221,0,0,0,101,148,1575,10,1149,9,87,0,775,176,0,306,1277,12,7680,4,268,11,57963,23,185,24,1,83,27,12,9,0,0,304,80,61,22,141737,0,0,17,854,0,0,0,0,131
"남양산",1210,5110,9762,284,79161,0,0,869,2,3407,180,69,3,360,6,2505,3040,765,1,0,126,0,532,176,0,0,2238667,4189,67,0,15356,4945,8300,59,0,1099,79,0,0,858422,8166,492,0,13,92,6398,301,0,2682,10055,790,0,0,0,0,1982,0,0,0,649,1468,13240,100,50846,168,835,0,14278,1581,0,1626,2474,223,148637,178,1221,417,589,439,216,353,0,56,7,607,349,0,0,2461,778,691,298,1942,0,0,6,68518,0,0,0,0,928
"남원",0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82678,0,0,0,743932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,0,0,0,0,843,0,2579,0,119800,5903,929,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"남원주",2,70,507,47867,1685,0,0,215529,11109,1594,0,46,141,12527,725,1694,187,3,81,0,3,0,4854,11,0,0,510,20385,25191,0,793,1059417,732088,18653,0,400,283282,0,278,4053,2023,6950,0,2108,149564,7117,4400,0,6,472364,34911,0,0,0,0,97138,0,0,0,8109,6852,312,76390,210,274439,539,0,325,29261,0,2844,347,87272,2321,124970,8060,8966,4,222642,7346,66618,1314,7691,2223,6210,8110,0,0,12918,6954,98,191,250,0,0,603,127,0,0,0,0,266
"남지",0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,8946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71888,0,0,0,0,0,0,11523,448769,0,0,0,3605,21429,132629,0
"논산",16,563,5604,6606,7876,0,0,15358,228035,10577,23,254,10938,4156,25712,12528,1199,202,347,0,4075,0,42,32,0,0,2373,57877,1271,0,4386,85895,72368,844,0,6957,1234,0,10426,9821,12337,49437,0,40134,6760,21334,355511,0,114,151912,21232,0,0,0,0,24534,0,0,0,29750,15708,1239,1268,883,3082,6218,0,2318,20270,0,17948,2629,2505,7938,4064,285982,7203,83,9081,129455,7491,26313,191868,64523,24519,9047,0,0,20126,27984,9160,1278,1723,0,0,26197,587,0,0,0,0,1936
"다부",6988,386,6789,14,3136,0,0,26,1,214,15870,5,1,13,2,167,222,27240,116,0,6,0,28,0,0,0,523,196,2,0,15540,210,173,4,0,47,1,0,0,2635,78596,27,0,0,7,160625,20,0,24653,392,35,0,0,0,0,57,0,0,0,27,41,476,3,549,5,29,0,1513,38,0,70,600,5,2243,4,71,10,27587,10,25,15,0,10,2,12,13,0,0,79,28,22,20,29090,0,0,1,396,0,0,0,0,34
"달성",0,0,0,0,0,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4627,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,18,523,0,0,0,9383,74,1486780,0
