"","가산","건천","경산","경안","경주","고령","곡성","곤양","곤지암","광양","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","내동","논산","다부","단성","달성","담양","대동","대전","덕평","동광양","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","산청","삼례","새말","생초","서대구","서대전","서순천","서안동","서울","서전주","서진주","서청주","서평택","석곡","성산","송광사","수동","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진교","진월","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","하동","해인사","현풍","화원","황간"
"가산",3763,3031,32455,24,24036,0,0,0,31,0,0,164,25442,8,2,19,3,239,201,154401,1215,0,2,0,0,29,11525,0,0,0,5864,261,4,0,0,65892,272,314,4,0,52,2,0,0,36775,216156,25,0,0,1,8,0,662560,42,0,78033,411,0,0,23,0,0,0,0,0,58,0,0,0,25,54,3353,4,3780,9,21,0,8582,43,0,0,0,97,1207,9,21844,5,63,9,81408,22,25,19,0,12,5,12,0,0,19,0,0,69,51,20,18,79085,0,0,3,2352,0,0,0,0,0,45
"건천",2194,531,51163,196,58238,0,0,0,338,0,3,5493,270,62,8,230,31,2443,4336,648,3578,0,58,0,0,288,357,0,0,0,31068,2647,47,0,0,120620,2667,3059,26,0,876,40,0,1,49624,40205,396,0,0,43,29,0,41725,214,0,1693,4834,0,0,379,0,0,0,0,0,927,0,0,0,411,786,7021,42,14077,115,485,0,19417,1082,0,0,0,1190,6181,110,53098,86,847,160,466,255,513,218,1,113,29,293,0,0,204,0,0,1010,593,359,244,9599,0,0,15,6837,0,0,0,0,0,585
"경산",30692,53455,19123,1322,362674,0,0,0,3643,0,30,63139,4172,575,76,1433,269,26071,69099,7941,6622,0,383,0,0,3312,6039,0,0,0,66422,25642,434,0,0,1220387,23760,46460,211,0,9852,275,0,3,146028,987600,3418,0,0,287,246,0,1058496,4010,0,13669,43912,0,0,3802,0,0,0,0,0,7288,0,0,0,4754,8682,21523,314,27153,846,4389,0,148797,10640,0,0,0,12025,133401,947,150003,629,8074,2063,6786,1929,4813,1958,10,1919,413,2983,0,0,2676,0,0,12200,5430,3962,2616,165765,0,0,269,14140,0,0,0,0,0,5986
"경안",10,164,1283,1046,3114,0,0,0,95294,0,16973,2863,12,110,334,320,1127,4707,358,14,167,0,37227,0,0,4937,5,0,0,0,1344,16462,5311,0,0,1924,1727784,6504,588,0,94,9359,0,679,5295,4390,8077,0,0,1257,31393,0,11833,4454,0,12,668,1,0,33419,0,0,0,0,0,2090,0,0,0,8065,757,475,3424,309,18360,1131,0,982,951,22,0,0,4975,851,1446,2032,10421,7258,29988,20,40251,9094,54218,1479,9643,3823,18648,0,0,13596,0,0,1502,6682,30,497,634,0,0,1611,253,0,0,0,0,0,554
"경주",20739,87328,360823,4002,6896,0,0,0,7808,0,78,74855,2412,1202,181,5717,582,34351,59152,6484,56585,0,1448,0,0,5780,3055,0,0,0,953151,61071,728,0,0,944815,58999,80054,843,0,28748,1961,0,7,1210382,354354,15213,0,0,769,640,0,490437,4554,0,22168,115646,3,0,8756,0,0,0,0,0,24834,0,0,0,9834,16212,149764,752,171808,1577,10083,0,160512,22749,2,0,0,21982,68923,3194,257148,1693,20521,3424,5526,5019,11716,3820,9,3548,642,6154,0,0,4083,0,0,26589,15895,7446,3508,67908,0,0,525,124551,0,0,0,0,0,10040
"고령",0,0,0,0,0,6051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50699,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,400,8454,0,0,0,0,155733,832,853758,0
"곡성",0,0,0,0,0,0,210,62,0,15,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,4340,0,0,0,9,555127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57783,0,0,0,0,0,0,17317,0,34878,0,0,108,76531,6959,0,0,0,0,0,0,0,0,0,0,0,11,16394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18181,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"곤양",0,0,0,0,0,0,80,4,0,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,74,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,48,0,284,0,0,0,2749,71,0,0,0,0,0,0,0,0,0,0,0,546,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212,351,0,0,38,0,0,0,0,0,0,0,0,0,0,2673,0,0,0,0
"곤지암",14,356,3590,117455,6146,0,0,0,1326,0,34634,6915,26,172,827,4118,2679,13221,791,28,462,0,157658,0,0,9556,18,0,0,0,2710,32274,11434,0,0,4016,2259794,50569,1810,0,342,41704,0,1312,12261,10468,12411,0,0,2704,97627,0,29329,9000,0,21,5140,4,0,99811,0,0,0,0,0,15464,0,0,0,26482,3176,2361,7327,722,61598,2466,0,2146,6274,55,0,0,11714,1638,8622,4433,44409,10684,141706,56,124795,20631,214139,2982,21352,8251,78148,0,0,52582,0,0,5411,18782,178,1341,1629,0,0,3457,711,0,0,0,0,0,1782
"광양",0,0,0,0,0,0,36,2510,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2744,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,8,0,58,0,0,0,88,13,0,0,0,0,0,0,0,0,0,0,0,1132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1279,0,0,7,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0
