"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","고창","곡성","곤양","곤지암","광양","광주","광천","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남제천","남지","논산","다부","단성","단양","달성","담양","당진","대전","대천","덕유산","덕평","동광양","동광주","동군산","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","무주","문막","문산","물금","발안","백양사","부곡","부산","부안","북단양","북대구","북대전","북수원","북원주","북창원","비봉","사천","산인","산청","삼례","상주","새말","생초","서김제","서김해","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","석곡","선산","선운산","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영광","영동","영산","영주","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","제천","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘장대","춘천","칠곡","칠서","칠원","태인","통도사","판암","풍기","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화원옥포","황간","횡계","횡성"
"가락",1558,0,30,0,107,0,0,17,0,2,22,0,26,217,47,890,0,0,0,1316,0,0,150,13,0,79,0,47,0,0,0,30,0,0,313,0,5,0,385,12,0,133,0,2,36,0,113,0,43,9,40,781,0,12,765,0,361,16,20304,0,10655,1,5,0,78,0,0,40,0,285,0,1,0,3,0,0,0,0,15,69,0,1090,1,1278,0,66,2,0,0,159,0,1625,0,30,310482,0,16,117,70,0,56,475,0,1,2,301,0,51,0,36,0,0,45,0,93,0,75,9,1122,22,0,60,15,66,18,0,1,1,0,0,308,0,0,0,75,12,223,75,4,0,15,2,0,64,5,0,12,7,34,0,128,41406,482,0,0,0,0,0,9,40,16,171,635,12074,0,317,138,2074,7,708,19,138,80,24,14,0,54,0,1,0,1064,0,0,1,28,0,569,1403,68,0,0,56,0,876,0,0,7969,0,0,0
"가산",0,1499,0,477,0,3463,50318,35,37852,0,0,0,0,0,66,0,1,0,230,0,0,23023,152,15,14,5,2,35,3,344,360,12,204069,3996,1,552,0,368,0,44,6777,0,707,0,0,0,300,0,0,9,0,1,1,2,0,118374,551,167,0,44,0,5,6,74,69,0,0,6,102,0,3050,4,0,5,38218,0,448,321974,49,65,72,0,3,0,0,0,15,31,36,0,0,0,1039369,71,0,0,0,75,0,55744,30,831,6637,7,13,1,0,64,6,0,6,0,0,8,0,2,139,0,0,0,74,65,32,85,18,5413,23,61,0,63,0,61265,17306,9930,115,7,0,0,76,1495,27,30782,56,127,23,66979,68,52,28,1,0,0,0,18,26,4,450,0,36,0,0,0,0,0,36,0,0,0,32,0,0,143,85,42,5,43,0,0,916,237519,0,0,6,3892,50,36464,0,0,0,0,0,0,271,0,0,220,0,62,94,88
"가조",28,0,200,0,28384,0,0,7,0,2,2344,0,0,8,14,73,0,0,0,19,0,0,37,7,0,33,0,18,0,0,0,42,0,0,323,1,25,0,21,12,0,201,0,12,23,0,57,0,38,1,1,455,0,2,219,0,181,11,45,0,53,0,2,0,23,0,0,44,0,32,0,0,0,1,0,0,0,0,12,19,0,50,0,365,47,280,0,0,4,191,0,123,1,34,450,0,36,56,2,0,10,216,0,0,0,848,0,12,0,0,0,0,2617,0,1,0,27,25,39,1,0,11,7,18,32,0,2,2,0,0,143,0,0,0,40,2,9,2,3,0,5,0,8,38,5,0,8,4,12,0,83,84,8,0,0,0,0,0,3,70,111,4,32,56,0,29,3,316,2,58,4,40,23,11,7,1,6,0,0,0,67,521,0,0,27,0,13,27,1121,0,0,2940,0,34,0,1,9791,0,0,4
"강릉",0,264,2,612,5,4,41,1386,58,163,0,4,0,4,3813,4,992,35,40,0,52,44,12540,1472,3,48,10,624,15,75,5,31,67,16,15,8941,1,135,0,310,55,7,136,0,0,180,1902,94,13,1008,1,0,34,571,1,136,45247,3954,0,3902,0,361,365,3831,44,24,9,51,7280,3,4,139,27,543,119,1,195,350,695,5739,1300,0,176,45,8,5,100,2,23159,2,9,0,953,328,1,200,7,6694,0,239,1839,27231,14,229,77,35,19,2201,134,0,1,0,0,3938,0,90,4117,0,12,1,366,889,2275,433,78,14,2865,5236,3,36,0,180,17,239,1131,896,7,0,227,11,3282,84,26721,688,537,62,6738,586,2747,244,21,0,3,15127,520,121,3443,0,462,5,3,1,8,0,20042,4,1,21,530,0,0,985,464,29,51,5,0,10,6219,192,0,0,38,15,144,320,12,3,13,3,79,0,12961,0,51,1468,0,9,56482,295
"거창",100,0,29622,3,2053,0,0,25,0,90,5145,0,3,118,56,575,1,0,0,120,0,0,207,21,0,294,0,60,0,1,0,245,0,0,3778,13,249,0,100,52,0,1420,0,76,418,0,331,0,241,8,74,4653,0,22,960,0,742,31,200,0,212,0,8,1,81,0,0,295,3,425,0,0,0,12,0,0,0,0,68,90,0,212,0,3647,1782,1417,2,0,16,696,0,560,1,160,2105,1,209,132,21,0,26,1246,0,13,0,7428,0,56,0,5,0,0,7910,1,10,1,188,567,476,7,0,98,39,119,120,0,12,11,0,0,912,0,0,0,369,8,198,2,13,0,18,1,15,268,24,0,14,24,65,0,445,377,40,4,4,1,0,0,28,415,873,33,503,260,0,430,214,2821,36,374,32,134,115,45,86,0,49,0,3,0,205,2046,0,0,111,1,360,298,11328,0,0,6145,3,92,0,0,46423,0,0,0
"건천",0,2795,0,6,1,817,50869,176,61948,8,0,0,0,0,439,0,5,1,5196,0,2,266,1200,108,46,32,32,326,9,2478,4142,63,956,11265,5,54,0,13,0,347,628,1,15,0,2,0,2324,3,0,65,0,0,4,25,0,119945,3355,1371,0,4,0,36,32,2,1295,1,0,22,24,0,4535,17,1,71,51580,0,8,51892,556,537,5,0,16,0,0,1,48,590,12,1,0,0,37902,678,0,1,0,590,0,964,382,7055,19763,95,34,5,1,606,22,0,63,0,0,2,0,11,1143,1,0,0,6,708,154,1068,144,10788,64,112,0,519,0,1049,24484,327,1663,78,0,0,577,6273,144,56480,51,1077,269,558,419,482,370,1,0,0,0,4,131,35,19,0,199,0,1,0,0,0,5,0,0,0,218,0,0,1170,927,804,46,187,0,0,18,7177,0,0,29,9886,376,1453,0,0,2,0,1,0,2,0,1,14,0,610,4,3
"경산",0,45743,2,70,3,51432,2943,972,447564,233,0,0,0,0,3321,0,126,3,61320,0,6,6948,7892,704,582,195,58,2405,112,22841,71356,481,13604,28269,12,266,1,57,0,3146,9323,4,122,0,5,3,16597,7,3,657,0,0,10,564,0,1254659,18765,8764,0,27,0,153,218,14,8365,3,1,99,217,0,12327,45,5,232,152965,0,43,1306844,3557,4016,11,0,131,0,0,2,307,4220,44,4,0,0,967014,5448,0,3,1,3383,0,8532,2744,38132,38086,223,307,13,3,2882,53,0,802,0,0,8,0,26,6614,4,0,0,19,3824,971,7274,1349,31277,347,529,0,2964,0,8715,236038,1989,11333,953,0,0,4470,129780,1005,176093,198,6327,1283,9040,1166,2956,1888,10,3,0,1,29,1066,330,130,0,1179,0,2,0,0,0,49,0,0,0,2105,0,0,7320,4925,3309,370,1695,0,1,157,140646,0,0,296,21040,3187,8326,0,0,6,0,4,1,31,0,4,68,0,3815,12,18
"경기광주",1,22,5,1053,15,202,963,551,2975,104,2,0,0,3,104138,3,17715,10,3353,10,5,15,1419,212,81,1186,349,512,614,4405,416,358,34,471,13,25039,0,39,2,5100,15,37,28,0,0,168,17075,19,15,9562,3,0,10,57,22,2357,2248162,3008,6,2136,6,627,60,1433,134,2,0,3918,8127,4,196,94,727,139,4861,0,35,4125,9384,844,172,2,88,65,86,10,1633,20,5017,8,0,14,11746,4784,37,31,16,472,1,104,355,2576,456,14736,1636,72,1,30573,53,0,34,0,0,878,0,85,2174,3,18,0,1714,9929,512,753,586,523,5837,17967,1,964,0,82,1316,13,1166,12368,9,0,3143,962,2035,2509,9174,8964,33508,16,36782,10058,73689,1589,61,11,16,2544,10903,4398,7524,1,16561,25,7,1,19,14,4972,7,4,58,14430,1,0,1661,7223,39,961,524,0,1,156,735,1,0,1775,366,1583,129,12,10,23,0,23,3,739,0,17,92,0,678,179,148
"경주",0,31205,30,179,48,84078,445152,3651,145541,264,7,9,0,0,8475,0,178,35,72624,0,95,3133,35038,2818,1200,789,156,12027,275,33934,68894,1502,10987,338457,172,1253,27,182,0,6581,4394,61,298,0,78,21,53569,103,22,4470,0,1,150,890,0,1006615,65706,33352,0,243,0,1128,869,102,42593,49,26,624,2789,0,127181,525,17,1238,1320254,6,118,498440,15856,10838,80,0,589,0,0,36,1347,7005,412,58,4,0,470996,10838,0,49,10,13044,0,13699,9648,154045,302255,869,1041,188,49,9931,742,0,781,1,0,65,0,347,33685,66,0,0,159,22965,4330,21365,3151,312225,1102,1888,6,8828,0,14218,231473,4173,30585,1493,0,0,15431,74388,3545,525292,953,23927,4047,6848,4846,15832,5492,34,30,0,18,194,4343,730,574,6,4304,6,39,0,0,0,250,0,0,0,5525,0,0,28384,18714,12017,910,3509,0,23,381,68827,0,0,563,208879,8052,22278,0,0,87,11,63,19,143,0,58,337,0,9596,93,102
"계룡",4,0,1,191,63,8,247,173,271,155,2,0,0,12,354,8,5263,0,677,10,0,1,1419,108,59,1192,139,297,212,884,48,5995,4,91,10,756,1,0,2,5057,0,39,1,1,0,0,13122,0,47,187,0,6,0,178,237,230,6017,239,34,11,49,36,10,8,585,0,0,1861,64,85,144,0,250,45,294,0,0,1584,7942,452,10,26,11,289,733,27,1329,38,45,24,0,82,1340,6997,134,0,28,786,0,2,120,8404,39,82,1167,336,0,1746,0,0,37,0,6,8,0,0,1345,0,15,0,14,4979,128,830,9092,73,51,109,0,468,3,4,224,0,860,600,8,0,2431,114,95,876,195,20227,275,2,262,6061,421,597,63,72,4,23,3621,1232,19,0,1159,38,7,3,18,40,57,25,3,148,380,8,0,1376,4260,418,1394,72,3,0,176,59,5,1,483,45,8484,3,11,20,64,0,0,15,45,1,0,163,16,131,6,17
