"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","곡성","곤양","곤지암","광양","광주","구미","군북","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남지","논산","다부","단성","달성","담양","당진","대전","덕평","동광양","동광주","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","문막","문산","물금","발안","백양사","부곡","부산","북대구","북대전","북부산","북수원","북창원","비봉","사천","산인","산청","삼례","새말","생초","서김해","서대구","서대전","서부산","서서울","서순천","서안동","서안산","서울","서울산","서전주","서진주","서천","서청주","서평택","석곡","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영동","영산","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","증평","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘천","칠곡","칠서","칠원","태인","통도사","판암","하동","함안","함양","해인사","현남","현풍","화원옥포","황간","횡계"
"가락",3614,0,104,2,804,0,0,63,0,50,120,170,1215,638,5501,0,1,9180,0,2163,129,0,1083,0,791,0,0,0,382,0,0,2667,2,73,3343,176,0,1129,3,108,0,1733,45,269,6478,275,9865,0,3974,169,88135,1,71126,19,49,0,831,0,0,1,6032,0,8,0,66,0,0,269,6662,841,7566,25,7656,0,534,0,0,683,2151,0,487,1933193,1903,485,0,761,5467,0,4,1962,0,718,4,174,254,0,523,2,1003,115,5768,124,0,919,124,1139,362,0,68,32,2,2615,1,0,1285,88,1353,294,64,0,191,0,2,1128,335,0,203,61,294,0,2199,239605,2915,0,14,0,264,219,1093,3877,138057,0,2712,1580,10444,208,4760,107,1344,1823,426,365,0,296,1,0,8379,0,1,0,317,4227,8970,634,202,1,6299,45504,0,1
"가산",0,1693,0,6723,1,3008,46922,196,31795,10,0,0,0,658,0,5,252,0,28258,771,108,0,5,2,51,11,318,329,17,227653,3029,3,9778,0,1,57,8258,0,0,0,1,255,177,0,0,44,0,115062,3916,235,0,575,0,68,46,823,62,4,1,3055,0,2404,3,0,36,23075,296210,54,0,439,0,6,1,1,0,13,744,0,0,1062663,71,0,489,0,58535,141,1512,5525,14,1,0,52,3,0,0,189,0,2,383,0,0,0,2024,49,137,82,77,3930,316,1146,44,0,19438,9357,106,13,0,0,81,1345,344,23478,1142,117,11,76225,1243,49,49,1,1,0,0,382,59,5,9,0,0,0,0,691,0,0,0,12,0,0,135,102,42,12,47,0,10727,275489,0,0,8,2934,39,0,0,2,0,4501,0,0,42,865
"가조",168,0,3331,5,248906,0,0,45,0,30,22925,4,92,90,371,1,0,74,0,565,53,1,224,4,144,2,2,0,319,0,0,3648,5,302,171,85,0,2348,122,432,0,651,6,26,5320,14,512,0,1813,74,221,1,0,6,13,0,174,0,0,2,319,0,1,0,13,1,1,92,3890,236,686,4,3181,408,2357,1,10,1397,649,1,246,3966,532,32,0,67,2197,0,0,6916,0,146,0,3,22605,0,6,0,321,630,289,6,0,122,74,437,307,0,16,19,4,1081,0,0,407,23,107,3,38,0,31,1,11,588,52,0,36,17,113,0,1370,270,24,0,5,4,64,1435,26,389,103,0,269,61,2424,110,537,45,393,169,263,123,1,44,5,0,410,3967,1,0,180,191,181,10231,27005,1,220,95603,0,1
"강릉",1,5227,3,21052,18,66,925,14309,1058,1921,0,0,20,38853,187,10240,142,2,1006,136732,16623,40,587,167,7542,279,447,22,431,1335,259,122,104296,4,0,3583,1362,105,0,1,1831,20834,8110,14,4,7035,2,2666,471476,44640,1,42272,0,6036,5112,43394,641,702,97,109610,40,106,1754,291,6154,2369,6779,8269,8,63022,1,2191,324,40,52,1033,279465,31,2,21602,3778,12,73808,13,5553,20940,265928,278,1066,422,243,24492,1426,0,0,48298,2,1250,41209,8,226,4,4687,9405,24796,4757,940,295,29229,67735,323,1,312,4243,13830,10063,95,0,2301,95,37860,1198,299154,8430,6155,1034,68525,6170,27627,3928,432,1,0,180992,7817,2498,5090,60,2,77,0,225136,22,76,182,6418,0,0,11238,5152,219,819,73,1,70615,4053,0,0,655,177,1854,62,4,117,1,126479,1,0,147,360540
"거창",934,0,257574,21,17674,0,1,265,2,516,49597,15,1600,465,5541,1,2,838,0,2111,282,2,1682,1,461,1,38,2,1762,0,0,35871,43,5548,841,456,0,13928,562,4956,0,2881,43,460,47285,123,3494,0,8254,228,1727,0,0,51,59,0,775,0,0,10,4270,0,6,0,68,0,1,547,18573,807,2704,10,33768,15759,14565,6,35,6240,3550,3,1460,18694,1356,285,1,333,10406,0,11,68038,0,641,5,19,69970,1,109,0,1613,6128,4548,68,1,698,358,1092,1132,0,61,66,6,6591,0,0,1906,125,1662,63,141,1,103,3,51,2454,263,0,159,124,451,0,6443,1503,314,5,42,3,298,12003,317,4983,744,12,3551,1952,28484,313,2976,313,1507,1008,520,573,2,644,664,0,1546,16310,6,0,1053,3685,2561,115490,58848,31,884,415962,5,3
"건천",0,2454,3,101,6,829,46537,126,65458,115,0,0,0,353,1,7,4846,0,286,1958,178,10,43,16,329,14,2296,4162,139,1165,12917,7,546,2,0,450,543,2,0,2,3,2329,54,0,1,180,0,113370,3811,197,0,34,0,50,51,13,1824,13,6,220,0,6127,22,0,61,49863,54675,558,0,1101,0,41,0,0,1,32,44,1,1,38366,771,1,1060,0,939,817,6178,19084,38,8,4,593,21,0,0,9,0,7,1082,1,0,0,133,627,226,1312,210,11126,87,128,420,0,25233,246,1777,102,0,0,618,6694,147,63948,43,1189,240,572,231,427,247,0,6,0,1,11,190,47,178,3,0,0,0,24,0,0,0,242,0,0,1357,1175,800,51,176,0,416,7222,0,0,34,9539,426,0,0,12,2,73,0,0,757,33
"경산",0,42801,8,1162,16,49345,1922,702,432070,1240,0,0,0,3023,0,86,59764,0,7367,12273,1130,82,285,83,2042,104,24854,80241,693,16344,32108,21,2906,4,0,3542,9707,7,1,5,5,18150,565,0,2,954,0,1230313,22627,1343,0,95,0,201,427,83,8823,33,15,1130,0,16493,69,12,346,149239,1348119,3956,0,5176,0,238,1,0,4,387,219,5,0,1001214,5278,0,6020,0,9653,4020,34255,38739,367,21,10,3448,58,0,0,38,0,25,6370,5,1,0,534,3654,1395,8016,2052,33676,474,723,3046,0,240884,1676,11285,1276,0,0,5680,138593,1101,188079,437,7371,1600,9492,1116,3120,1770,8,33,0,3,65,1998,392,1180,9,0,0,0,141,0,0,0,2305,1,0,9107,6055,3728,467,1825,0,2529,146914,0,3,162,21835,3692,0,0,31,5,723,0,0,4093,148
"경기광주",33,114,33,12275,164,108,658,359,1630,741,18,0,48,57223,212,12375,2183,39,221,1015,197,88,1055,226,433,379,2974,369,406,519,220,231,9830,6,17,3046,64,284,0,0,104,12397,6817,28,3,38,93,1749,2955607,946,128,1612,0,429,101,1327,107,77,10,6648,102,159,85,543,133,2644,3012,7096,542,657,51,127,1149,1179,109,1111,3004,100,125,5606,3310,771,278,22,2434,348,485,287,1075,635,24,24107,66,0,5,463,1,99,1341,9,320,7,3068,7439,478,579,694,320,4479,14432,622,7,924,478,868,11287,160,0,2236,675,1661,1476,6162,6571,23200,238,25845,5729,56621,806,891,88,83,1391,7344,2771,11133,196,25,211,43,2044,134,81,452,10174,2,0,1255,5083,29,812,417,10,330,632,42,0,960,203,1415,112,143,262,31,8410,1,9,494,1418
"경주",0,25797,108,2101,224,86062,434930,2011,140920,1257,3,0,0,5381,1,258,63453,0,3449,50732,3730,192,915,207,12136,335,28242,70030,1850,13513,397345,251,8183,70,0,5847,4404,100,0,80,13,47194,5131,0,3,1907,0,972018,65301,4037,0,585,0,1065,1474,252,43689,468,221,5770,0,174411,463,23,1466,1309331,512586,15564,3,13027,0,835,2,2,66,1347,630,54,2,448289,10134,1,20807,0,13788,13546,122242,312585,1330,275,142,9810,572,0,0,170,0,284,29105,64,2,0,1665,22588,4978,21912,4238,326640,1163,1833,7613,0,257063,3147,29251,1667,2,0,15843,79448,2492,594535,839,24065,3786,6907,3556,16602,4079,25,170,0,54,313,6442,724,3290,135,0,1,0,403,0,1,1,5044,0,0,28802,20113,14479,1154,2837,0,6698,67881,0,0,579,209083,8186,0,0,426,84,1494,0,0,8917,582
"계룡",101,3,56,2245,440,100,1145,853,1426,773,48,0,59,1731,54,21350,3746,129,4,6766,517,410,7291,727,2102,900,3439,390,33398,47,73,113,3113,4,12,22974,7,380,1,1,0,69396,636,10,11,941,303,1709,25432,747,235,62,0,246,129,29,2517,0,0,360,776,129,15,990,229,912,6810,44933,4051,2136,184,29,2444,6740,245,5256,101,137,2067,3441,18199,2355,3644,9,36,602,34728,147,6215,2086,0,8290,12,1,52,43,1,1,5975,8,142,5,75,29120,647,3905,45978,117,339,486,2702,37,1285,4,4112,3462,66,0,13598,846,561,3650,834,95706,1606,23,1084,26984,2361,2032,674,106,35,48,20173,5917,6461,202,28,230,89,115,193,48,2081,1975,37,0,6291,22889,2430,7978,334,17,854,400,31,5,2403,77,43229,108,195,598,100,677,1,97,784,78
