"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"서울",6461,7615667,2486256,3218973,2316553,2827251,368955,820781,143017,241881,580926,98055,2987,47068,20811,13754,114883,124827,20891,37747,188709,87848,33159,68878,7039,117829,16655,10272,105759,17964,206435,5361,980,6374,96251,18053,92774,34526,45527,17185,43980,12352,41079,35821,69696,9375,32282,21380,11536,9656,11027,21758,48079,118480,89445,116047,42977,31258,22777,226179,2068096,643631,1599888,1074746,236652,261157,187659,96787,75777,36933,45181,58198,20787,7635,32121,52118,445061,354445,40413,31172,278064,48321,415369,47038,15243,11901,38911,106337,6755,25194,30656,640032,173,10,12,17,25,76,201,78,881,9526,396,11555,17183,11213,1992,2781,1263,405,1104,13831,8081,978,7188,3849,6396,13541,2243,965,92986,51164,6165,1408,6871,3930,1003,7266,103890,0,4669,2201,10783,7717,35819,4972,2616,51451,5143,24779,19792,32149,82657,21639,58437,52779,78770,26206,58389,15147,43227,5751,14662,39469,19287,2929,9860,3132,3374,4473,5847,3913,6030,28465,5643,6965,8628,7063,170458,31252,127118,12247,21808,7973,43837,12974,6923,43230,8040,3725,2720,1163,1130,24113,13151,6286,267887,172519,93998,28493,46734,284418,364,4,3819,8161,21,110,349,328,1372,80,33292,19282,123118,71724,379679,152838
"수원신갈",7676197,4550,281134,634491,676394,580316,78855,198201,40184,61872,98877,17328,654,7679,4029,3147,27622,38272,7541,7713,34474,17255,7590,9430,1238,22717,5420,3214,17841,3407,30843,7184,1536,13611,33376,21201,36460,12163,17369,2861,5265,2829,6499,6540,10653,1579,5178,2288,2076,2662,1398,3196,7335,636185,156018,109458,163469,107665,68034,546633,51058,265379,228320,165123,82824,138861,80699,29376,23513,13251,9112,12286,6426,3304,9774,9471,82609,59215,8411,4365,41296,7258,60253,7010,2278,1721,5616,15485,1012,3605,4396,91792,28,1,0,2,0,20,36,18,206,1577,85,1757,2584,1654,363,404,222,83,150,2339,1640,658,1245,764,1055,1711,386,179,12406,5424,1122,233,1258,688,133,1969,15376,0,1121,706,1713,1548,7866,1275,888,16400,1320,555525,38068,28620,38183,12955,22772,16228,22327,8390,17129,4819,12306,1863,3948,4847,4346,710,2289,874,827,1177,1380,1205,1659,7309,13287,13062,4982,1852,46389,10823,35172,3207,7491,2598,15048,3363,1744,10871,1985,912,551,243,187,5295,2384,2426,57589,43350,17786,5792,10068,53440,68,0,770,1819,4,20,54,86,381,13,15536,6455,34805,32240,139789,48443
"기흥",2593118,206578,2351,70658,255284,237236,30595,59152,13446,18150,20703,4967,119,1776,877,638,7107,15661,3941,2317,6854,3248,1585,2413,300,5634,2111,1133,6359,1076,6188,1668,484,6538,6555,7756,9208,3105,2682,278,499,794,1554,1810,2185,454,1240,507,437,756,342,834,1436,252434,70528,25296,37319,39624,29467,304149,154181,49062,104469,54109,21358,50059,17800,9981,6477,2706,1712,2737,1110,509,1695,1469,19073,12398,1744,883,8999,1534,12707,1524,484,364,1175,3340,214,755,933,19323,27,0,0,0,2,5,11,4,79,301,19,427,577,424,96,77,58,28,51,498,235,45,228,155,193,348,83,49,2669,1458,246,64,305,160,34,526,4064,0,297,202,462,490,2304,375,494,11070,478,259589,12025,4968,16715,2401,9347,6057,6566,2235,4991,1520,3238,541,1168,1448,1409,179,672,206,222,282,334,301,537,1908,2776,2663,1169,383,8199,5957,8450,617,1150,570,2300,730,254,2027,343,139,73,27,36,876,558,482,12870,7294,4394,1510,2546,13000,19,0,185,637,1,2,34,17,78,4,4705,1228,6446,11041,47879,17079
"오산",2991701,438877,114968,4569,510504,466136,109092,214827,47594,60607,92218,22623,514,7708,4603,3272,28900,37270,8143,10283,23134,11032,8839,9668,1638,22795,5235,4376,23052,4753,26154,2868,723,7690,2648,8061,2706,1010,995,147,141,3349,8472,7314,7518,1656,5371,1973,1727,3198,1363,2631,5655,273911,62724,25854,21848,28727,29788,244187,134365,43649,94304,35346,18067,34590,17776,9703,10658,3285,1914,1619,1719,831,2537,1769,41212,36109,3506,3322,30229,5306,43538,5013,1608,1258,4005,11020,736,2725,3284,66146,14,1,1,0,4,15,17,6,110,886,53,1516,4672,1678,297,283,199,55,593,2933,879,192,758,795,826,1262,296,152,9670,9121,1282,234,1134,588,278,1648,18719,0,1353,1007,2000,2425,6339,1338,972,13234,1008,242153,8115,2403,26550,2312,17340,10732,10812,4316,7828,2643,6190,937,2271,2439,3166,460,1111,371,359,548,656,601,885,3517,5067,5022,1639,903,11100,2460,7839,642,1494,515,2626,886,279,2025,368,180,86,59,76,2946,2816,2552,16113,11694,14696,5384,9478,53247,61,5,674,1792,4,19,67,86,372,15,1372,614,3960,15370,53959,34735
"안성",2395351,607065,316720,511096,3261,303985,95137,181013,33831,53790,86261,15727,438,5275,2770,2256,21693,20637,5001,10553,18384,9557,6658,8334,1246,15694,2761,3585,12257,2979,16143,2260,416,2175,352,1252,183,60,74,48,26,2690,6509,6052,5244,1052,3371,1310,1313,2574,860,1730,4116,283149,59431,33663,21251,21793,25698,253477,129640,19795,36744,7390,3898,5390,3076,2021,3236,777,658,557,449,230,779,686,39164,36241,2461,2384,19662,3391,28548,3262,1088,817,2707,7267,517,1699,2102,42856,14,1,2,2,2,2,9,2,78,663,27,873,1780,887,577,209,139,46,52,967,638,114,633,371,578,934,263,211,8381,3569,717,191,886,507,174,1354,14660,0,1082,773,1373,1212,5770,790,600,10673,872,330566,70205,23984,25724,33587,13107,7863,13519,4979,7273,2202,5869,698,1305,1169,1094,149,593,177,199,215,295,262,376,1863,2421,1571,342,210,3092,374,1304,116,228,117,582,243,45,512,156,90,53,54,57,2567,1863,1420,7091,4759,12160,4945,9019,37590,48,1,554,1335,2,10,32,54,305,6,145,45,440,87225,32769,12423
"천안",2734795,510797,289851,471038,346176,4197,298021,528518,83137,187023,348625,35958,830,11332,5166,3865,32452,46362,11368,12920,33428,16642,11117,16224,1845,29467,6047,4047,27041,5847,25635,4228,737,3828,637,2245,214,69,100,83,29,8948,14627,12174,9898,1362,4516,2107,1931,4026,1394,2809,7058,308105,53231,38636,22463,21001,19264,213696,99154,34712,50481,11640,8046,9911,5846,3589,4815,2102,1247,2015,907,434,1679,1325,131455,97978,6986,3624,34911,5963,49990,5909,1893,1374,4616,13044,865,2911,3553,74413,24,2,0,2,3,7,16,6,59,825,30,1404,2764,1602,417,424,163,133,97,1377,933,273,1023,613,935,1310,376,351,14229,6362,1076,247,1757,831,357,2527,21062,0,1694,1642,2411,2171,9775,1698,1291,20955,1755,306607,54739,17017,6777,19168,2288,1220,3353,1155,803,160,1095,97,123,124,111,15,70,20,13,19,19,14,22,251,5182,3403,753,406,7546,700,2841,231,388,160,856,347,36,409,304,213,108,106,91,4649,2845,2509,14133,9718,37550,19809,33733,65591,67,1,1249,2842,4,19,79,92,602,11,235,69,442,42712,51415,22897
"목천",335523,65623,40068,105594,95891,263997,191,131274,34538,72157,126548,16586,379,4939,2397,2166,14276,13879,3529,5936,14457,7823,5671,9455,1359,20353,2745,2266,15473,3151,10723,478,81,302,45,165,20,9,22,15,6,3690,6772,6081,4159,538,1683,1017,611,1263,521,1257,2874,79974,16823,8044,5123,4673,4776,41535,16978,3310,7241,1563,612,653,460,208,225,60,42,62,38,18,59,48,44594,27986,1776,1839,6972,1200,9907,1312,370,270,961,2769,165,571,718,14084,16,1,0,1,1,4,4,1,18,358,18,485,1009,693,168,133,90,50,42,537,433,91,407,193,333,585,182,129,5693,2753,522,95,722,391,118,937,8826,0,949,521,1871,1067,5008,841,591,11040,634,81864,21244,5699,6228,8723,2044,884,1547,566,371,85,259,23,38,28,20,1,17,5,6,17,8,2,6,35,346,173,40,17,439,24,151,13,21,15,55,25,4,51,88,70,49,35,43,2312,1356,1002,726,437,12233,7456,14446,33763,26,1,558,1332,2,8,39,29,200,11,16,5,31,29302,28054,4859
"청주",774891,180806,72920,221405,186970,550603,146126,269,37036,70306,139668,31187,931,8936,3994,1930,17196,19929,4124,5854,16106,8335,4891,10436,1266,16911,2140,1610,13241,2142,13753,607,70,212,68,116,23,7,19,41,11,4603,8546,6027,4428,534,2052,894,804,1813,541,1268,3753,198166,39672,25377,16047,9503,8579,97473,35619,6373,4139,777,269,476,300,209,250,85,33,46,44,16,76,42,49945,42526,3374,8342,15095,2451,20401,2709,872,452,1823,5828,316,754,1179,28146,47,0,0,0,3,11,9,9,93,448,11,588,1184,627,145,119,62,30,98,1107,689,664,555,246,478,504,137,79,5528,4379,505,119,666,372,146,757,10034,0,819,384,924,1403,3919,1060,590,7111,581,173665,36747,11395,8670,15381,3263,2105,4471,1401,1091,162,621,58,35,32,8,1,15,3,0,1,5,5,3,28,323,153,37,37,380,34,133,3,12,7,21,28,0,55,116,83,44,39,65,2079,1126,950,1002,623,17212,8014,18779,31800,40,0,623,1291,0,9,31,24,255,4,25,6,43,37204,37824,6185
"남청주",134148,32197,13996,44580,32879,86031,40172,31037,403,88427,554324,199207,4336,31943,24395,5929,37867,30672,6897,8845,23987,15656,8321,11447,2066,29224,4804,5798,22868,7370,33159,113411,6002,24950,25441,5480,26923,46933,92356,93500,50934,24501,33871,25597,15127,2101,7376,2208,1573,4891,1043,3138,6052,52211,13043,4143,2567,5055,2821,27206,11115,1448,7122,2024,2824,16156,3720,2341,2968,834,332,542,277,225,557,397,181293,238370,26533,38696,51315,6349,55921,8040,2446,1539,6363,18690,934,2443,3794,45344,78,2,1,3,4,17,51,26,150,1708,73,1466,2372,1277,218,329,155,73,218,2659,1435,476,863,861,1286,1481,315,247,14729,6104,1768,242,1511,653,286,1896,16844,0,2352,1762,2674,3745,11964,1826,2663,36230,1071,51801,9780,3516,3678,3770,592,512,624,213,106,32,72,5,1,5,8,1,3,0,2,1,0,0,0,5,2823,1806,624,130,3239,179,538,48,93,31,72,52,5,79,85,57,72,71,73,3548,3925,7150,7282,2303,110950,52901,114970,62334,75,4,562,2484,5,13,53,45,343,9,91,20,93,11657,8913,1328
"신탄진",224459,52036,21800,55508,53090,186083,78542,64937,87072,5518,186544,158952,4066,26269,7994,4403,22199,16721,5048,6875,12896,8041,4903,10862,997,30332,3652,5663,13735,3716,11872,148209,8062,26243,30991,5811,32797,56137,130721,186938,59117,40623,57857,48170,14049,1740,6828,1050,839,3864,708,1388,2806,68606,16009,7452,4303,7967,3469,35797,10712,2568,8825,3114,5225,12485,5430,4015,4214,1592,915,946,805,527,1193,946,24947,190144,40667,38834,33085,4241,33251,3761,1210,613,2856,8447,342,1094,1849,27970,30,1,4,3,1,12,14,9,164,584,34,647,1562,548,134,114,64,37,111,1025,733,1424,524,933,1156,529,147,76,6120,2897,696,119,1080,307,180,955,10132,0,832,618,1068,1623,6011,935,821,23207,533,66494,13929,4110,7725,5537,1383,1201,1043,344,100,13,63,4,6,3,6,0,4,2,0,1,0,0,1,4,4507,3329,1183,244,5518,338,1182,96,155,50,84,103,9,68,116,101,47,43,27,1630,1456,3684,8908,5359,154180,68514,149189,31357,54,3,829,1739,0,5,35,16,286,6,194,27,149,12959,14371,2020
