"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","서울산","통도사","양산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","덕유산","무주","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","현풍","창녕","영산","남지","칠서","칠원","마성","동수원","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"서울",7272,7594068,2768952,3131630,2327793,2693029,358518,770279,130642,227001,512527,87849,3269,42065,18608,12293,100868,120223,26240,22588,276822,159592,80365,28554,62511,6682,105834,14959,8736,16430,177052,3758,754,6382,98757,4156,1784,10457,6276,28248,1047,12368,8552,910,7398,4254,6307,12348,2244,0,1049,94854,47885,5847,6036,1281,18124,329,1153,2547,8395,353,106,405,9522,1753,10674,39925,21147,17447,22717,77526,18954,49744,5700,18554,29479,19289,89563,68851,65046,100665,31284,2902,10152,3231,3859,4622,6823,4279,7394,31934,6369,96821,21852,279551,51517,398793,48210,14032,11277,38746,100343,24461,29294,626939,299,5,18,7,33,81,165,7697,341655,331040,53934,40819,108748,82272,10297,11458,45751,64218,9007,31169,21058,3695,687,5270,72845,13362,76763,30628,38751,15327,47937,33837,38980,10724,10768,22859,45767,83762,441306,167531,3122,7596,79824,24192,121933,1,35,177,250,1073,0,2125390,644241,1558254,1028542,189036,243165,187134,101891,67326,36231,41696,59088,47108,21697,7705,29354,214040,19116,27819,40660,106965,79474,90732,5602,7345,23014,848,1159,2210,2965,6997,42662,5608,10679,39636,9209,6190,152187,25475,101485,7215,21006,10296,240117,154885,4581,44564,5056,2739,37824,410183,316144,81609,28185,282,0,12126,6201
"수원신갈",7857517,5457,366063,646340,714160,587561,85418,194756,37508,63638,94296,15633,716,7467,3918,2984,24644,38333,9361,4941,58299,34629,17148,7116,9027,1336,20466,4951,2963,3139,26944,700,165,1658,15501,985,521,1549,1417,6376,143,2004,1802,747,1175,763,1139,1593,471,0,180,13233,4831,1079,1105,230,2808,70,189,358,1483,45,12,65,1593,357,1615,5938,5239,5371,633756,23944,6691,14370,1929,45817,31254,12257,43059,29809,20048,28948,9603,786,2596,833,976,1327,1749,1289,2051,8633,2878,16180,3083,41956,7821,58942,7292,2085,1625,5675,14792,3568,4270,91954,36,4,1,1,4,16,33,1198,70912,49550,8162,5659,15382,13204,1844,3259,9975,10016,1545,5049,2292,6200,1204,13446,30649,21058,37352,12809,16261,2878,7856,6134,6248,3220,1422,3154,7300,40252,172352,55405,669,1729,41170,9141,37725,0,6,36,56,201,0,53090,291070,239049,172194,68546,155051,87833,30920,23261,13243,9915,13831,9578,7184,3489,10050,645235,81362,122996,199161,685791,171797,114790,14002,13650,5972,167,259,461,737,1917,11202,1615,2935,14928,5308,1828,46988,10147,27468,2527,5879,2964,53731,40768,1294,12527,1238,1141,7890,82901,57484,17234,6226,59,0,2316,2808
"기흥",2871314,236637,2751,61426,269647,260234,33058,63286,12824,19300,21507,4977,174,1873,947,772,6781,15947,6492,1559,14834,6967,3521,1733,2465,299,5363,2300,1440,1015,5505,153,34,497,4027,340,219,520,444,2030,39,487,384,56,235,190,218,333,85,0,50,2976,1389,293,261,71,606,18,40,90,361,14,2,11,435,95,382,1830,1811,1437,302737,7298,1997,4041,543,13771,6006,3096,19169,11683,6813,9113,3163,236,744,220,270,297,489,349,583,2372,755,6952,614,9632,1702,13347,1634,462,366,1277,3389,804,976,20755,19,0,0,0,1,1,7,252,30606,15450,2597,1297,3618,3162,453,752,2415,2278,437,1338,521,1712,568,7220,6622,8203,10191,3037,2446,317,869,1903,2796,1041,337,829,1388,14643,58284,19694,174,615,17783,2044,8280,1,2,8,15,68,0,167085,62437,113337,57689,20483,59413,21769,11305,6358,2978,1852,3221,1690,1379,632,1916,347468,32551,45610,43709,293165,80592,30993,3752,3414,1195,22,47,84,121,392,2305,287,710,2375,1385,688,9541,3446,6431,559,1030,573,13750,7815,426,7755,460,721,1370,19445,12690,4473,1925,21,0,580,672
"오산",2935363,444261,109209,5239,546643,464464,109260,202751,42272,56276,87426,21461,718,7399,3938,3099,25326,38303,12437,7751,54641,21886,10716,7247,8631,1557,20652,5563,4155,4282,22479,625,154,1445,16971,1169,693,1503,2002,5139,498,2580,1014,230,622,804,762,1033,327,0,145,9255,8827,1277,1081,177,4807,42,134,238,782,42,10,39,1137,224,1473,3217,3959,3242,259191,11001,3064,7631,1020,9578,2848,2804,30585,22016,13384,15967,5354,569,1347,434,414,596,798,731,1005,4179,1133,21431,2308,30135,5531,42021,5108,1460,1194,4044,10451,2614,3121,65905,20,0,1,0,2,10,10,835,96339,57051,6392,4593,12862,10472,1478,2867,9118,6731,1516,4982,1941,2400,652,8302,2199,6846,2562,844,986,123,218,6742,7443,3547,1300,2514,5209,17825,68951,40821,444,1641,4097,818,4255,1,2,21,49,254,0,140720,48714,90370,34419,14585,38163,19668,10088,8979,3621,2126,1974,1769,1691,908,2543,256039,30852,28632,23912,288902,67962,25909,5542,5312,3264,98,114,76,224,427,1856,255,696,2342,1599,865,11289,2156,5328,446,1336,574,15258,10967,968,11245,1123,1125,3291,39168,33884,13244,5708,26,0,3121,2552
"안성",2389326,628799,335731,557784,5136,304410,92965,169837,32823,54912,78504,15315,613,5150,2474,2024,17084,19296,6564,7679,41006,17523,9415,5758,8015,1234,13851,2621,2559,2722,14560,483,167,1072,12374,1165,799,1179,1119,4625,68,903,766,119,607,426,628,863,220,0,392,8336,3096,813,772,184,2216,28,125,226,599,21,6,27,821,411,975,1249,1313,1395,377035,10178,3231,6924,675,86858,27800,42816,28448,16068,10146,19094,5888,131,565,184,238,244,358,274,461,2353,1100,10889,1817,20212,3695,28017,3437,1016,770,2700,7010,1725,2048,43287,26,1,0,1,2,8,9,579,67407,42823,6506,4625,11234,8334,1174,2281,9181,5130,995,3212,1412,1970,390,2257,239,1231,177,105,87,42,39,5934,6912,3115,764,1805,3963,107263,46535,12996,454,1158,291,68,534,0,1,21,40,218,0,132377,21208,38284,7371,2990,5594,3313,2007,2982,776,627,655,626,455,229,761,253493,26683,22433,18492,295150,58293,30041,2408,1723,2754,61,64,55,100,119,351,52,171,399,423,223,3112,348,957,67,147,94,6211,4489,903,9289,904,828,2491,37054,34153,11876,5089,38,0,1850,1698
"천안",2615198,514616,304833,467629,344560,7036,213471,508932,80440,185337,327720,33396,1189,11336,5020,3781,30399,46314,15346,7987,74584,33568,17656,11990,15963,1815,30869,6684,4431,6384,24541,731,279,2031,20678,1581,1647,2161,2164,9160,81,1252,1114,317,995,862,1121,1210,386,0,608,14462,6359,1006,1611,253,2878,69,167,435,714,48,6,26,1246,493,1714,117,134,204,341962,1323,302,1469,90,67825,19396,25371,9150,2810,1841,5974,1425,13,69,27,19,28,30,32,48,329,159,27304,2850,34143,6087,47481,5806,1666,1323,4577,12114,2826,3401,73095,32,1,1,0,5,8,15,927,40697,53978,11075,6541,20760,14673,1895,8312,32825,9142,1538,4575,2558,3674,732,3652,388,2342,207,58,77,68,30,12720,15814,5075,1660,2775,6721,53853,62752,28201,872,2991,556,107,607,0,7,31,47,476,1,102374,37297,50425,11479,5938,11652,6380,3594,4425,2390,1439,2183,1439,1028,435,1485,206040,18965,21149,19477,303767,49404,34060,5231,3771,5658,354,153,148,277,301,469,27,270,705,748,398,7151,582,1950,172,313,178,13242,8985,1781,20709,1683,1310,7411,130119,93876,36707,20756,68,0,2955,3290
"목천",332840,70133,43503,107224,92390,197200,301,127710,37284,74428,122042,17304,575,5210,2337,2186,14357,14803,6711,4124,38693,14379,7844,5499,8857,1619,22211,2842,2815,2743,10140,351,132,846,8942,1414,577,1871,1152,4412,35,435,553,64,483,299,456,539,208,0,160,5818,2572,476,681,107,1059,33,68,153,319,19,7,28,364,111,636,21,43,39,94622,545,132,319,27,27628,7493,10822,7458,2375,1096,2800,787,4,29,12,5,8,9,5,14,36,44,15657,1465,6799,1262,9293,1239,328,257,846,2517,549,648,13509,6,0,1,1,0,4,3,224,19297,11491,2472,1860,3482,3419,731,3379,14690,3936,531,1624,957,471,63,293,45,203,21,7,10,13,16,6249,7329,2476,513,1371,2792,36505,29717,6788,323,1419,46,4,43,0,1,18,18,140,0,18073,3550,7188,1365,383,749,503,250,261,95,58,69,65,61,18,70,42838,5025,5287,4191,79543,15936,7152,465,248,3165,130,50,103,83,105,59,5,40,45,41,38,594,25,118,16,19,7,694,405,883,10910,648,585,2092,45773,27870,12000,8048,35,0,1351,1295
"청주",729707,177283,76578,211969,178147,537922,149087,2878,36139,70475,130362,30081,940,9139,3183,2033,15281,18562,5778,3824,36214,15467,8235,5054,9556,1152,14697,2260,1817,2212,13594,320,130,714,9029,622,359,804,952,3047,76,909,834,1519,507,399,512,469,124,0,93,5270,4007,472,575,103,1149,30,52,106,439,48,14,15,503,91,576,26,17,41,192540,2051,234,883,77,46966,13326,19190,12951,5248,3197,8569,2223,0,16,1,4,1,2,2,7,49,88,12328,7921,14783,2654,20063,2585,760,417,1788,5725,743,1063,26801,45,1,0,1,5,7,10,304,71139,1545,624,372,444,374,612,4101,17690,3950,536,2188,880,507,63,162,45,139,25,7,16,74,22,5448,7795,1837,528,1042,3530,46878,44516,8463,409,1181,38,9,31,0,4,9,20,102,0,34710,6474,4012,723,208,513,306,188,204,66,48,48,54,30,19,58,96412,8620,9891,13845,188022,35624,22494,305,138,2439,44,62,46,88,97,61,7,32,30,40,31,397,23,86,8,7,12,782,531,437,6480,596,712,3483,48075,39017,16433,7516,36,0,1154,1278
"남청주",125045,31964,14082,40814,30563,85189,42535,29727,791,90893,546918,193594,4576,31570,16896,5789,41385,28083,8873,6576,66217,23963,14743,7805,11934,1869,24810,4673,5215,6208,27309,746,234,1408,13673,2155,1467,1935,2429,8530,211,2375,1758,819,951,1052,1611,1280,306,0,255,14801,5536,1705,1297,236,2687,52,153,313,1602,103,35,63,1031,213,1216,3,12,5,53834,214,35,70,4,11377,3740,4777,3981,971,730,1147,383,0,4,1,0,0,2,0,1,6,5,19818,36359,48666,6607,55814,8884,2166,1540,6140,18138,2177,3395,44244,92,2,1,1,4,21,37,1048,20695,362,127,101,315,822,1350,20207,115371,14866,2123,7881,2872,108334,5666,23135,22872,5604,24794,44864,90391,93951,82696,24793,34627,5470,1079,3198,6579,13763,11104,2191,354,2194,187,21,113,1,4,30,58,240,0,11666,1640,5836,2102,2542,17599,3946,2318,2868,666,272,590,345,255,132,480,26073,2490,5059,2126,48617,11124,3378,3442,1984,3993,47,101,79,86,94,76,6,38,78,813,133,3114,177,344,31,70,53,6713,2373,975,23668,1544,3310,28695,167311,229707,105982,53165,50,0,3298,6812
"신탄진",210748,51810,22966,52793,55727,187642,79802,64010,88529,4219,182685,154791,5214,26094,6965,4050,22469,15924,7009,5689,37168,12950,7997,4802,10513,736,31249,3554,7095,4053,11403,261,260,870,8469,891,600,1151,1553,7422,112,969,965,2284,633,1291,1820,469,171,0,70,5886,3005,494,1008,127,1586,31,64,112,579,35,7,23,567,122,662,1,2,5,71005,168,28,85,2,18145,5000,7416,9893,2346,2159,2249,466,0,0,1,2,2,0,0,2,2,5,16331,36817,30544,4798,32055,3983,1216,614,2695,8156,1019,1568,25057,37,4,3,1,2,6,15,373,43438,426,118,88,345,590,806,41346,151880,11660,1860,7714,1066,144212,8034,26526,29249,5825,31481,49711,127341,194798,77975,49920,62376,4572,512,1747,2617,15854,17244,2829,507,1588,385,45,196,0,4,20,16,237,0,11355,2630,8476,3514,4472,12692,6213,4179,4401,1539,776,871,1060,694,421,1172,35080,3444,6815,3463,68284,14157,6081,5005,4252,1985,40,47,50,94,181,82,5,81,91,1739,286,5521,308,726,49,122,79,8443,4950,458,23151,751,1151,44149,21869,172761,150638,68296,33,0,1427,4722
"대전",485660,91992,29112,90297,86534,358483,144382,122298,543884,240183,23796,902128,51942,177589,62826,24276,113719,91179,17881,14851,130595,77723,36365,15980,34909,3184,42939,7600,5566,6342,35784,1162,1215,2476,34369,2122,1274,2507,2806,11069,399,5348,3717,1014,2177,1294,1973,1940,609,0,335,31667,18873,1960,1905,405,8446,102,400,649,3352,324,99,123,2934,613,2997,14,11,4,98589,355,43,157,5,20681,5257,7299,5822,3055,3167,4543,1077,0,4,2,1,2,0,0,0,7,16,44396,101454,68771,10788,91505,11874,2807,2126,6986,18585,2422,3243,51410,240,6,6,9,12,49,91,1250,78898,582,212,190,985,1624,3513,68806,101077,99175,13843,21915,6353,291910,14459,28875,40974,10862,36729,57637,172336,286217,84388,189310,318064,4055,2320,5653,13512,14883,14006,3112,3088,7323,606,77,366,0,19,61,77,414,0,19600,6528,10711,7516,3789,24591,9672,4647,8942,2236,1262,1419,1500,1185,483,2087,48025,3559,7935,7380,102148,15257,13342,12139,6128,13377,198,191,286,603,1012,681,44,350,164,1183,563,11727,595,1534,117,223,136,19557,9724,1782,20962,1871,1888,95743,163556,423748,423601,190810,184,0,3210,3373
"옥천",77662,14943,6809,21715,14875,35931,20310,26008,194024,154062,859639,24624,11868,55560,17108,6108,26807,16491,4544,4422,33192,13735,7687,4662,7554,638,11557,1500,1219,1370,6912,109,38,163,1120,85,53,89,130,299,77,1008,865,63,411,267,344,399,112,0,71,4001,1819,265,192,56,942,7,16,50,744,60,27,35,444,56,345,3,3,1,24278,167,8,26,2,7195,1636,1884,1547,499,401,762,137,0,0,1,0,0,0,1,0,0,2,9632,21427,15380,2438,15752,2912,714,514,1952,6279,810,2113,16364,114,0,1,0,0,10,29,238,8869,233,72,54,255,376,312,7606,50945,3028,1983,2574,444,58669,2898,7620,8923,1850,6766,12150,29693,74787,19483,6272,3672,309,287,716,1685,7878,4275,733,543,1608,71,9,35,0,1,4,2,27,0,3553,475,2433,1077,676,3004,1607,1279,889,183,77,134,123,123,33,172,11989,1170,2194,2012,26207,4924,2898,933,949,2615,69,61,63,89,115,67,6,46,14,196,63,1330,83,134,16,13,18,1846,1095,142,599,86,64,15017,131463,183584,102884,106653,6,0,1075,831
"금강",2577,558,249,626,570,999,527,577,3617,4161,41928,7406,49191,6081,2445,1547,6632,3773,915,800,8057,2379,1336,990,1215,132,1535,163,370,213,1058,3,0,3,29,1,1,3,3,3,1,26,34,1,36,9,7,15,4,0,4,156,52,9,2,1,29,0,0,0,40,6,2,0,19,2,8,0,0,0,746,7,0,0,0,221,44,54,15,7,9,10,0,0,0,0,0,0,0,0,0,0,1,848,404,309,68,328,45,7,8,40,107,17,25,289,4,0,1,0,1,0,0,7,218,6,4,4,1,6,11,829,11970,103,18,87,14,2064,138,234,307,138,210,162,537,1742,443,243,288,5,9,20,65,167,124,30,51,219,5,0,1,0,0,0,0,1,0,207,15,60,44,19,73,32,18,6,10,1,3,3,2,1,0,409,87,68,50,702,140,98,44,14,367,4,5,7,13,4,8,2,2,0,5,1,33,2,8,2,2,0,32,14,3,3,1,1,452,3530,4975,3228,4757,0,0,284,339
"영동",35882,6524,2326,7073,4865,10792,5565,6688,28034,24946,160529,54190,6364,5688,33544,9325,32544,17349,4401,3880,34982,14614,5562,2703,4703,546,7137,1510,788,1217,6789,6,0,4,17,2,1,2,0,5,7,82,46,8,19,14,25,15,10,0,3,183,66,11,8,0,33,0,0,1,48,6,6,0,23,0,18,0,0,0,8754,30,3,9,1,1550,485,662,597,247,207,225,60,0,2,0,0,0,0,0,0,1,0,6648,15177,7818,1073,9219,1426,431,452,1026,3132,249,373,4496,29,0,2,0,1,2,1,103,2844,45,23,21,177,165,15,3008,35953,173,33,210,28,20991,939,1959,2699,597,1442,2227,4467,12850,3082,890,1691,9,16,42,85,1602,1027,218,340,1684,15,5,21,0,0,1,0,1,0,1409,144,544,339,237,886,409,209,168,32,18,19,36,25,19,45,4971,372,945,632,10076,1616,1203,377,126,2210,37,33,33,62,95,47,5,44,16,50,20,281,15,48,25,10,7,370,222,1,9,2,4,3530,16261,29405,19341,17577,2,0,1054,1465
"황간",17520,3500,1321,4591,2663,5507,2998,2800,16990,7111,60182,17878,2973,36012,1903,9038,57736,37089,7043,6893,42829,22940,9511,4544,6618,806,8001,1724,802,1220,6227,2,0,0,5,0,0,0,1,2,3,44,43,3,16,5,11,14,4,0,2,97,38,5,0,0,23,0,0,2,26,5,1,1,11,0,1,0,0,0,5439,13,5,3,0,1090,291,396,185,73,49,104,13,0,0,0,1,0,0,0,0,0,0,7454,2007,1720,259,1847,245,53,43,229,712,43,113,1321,15,1,0,0,0,1,1,21,881,27,14,7,35,46,10,1359,19159,78,17,112,11,14308,625,1352,1330,294,802,1003,2006,8442,1591,429,503,6,11,15,84,1357,1017,145,430,3101,29,0,20,0,0,0,0,0,0,870,65,470,289,112,408,190,102,76,10,10,7,7,4,10,12,2919,241,378,402,5661,1023,656,130,55,4168,51,40,61,79,126,45,5,55,9,36,4,127,4,20,14,5,4,139,91,0,2,0,0,929,6263,11318,6944,7185,1,0,887,449
"추풍령",15672,2958,1383,3909,2175,4224,2541,2024,5911,4304,24271,7362,1904,10840,8863,80866,19841,22505,4792,4132,23844,13912,5066,1897,2272,232,2447,920,545,545,2582,0,0,1,2,0,0,0,0,0,0,14,7,1,2,1,4,2,2,0,1,29,8,1,0,0,5,0,0,1,7,1,1,0,4,0,3,1,0,0,4332,10,0,3,0,1266,246,369,900,69,33,73,12,0,0,0,0,0,0,0,0,1,0,2219,1398,1387,148,1174,162,59,37,149,406,37,41,553,6,6,0,0,0,0,0,24,1309,7,10,4,27,29,1,713,6059,47,11,45,3,10990,574,1537,1423,358,697,1021,697,3117,784,215,277,2,4,4,17,975,491,143,376,1615,3,6,17,1,0,0,0,0,0,679,87,328,237,133,329,123,60,139,5,5,4,11,3,8,8,2356,130,548,283,6035,1379,381,41,31,2681,30,20,16,31,50,24,1,23,8,7,5,65,2,11,7,4,5,67,40,0,0,0,1,446,3779,6460,3704,3370,0,1,361,387
"김천",103868,22697,10500,23895,16576,32694,14206,14116,37615,21624,110527,27728,7056,33680,58001,22682,6074,242691,69634,29228,240898,198481,59714,26062,26632,2921,27293,4576,2866,3389,20204,0,0,1,1,0,0,0,0,1,2,23,15,0,8,8,5,8,3,0,2,51,18,4,1,0,14,0,0,0,30,3,3,1,4,0,5,0,1,3,29671,80,8,17,2,7708,1790,2588,1947,371,274,572,142,0,2,0,0,1,1,0,0,2,0,19476,8662,9726,1263,8737,1076,365,382,1571,2188,149,245,1707,22,0,0,0,2,1,0,103,6315,92,35,37,140,121,6,2183,22298,254,45,145,12,76877,3571,13058,7458,2786,5185,7005,4183,22290,5654,927,2065,5,5,9,30,7561,6483,878,6980,9577,101,62,247,0,0,0,0,0,0,4124,786,2754,1420,968,3278,1036,212,185,44,27,36,29,22,13,43,15897,921,3692,1897,39729,8041,2930,297,153,30272,281,360,274,424,609,230,22,213,62,41,24,310,32,98,69,27,45,363,210,0,1,1,0,2218,17094,36539,17035,14245,3,0,2988,2438
