"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","통도사","양산","서울산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","무주","판암","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"서울",5431,7870060,3011849,3069237,2252435,2530131,350315,735381,109827,254842,480073,87088,3521,27039,15656,10089,73313,93118,21488,16926,248989,121866,56784,20054,13397,5988,69822,6391,11745,10970,143633,3028,705,4605,79104,3000,1395,8327,4580,18898,963,10325,10597,1182,7993,4552,6558,12198,2344,0,1252,98384,45321,6276,5703,1248,17168,197,826,2302,7769,290,89,326,9292,1590,10504,42235,21209,19305,19381,82647,19588,55509,6467,17426,26001,17982,83429,78265,80562,117216,33111,3434,11737,3762,4108,5733,7660,4818,8196,34366,6971,83340,3322,4096,4724,62527,17797,277593,47293,404430,49964,13329,10642,39442,99199,25315,29745,635845,136,6,7,6,20,89,160,7499,356930,351504,47712,38958,112255,85618,9430,10777,43153,63146,9173,31484,21614,3485,649,4880,64041,13076,70403,28586,35012,13853,48324,33896,39373,8649,10793,24529,45247,85626,450012,220960,14397,11250,94727,24291,90992,18104,5386,21100,32727,18528,1,18,111,184,732,1,2323998,679172,1561525,1023171,183093,217381,174570,108493,58307,32633,36454,57966,49176,20244,7008,26306,209341,17211,26707,39870,96165,71160,77700,5597,7096,18661,490,485,1183,1678,5008,34103,2116,8297,38012,9729,5773,133464,18981,99019,5960,19562,9317,143360,115776,28784,8393,14814,51165,4022,28324,4039,2164,37415,396109,306928,76710,27855,217,0,10683,4631
"수원신갈",8099147,5868,474649,694991,682527,572207,87523,196715,33673,69896,93703,14808,918,5837,3163,2407,18260,37395,11000,4419,61564,32108,14827,6515,2872,1554,13923,2407,2841,4389,23702,579,164,1252,12761,854,388,1315,1144,4974,135,1778,1854,616,1382,902,1226,1735,433,0,214,14427,4778,1223,1100,303,2872,35,198,345,1441,40,20,58,1728,295,2477,6866,5587,6362,711500,25566,6633,14645,2171,47992,34148,12784,41675,31406,22980,32706,10133,935,3425,936,1007,1491,1928,1259,2305,9595,2886,15329,782,1029,1100,10694,2592,42121,7160,60774,7602,2038,1590,5892,14808,3753,4422,94776,16,0,1,1,2,10,29,1140,72336,53855,7421,5755,16175,13836,1795,3138,9838,10555,1493,5332,2725,5093,1070,12619,29945,19117,37467,12298,15180,2709,7904,6534,6960,2293,1442,3234,7605,41509,179123,80998,5487,3472,44535,9696,28481,6510,2775,8241,11526,4229,0,5,23,35,255,1,60326,314490,237496,177918,70458,145501,81847,29676,21780,12280,9534,14223,10470,6559,3222,9381,709325,90082,141066,224176,706611,179261,115348,14224,13452,5503,94,95,275,545,1444,8572,569,2478,12930,5478,1771,45735,8953,29101,2119,5609,2677,30937,30526,9104,2686,3382,12372,974,8050,1120,1057,8763,86578,59498,16803,6613,36,0,2345,3021
"기흥",3026375,262205,2142,70953,276117,261940,35121,64475,11342,22015,23419,5576,280,1665,882,643,5142,13328,6551,1394,14654,6403,3024,1717,751,379,4077,1132,1020,1466,5462,155,44,447,3978,256,211,514,349,1808,36,465,464,74,289,193,269,390,83,0,42,3477,1312,343,299,71,641,10,45,88,371,8,3,11,550,86,552,2150,1711,1873,338444,7596,1906,4309,706,14220,5670,3884,20743,13435,8236,10900,3290,286,940,262,301,399,503,376,745,2994,817,6845,347,428,312,2643,606,10670,1792,15265,1904,510,395,1480,3718,937,1109,23794,7,0,1,2,2,2,4,281,30658,17442,2738,1406,4281,3784,459,913,2790,2670,546,1429,635,1517,439,6761,5857,7588,10418,3194,2767,325,1067,2149,3963,749,368,875,1600,18404,64707,33288,1228,879,16557,2055,6890,1122,597,1828,2573,779,0,0,5,7,91,0,166361,68206,106803,60214,20997,56892,20256,9752,6020,2825,1953,3339,2034,1461,580,1937,362936,38054,49912,49725,317306,87278,31959,3979,3378,1542,18,40,61,91,318,1830,148,627,2357,1505,797,9781,4175,6785,635,1262,485,7723,6298,2032,733,834,4712,425,7895,408,713,1503,19969,13517,4538,2125,12,0,586,1189
"오산",2881875,472273,129324,4439,565363,451329,116201,221444,37765,62654,82704,20793,814,6179,3386,2377,20298,31167,12215,7033,50558,19103,9096,6174,2834,1777,15023,2919,3475,4389,19224,497,166,995,16254,1318,712,1391,1603,4272,422,2380,1174,268,799,757,780,1101,318,0,194,9722,8810,1486,1098,201,4729,32,100,225,731,29,11,31,1128,220,1526,3549,3631,3702,318337,12590,3469,8735,1140,11987,3141,3654,34698,26527,15738,18420,5742,572,1585,456,447,756,981,665,1112,4621,1200,20552,737,1198,777,6487,1899,31148,5366,44534,5538,1479,1176,4387,10897,2815,3281,69941,12,0,2,1,0,9,15,834,95381,60998,6106,4527,14034,10867,1567,2661,9310,7009,1547,4893,2112,1945,496,6056,1869,4277,2393,906,934,140,284,6971,7393,2598,1090,2862,4879,22745,82792,60145,900,1376,4631,837,3643,642,234,1176,1611,450,1,9,23,28,266,0,142864,44090,62699,19707,10173,26692,14373,7598,7980,2841,1657,1740,1656,1301,726,1963,271264,36144,34457,30921,310791,74849,26505,4866,4207,3247,61,71,86,110,276,1574,128,562,2165,1425,749,9285,1444,4694,369,1176,493,7728,6885,2552,805,924,3305,989,8994,1234,1087,3944,38999,34159,12447,5774,29,0,2534,1835
"안성",2275472,583025,351525,564950,3301,305681,87655,154976,29799,57780,74049,13513,644,4342,2179,1550,13089,14029,5340,5867,34482,14680,7155,4477,2774,1020,9877,1898,2269,2032,12125,407,176,656,10975,1005,602,1042,905,4028,66,947,880,242,693,468,670,832,244,0,270,7814,2864,752,746,216,2078,30,89,186,494,21,6,22,888,295,1236,1010,975,1554,378416,10255,3219,7530,807,93163,29144,45823,31592,18338,10816,19100,5954,153,570,222,164,224,275,257,370,1956,909,9808,755,989,743,5855,1303,19192,3274,27417,3477,916,709,2716,6735,1702,1990,42663,8,0,0,1,3,5,7,530,63488,41060,5516,4423,11473,8401,1007,2349,8493,5197,1006,2839,1545,1550,291,1538,188,907,164,73,81,45,32,5310,6593,2638,908,1946,3822,103285,44234,31295,256,950,343,77,470,49,21,87,183,98,1,0,16,25,178,0,131303,13820,14328,3827,1905,3935,2658,1606,2187,641,501,612,602,442,172,553,243815,27488,24857,17339,288810,56054,26443,2219,1367,2750,70,60,38,70,81,275,19,137,343,365,191,2465,300,740,60,143,76,2867,2728,832,257,318,1113,711,7476,819,573,2432,35094,33723,10840,5567,20,0,1548,1516
"천안",2447487,499550,316293,450535,339583,4269,137407,474741,75721,199449,306690,30259,1397,10683,5026,3699,27352,42660,16973,7977,73530,30016,13848,11173,5004,2181,25624,3797,5947,6296,21691,666,281,1302,19437,1498,1674,2062,1946,8641,70,1028,1302,410,1006,905,1100,1198,388,0,719,14656,6045,1013,1553,370,2577,74,125,379,671,24,10,44,1299,314,1705,151,130,268,350265,1593,428,1682,143,79239,20143,27151,10830,3768,2543,7145,1549,18,76,18,17,37,38,32,53,377,175,26425,1448,2434,1651,13915,2255,33970,5735,48666,6071,1623,1261,4797,12063,3005,3505,75494,15,0,0,1,5,4,11,921,41296,60182,10133,6265,22140,15646,1723,7694,29083,9520,1601,4722,2838,2754,586,3155,351,2117,150,49,81,66,30,12440,16221,4332,1479,2881,6730,56672,67781,110433,752,3031,545,151,507,68,27,92,308,338,0,6,21,64,512,0,98261,36807,27767,8298,5090,10131,5599,3159,3948,1386,1223,2362,1539,883,405,1285,183966,17446,20065,17700,290950,46286,29311,5388,3691,5557,192,100,115,157,220,271,15,234,559,692,386,6635,462,1751,112,285,168,7891,6531,1781,496,822,2697,1490,17451,1583,1326,8242,120113,91626,34297,20414,52,0,2808,3625
"목천",334941,75127,46568,117460,88598,128709,727,184139,47259,122532,178230,24290,1052,6700,3134,2846,20002,23574,12510,7256,66631,20312,10568,10744,11368,1875,35292,4452,4042,3683,14556,520,166,908,11898,1847,877,2029,1627,6278,30,731,943,221,742,594,747,715,289,0,235,8701,3601,679,1016,168,1429,43,95,188,448,19,3,65,680,177,862,18,16,48,103947,563,111,365,34,31599,8382,12193,8734,2500,1028,2780,684,4,14,3,3,11,5,8,12,59,39,27748,1556,1845,1015,9856,1568,6929,1234,9864,1297,343,254,947,2613,557,673,14289,7,0,1,0,2,3,9,200,11851,10636,2180,1769,3624,3129,923,4930,22362,5997,894,2452,1444,458,60,313,38,217,15,14,11,18,5,9730,11809,4567,834,2084,3890,37329,31561,23202,457,2526,52,15,43,16,7,22,113,161,0,5,31,43,311,0,19780,3424,3766,1000,397,699,484,236,297,119,67,88,75,52,20,73,42915,4821,5557,3938,82326,16151,6579,539,254,4990,95,92,135,116,93,65,2,30,50,71,27,648,29,137,13,22,11,523,368,126,43,63,225,1066,14643,876,1602,3138,65264,39243,16747,13167,29,0,1993,1690
"청주",708169,177691,81966,234133,161939,497931,206902,7871,33619,72234,126010,27500,1233,7730,2993,1696,12003,17289,5526,3878,34741,14665,6917,4051,3115,989,10951,1347,1802,1604,11516,321,112,475,8475,535,280,619,986,2609,67,864,914,1545,588,386,535,386,103,0,104,5304,3825,492,468,139,1011,25,56,80,434,21,8,20,532,75,507,22,23,53,194808,2577,257,959,80,53406,13474,20290,15498,6205,4027,10135,2294,3,20,6,3,6,4,4,5,50,106,11285,746,1465,622,7799,6774,13612,2352,19284,2670,637,368,1588,5659,798,989,25259,27,1,1,2,1,2,14,301,51582,1540,557,368,531,337,515,3695,16003,3722,506,2184,840,423,57,174,41,138,18,8,12,66,14,5560,7578,1091,515,932,3318,48840,48294,19823,377,1246,41,12,36,6,2,7,95,165,0,2,11,24,138,0,34408,6510,3100,580,195,434,289,186,196,52,51,42,48,52,13,46,95010,7782,10993,12077,180638,34047,19308,294,156,2482,45,53,48,64,87,44,3,17,24,52,18,442,22,95,4,5,5,541,329,138,41,51,133,525,5180,581,566,3853,45194,35974,15127,7444,33,0,1075,1198
"남청주",105197,29188,13517,37845,27066,79061,51972,28050,913,98467,547369,180122,5276,32000,16560,5446,37622,25223,10156,6098,56905,22434,12667,6124,4338,1391,19890,3108,3989,3059,17696,598,221,954,11268,1368,899,1731,1552,5850,211,2165,2498,2315,1005,1273,2289,1191,278,0,235,14071,5045,1834,1095,240,2344,46,109,225,1445,95,24,64,1164,242,1709,0,1,3,46164,233,35,92,1,12094,2709,5555,3736,1185,960,1251,269,0,1,0,1,1,1,0,0,1,8,16257,1510,1822,1286,10316,34820,45087,6245,53994,9014,2023,1387,6428,18063,2270,3476,44346,38,1,3,4,7,22,36,1088,13543,302,104,89,420,890,1273,17567,104171,14187,1975,8487,2936,95577,4608,17910,20669,5335,24876,39514,85763,94499,86458,24967,33737,3945,983,3122,6069,13845,10904,6705,374,2679,171,29,100,16,85,24,90,143,0,4,13,46,175,0,9423,1288,3506,1556,1720,16490,3864,2069,2989,603,264,517,285,261,143,356,22068,1856,4819,1912,41329,9091,2755,3293,1908,4187,92,81,90,101,84,48,6,38,46,747,137,2484,136,281,26,47,35,3910,1493,475,160,286,1060,824,13182,970,2193,28990,153748,225118,105948,50024,44,0,2382,4155
"신탄진",231607,57910,27505,57988,57026,198656,126017,68325,87914,4061,178712,148216,5727,26525,6228,4002,19048,14735,7169,5345,37794,11816,6809,4181,2381,882,28835,5637,3889,2909,10234,291,426,679,7437,906,495,835,1513,6893,68,884,1307,3430,656,1032,1664,438,106,0,57,5042,2689,554,619,132,1604,31,54,86,503,32,8,26,560,124,653,3,4,9,81501,217,37,62,2,20624,5966,8953,10152,3591,2432,3022,593,0,0,0,1,0,0,0,1,3,8,15383,1051,2132,516,7571,35923,29043,4340,31909,3961,1129,557,2577,8251,924,1344,25801,19,0,0,0,0,4,14,367,33169,460,90,89,396,593,700,36965,136192,11392,1850,7918,1108,151636,7893,28573,32102,7913,35376,53233,138559,225481,101714,51309,63559,3081,437,1852,2189,18135,18894,9733,479,1545,358,83,157,21,59,51,264,559,1,5,12,8,192,0,12332,3337,7518,3542,3452,16856,7462,4751,4656,1390,852,1184,1063,743,513,1055,35228,3302,7310,3621,71063,14019,5645,6451,5149,1968,34,69,50,95,147,77,6,65,90,2399,292,6281,291,782,46,151,85,5611,4361,960,341,613,2567,510,18348,626,1565,43123,19759,154833,143688,62934,20,0,1357,5441
