"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","무주","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"서울",5085,8062143,3174657,3132132,2275201,2541920,345782,734317,101621,279476,470209,89139,3918,25523,17045,9607,68750,81325,19120,16394,243757,117020,16736,11833,5850,66057,4743,9584,9953,83766,10189,2415,781,3867,48004,1862,820,2630,1617,5533,926,9215,12677,1267,8397,3956,7326,13543,1757,0,589,37524,41385,4924,4110,951,16936,99,712,2157,6859,257,88,262,8960,1714,10692,47123,20195,19066,17420,77011,19621,53889,6451,15267,24514,17088,84273,75424,77823,116522,34504,3045,10282,3502,4271,5512,7519,4483,8189,33470,6540,78250,3592,4191,3800,63442,8309,13525,3297,26153,3143,1064,880,2869,6550,1943,2220,35828,139,6,21,15,20,90,148,501,399844,411605,59583,44633,128119,101017,9083,10301,42363,59213,8727,33427,22375,3052,525,3889,61222,13046,68606,27474,34310,13770,55267,33736,40121,7814,10708,25068,45553,2592,12085,2140,67568,85601,479577,278349,22031,10307,97866,22381,88547,16878,6081,20289,36230,20286,0,10,50,89,472,0,2574004,660581,1470668,980714,168131,208046,168626,107881,56590,30377,31352,50178,42237,18068,6109,22043,176327,14319,20900,36396,84141,59369,63266,5100,6586,17915,529,385,972,1484,4583,33582,1643,7350,35444,9245,5051,130288,16145,95253,4927,16682,7586,133808,101295,27025,6531,19266,43726,3068,7967,2537,1204,34657,38644,376316,302174,73452,26225,146,0,14580,8315
"수원신갈",8185166,5412,531876,775708,633768,585828,90490,198098,31454,75097,93186,14827,1037,5215,3388,2209,17139,36972,10358,3936,51250,31319,5655,2558,1505,14051,2013,2371,2486,16132,1974,534,112,1135,10045,470,281,606,491,1240,134,1555,2068,589,1451,923,1421,1792,321,0,105,6260,4300,938,819,183,2851,26,161,385,1254,45,25,73,1693,336,3316,7491,5321,6285,692832,25141,6768,14293,2305,43170,27161,12692,47041,33758,23513,33803,10386,945,2887,943,1133,1501,1901,1318,2353,9151,2779,14515,971,1294,964,10916,1201,2405,576,4416,606,172,133,460,1023,255,321,5089,15,0,3,1,5,17,26,92,80601,64130,9171,6506,19027,16738,1882,2871,10899,10102,1522,5448,3941,4603,952,10506,26345,18157,34812,11472,15311,2397,10148,7088,7368,1544,1493,3585,7745,599,1718,386,9839,41703,176533,95760,9817,2954,45297,8662,27211,6460,2429,8150,12659,4677,1,1,5,18,133,0,67921,307726,231276,175647,66938,142389,75853,29088,20782,11642,8590,13050,9788,6178,2700,8233,629728,84060,136800,187704,666823,166012,102470,12633,11911,5170,99,80,280,474,1391,8768,481,2179,11630,5374,1739,44242,8077,28337,1943,5510,2363,29732,28781,9084,1995,3642,11824,745,2354,696,612,9449,9390,84940,59627,16746,6357,36,0,3495,2263
"기흥",3134307,309407,1964,86050,260500,257705,36031,66287,10625,23455,23522,5435,215,1554,920,594,4568,12687,6369,1592,14149,6714,1647,904,481,4935,1058,1177,821,4979,716,153,46,323,3267,221,195,243,144,514,32,425,513,79,356,174,303,432,99,0,26,1491,1041,260,278,57,660,10,28,62,277,9,8,8,486,79,481,2371,1658,1938,344283,7281,1791,4226,609,12935,5316,3892,24546,13657,8363,11490,2967,281,759,233,261,352,473,393,695,2727,899,6852,272,575,233,2719,315,588,98,816,115,31,25,95,191,51,55,985,9,1,0,2,0,3,2,12,31212,21109,3911,1514,5150,4626,417,1030,3044,2534,527,1492,709,1530,399,6236,5504,7602,10468,3366,3051,306,1330,2127,3441,364,393,845,1782,139,477,137,2534,18644,65523,43854,2479,804,18351,1991,6880,1218,629,1771,2887,1108,1,0,3,11,57,0,156486,68125,103646,61592,20599,56746,18627,9192,5647,2573,2056,3168,1892,1378,583,1674,310723,34921,46479,41502,308580,79572,27202,3761,3526,1401,34,36,59,118,288,1942,136,562,2344,1439,718,10181,3696,6675,562,1195,479,7585,5955,2021,517,888,3995,455,2989,279,512,2101,1225,18825,12780,4805,1828,11,0,1461,1058
"오산",2978749,565405,152690,5970,608581,491045,120922,222022,35007,68208,84239,19924,916,5837,4019,2277,18173,32638,13121,6908,49006,18853,4998,3418,1540,14855,2545,3477,2462,12490,1849,453,240,945,14610,711,360,1648,561,1234,83,1633,1426,280,988,622,995,1221,244,0,89,4306,8675,1002,1128,187,4577,32,99,283,724,37,6,38,1225,252,1476,4526,3632,4126,330763,13414,4556,10337,1195,12243,3337,4210,41622,29481,16988,21156,5826,581,1490,499,500,758,933,750,1077,5020,1362,20279,818,1475,705,6941,924,1530,406,2548,340,119,74,295,554,222,237,3131,13,0,1,1,0,8,18,45,104077,71339,7660,5330,16447,13509,1448,3012,9878,6824,1628,5522,2398,1834,380,5038,1496,4394,2461,901,774,62,285,7142,7078,2009,1219,2494,4924,461,1413,280,5801,23807,87515,87928,1069,1343,4934,1133,3747,649,314,1034,1855,702,0,0,13,30,196,0,134163,44806,57870,16771,8964,21739,12256,6739,8641,2747,1655,1576,1737,1123,618,1584,239470,36634,34668,28441,315820,76300,24345,4520,3750,3272,75,115,80,123,243,1528,98,552,2173,1584,558,8552,1318,4909,374,1027,343,8209,6183,2303,596,1006,2895,824,2546,736,658,6010,3597,39381,34474,13133,5852,21,0,3010,1936
"안성",2301258,566813,343031,593410,3118,334414,95066,157281,29286,61467,73990,14429,593,4111,2652,1516,12173,13646,5051,6409,33861,14530,4148,2919,1035,9642,1626,2314,1861,9229,1061,348,154,525,9125,596,383,646,395,974,70,2177,938,200,714,415,725,801,198,0,139,3536,2937,675,562,162,1701,18,67,141,461,22,7,22,828,236,3092,1587,1022,1703,383908,10285,3677,8126,909,96910,31977,50648,34607,19635,10309,20877,5357,142,562,164,188,193,327,246,350,1992,1083,9533,866,1039,671,5835,726,1054,271,1777,257,84,57,226,454,97,131,1988,8,1,1,0,2,6,7,56,74453,49203,7114,4752,13300,10219,893,2360,9387,5027,995,3034,1554,1609,219,1312,179,811,154,30,30,7,23,5658,6417,2704,1014,1840,3777,282,957,446,4424,115662,47665,40287,241,857,329,94,355,76,21,98,155,111,0,1,8,23,182,0,128961,11706,9772,3006,1565,3687,2302,1416,2253,480,439,551,530,346,134,417,221866,25852,26050,16934,281802,61928,24933,1958,1134,2795,94,45,35,64,66,250,17,95,301,278,170,2386,192,721,61,110,50,2570,2373,771,178,307,871,605,2202,578,433,4762,2625,33771,33660,11081,5252,16,0,2161,1319
"천안",2478719,520404,322602,483292,372494,4665,135249,494524,77943,219154,306207,30897,1348,10521,5907,3042,25112,45783,17823,7995,72352,29774,10668,5640,2273,26401,4635,6594,5304,18327,2402,564,369,1345,18329,1017,1078,1150,761,2096,63,905,1532,869,1167,1012,1224,1403,326,0,433,6540,5491,849,1699,242,3076,51,151,300,637,23,9,21,1253,341,1633,204,124,273,374967,1665,367,1946,126,85255,23094,31403,12908,4130,2915,7338,1376,12,80,23,11,24,35,26,87,322,211,28093,1808,2404,1440,13790,1256,1994,373,3115,380,147,87,362,824,172,193,3027,14,0,1,1,2,10,11,79,53156,76163,13898,7197,26264,18133,1868,7561,29999,9399,1625,4736,2735,2888,479,2864,285,1799,117,34,32,16,25,12732,17654,3810,1781,2729,6770,539,1717,708,9019,69994,80324,167550,811,3197,560,128,531,90,19,90,319,315,0,7,16,30,332,0,98622,35377,21851,6352,4594,9151,5177,3025,3469,1283,1156,2331,1616,910,324,1100,169752,16790,20684,16135,284178,47004,25918,5041,3306,5288,116,121,111,154,223,323,23,146,512,676,343,6399,371,1542,93,254,115,6615,6086,1739,409,767,2509,1516,5259,1199,978,8797,8430,116601,96172,35630,20377,53,0,5003,3288
"목천",332815,79178,49762,124461,94926,131105,174,203603,50130,141679,196089,28067,1145,7329,4034,2861,21309,28099,12783,8149,68283,20886,10856,12664,2030,37167,3264,5188,4373,13989,2274,447,265,1147,11280,933,613,928,657,1552,39,672,1052,438,663,659,1048,825,263,0,160,4191,3244,666,998,132,1766,23,79,180,383,16,8,37,684,215,1047,19,16,36,108209,621,136,422,51,35371,9613,15116,9761,2792,1145,2728,793,0,17,2,4,4,4,4,8,35,55,30271,1355,2160,964,10718,1371,2461,473,3763,506,138,82,362,1041,187,236,4382,6,0,4,1,0,5,8,74,13005,14264,2834,1835,4331,3410,1054,5776,25454,6112,883,2702,1512,446,56,234,32,128,14,8,4,5,7,11677,13057,4064,926,2065,4289,345,1068,530,5841,45339,37964,32194,533,2137,55,8,43,7,7,22,118,154,1,2,37,26,252,0,18613,3097,2354,659,316,566,425,260,213,77,66,87,74,48,17,65,40906,4358,5312,3913,87337,16769,6208,445,219,5189,81,77,85,111,105,62,0,23,28,59,33,529,29,112,16,20,18,464,340,114,21,61,153,928,3982,695,1154,6965,3534,66406,42482,18710,14540,21,0,4405,2728
"청주",710698,181903,83974,232479,161626,507317,233224,1691,38063,79594,131333,29059,1467,7265,3164,1545,11056,16675,5310,4037,32108,13962,4136,3230,952,11408,772,1808,1476,7751,1362,253,114,453,7673,321,209,399,369,823,80,818,1026,1743,531,327,591,455,81,0,46,2256,3773,368,466,75,995,14,40,77,445,30,18,12,358,97,525,20,10,43,207592,2788,277,1078,106,56769,14438,22831,19611,7091,4288,11247,2264,4,23,4,3,2,12,4,6,51,99,11906,819,1453,547,7789,6437,13206,2160,18339,2887,635,361,1700,5416,675,1011,25255,33,1,12,3,5,15,11,280,54653,1772,719,358,600,402,448,3920,17777,4483,546,2318,893,445,54,120,30,86,20,6,10,20,11,6316,7800,842,453,884,3025,193,567,152,3273,55320,50076,27333,311,930,33,8,37,4,3,13,82,136,0,2,6,15,125,0,34082,5957,2589,490,184,376,259,154,186,46,37,35,47,39,13,45,89820,7604,11651,10591,179197,36312,17399,272,150,2511,48,47,40,60,74,55,1,18,14,41,23,375,12,76,4,7,3,434,301,113,25,43,120,481,1547,414,443,4594,3882,43028,38095,14669,8694,18,0,1958,1269
"남청주",98995,29895,13475,35558,27455,77644,53988,32759,107,117657,568890,181151,4812,30526,16130,4740,34920,26472,11318,7213,51061,21023,5870,4369,1409,19927,1789,4482,2615,12584,1641,481,284,751,9078,625,458,683,612,1212,175,2031,2767,2352,967,808,2015,1200,274,0,112,6407,4435,1491,827,163,2541,30,116,309,1409,87,63,52,1032,310,1275,5,3,2,43739,246,23,73,2,12273,3377,5366,4100,1288,784,1231,207,0,5,3,1,0,0,1,0,3,8,16009,1446,1866,907,10927,35205,44968,6171,53377,9135,1882,1308,6621,18838,2390,4335,47021,61,4,14,1,2,58,25,989,15176,350,165,77,419,1305,1284,19182,103772,13990,2269,9857,2693,90859,4411,16492,20093,6456,25428,38431,88617,104389,93890,26256,33552,2569,1107,2985,5691,465,1286,348,8912,16233,12521,10104,339,2793,175,26,104,21,108,19,109,128,0,3,16,29,130,0,7419,1308,3137,1451,1753,16168,3299,2111,2994,864,270,524,320,252,143,328,20486,1787,4400,1848,38216,9498,2678,3105,1857,4212,83,72,63,77,54,49,5,15,65,706,150,2654,109,329,21,77,19,3581,1251,459,126,239,1073,641,3043,580,1316,7813,31058,157393,236459,108707,50124,27,0,3466,2460
"신탄진",263856,66373,30291,63677,60201,214679,149494,72782,98937,2888,198081,146458,6479,25310,7853,3311,16411,14707,6869,5228,35269,10594,4083,4022,1024,26390,1341,6811,2286,10407,1707,241,548,529,5846,477,321,426,801,975,81,824,1407,2546,640,760,1706,341,97,0,55,2791,3874,367,813,63,1150,26,47,85,463,41,26,19,484,96,589,0,2,6,93630,297,34,53,3,22913,6922,10206,11347,4316,2941,3867,478,0,1,0,0,0,0,0,0,3,4,15726,1465,1534,441,7926,36168,28428,3623,31539,4394,1196,511,2788,8172,877,1411,24596,19,2,9,5,2,18,11,327,34332,579,180,93,527,742,763,37430,135094,10880,1838,8096,1104,171516,9067,29254,40185,11433,43894,59510,148696,248747,126749,48662,57820,1942,504,1484,2066,193,436,132,2876,21359,22013,14618,472,1539,413,73,159,39,28,53,334,578,0,3,3,9,165,0,13571,3501,6689,3569,3979,17224,8074,5694,4705,1666,871,1274,1273,770,439,1140,37995,3661,7879,3772,73738,15856,5938,7004,4686,1943,38,60,53,56,149,65,7,102,98,2240,276,7264,228,817,44,135,49,5572,4410,970,268,725,2647,517,3385,381,1055,4364,45128,23421,165064,142507,61757,15,0,3958,3181
