"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구.구.","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","장수","팔공산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","북통영","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","대동","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","수성","청도","밀양","남밀양","삼랑진","상동","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금","주암","승주","내장산","남천안","풍세","정안","남공주","탄천","서논산","연무","남논산","풍세2","지곡","남대전","판암","무주","덕유산","서상","동서울","경기광주"
"서울",5647,8118404,3570144,3206152,2228007,2508719,333155,721741,100550,316636,454335,94168,4722,25261,14239,9251,64589,77114,15283,16372,246713,112661,0,16568,11800,6243,64105,5099,9718,10803,76744,9873,1982,518,3210,28502,1130,588,2015,1019,3003,1470,6565,8838,1340,7581,3853,7415,13436,1543,0,469,36641,40686,5017,3601,689,16321,314,694,1783,5836,242,468,257,8743,1775,10389,51234,18417,17796,19605,76118,19807,54492,6910,14898,23581,17201,83659,83094,83548,121911,36130,2827,9903,3120,4140,5209,7604,4636,7545,33954,6834,81471,32273,9556,3354,4201,3373,63954,6690,10053,2252,17558,2317,738,610,2500,5006,1364,1736,24812,202,80,224,132,96,3273,59342,11711,63513,26936,32024,13460,56997,31516,39495,7323,10306,24961,46939,2174,11511,2629,10122,77945,88846,482058,281054,22721,9317,102742,20865,83203,15599,6119,19022,39401,20489,532,348,312,176,466,6051,2759055,694394,1360068,928335,168333,200343,192424,112979,49744,28521,29635,42060,39387,15521,5304,21141,175149,12814,17678,37379,70045,54616,53116,4473,6860,17165,432,318,838,1207,3816,32562,1341,6744,34492,8683,4401,121316,14676,100895,104170,4337,14921,7143,126198,84442,26239,5803,21665,38753,2393,4808,1951,866,27134,16554,3429,5894,4096,2351,5472,36425,351129,292023,67135,25023,795,0,16549,9636,525,250,465,419822,60,416765,88494,38690,141152,110336,2030560,0,8201,10342,45047,53930,8131,21371,2665,436
"수원신갈",8103849,11230,537823,805533,595392,584619,87981,201226,30763,85242,93181,15237,866,5416,3165,2216,17486,37379,8027,4505,52982,30437,0,5412,2813,1518,14039,2383,2502,2774,15647,2272,406,123,997,7361,325,271,410,265,772,218,1072,1597,361,1443,867,1395,1903,285,0,154,6458,4083,1028,745,203,2964,75,175,338,1129,40,82,46,1775,379,2193,8732,5349,5556,813696,24684,7068,14738,2208,37707,22763,12576,45828,36508,26457,34632,10455,861,2722,860,1193,1417,1967,1338,2209,9012,2543,16246,5504,2298,899,1132,809,11246,968,1889,364,2864,450,118,108,390,831,194,246,3656,24,11,20,20,20,9192,24435,17682,31911,9910,12622,2398,9589,6447,7619,1275,1502,3439,8201,482,1545,514,1521,11839,42128,163751,86880,10804,2825,47038,8352,26241,5419,2648,7675,12034,5021,115,93,78,41,220,904,60868,270877,216169,168097,69225,128562,80963,28960,19118,10989,8322,11629,10165,5484,2517,7866,658787,86713,149084,179379,662233,187089,100141,11266,12694,4968,102,68,209,401,1249,8397,393,2059,11052,5141,1521,39598,7424,29884,25106,1776,5022,2313,27331,26047,9193,1836,3622,11343,762,1336,627,415,8024,4524,938,1462,1157,640,1329,8688,85230,59897,15975,6410,202,0,3989,2446,69,32,96,87024,15,66960,12533,5643,21759,17921,301490,0,1763,3022,12604,10293,1455,5024,3196,680
"기흥",3448815,344931,3622,89235,254276,251276,37140,70097,11090,27051,24541,5096,225,1543,1075,610,5225,13023,5240,2141,16161,6968,0,1710,1086,538,5661,1206,1285,936,5579,1022,109,32,200,2507,150,191,185,84,315,47,303,388,96,318,259,305,401,65,1,21,1434,1041,265,248,58,771,18,45,58,308,10,16,15,476,86,535,2946,1659,1740,407477,7035,2037,4216,680,10931,4594,4129,23675,15213,9189,12514,2927,241,745,230,300,409,512,352,633,2811,794,7587,1498,862,242,389,236,2942,228,446,84,548,81,35,17,100,174,32,54,788,17,2,4,6,2,5734,5537,8807,11337,2971,2698,286,1041,1908,3127,293,389,794,1791,120,432,154,370,2903,20789,61006,42779,2448,810,20254,2120,7412,1257,692,1786,3183,1147,83,21,37,24,43,277,128434,78263,110548,64956,24363,58995,21785,10463,5393,2765,2054,3010,2462,1413,557,1850,294249,32033,50246,38168,325627,87531,25609,3845,4123,1465,26,31,50,74,295,2275,125,617,2827,1679,672,10706,3185,7796,12046,554,1328,461,8384,6407,2467,550,951,4225,457,1229,244,564,1906,1135,270,455,528,228,430,1237,19381,13183,4466,1880,51,0,1900,1215,20,9,21,32768,8,22331,5284,1332,5651,4808,78377,0,460,1184,3370,2371,523,632,1304,407
"오산",3041370,608341,157266,2820,650292,537978,132690,232525,34209,79220,88950,23170,1162,5991,4263,2053,18397,37640,9176,7792,57142,20673,0,5311,3999,2060,16848,2532,3629,2881,13241,2245,430,200,829,10560,482,341,1071,444,629,168,723,1130,270,1194,677,921,1193,291,0,164,4663,8829,1269,1016,166,4787,122,157,217,711,31,47,30,1352,287,1690,6144,3649,4218,393720,14336,5413,10839,1303,9814,3018,4094,46687,35796,20357,23329,6378,561,1471,530,587,866,1044,801,1134,5365,1505,22540,5741,2559,931,1391,680,7971,811,1392,320,1843,271,77,65,275,532,155,196,2381,31,6,23,10,9,4053,1455,4008,2264,676,796,71,267,7374,8078,1803,1184,2671,5897,428,1457,379,1197,7729,25200,77595,92854,1381,1758,4903,1098,4059,648,292,1017,2006,623,182,66,115,76,206,1336,112911,46184,57557,15722,9704,21191,13052,6977,8808,2472,1633,1524,1894,1067,508,1567,236104,35826,38182,27238,323738,91704,25344,3809,4081,3797,63,102,52,95,231,1563,112,490,1985,1627,533,7858,1119,5563,24258,273,1091,341,8469,5795,2483,441,960,3124,672,1665,625,621,5653,3048,744,1282,1418,652,1568,3515,45030,36615,13785,6169,75,0,4010,2465,56,30,63,110062,7,76740,11696,5199,19444,15226,254667,0,1398,3899,12065,7440,1827,2671,1423,337
"안성",2232713,527433,327406,625600,2494,352287,94092,160615,29172,67585,73709,15638,601,3854,2206,1540,11803,14512,4118,7130,36912,14713,0,4599,3334,1199,10327,1982,2465,1806,8887,1343,290,94,480,6132,323,379,471,195,473,109,516,747,229,613,406,627,783,184,0,190,3313,2900,732,613,83,1683,96,102,148,448,12,36,21,854,219,3380,1613,961,1569,388929,10567,3704,8608,966,88357,33371,50817,37152,20021,11918,21912,5272,100,430,150,152,183,289,229,340,1855,1185,10767,2770,1561,683,958,643,6495,607,832,176,1199,176,68,45,191,330,81,109,1407,15,4,9,13,5,1100,161,722,116,31,31,12,14,5025,5683,1774,674,1604,3807,248,847,538,762,5236,117251,52879,44211,473,1087,313,78,352,63,18,68,197,143,134,59,74,52,114,787,118642,11310,8544,2147,1514,2999,2324,1271,1613,472,340,512,547,308,105,389,220534,25519,28165,16214,272497,71601,25264,1741,1273,2878,84,34,41,64,61,241,13,89,275,246,124,2003,135,764,14697,43,115,52,2342,2136,776,173,360,857,441,1293,466,440,4103,2441,585,919,1076,453,1524,2428,33284,32024,10351,5332,58,0,2489,1478,26,12,45,80627,5,53676,10384,3937,14625,10333,140747,0,1130,2641,9637,4864,1003,1505,1152,184
"천안",2459680,515721,316644,524223,392635,3940,134905,512458,78722,238777,305984,31325,1330,9876,5407,3140,26340,49948,15611,9078,78430,30378,0,11271,6908,3084,26130,5415,7201,5502,19138,3201,498,263,1268,14269,741,744,834,393,1123,131,733,1059,917,1054,859,1150,1530,310,0,297,7055,5617,881,1673,188,2841,199,162,281,602,15,43,35,1378,398,1574,193,122,226,414904,1808,303,2109,194,88337,25339,35786,14419,4792,3208,7521,1177,10,54,26,20,23,40,37,65,353,212,31392,4643,2872,1838,2300,1217,14976,1017,1388,285,2064,278,106,58,353,686,123,173,1953,22,7,17,8,13,2425,296,1624,88,20,15,18,10,11076,15593,3545,1644,3078,7009,451,1551,840,1660,11381,79513,91974,201254,1661,4143,599,137,410,54,21,94,505,566,300,103,135,199,246,1540,98153,36336,19117,5187,4862,7943,5655,3150,3116,1186,1072,2208,1651,867,326,1167,178691,17740,23527,15676,283958,57000,25828,4832,3867,5657,101,97,121,176,147,247,17,161,453,653,301,5748,308,1676,37183,95,228,119,6517,5687,1753,376,866,2289,1424,2740,896,879,8412,4803,1002,1722,2674,986,1988,8483,114006,96563,33636,20906,141,0,6044,3754,34,26,84,61102,14,83652,20322,6195,30134,19134,252809,0,1719,8932,35631,9027,1517,2579,2098,382
"목천",316075,75936,50067,136722,93038,129018,314,227892,51024,155555,201359,31325,1406,7953,3557,3114,23413,35446,10417,10373,72314,21231,0,12326,14462,2715,38724,3817,5714,4448,15349,2950,437,155,970,8027,656,433,797,561,939,139,632,707,402,632,705,834,834,213,1,173,4856,4064,741,1039,107,1662,144,122,202,366,21,64,53,734,255,1327,27,16,30,113149,623,121,395,35,33651,10161,15812,11556,2866,1398,2753,622,5,7,3,0,1,4,3,9,42,50,33260,2631,2195,1418,1862,878,11396,1248,2142,430,3020,467,120,78,340,823,151,231,3406,21,11,21,23,8,217,34,124,10,3,4,6,7,10091,12469,4325,901,2201,4785,342,1041,627,980,7379,48455,39610,36352,1170,2695,40,13,42,12,9,48,338,467,292,88,147,122,166,1549,17502,2970,2176,595,294,512,360,206,198,75,40,78,74,44,14,55,42263,4887,6300,3834,89261,22030,6262,441,198,5555,95,86,85,117,82,68,3,20,28,55,28,459,28,113,34117,7,16,10,368,274,103,21,43,159,644,2680,638,1530,6396,3953,805,2758,2916,801,2300,3268,64505,42884,18721,14703,105,0,5607,3334,63,15,92,14397,14,14401,4519,1660,5757,3404,36100,0,1162,8272,30242,6413,880,1801,282,36
"청주",691194,180748,86545,238952,163494,513980,262491,8051,41548,85302,128664,28368,1565,7096,2651,1572,10801,17002,4522,4215,35441,13872,0,3904,3953,1019,12446,821,1987,1619,8063,1454,218,67,409,6268,241,166,314,227,447,743,1281,1033,1524,494,251,479,416,77,0,42,2099,3571,383,392,61,885,91,61,64,413,36,255,14,404,64,536,19,9,42,235780,2832,254,1180,85,56855,16766,23988,20794,7984,5200,12436,2203,1,12,1,2,6,10,3,7,39,116,12644,2529,1439,777,942,454,6873,6049,12674,1940,17291,2844,618,308,1891,4893,590,932,22909,92,54,70,37,30,106,25,79,15,6,11,33,15,5168,7595,609,408,887,2944,133,518,178,515,3902,60984,54040,30540,987,1283,34,7,40,7,16,36,297,531,121,48,62,39,62,716,34726,5231,2239,433,146,353,243,113,140,40,27,30,38,35,12,35,97653,8182,12923,10066,179996,42064,17487,223,153,2657,41,40,36,50,66,33,2,21,11,30,13,251,15,63,15283,4,5,2,375,247,114,20,50,77,338,932,341,435,3962,2503,489,788,1013,390,1068,3923,39636,35257,14085,8621,61,0,2467,1496,153,44,301,64129,12,1852,894,421,578,504,538,0,492,4653,18971,3486,551,863,341,41
"남청주",97053,30539,13918,34887,28022,79329,56831,34437,239,153158,590341,184040,6440,30856,13677,4669,35682,27171,9818,8217,54351,20311,0,5807,4988,1664,20032,1568,5109,3171,12932,2185,487,334,622,6952,455,381,428,293,615,686,2601,2756,2623,1076,714,1589,1144,231,1,103,6080,4026,1593,754,127,2394,209,117,237,1329,134,793,58,1211,342,1604,4,1,3,50189,244,45,74,7,11251,3765,5569,4396,1560,988,1609,204,2,1,2,1,1,2,1,2,27,20,17373,11607,3193,1423,1986,840,10733,34739,47799,6608,57126,10458,1688,1391,7351,19432,2178,5135,47466,236,186,375,100,93,17869,21459,6717,27233,41589,88170,141870,111244,23977,32009,2592,1012,3199,5376,375,1057,438,1557,10622,17496,13068,11344,2145,3091,187,38,109,39,145,125,568,932,198,48,88,83,129,732,5513,954,3138,1489,2351,16692,3731,2521,2699,1058,228,472,360,255,111,331,21489,1884,4459,1742,39014,12324,2782,3103,1840,4735,80,80,71,75,75,43,3,26,32,1125,146,2390,116,270,25943,13,52,19,3740,1239,443,117,304,915,504,1514,548,926,8512,3522,668,1327,1824,756,1723,33482,156267,253435,109403,52747,80,0,4198,2756,622,119,1384,14196,27,405,143,83,416,1528,84,0,1171,22820,126118,13036,2196,2863,95511,4632
"신탄진",295065,71835,33988,74224,62683,230571,168365,77763,111441,2259,194395,139810,6692,23330,6619,3049,15451,15205,5320,6148,36512,10256,0,4173,4087,1110,26698,1791,6191,2241,10559,2271,224,522,427,3815,296,288,260,355,613,318,1052,1147,2158,627,827,1232,360,74,1,41,2654,2755,350,688,82,1093,124,53,99,403,52,232,16,509,116,484,2,5,4,110462,363,42,63,5,22218,8019,11689,12648,5543,3726,5182,438,1,3,0,0,1,0,1,1,15,4,13993,7194,1017,1203,1054,384,5668,33331,27753,3374,30747,4320,1098,529,2958,7607,722,1607,21992,84,68,127,43,39,32007,39444,13734,47290,66409,158580,271166,145146,44781,44551,1738,414,1425,2173,138,387,164,450,3057,24982,25747,19403,1039,1234,483,81,186,60,49,179,604,1537,114,15,44,85,144,502,15301,3475,6296,4158,6136,19458,9976,6826,5812,1773,1176,1555,1704,912,458,1394,45131,4249,8981,3671,78292,20664,6715,7924,5410,1935,41,48,60,50,105,47,4,61,58,1730,301,7870,302,854,28617,40,170,59,5944,4121,1152,235,804,2533,554,1613,270,932,4419,1721,239,762,880,403,831,43185,22486,163147,131255,60353,27,0,4467,2837,175,45,426,37948,26,474,124,109,571,876,34,0,748,46198,150461,11392,1503,871,194679,9578
