"","가락","가산","가조","감곡","강릉","거창","건천","경기광주","경산","경주","계룡","고령","고성","고창","곡성","곤양","곤지암","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","기흥동탄","김제","김천","나주","남강릉","남공주","남구미","남김천","남논산","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남원","남원주","남장수","남제천","남지","남천안","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광양","동광주","동군산","동군포","동김해","동대구","동대구.구.","동서울","동수원","동창원","동함평","동해","둔내","마산","마성","망상","매송","면온","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문의","문평","물금","밀양","발안","백양사","보은","부곡","부산","부안","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북영천","북원주","북창원","북충주","북통영","비봉","사천","산인","산청","삼랑진","삼례","상동","상주","새말","생초","서김제","서김해","서논산","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서안성","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예천","오산","오창","옥계","옥곡","옥과","옥천","완주","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장성물류","장수","장유","장지","장평","전주","점촌함창","정안","정읍","제천","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청북","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","포항","풍기","풍세","풍세2","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화서","화원옥포","황간","회인","횡계","횡성"
"가락",363,3,268,750,1,1200,0,273,0,4,148,290,191,321,317,1376,3012,16406,10,2,161,572,15098,5,0,7618,261,71,1591,48,1777,999,132,966,0,0,38,69,3673,0,262,0,170,1496,1,230,40,897,28,79,1,10403,737,37,11,315,0,1946,0,0,238,218,50,3737,13,584,728,628,2837,13113,29,665,2334,0,0,8128,667,92914,0,1,1,81395,159,0,675,2,7193,121,4,15,202,1,1241,123,8551,907,1,2,0,955,36,144,531,28,49,3,649,0,1,768,9195,496,1434,0,0,14579,99,266,626,16988,0,749,0,1091,0,1738,19,1287,4,10866,300,0,826,2924493,78,309,5104,809,0,3513,527,4211,10,850,308,2746,3,1969,1110,0,383,442,74,3359,5135,3655,108,0,2131,1352,0,1687,94,11500,239,0,3411,293,1787,668,29,802,700,113,1043,137,75,333,4887,3,1,0,3078,698,0,2603,338,814,4383,5,678,0,89,1714,902,0,1269,2154,338,247,52,556,384272,10996,0,6800,242,7,398,4,1217,63,201,528,229,2253,4064,208354,2,7474,289,4430,12925,583,6865,262,4623,0,1824,2886,2770,0,457,122,633,1,17,2595,1,26628,1,27,203,5,1928,1228,0,0,0,40,0,6269,16160,1072,12,11,387,12,13162,7,10,204,57767,364,57,25,25
"가산",1,7545,0,24,2713,0,6224,29,71540,30697,13,0,0,0,0,0,73,1,5,0,6,329,0,1,54864,186,24,19,5,2,15,13,2,338,0,191,0,474,18,0,7,3538,12,3,225200,0,6946,0,6538,0,10553,1,14,0,3805,63,15693,0,10708,0,0,5,37161,257,1,0,26,0,0,2,0,9,2,85153,0,675,57,0,0,361,707,0,11,186,17,2005,63,0,0,0,1,0,22,1012,0,26,0,4056,4485,14,0,8,17,17965,0,618,0,12146,418251,30,1,14,87,7834,418,1,5,0,6,1,0,0,1564,9,2601,43,487,0,0,1,2,1191508,67,0,4,0,179,0,49371,45,6,213,4590,23,5,0,0,57,7,4246,1,27,0,1,6,1,4,195,4,21,69823,62,0,2,0,2196,51,17,31,39,6046,33,100,6,10,0,0,30,1,82470,20603,6919,81,33,105,0,0,37,2,2091,29,190,934,119,6,83791,74,63,15,2,0,0,2,0,382,56,97,2,12,7121,0,0,8,0,0,0,0,1,527,1,0,0,0,4,1,0,149,6639,17,30,46,9237,19,34,0,0,6341,14,409747,0,5,0,7,4626,1,54,33912,49986,16891,0,0,0,0,0,0,0,0,1916,3,2,3877,5,1,46,6,1140,996
"가조",336,0,4306,48,3,171922,0,59,0,0,25,19131,286,58,1,70,165,311,6,0,36,281,76,0,0,462,37,3,163,15,124,57,20,65,0,0,9,16,578,0,269,0,46,460,0,12,0,1803,22,267,0,350,41,7,0,88,0,1890,0,0,229,1,1,453,1,138,13,71,24,3384,0,270,1273,0,0,2052,86,489,0,0,21,0,5,1,101,1,315,56,2,0,136,0,51,38,217,32,0,0,0,39,11,7,11,0,0,1,175,0,1,129,5512,100,281,0,1,1208,17,340,26,1551,237,1154,0,147,0,71,61,1768,0,937,56,19,237,4893,5,192,733,12,0,72,48,1651,0,148,94,4487,0,211,5,0,1,136,13,10809,962,563,12,0,9,61,0,595,437,148,0,0,113,62,171,257,0,13,46,62,36,106,41,6,2888,0,0,0,315,110,0,108,9,28,294,6,13,0,333,532,47,0,74,274,109,41,12,257,574,33,1,362,48,5,42,0,8,10,30,684,689,33,182,200,2,139,300,34,1780,75,828,22,360,0,118,263,95,0,122,6,27,0,7,117,1,324,6312,16,29,0,1435,127,0,1,0,33,0,172,154,8634,5,1,16729,4,1811,0,21,11,86586,7,10,16,4
"감곡",424,9,35,11543,7858,102,716,37391,2624,4365,28,482,10,5,4,6,123356,60,329,34,12218,6280,128,7,15,112112,27261,4,23,1,13939,6948,7,1541,0,580,4,1969,2664,22,6,386,641,530,52,20,1143,25,12502,3,124,618,20,2,618,103,24,15,105,0,7,188,6084,378,105,6,24486,9,5,12,14,12187,399,2252,0,770640,56962,449,0,3339,2388,0,3871,1272,4494,1704,18,41,2,0,19,19,16889,12604,63,26,0,607,665,651,7,69,8032,3081,3,3907,11,290,9342,171,1118,6245,84543,691,1671,554,18898,16,4085,104,0,4,222,24,374,10226,3580,4,0,690,10,13094,58,1961,223,6,96506,6,351,32015,23,96463,736,16209,41,27,16,590,118,452,2,3214,1,601,1457,5,89,698,203,75,1891,42540,4,52,0,692,266,13411,121,25,832,57018,55460,8,6493,2,6,29,929,132,1425,23,5485,270,493,14,7,34,38,1742,27097,25,9063,226,317,16,85507,150,1469,22,2,24,592,42,1478,180,26614,18,80,786,5,3,118,6,7,20,16,367,2009,43,5,8,58,231,744,1,308,421,84,109,19,441,23,57,4,15,9614,37283,1803,380,5707,5,29,536,129,52,1122,4192,364,0,0,10,170,28,1,45,106,6727,1213,111,8115,121,708,60,12,2632,2889
"강릉",1,2433,6,6607,16649,37,50,9627,489,333,1614,34,41,12,8,8,26922,257,6656,139,1041,724,2,89,420,58277,10229,40,359,53,3968,1914,146,452,1,14429,106,111,144,172,184,171,55,13,602,77,273,99,65352,5,1269,8,145,38,139,1517,767,176,977,0,46,780,1496,11800,405,46,11559,19,13,24,44,5198,2,874,0,314614,32257,5,0,381851,33095,0,3121,133130,2410,34461,191,217,39,12,312,89,594,77847,43,257,0,146,175,587,85,215,2107,689,23,37341,165,2016,3364,3509,14,709,34860,39,3899,64,545,64,1161,234,5,83,87,362,169,334,168577,94,9,6,70,11749,1247,17,1062,41,52120,78,3320,9138,78,93511,81,5082,455,234,89,13337,526,10,9,361,9,29,70,62,101,40281,669,257,769,19812,16,272,13,2309,5980,7811,1105,446,121,38219,27436,96,264,12,26,119,14,1298,108,2247,7286,7088,26591,80,29,1695,564,68,11213,5,185452,5364,5066,386,32407,1934,15568,264,4,385,18,9,166677,4627,1782,139,1176,14572,61,10,1882,25,51,1,43,2,211838,8,86,74,104,3689,16,5,4021,80,204,3095,41,61,355,19,4,37,22686,2639,5577,11,225,21,325,65,423,817,529,88,5150,4,0,67,8,105,16,268,6,105762,21,490,4755,43,8,56,39,391246,1146
"거창",1422,0,172068,81,26,9468,1,287,1,2,154,43482,3309,621,10,1040,543,8116,41,2,71,852,704,3,1,1748,173,8,1087,49,689,241,127,105,0,5,96,75,1895,0,1657,0,92,2140,0,36,2,23344,43,6980,0,1715,234,89,0,470,0,11529,0,0,3002,114,2,2208,3,921,59,833,430,34448,4,180,3609,2,0,9302,340,2762,1,9,6,0,47,1,455,3,1377,317,22,25,731,1,191,41,2987,167,0,1,0,231,96,25,71,1,20,11,1447,0,2,733,24496,288,1039,0,44,7908,127,3639,159,19775,8021,12979,0,720,0,256,10,8901,2,4891,323,4,1124,24709,30,796,2690,194,2,599,162,11426,0,162,293,47848,1,721,75,0,9,297,139,33320,3847,3523,24,2,31,235,1,1688,5818,2372,40,1,517,232,1001,1515,0,74,224,173,103,939,314,13,10923,0,2,0,1470,312,0,935,81,140,1544,11,110,0,27,2301,293,0,268,1387,888,503,160,1387,3768,223,6,1517,212,27,389,3,69,104,247,3516,7469,458,3069,969,12,3051,907,725,23672,294,4952,330,1353,0,406,869,444,0,564,4,487,2,81,195,3,1614,35675,25,161,0,15790,978,1,4,0,173,0,3658,1535,118511,64,2,45522,25,7563,2,43,26,414481,7,28,21,16
"건천",0,5151,0,760,42,2,220,372,44036,38585,176,2,1,0,0,0,1128,1,17,2,329,7589,0,0,542,3120,276,144,68,15,469,215,26,3423,0,2,4,7585,126,1,127,1131,441,3,1860,76,13170,2,628,0,506,0,486,3,22059,668,707,2,471,0,1,99,168232,3890,2,1,317,0,1,5,1,380,1,89815,0,10573,815,1,0,0,76,2,111,0,485,76,2699,2,0,0,11,0,978,303,1,856,0,10967,741,751,6,153,140,135471,1,6,0,518,74536,981,2,815,1647,65,27,0,142,1,270,2,0,0,359,80,7651,1313,77,1,1,3,28,76320,1176,1,143,0,3274,0,1282,1149,109,5449,24699,98,113,0,0,1100,679,22,0,679,0,0,9,6,272,7,365,541,22877,1723,0,1,0,192,692,302,1218,552,26490,522,606,50,826,0,0,416,0,1744,12573,312,1711,812,2,0,0,574,42,8989,333,714,57,2190,501,817,820,667,163,3,0,4,0,1,37,1102,841,9,146,804,1,0,129,0,2,1,1,1,40,0,5,1,0,500,2,0,2199,1652,640,938,788,425,157,209,0,0,636,1443,8487,0,1,6,108,13561,0,1045,19293,97,500,1,0,0,0,0,0,12,1,67,3,19,362,268,1,705,45,49,107
"경기광주",193,19,52,28424,7421,201,270,138,848,2244,974,185,155,15,26,52,138181,433,7340,26,3378,3275,36,24,73,435,150,107,982,149,204,96,220,1226,0,530,35,1018,850,119,460,137,260,139,350,126,564,234,13042,7,716,115,70,128,284,1856,22,399,562,0,93,81,2919,11534,42,266,7956,32,53,30,15,53,183,1093,0,3864257,529,194,1,3896,2617,0,179,1118,55,2535,60,110,11,11,1081,11,3280,11586,85,521,0,294,266,60,284,809,58,1672,6,3608,164,1544,3894,5904,388,1603,314,275,684,302,4818,156,67,672,100,159,98,504,192,2726,4289,130,2,271,33,5576,1782,757,92,375,187,232,2527,159,31,277,321,103775,772,737,16,24062,65,175,36,929,6,257,446,99,377,668,74,73,773,556,26,567,28,3093,9071,119,183,923,350,6118,35958,116,1161,51,13,531,349,743,485,178,387,16403,431,190,69,3093,718,598,699,9,8644,5934,30581,99,46876,2617,51974,411,18,1188,244,112,1793,4224,5270,100,1839,9815,159,4,9972,262,260,18,260,78,2413,53,198,154,377,11056,240,39,625,188,48,3332,14,233,962,181,16,9,484,12385,725,106,2798,13,750,207,1213,1349,450,2028,3789,10,0,200,103,382,23,48,59,6279,437,72,696,349,319,379,182,3087,1483
"경산",0,71205,0,2781,557,2,54540,994,1505,220506,874,3,0,1,1,0,4444,4,111,3,927,77200,0,0,9940,12924,875,1234,194,38,1657,927,147,24648,0,14,14,107750,529,1,504,36342,2568,14,19936,190,10092,2,2101,2,1631,2,1720,22,8855,3719,12400,1,1110,0,1,553,52180,13656,0,8,1333,4,0,8,0,920,4,698561,0,32326,2088,2,0,33,158,1,186,10,1790,234,11848,36,1,0,28,0,3406,806,1,2527,0,6566,9471,2270,11,418,255,70427,0,112,0,1484,1413086,3528,3,6915,5665,1381,134,0,471,1,1682,2,0,0,3496,267,5815,8083,316,1,1,4,71,1202030,5935,0,476,4,11762,0,10474,5940,1016,13557,22266,575,339,1,0,3455,2223,1343,0,6613,1,2,38,22,660,33,864,5158,120880,4384,0,13,0,530,3785,808,4287,1802,23115,1700,2077,109,2538,0,2,1482,0,12574,162287,1377,5974,2635,9,0,1,2647,114,170065,1265,917,385,6933,2413,11007,2889,3618,663,8,1,2,4,0,86,3161,3617,11,229,1684,0,0,706,0,1,0,1,0,134,0,3,2,4,2253,5,0,12121,12126,2401,4600,2883,6118,500,1793,0,0,1798,6963,130206,1,9,10,479,10812,5,3340,354932,15269,2987,8,0,1,1,4,0,41,1,382,12,29,982,1123,10,4292,167,226,265
"경주",5,26781,0,5464,450,4,61588,3119,212216,7490,3847,2,1,1,0,1,11195,6,77,15,2502,48627,1,2,2756,34638,2436,1993,422,64,6731,3089,180,19736,0,13,20,50178,648,4,877,5294,2375,19,16993,406,82057,2,7145,0,4159,2,4822,7,153425,4834,3620,1,4888,0,2,667,1232200,36662,4,19,2460,0,1,6,0,2005,25,436179,0,99940,5996,3,0,26,677,12,713,6,4768,543,41736,10,0,0,95,1,5989,3272,0,7007,0,63450,1756,6008,4,1055,804,1022497,1,96,2,3254,392378,9805,2,5839,12349,115,308,0,991,0,2080,1,1,1,3821,1179,54066,7548,442,3,0,11,162,380151,7811,8,1907,2,27260,0,9964,13091,935,60637,135312,1096,793,0,0,8273,8473,63,1,4072,0,2,53,88,2458,86,2822,3758,111742,12135,2,5,2,1568,21761,2260,8958,4249,151205,8514,4858,307,5944,0,1,2709,1,13960,103261,1699,19552,4804,15,4,0,8134,295,56856,3270,2039,586,15502,1738,5461,8391,13520,1129,9,0,14,14,1,241,8123,4197,95,328,4573,0,1,1038,7,2,1,0,2,272,1,12,0,1,3247,7,0,24638,4775,6678,8663,11045,2231,988,1537,0,0,5567,11377,41122,2,8,11,754,77312,8,8684,93059,289,3833,4,0,2,1,0,2,116,7,574,7,53,3071,1034,5,6161,409,492,1088
