"","가락","가산","가조","감곡","강릉","거창","건천","경기광주","경산","경주","계룡","고령","고성","고창","곡성","곤양","곤지암","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","기흥동탄","김제","김천","나주","남강릉","남공주","남구미","남김천","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남원","남원주","남장수","남제천","남지","남천안","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동대구.구.","동서울","동수원","동창원","동함평","동해","둔내","마산","마성","망상","매송","면온","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","부곡","부산","부안","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북영천","북원주","북창원","북충주","북통영","비봉","사천","산인","산청","삼랑진","삼례","상동","상주","새말","생초","서김제","서김해","서논산","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서안성","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예천","오산","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","울산.구.","원주","유성","음성","의성","이천","익산","일죽","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정안","정읍","제천","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","포항","풍기","하동","함안","함양","함평","해미","해운대","해인사","현남","현풍","홍성","홍천","화서","화원옥포","황간","회인","횡계","횡성"
"가락",200,0,403,880,4,1620,0,333,0,31,133,433,180,306,389,1829,4922,20306,8,2,204,409,16887,4,0,9615,292,29,1553,66,60,3977,144,592,0,0,61,49,5228,345,2,197,2138,0,831,7,1079,11,118,2,11371,1193,54,4,446,0,949,1,0,360,414,12,4803,7,529,1585,190,0,3063,15600,19,747,941,0,0,11103,739,68089,0,0,2,73725,104,0,819,1,6481,42,2,1,225,3,1061,144,9232,0,880,0,1,3,1226,29,106,870,7,81,2,991,1,0,1499,4571,761,1760,0,0,14013,154,105,834,19217,0,723,0,1329,2,1849,20,1122,3,3957,158,2,853,3329603,491,242,6177,789,0,4524,538,5482,3,901,386,2635,2,2831,2045,0,264,805,71,4203,4279,3564,87,1,2180,1409,1,2404,111,11040,255,0,4227,287,2028,676,3,1428,1124,66,1526,150,229,180,5648,1,0,0,4070,818,0,2727,381,189,0,5467,1,857,32,0,32,1621,1336,0,1406,2243,382,376,53,554,0,367042,12173,0,8415,299,15,280,2,1240,72,307,497,243,2058,4687,164503,4,6333,225,4073,13931,789,7758,190,6642,3,4,2563,2621,2665,0,389,89,807,2,32,2880,1,37848,2,23,208,1,1299,1570,1,0,0,7591,16579,1313,2,20,1,506,9,13595,13,86,337,50112,123,27,2,3
"가산",1,7186,0,18,2328,0,6538,36,70526,31816,10,0,0,0,0,0,58,0,4,1,4,327,0,0,69849,130,18,7,8,1,3,10,3,328,0,21,0,430,19,4,3216,7,1,240482,1,6047,0,6502,0,14817,3,13,0,3413,48,17752,0,10997,0,1,7,37320,217,3,1,11,0,0,3,3,0,13,3,82229,0,640,43,1,0,516,703,0,11,167,12,1551,52,0,0,0,0,0,15,1005,0,2055,20,0,3938,4406,11,0,2,4,16728,0,622,0,10947,416811,31,0,23,64,8039,323,2,7,0,10,2,0,0,2666,7,2407,28,479,0,0,1,2,1187438,45,3,15,0,135,0,53979,32,5,188,4342,13,10,0,0,34,6,4147,0,42,0,0,8,0,2,198,15,17,76697,49,0,2,0,1193,38,23,23,45,5780,23,83,1,10,0,0,23,2,86088,21363,9933,52,11,114,0,0,15,865,8,2245,28,23299,0,920,72,7,87961,58,46,14,0,0,0,596,1,0,401,53,41,0,10,3881,0,0,3,0,0,0,0,0,547,0,0,0,1,6,1,0,73,7468,2251,11,37,16,9582,16,26,0,0,6184,15,428562,1,6,0,18,3473,0,59,35060,50590,17696,1,0,1,1,0,824,0,1721,0,5,3371,6,3,34,1,1162,1261
"가조",406,0,4227,45,3,178406,0,71,1,0,38,21012,397,41,1,97,148,434,5,0,27,328,45,0,0,415,35,2,247,5,1,159,21,75,0,0,6,16,747,351,0,43,668,0,43,0,1876,10,258,0,409,77,7,1,107,0,1067,0,0,233,9,0,481,1,180,10,61,0,29,3521,1,41,1378,1,0,2351,73,528,0,0,4,0,8,0,123,0,373,16,1,0,142,0,64,16,341,0,36,0,0,0,38,14,6,13,0,0,0,178,0,1,146,6833,154,252,0,0,1593,28,220,44,1726,163,1415,0,154,0,106,17,2061,1,1096,32,0,234,6119,21,249,716,18,0,76,96,1698,0,129,58,5050,0,217,10,0,1,145,48,9950,1187,700,11,1,2,115,0,319,255,170,4,0,117,72,199,278,0,21,49,33,71,124,17,3,3551,0,0,0,389,97,0,177,6,15,0,323,2,22,2,0,271,456,79,0,74,270,79,76,7,256,0,946,28,2,458,46,8,54,2,9,20,36,733,781,57,193,213,8,210,280,49,1954,63,913,22,405,0,0,116,515,96,0,139,10,45,0,10,163,1,437,8187,3,20,0,1812,233,1,1,0,228,242,9940,2,4,0,18274,3,1973,1,4,6,92077,9,2,12,1
"감곡",530,7,55,14221,8423,122,717,37865,2994,3710,37,470,11,2,0,9,128109,64,292,25,10137,5311,97,31,12,114614,26170,6,20,8,9050,12050,9,1307,0,182,14,1516,1706,15,583,415,390,54,64,954,23,12920,3,122,464,30,5,542,72,15,5,97,0,7,151,5752,351,75,4,26479,13,0,5,7,8,12281,425,1872,0,782500,57996,451,0,3291,2131,0,3347,1493,4835,1679,22,45,3,3,15,9,13781,14887,95,234,25,2,569,684,557,3,48,8444,2686,3,3971,10,288,8228,173,1048,5475,91899,536,1419,452,19033,5,3329,75,1,15,314,26,281,9498,3879,2,2,646,7,11410,61,1924,179,4,96895,9,338,30998,50,101567,608,16358,32,38,11,459,150,408,0,3191,0,648,1157,5,35,738,149,97,1914,42217,2,48,1,423,272,13149,130,19,607,56650,64514,5,6180,2,7,21,1022,142,1285,28,4311,262,561,9,4,34,124,43,1492,25326,3919,0,9634,206,272,10,87693,107,1414,15,0,18,124,851,27,1692,159,23423,20,72,539,4,1,91,5,7,31,27,297,2119,41,10,12,86,191,628,2,321,492,223,151,105,4,494,14,32,4,5,10144,35873,1730,279,5465,0,15,259,99,51,1038,3731,340,17,214,23,7,31,204,102,6117,1049,96,7561,109,398,28,3,2483,3300
"강릉",2,2242,18,6605,11727,19,22,8820,430,240,1411,47,40,19,6,9,27828,309,6770,166,932,759,5,388,441,55160,10132,24,356,68,2393,4101,214,435,0,5281,124,93,132,210,133,42,44,659,577,223,90,71949,1,1366,18,203,33,121,1275,650,48,928,0,93,926,1354,11274,560,33,11722,14,1,23,22,110,5138,5,660,0,302288,31807,9,0,405687,32530,0,2573,133967,2071,31233,173,236,18,7,240,141,541,83577,62,15,229,0,125,171,539,125,189,2265,586,33,40618,177,1885,3197,3396,12,639,34080,35,3515,48,500,53,1170,233,4,83,158,328,117,347,187889,105,9,11,64,11464,1247,13,1060,74,44529,100,3635,9095,267,90431,64,6333,551,284,106,11839,512,4,8,380,12,30,103,75,49,38738,770,445,786,19734,5,264,9,1518,6144,7249,1057,445,104,36034,28806,73,301,4,49,57,17,1304,91,1253,6581,6268,26088,105,33,430,6,1003,75,9468,445,0,186015,5292,6616,445,31265,1635,15340,231,9,370,16,15,1,169148,3728,742,178,1031,8943,48,12,2047,40,61,2,38,3,201496,8,67,88,98,3367,28,12,4368,66,10,249,3382,23,56,412,22,4,33,19878,2486,5848,20,302,14,324,22,437,873,535,66,5545,69,11,131,11,276,46,4,106832,27,578,3592,46,7,33,16,394444,902
"거창",1700,0,179059,94,27,8995,1,279,4,2,147,44520,3929,627,13,884,572,7925,39,2,124,814,579,1,0,1836,151,6,1180,72,2,778,157,85,0,0,34,53,1857,1688,1,113,2781,1,121,1,22368,37,4622,0,1859,296,73,1,621,0,6879,0,0,3201,90,4,2331,2,879,76,759,0,352,35559,3,234,4387,2,0,9747,319,3258,0,3,3,1,61,0,470,6,1189,155,21,11,699,0,215,68,2927,0,151,0,0,0,211,70,16,62,0,38,14,1594,0,5,616,31855,375,1052,0,4,8903,68,1933,185,20867,4042,13267,0,1009,0,375,6,10338,0,5678,207,5,947,28459,91,930,2523,178,0,454,354,11518,0,172,447,49427,1,793,119,0,24,341,189,25496,3889,4110,23,4,30,312,4,1696,2966,2190,60,0,421,251,826,1361,1,79,255,89,161,895,378,6,13538,1,0,0,1592,316,1,1009,55,47,0,1816,10,121,5,0,37,1939,229,0,261,1371,350,435,86,1607,0,4605,250,4,2196,243,37,344,1,61,143,246,3605,7648,346,2922,1112,9,2999,888,623,24143,255,6056,291,1376,0,2,484,928,410,0,559,9,527,0,66,301,2,2393,45215,15,193,0,17116,1062,0,8,0,3005,1575,129625,20,11,0,46801,27,9622,8,41,50,426297,5,12,13,7
"건천",1,5199,0,942,26,1,98,382,45630,46555,207,1,0,1,0,2,1164,4,25,2,302,7868,0,171,564,4029,251,59,61,14,12,736,32,3187,0,0,74,7894,118,140,947,416,1,1841,212,12458,1,779,0,625,4,645,5,17380,677,795,0,530,0,0,493,184712,4197,10,3,329,0,0,0,5,13,237,4,92010,0,11164,783,1,0,3,59,3,73,0,635,61,3133,9,1,0,5,8,990,375,2,11197,971,0,10048,631,1280,7,130,104,126626,3,9,0,622,79473,1115,5,1025,1310,64,32,1,205,0,458,10,1,1,348,120,7733,1303,70,1,1,1,15,79459,1038,5,359,0,3175,1,1260,2252,174,5537,23758,161,125,1,21,1179,1035,29,0,839,0,3,15,6,140,19,627,568,25254,1265,0,7,1,117,946,318,1222,527,29648,568,746,14,779,0,0,177,0,2114,13387,277,1808,910,1,1,9,303,4677,62,10692,354,111224,0,82,1712,809,828,819,731,280,1,0,1,4082,5,2,37,1428,858,30,203,323,0,1,166,1,0,0,1,4,49,1,3,3,0,640,1,0,2444,1910,15087,761,985,775,471,149,285,0,10,731,1712,8977,2,1,2,177,9332,1,1289,22710,95,501,1,1,3,0,13,9235,0,51,2,31,346,294,3,457,50,36,95
"경기광주",413,20,43,29310,7260,188,288,223,788,2469,860,219,191,24,23,51,154395,489,6638,39,2544,3177,35,136,77,380,123,80,916,175,180,188,262,1189,0,150,58,946,625,414,101,191,113,427,1083,502,192,11269,8,816,144,143,111,273,1698,25,233,660,0,120,198,3029,11196,121,323,7675,45,0,45,29,32,56,193,1042,0,3954420,458,231,1,3959,2597,0,153,1349,50,2159,96,224,37,7,1086,28,3399,12911,104,91,618,0,285,273,53,280,774,35,1556,23,3603,202,1747,3832,5645,354,1576,245,285,559,236,4404,93,55,793,62,189,102,524,123,2772,4147,133,5,291,68,5190,1737,832,216,404,155,238,2678,158,193,419,306,110364,925,705,38,22567,148,210,18,955,16,314,460,127,320,654,150,186,742,436,14,562,39,2179,9565,110,339,906,285,5612,38049,80,1163,66,54,374,335,675,517,210,317,14761,461,174,65,1365,69,1298,650,532,2009,0,8200,5638,28374,104,45277,2643,55893,389,26,1206,131,218,31,1838,3825,5237,138,1618,6207,166,8,9447,278,268,10,231,100,2438,53,146,130,436,10395,302,30,1045,210,94,157,3682,14,194,1036,211,12,24,321,13476,700,125,2840,22,727,156,1406,1395,461,2049,3565,212,127,448,30,59,164,57,5019,409,161,559,402,234,224,150,2741,1432
"경산",2,68286,1,2767,559,3,56751,882,1419,230401,985,6,0,1,0,1,4591,3,102,7,961,77896,0,232,10089,12227,790,1112,167,45,37,2404,421,23094,0,3,52,107161,624,428,38756,2203,8,21580,825,9767,3,2285,0,2356,6,1784,22,7501,4307,13659,1,1370,0,1,605,54429,12615,22,3,1345,0,0,1,13,23,1060,0,688823,0,33939,1899,0,0,25,164,4,162,10,1418,224,10688,27,2,2,15,13,3388,755,2,9584,3004,0,6435,10880,2483,7,405,359,64867,3,106,2,1937,1407685,3608,2,7705,5644,1375,92,0,491,1,1391,3,0,0,5861,313,4994,8799,367,1,0,0,47,1203603,4646,0,1348,1,9108,0,10755,6399,1606,13194,20151,750,340,3,37,3640,3047,1345,0,7376,0,3,32,17,388,28,814,4617,125638,3345,0,3,0,421,3833,746,3564,1919,24563,1757,2132,38,2382,0,5,1098,3,13341,172571,1477,6279,3002,11,1,0,1103,2946,132,177658,1208,134998,0,341,4871,2809,11176,2826,3011,571,20,0,5,2957,2,0,129,3293,3347,45,185,904,0,0,713,0,2,0,3,0,133,2,5,10,2,2430,5,1,11391,14069,7643,2745,4764,2864,6623,589,1788,0,29,1886,8239,132398,1,7,6,512,6951,2,3503,373684,14595,3093,0,0,0,2,37,4693,0,384,6,49,875,1057,2,2120,126,205,290
"경주",6,27600,2,5401,355,5,70586,3341,218455,7216,4134,2,0,5,1,2,11581,15,75,20,2453,49003,2,432,3213,36636,2482,1204,436,59,119,11721,189,17976,1,2,191,52043,716,900,5519,1668,18,18325,1578,78663,4,7375,0,5166,4,5079,17,147052,4638,3680,0,4857,0,1,1863,1311751,35163,48,15,2414,0,0,0,17,45,2167,33,436615,0,103178,6143,4,0,12,620,33,594,10,4479,490,36301,5,1,0,77,46,6076,4282,1,47573,7765,0,57432,1135,7248,4,800,919,961860,4,84,5,3069,397017,10657,4,7130,14120,138,250,0,1162,0,1886,6,0,2,3137,930,45968,8044,435,0,0,27,78,384446,7309,15,5286,2,24366,0,11031,11468,1476,59679,142730,1043,914,3,75,8704,8861,69,0,4638,0,5,49,93,1166,113,2496,3836,114821,12044,1,15,1,800,21434,2038,8159,4237,160803,10815,5329,110,5945,0,4,1390,0,14709,112902,2074,18872,4605,12,2,1,3767,23988,462,64800,3586,303563,0,719,12168,1981,5188,7325,12312,1065,6,1,11,19697,30,2,266,9148,4341,139,291,1979,2,1,1283,2,4,0,3,5,304,0,5,9,3,3846,3,1,24315,5586,44273,6852,7425,9972,2292,975,1555,0,52,5782,11187,42782,4,7,11,781,54538,5,8744,103423,268,3898,16,0,2,0,123,81205,2,538,9,123,2591,1375,11,2865,233,408,1026
