"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구.구.","경산","영천","건천","경주","통도사","양산","서울산","부산","칠곡물류","기흥동탄","노포","군북","장지","함안","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","북창원","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","남고창","장성물류","북광주","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산.구.","울산","향남","북평택","장수","팔공산","청통와촌","북영천","서포항","포항","완주","소양","진안","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","문의","회인","보은","속리산","화서","남상주","면천","고덕","예산수덕","신양","유구","마곡사","공주","서세종","남세종","지곡","남대전","판암","무주","덕유산","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","북통영","통영","청북","송탄","서안성","남안성","북진천","평택","상주","선산","남김천","성주","남성주","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","대동","단양","북단양","남제천","동홍천","남양주","화도","서종","설악","강촌","남춘천","동산","조양","강릉","현남","북강릉","옥계","망상","동해","남강릉","하조대","문수","청량","온양","장안","기장일광","산인","마산","서부산","장유","가락","동서천","서부여","부여","청양","서공주","동대구","수성","청도","밀양","남밀양","삼랑진","상동","서오산","계룡","북대전","유성","서대전","안영","봉담","정남","북오산","동탄","화원옥포","달성","남양산","물금","무안공항","동함평","문평","나주","서광산","동광산"
"서울",7568,6628286,1602183,2268719,1804080,2215337,289790,551737,70958,369586,388555,40642,2252,13507,7085,7925,47236,70376,11702,11983,128906,106249,0,14967,10450,6772,65966,2818,7201,7700,50522,1106,2154754,8871,1383,515,2875,3899,1351,6381,4223,8662,26670,57201,8335,3927,7841,3807,7575,13788,2306,2120,37661,36315,5101,5485,2560,717,17793,4030,4603,1363,3893,509,12163,218,11416,1697,9135,1140,2856,20300,133938,25695,20088,15100,28561,10245,21990,6371,8444,13230,8440,35357,34326,36085,49263,8395,10804,31640,6736,12518,11779,18382,7488,8678,76248,6194,0,69924,85927,367852,27093,11333,3276,4282,2795,65854,239221,15335,7197,12239,230548,40658,353753,64453,18778,10703,43597,64679,17847,25828,530780,2123,2465,5562,3219,2309,15136,3072,6036,383294,319708,93308,26756,176710,96365,16858,4612,28601,7275,11638,11078,1659,7301,11372,5977,8852,11935,134131,29247,37232,7708,9664,41931,48550,7578,20179,4356,372,2402,81365,14255,79413,27016,67690,34633,104419,24663,40638,7459,10766,18090,46797,1484,12480,1103,14227,81305,27112,384148,216179,351382,92377,10632,27225,13566,7701,8714,2060,124979,21458,99301,17505,8973,20253,41885,17329,8020,5423,6588,2725,2873,112502,2115670,756973,1261990,1004191,173133,216061,251467,142850,42030,26693,28169,37730,41248,13242,3964,20323,113184,9431,13992,27722,30483,24850,19668,894,1444,14956,226,140,660,1203,3992,36900,1315,5882,40672,6089,3146,101421,15904,108607,108504,4797,16358,8361,137,71,24,6,19,11,20,16,0,97706,10260,21205,3949,21209,37509,2008,30916,2324,2691,1781,1468,1664,4555,4,15530,13260,4403,25880,25620,39032,25126,19717,18711,19459,3588,5958,2117,2832,2271,14664,29519,270311,263833,60709,27571,13674,30723,194063,1107,4539,283,14422,12468,3914,100,178,91,8,58
"수원신갈",6002723,2501,296577,420068,446345,506530,57412,128099,22977,96360,82581,8259,534,2832,1710,1938,15017,33422,5056,3529,27796,27263,0,4907,2261,1609,12955,766,1628,2147,9831,176,268555,1785,329,134,579,943,530,1379,987,2200,3794,8223,1351,589,1209,753,1336,1949,397,401,5936,3147,921,1348,565,150,3032,1109,1011,291,703,71,1747,38,2098,412,1649,171,420,2960,19970,4054,3539,938311,9878,3372,6409,1462,35863,22111,6094,17788,14644,12901,16308,2671,1673,4886,1088,1981,1822,2894,1277,1424,12076,1726,0,11898,79800,158028,4117,2571,828,1130,651,10955,34238,2210,1045,1744,33035,5834,50597,9260,2709,1530,6249,9238,2569,3694,75928,305,351,789,461,321,2160,437,858,75066,45766,13347,3829,25290,13792,4839,1092,7107,1916,3141,3883,555,2036,2541,977,1289,1709,19199,4191,5743,1397,2379,10259,8984,1342,4293,1930,358,7639,33322,25280,37974,12430,29809,17965,36639,4885,7454,1174,1398,1895,7393,253,1527,251,1226,11532,11100,126528,59710,104098,46678,3130,8840,4851,2153,1726,499,55172,8346,31011,5713,3232,7482,13209,3034,1951,1350,1809,1015,1399,16676,99517,232684,193517,240689,87775,128408,107035,40973,18130,11991,9745,11624,11316,5540,2166,8641,625615,108840,166225,191380,660980,218129,92418,2865,4429,3890,38,36,163,396,1227,9109,488,1618,12190,6083,1322,34367,8558,33137,21924,2063,5399,2681,294,19,8,5,4,15,45,16,0,23875,4502,8548,1172,3662,11248,790,14388,654,708,484,631,391,852,2,3744,1525,3359,3765,3670,5590,3595,2827,6328,5174,946,1416,563,696,555,7187,5821,68317,47099,12182,5837,25172,32276,36480,1096,1062,115,2940,2660,665,14,31,18,1,14
"기흥",1427985,261933,10526,311,23,101,18,9,26,20,27,4,0,1,0,0,26,212,51,39,319,243,0,53,20,17,118,8,15,7,71,1,138,14,3,1,3,15,5,13,10,35,7,7,8,0,1,1,0,2,1,2,8,3,2,19,0,0,5,11,4,2,2,0,0,0,0,1,0,0,2,3,27,8,9,260713,30,10,23,3,4250,1987,393,133,59,71,73,10,2,6,1,3,2,2,1,0,26,4,0,131,20,23,1,24,10,11,4,134,19,1,0,3,27,3,33,5,3,0,3,4,2,1,49,0,0,1,0,1,1,0,0,15,25,7,2,15,8,4,1,4,3,6,4,3,6,6,1,0,0,11,2,2,1,0,11,5,0,0,429,98,3052,2732,5656,831,120,197,111,175,1,5,0,0,3,9,0,1,0,1,6,20,58,12,30,77,6,447,112,25,23,12,8751,1007,4452,487,359,663,1648,184,20,8,11,13,10,183,53070,30232,46138,41559,13660,24012,11949,7089,2404,1533,987,953,1106,602,272,740,162181,21857,35346,21321,176671,56016,13004,348,550,44,1,3,4,27,109,1012,38,234,1661,712,178,3761,823,3433,198,177,538,240,38,6,2,0,1,2,2,6,0,3389,429,844,110,457,1413,131,1308,8,5,1,7,12,2,0,57,29,39,3,2,3,2,2,44,42,2,11,10,10,4,3,1,45,41,11,9,25,8,34,6,17,1,25,24,0,0,0,0,0,0
"오산",2135861,393958,270,1026,565339,583963,87731,146556,27937,93010,76026,10245,634,2886,1841,1915,13149,40520,10913,6478,31155,19430,0,5308,3570,1722,16207,820,2504,1602,8220,713,92222,1569,329,389,657,1063,717,1765,2329,2060,3752,8086,1167,572,891,763,1023,1552,385,384,4669,4017,854,1350,554,122,2665,1717,965,254,478,72,1719,31,1625,303,1297,168,415,2869,19911,4129,3353,344641,9399,3347,7208,1434,3092,1133,2559,29773,19951,18006,19231,2296,1666,4780,1069,1897,1800,2751,1153,1318,11417,1541,0,14629,8797,4826,4446,2927,838,1158,565,8480,33802,2181,1032,1789,32693,5758,49758,9078,2662,1503,6139,9027,2501,3621,74834,307,345,785,448,324,2124,433,863,111962,45318,13216,3799,25037,13658,5439,1464,8316,1902,3852,6035,1020,1994,2946,1023,1267,1694,19021,4134,5420,1363,2300,10638,8521,1604,2365,924,168,3648,5523,4860,69052,15226,41458,27858,37383,5876,7946,1052,1314,1674,6160,255,1407,213,1406,8446,14698,94467,75887,240531,95721,6668,3960,9766,2677,1875,611,4207,596,2669,514,261,777,1873,569,2332,1104,2047,1579,763,21162,57608,42007,41121,21129,11583,18534,15082,11437,4120,2263,1477,1432,1743,1267,414,1584,168080,21288,32609,8610,253197,65909,12173,978,1507,4326,26,29,19,35,190,1616,97,401,2373,1200,483,5717,1111,5792,18540,325,1130,345,98,3,2,1,2,5,16,7,0,7212,1025,1942,576,996,3293,143,3209,2056,1503,404,413,327,791,0,4475,4038,4602,3688,3638,5549,3562,2793,4811,4056,770,1212,723,724,737,4960,4182,50411,40457,11669,6300,297979,13853,28356,761,1106,87,2521,2239,587,14,27,14,0,6
"안성",1788845,433028,25,523427,1132,414174,77581,123133,24264,64925,62670,6651,395,1844,941,1205,7269,15898,3572,5921,21387,13633,0,3819,3445,1054,8922,1358,1478,1512,5717,275,288292,975,197,108,446,786,884,1278,702,1964,2291,4887,732,347,496,412,558,850,240,259,2856,2123,667,888,421,84,1696,1581,504,188,297,41,1043,20,1013,196,968,95,240,1742,11169,2073,1609,256731,5365,2152,4646,544,43425,16765,31104,32197,10189,7127,10644,1447,894,2554,532,1003,928,1458,563,660,6027,886,0,7795,1176,313,2240,1940,548,1085,515,6269,20685,1318,608,1098,19959,3519,30520,5557,1653,926,3745,5506,1537,2214,45501,178,217,476,276,192,1295,259,520,80607,27789,8107,2328,15349,8379,3757,967,5724,1521,2037,4130,351,845,860,1008,793,1036,11667,2561,3296,911,1731,8887,4482,871,3255,7988,622,1954,2743,1193,33961,7133,14114,1992,5691,3570,5527,1095,774,696,3572,122,734,201,489,4929,84773,48772,38414,27614,25317,61009,2703,4812,1687,1168,590,268,45,171,45,22,102,353,685,1717,967,1562,1103,679,11882,74971,11296,6107,1632,1268,2808,2899,1648,1153,513,381,445,629,297,138,478,125936,11268,17920,6332,167538,47935,12835,990,802,2557,23,19,18,16,24,167,8,75,268,279,91,1709,166,826,12149,35,157,59,49,6,1,0,0,5,10,5,0,2042,388,696,106,378,1035,76,1484,661,927,240,221,258,469,0,3993,1114,4590,2243,2226,3392,2191,1714,3129,2648,717,907,436,606,638,5921,2382,24851,28934,8169,4729,125732,11789,109052,132,806,115,1676,1462,311,7,13,4,0,3
"천안",2233150,514316,10,597894,457330,45799,187092,490076,77018,306190,296645,18390,1060,3888,2586,2908,18594,56248,17548,10311,51680,32631,0,12469,7286,2887,27862,3590,6219,5223,15235,562,399857,2848,618,337,1259,2311,3393,2825,1938,5101,5022,10725,1406,837,1349,1289,1249,1577,425,819,7083,4239,1117,3621,1257,168,3223,5117,1054,265,436,93,2297,34,1683,446,1521,205,506,3846,23860,4134,2933,423945,1029,204,919,553,63290,22250,38901,16119,3253,2629,6418,396,1885,5308,1070,2122,1943,2977,1085,1320,12041,293,0,26538,1325,349,3985,3747,2139,2079,2018,15088,45813,2922,1322,2263,44076,7763,67329,12307,3580,2010,8272,12126,3354,4864,100352,401,468,1044,605,427,2840,573,1144,127860,61644,17994,5153,34053,18565,14207,2741,14878,3602,5726,14351,169,113,660,863,1720,2305,25885,5679,7910,1665,7367,37687,10122,1657,2705,16313,1385,5586,7973,5095,31009,1819,1363,174,338,10432,16203,1789,1536,1451,7464,262,1931,234,984,10609,77251,134263,219328,24248,9188,85140,8166,22318,5758,3400,1205,620,105,366,64,40,417,2144,5989,5596,2002,3337,2674,1669,33573,73252,34081,14413,4346,4294,9012,8994,5247,2791,1392,1554,2475,1791,1044,369,1408,151713,15276,25733,9620,304314,65231,19666,2357,2393,6429,61,28,33,34,40,84,9,85,374,904,196,6123,497,2293,35237,94,408,168,228,7,6,0,2,17,22,17,0,5886,927,1624,289,1013,2617,237,3938,2204,4871,770,833,512,1030,0,11063,3123,19087,4939,4938,7508,4845,3802,7906,6199,1424,2005,1462,1369,1614,6175,6686,111274,98064,28244,19518,175055,11934,124269,169,1833,428,4907,4265,629,15,28,9,0,5
"목천",267245,54239,0,86818,69889,145553,571,183118,41180,163158,165574,14727,874,2896,1632,1952,11073,19244,4897,7750,31908,17675,0,8246,10320,3662,31711,1679,2968,2654,7370,611,33018,1379,228,92,567,1491,1168,2475,1035,4605,1022,2548,551,429,564,523,571,750,206,270,3302,2543,507,2213,480,63,1585,2462,799,202,234,21,467,15,822,194,892,37,96,788,4441,772,557,86729,99,12,97,100,17743,5806,9870,8714,1202,704,790,52,352,988,199,392,357,556,204,248,2258,52,0,15915,187,53,1975,1994,844,1458,563,9149,9149,587,297,1095,9095,1702,13849,2583,754,416,1685,2603,699,1006,20463,90,86,204,115,83,573,114,240,18154,11350,3328,950,6278,3418,11638,2288,13880,3106,4046,9260,35,28,164,173,378,432,4816,1099,2021,971,5473,26629,5518,907,1469,2325,166,418,529,267,782,77,67,25,56,7580,11253,742,827,783,3663,173,813,105,512,5814,26154,29955,29965,2990,314,20282,5421,8807,3146,2667,1443,38,16,33,12,18,182,1271,3387,3733,1511,2022,1380,767,18949,10766,2207,1671,524,274,556,539,272,155,52,55,47,61,38,14,64,27840,3452,4647,1625,70333,14811,3250,235,128,4325,42,15,23,28,19,49,1,6,18,64,28,337,29,86,16720,6,14,8,8,0,0,1,7,2,4,0,0,276,34,62,15,50,107,3,193,2211,2318,502,647,326,376,0,5574,1312,10073,931,917,1407,913,712,4981,3763,955,3736,1019,867,785,988,2918,55065,39422,15193,12049,32238,2608,15124,15,1109,161,2310,2026,116,2,5,1,0,1
"청주",521546,121226,3,150129,114259,468365,232824,14309,41802,114931,131388,18052,850,3728,1560,1168,7469,10426,3060,3765,21842,11432,0,3727,3621,1106,13936,433,1798,1263,5421,157,60678,1094,101,151,375,678,704,947,963,1575,423,998,1563,2489,573,317,493,470,107,94,1546,3160,333,899,231,54,821,893,426,93,280,10,280,13,389,82,430,23,37,628,868,126,206,156761,365,37,342,122,22284,9255,14247,12216,4711,2489,2485,134,21,103,43,27,27,97,28,56,482,139,0,8499,328,107,1848,2057,581,627,342,6400,4682,360,123,4498,8230,1393,12248,2620,635,306,1305,2837,461,761,20228,75,52,126,45,41,242,50,194,65768,500,231,68,323,151,24487,5760,24781,4751,3947,8366,335,132,906,247,214,108,376,274,807,417,3742,22964,3355,500,831,1805,83,212,191,176,287,51,48,119,66,4521,7489,353,405,380,2570,79,464,64,270,3173,29391,38264,21003,1431,165,24238,3342,5401,1651,962,460,28,8,34,17,27,228,1366,3484,1611,650,1366,808,422,8994,21578,3472,1521,213,102,200,228,118,75,23,24,19,22,12,3,14,63409,4709,9990,3958,128533,27850,8409,83,52,2059,14,9,11,18,10,9,0,1,7,25,3,135,10,35,12967,3,5,3,8,2,1,0,0,2,0,2,0,129,21,46,7,19,40,3,94,900,1027,269,216,247,203,0,3353,1432,4340,250,156,230,231,117,3669,2411,359,848,447,591,400,1689,3529,37288,30598,11379,6939,57993,3288,26118,25,585,111,1762,1556,23,0,0,0,0,1
"남청주",76948,27071,5,32570,23338,79898,53521,39224,434,181667,583852,136643,4736,17872,10220,4021,21771,11478,3619,4329,18267,7640,0,3790,2790,943,8269,732,2947,1110,4744,316,14869,901,184,153,396,844,611,876,1163,2241,1445,2701,3716,1242,1177,882,1180,1383,360,299,5020,2756,1596,738,489,128,2716,1828,478,366,1048,43,1207,58,1850,371,1163,63,383,3020,2427,332,746,47426,275,45,736,565,7463,3113,5177,6495,923,816,2973,100,37,261,94,61,48,254,85,124,1338,641,0,6471,102,26,8944,1537,560,772,347,5614,17903,1327,671,26220,31163,5104,41666,10569,2544,1087,4935,13756,2222,3090,44374,223,195,496,128,174,721,175,884,12928,143,467,106,253,82,30759,10086,38557,8508,7318,20661,1244,560,4650,807,697,429,615,1123,3540,1083,21361,132715,14910,2207,3740,105112,4987,20338,30167,10483,37201,44406,130084,186437,141741,19653,33306,1187,1186,1270,5215,276,1093,165,792,10611,14055,14956,11620,8533,3996,8267,6901,5311,1034,863,896,213,44,139,66,131,641,2940,11033,2901,538,1359,1022,336,9328,3309,647,2403,1281,2588,17789,8240,4420,3339,1403,481,635,546,415,186,459,15252,1504,3545,842,32608,10424,1740,3453,2094,1657,19,8,18,15,14,26,1,3,11,1070,206,3210,186,281,10797,15,62,17,105,0,1,0,1,9,21,4,0,5479,265,607,430,330,1127,67,1166,1083,1383,160,176,181,410,0,3426,983,5063,876,514,710,862,635,3141,1743,414,899,561,466,700,326,30165,159576,228398,81734,49650,13142,894,4477,6,550,112,1528,1332,90,0,2,0,1,0
"신탄진",333636,87223,14,93634,61423,282360,183398,110716,152905,851,249916,96808,6056,11689,4691,2937,13619,14238,5451,5124,20954,9076,0,3956,4039,1479,24473,800,6396,1519,6558,281,42796,1343,137,240,383,744,1060,996,1533,4398,482,1038,1125,2323,623,972,1201,423,135,113,2476,2796,370,981,675,61,1095,1864,340,109,262,9,272,22,880,103,426,29,112,1217,4995,397,2104,125998,280,89,911,943,17687,7394,14426,14838,3516,4359,11082,432,82,207,74,38,38,130,53,75,725,933,0,10052,332,70,7097,1105,1112,736,258,6505,8406,651,318,30372,22353,3258,21943,4347,1328,411,2233,5346,638,1411,20803,69,335,133,69,78,351,65,284,41705,1298,4678,750,573,79,30045,8059,30369,7353,7270,20366,5428,2403,19240,7368,6928,2696,9265,23250,11189,1111,51026,208627,11309,1415,962,251742,10968,39357,46120,18200,58224,68096,194093,340711,191602,46675,47835,699,758,749,2206,191,680,78,485,3613,25129,36533,24108,17292,7554,21484,3753,1269,1176,770,438,523,73,231,105,125,822,3300,11344,2231,714,1000,1521,680,9200,15083,3390,8428,4627,6558,21204,17581,9136,6191,1836,1828,1776,2000,1039,504,1467,47841,4594,9967,2581,90224,23283,5354,10160,4921,1751,24,16,23,21,32,17,0,13,24,2606,273,8352,442,918,17869,22,194,72,196,9,4,0,4,19,71,18,0,6726,796,1370,224,996,3320,142,4053,1049,1739,207,213,191,346,1,10615,1310,14034,2327,2380,4357,6318,8184,3806,2001,241,986,1023,717,547,1250,42479,32062,146465,110289,72901,42253,2402,18061,25,610,107,2398,2170,31,0,0,1,0,0
