"","가락","가산","가조","감곡","강릉","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남양주","남원","남원주","남장수","남제천","남지","남천안","남춘천","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","서세종","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북여주","북영천","북오산","북원주","남세종","북진천","북창원","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서순천","서안동","서안산","서안성","서여주","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","설악","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정남","정안","정읍","제천","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡계","횡성"
"가락",360,3756,486,2386,48,20,1866,3,585,63,36,225,431,588,59,312,720,1434,11835,130,28974,9,2,1471,2696,20144,2,281,14535,364,143,2106,167,2,81,7497,292,1013,0,0,168,119,9995,12672,44040,377,3,473,2951,721,2049,30,4,1030,390,80,464,14415,2591,9,136,8,876,645,2139,135,1,458,1016,38,6876,18,548,2745,52,443,1,5223,23876,11,1204,781,61,1,18914,6,772,2123,185,79199,1,0,4,4,33,334,77314,130,2,1365,23,884,8953,13,3,1,244,2,1301,394,12972,6,2438,0,4,4,3406,45,319,1480,1892,42,85,27,13,1554,364,882,2582,5523,1643,2864,739,3,822,26,298,422,17101,202,55,55,1122,20542,3,801,0,3116,99,4,3202,94,1327,217,0,0,2806,150,54,3,1041,4218384,2,3218,226,11324,622,433,7502,1670,1363,65,10337,3,3736,596,1,2873,3,5386,5778,0,164,1379,80,6,6259,4796,4674,342,2,2615,3946,23,4708,178,11126,296,109,362,8238,471,3928,938,6,2793,1696,29,3949,148,147,591,9567,1067,16,1537,46,6164,34,2374,1,3908,466,1469,3,10833,3816,1406,49,172,732,1125,1975,416,3422,4282,1297,82,437,368,553,4,446280,14136,30,14614,1850,216,53,631,1128,0,1596,117,465,879,326,3046,4054,197512,26,6082,360,5642,14052,1703,11364,377,12848,0,6,3785,108,4106,3181,11,851,800,1190,3,261,5032,2633,1435,46380,4,8,536,2,99,2151,45,1582,41,117,9279,43,17312,1950,2,49,889,19,4,24692,7,268,5,410,8506,349,278,124,31,65
"가산",4604,3781,431,11,2392,156,2539,7453,17,77307,34341,5,7,10260,46,8,3,193,49,9,2192,18,1,9,270,474,1,78732,134,17,5,2,3,900,3,9,1,245,0,125,25,3,420,26,18,7,3834,15,362,259886,2,5994,268,989,6598,128,19944,3097,8,199,4,3439,46,20198,98,10215,20077,346,9,44967,197,0,7,9,45,5,0,355,4176,1,6,907,91281,42,545,5,39,223,7,1243,0,0,229,204,696,3,0,4,164,4,1341,11,23,12,0,0,4,1,12,912,1391,2326,18,0,5853,4996,50,3,8,11,3,17885,2,0,620,482,15427,434724,33,1036,15,55,27,8844,11,307,4,2,3807,4,110,1,47,2322,0,211,4230,17,9,2046,25,465,110,1,0,0,1422,28,0,1039814,42,2438,3,15,27,101,43,61716,30,1,19,0,204,3828,6,15,5,256,0,23,5,3822,3,45,9,137,10998,50,109,4,152,1,9,89803,44,243,1105,20,1895,4,26,16,24,36,5283,25,73,0,7,17,18,17,6619,90029,22210,32,8356,31,9,8,83,476,3,19,1097,36,2276,26,24922,808,3,56,21,110016,44,40,10,6,108,40,31,788,3212,701,379,50,10,0,1,14,6289,0,50,8,5,31,345,203,417,1163,436,463,52,301,1172,5,4825,28,51,8317,5502,7,4,19,14,9978,8,24,96,1,5776,19,474885,1129,2217,32961,0,10,6593,834,31,43679,8,56182,18941,535,1478,827,765,1,0,1336,0,187,18875,2,3609,93,8,69587,63,20,1,921,925
"가조",673,486,10310,56,33,2,193624,346,46,1366,1358,29,11,20790,308,24,0,270,201,7,267,5,0,70,661,57,0,109,460,14,3,175,5,15,0,143,22,66,0,0,61,4,501,702,53452,301,3,45,625,362,45,28,0,2169,114,261,226,553,76,0,9,21,121,108,1599,38,0,242,17,188,473,1,127,24,107,31,0,34,3977,0,26,1330,2049,0,1889,0,46,143,30,485,0,0,2,2,7,4,0,5,0,30,1,25,321,3,0,0,123,0,57,27,387,59,38,0,25,57,26,11,23,235,8,95,0,0,9,298,52,3671,133,7265,156,216,68,267,78,10,33,5,1262,11,397,0,17,1757,103,1258,9,226,23,6,169,71,1894,13,0,0,1138,15,11,5,183,5341,0,36,146,782,8,99,76,39,45,5,1649,234,52,50,0,4786,0,258,18,58,1,139,22,1,9048,1190,969,5,16,8,80,1607,402,500,300,3,12,17,166,19,175,256,37,6,29,6,39,92,40,6,3496,272,879,73,15,297,11,149,0,136,2,10,56,286,213,34,1593,763,53,297,35,148,136,235,168,15,77,5,361,7,1318,49,17,474,51,6,10,108,32,0,7,8,54,537,828,19,200,215,13,184,416,42,1658,72,1044,43,500,46,63,56,2,603,75,319,110,2,48,0,61,156,3762,190,504,8545,1,43,76,1469,178,1064,216,1387,41,338,11,211,9079,0,2,19194,0,2,2576,0,37,0,13,12431,6,6,4,50,16
"감곡",1157,3,28,12328,7366,165,85,746,32833,3238,4025,19,68,367,4,3,0,5,112143,7,44,233,28,10699,6123,82,22,4,131337,30295,0,8,3,188,10760,14796,11,1469,0,497,0,7,1978,1881,63,4,579,814,449,22,68,867,9,20,11213,2,114,657,19,222,0,499,31,4,12,86,71,4,122,6460,289,43,3,15390,8,4,0,2,16,5,12977,752,1913,34,694947,2,64787,30,13,476,1,0,3721,439,2270,1,0,4279,1353,4598,1692,6,13,17,0,0,13,7,11931,14844,71,363,36,0,831,579,521,3,72,510,7376,2611,5,7,3595,8,282,8410,69,1044,5958,99135,62358,522,2314,861,8,61,445,16649,9,260,4951,74,0,12,407,12,3,274,10369,3537,7,0,0,1,752,2,8,11074,33,1841,1,92,3,111392,3,192,34945,30,57050,250,146508,529,15670,21,1,28,7,285,158,250,1,3320,1,14,750,1152,7,48,456,148,43,1807,62347,4,54,0,496,3,179,12348,114,16,705,43995,54292,3,6303,9,2,27,1019,73,1244,14,6,4307,10,182,515,13,2,21,167,28,2193,29793,3975,8670,2,122,182,5,81724,80,1267,3,17,1,7,171,958,69,2311,126,21752,1123,12,57,819,0,3,0,73,3,4,28,27,395,1773,35,8,6,38,120,582,0,321,344,453,74,3,64,5,473,8,25,4,8,9755,34376,1593,668,311,5918,1,11,341,107,14,995,86,3841,256,15,4062,249,8,1,28,71,1512,1192,1315,65,7946,8,125,694,47,1,4,2021,2899
"강릉",50,2079,26,6255,13729,643,124,13,7392,309,132,1252,105,253,43,7,3,18,24174,108,224,6185,160,740,766,35,454,362,59519,10948,21,301,45,7,2338,6132,108,582,1,15855,9,52,109,111,0,129,108,56,65,490,563,117,7266,98,75961,2,1122,85,198,337,44,62,1122,560,84,844,90,118,786,844,11019,375,31,8075,12,61,1,143,53,42,6084,10,492,85,267038,40,33448,373,249,69,5,0,346548,79,31362,18,0,2566,103653,1786,29952,23,156,241,15,12,287,85,471,73091,240,12,262,0,104,139,455,101,263,256,2633,319,27,31,33090,249,1902,2659,2561,19,702,37315,2649,13,987,3427,101,1273,189,503,38,2194,1402,345,2,91,131,313,25,39,379,195356,143,12,0,13,30,71,77,4649,960,32,27,1016,56,56498,34,3228,8953,161,2123,135,106001,30,7137,444,211,233,49,10125,344,6,4,360,11,934,151,143,72,50,34407,655,441,690,25295,34,593,11,1963,22,6543,6376,1299,426,47,27547,33894,40,282,7,33,96,184,1418,41,154,881,8041,190,5154,27514,102,15,691,11,733,73,11054,177,178875,11,4280,5210,335,27885,1448,14934,46,231,5,148,5,122,23,153026,3121,645,353,120,979,12743,0,14,6,2267,35,60,11,77,9,196898,60,52,83,148,2670,118,22,4346,71,12,133,20,3594,15,37,301,14,15,52,13721,1856,5599,14,140,2540,12,257,19,341,700,418,105,27,5092,89,207685,67,79,7,205,37,817,22783,144,272,2542,2326,39,367,57,38,54,419408,616
"강촌",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689279,0,0,0,0,0,0,8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17628,0,0,0,0,0,0,0,0,70681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58684,0,0,0,0,0,0,0
"거창",2219,2412,191380,116,196,1,9746,1676,193,9044,9447,111,46,43009,2650,122,7,927,324,19,3035,20,0,295,1835,499,0,815,1421,59,3,718,28,112,0,428,99,94,0,4,371,17,2026,1607,270730,1087,93,124,2937,2216,125,166,2,16292,351,1748,509,2337,302,2,56,154,406,561,7644,312,0,2526,55,1042,1532,0,730,50,822,72,0,487,31530,1,102,5040,10616,2,8187,1,176,1112,141,3363,3,0,12,17,23,15,1,41,11,170,23,123,641,56,5,6,545,2,237,45,3120,377,126,1,135,606,70,69,22,702,56,523,8,2,43,1749,324,17964,349,34927,417,667,120,2113,328,58,86,24,8468,54,2576,3,52,15824,2321,7401,72,1254,82,69,432,48,5120,9,0,2,6522,169,37,4,648,29238,2,161,496,2043,112,824,740,182,63,15,7995,1692,132,289,0,34695,2,551,79,700,6,331,135,3,22153,3631,3422,43,6,39,204,8879,1502,2622,2507,39,79,42,348,73,491,773,218,49,129,21,106,601,474,5,16004,1206,3575,219,66,938,49,293,7,1016,28,38,275,1666,1290,112,12927,54,139,946,186,1136,185,1007,220,106,556,78,1086,68,5919,227,18,1647,238,22,33,217,241,0,38,98,163,2959,5468,206,1904,1455,40,2416,892,407,14441,165,7272,296,1201,448,670,193,9,626,261,2144,516,12,506,0,320,307,19021,650,2484,48659,5,167,481,11302,662,5696,395,11339,248,2485,128,1435,61412,12,4,53806,3,8,11709,2,237,1,87,39031,7,191,1,56,61
"건천",3,6098,247,990,19,15,1466,174,232,48640,49624,229,324,2183,3,17,4,43,882,86,571,24,2,660,8544,237,106,493,4305,215,89,46,14,5284,12,631,65,3136,0,3,30,64,8753,119,5,79,1144,561,174,1935,275,14374,60,697,674,64,675,1025,559,42,18,19712,701,737,25,501,3064,168,430,177422,3578,21,44,107,158,894,0,89,2664,4,125,1,83069,3,9190,67,655,80,34,4,2,0,2,14,59,46,1,112,1,273,39,544,2954,9,0,1,9,31,763,319,128,18292,1203,0,9168,645,817,12,138,542,115,130279,4,54,8,211,593,84114,1233,4,992,1177,584,37,441,25,218,100,23,190,0,5,241,186,1,61,391,135,14,6682,1231,62,63,60,0,0,2,47,3,52100,875,2,45,722,21,3177,8,1380,1159,278,809,20,5171,24901,116,142,3,26,28,1416,778,18,1,767,33,24,2165,36,471,208,8,1165,459,26891,1254,155,555,11,135,89,785,171,830,399,38379,408,338,1,610,0,61,311,539,1729,14093,770,197,1225,8,855,3,382,4,737,4651,249,10652,513,108461,99,216,906,366,1010,648,799,224,15,110,13,118,6956,6,159,29,1504,774,48,29,128,802,0,11,20,195,26,185,58,27,2,31,133,79,554,94,428,1057,26,2487,2316,27747,574,108,821,900,571,109,255,4,17,576,1351,7611,1671,390,708,8,91,14000,45,967,25200,532,96,418,208,27,196,338,0,26,539,11,4,2873,15,315,18,289,5460,725,7,29,34,90
"경기광주",533,9,16,30223,6594,1,112,270,513,838,2037,882,27,168,169,8,6,67,193924,50,206,6363,40,2560,3286,51,152,46,344,86,75,795,141,120,139,146,224,1055,0,343,27,35,854,579,35,327,71,260,122,296,876,466,17,138,9750,5,758,249,112,4,93,263,1413,4,324,672,73,97,114,3547,9303,97,236,8690,57,66,0,114,34,19,19,270,897,10,4322090,32,395,481,284,220,0,1,4037,17,2433,7,0,134,1150,19,2031,7,70,221,39,14,968,31,2972,13432,115,128,595,1,450,221,14,223,959,16,32,1509,36,25,2843,252,1700,3962,5043,334,1478,250,486,275,37,550,209,5877,167,3442,216,158,29,716,25,187,201,410,93,88,2603,3555,149,15,0,7,290,149,52,4450,1454,770,22,192,558,158,75,2467,106,159,3801,5,454,244,134539,936,2,757,47,18726,84,146,18,895,4,6,248,508,99,305,499,123,110,912,424,92,803,15,2333,5,10524,44,261,626,360,5571,33384,22,1308,40,19,513,426,473,451,34,96,254,353,13188,434,90,45,2699,84,1051,615,684,1973,6166,9,5895,27217,61,50814,2223,56226,129,364,60,705,116,379,31,1702,3013,4774,25,63,1481,10843,0,64,6,11308,298,202,7,222,81,2045,46,185,50,293,8443,315,45,943,213,146,60,20,5109,4,244,1064,167,33,17,108,13477,627,65,113,2873,13,626,225,1586,1076,540,53,2000,3760,184,2373,125,317,14,25,47,21,1095,508,107,195,25,415,303,368,74,224,2597,1193
"경산",56,75644,1320,3302,355,39,9945,62681,770,1920,239640,804,444,27028,137,77,6,326,4350,694,3562,136,6,2096,82640,1030,340,10411,15393,836,1703,132,47,3824,45,2081,181,25407,0,10,208,151,124712,502,16,427,48778,3449,2312,23287,1097,9982,127,2026,2256,188,2712,5208,2232,104,33,7701,4597,15354,165,1595,40047,627,885,64526,12650,44,143,678,236,963,0,268,16772,24,1236,16,768432,10,32225,166,2500,467,124,66,1,0,15,31,147,157,4,164,4,1547,196,984,9375,11,2,2,28,46,3449,1398,2061,12181,5207,0,8377,12569,3260,25,478,1778,1006,63555,9,127,91,718,1924,1455214,4044,20,7613,5081,1454,1461,1081,75,499,621,872,505,98,11,1113,3316,0,388,13116,611,61,4410,8666,423,280,238,0,1,31,23,18,931422,4597,40,147,3173,71,10389,116,11952,6967,1136,2237,58,14595,20955,868,809,3,337,91,3929,5473,994,7,7559,68,76,28098,383,1557,964,20,1814,5183,162828,3852,578,1446,42,580,1554,4192,701,3854,2110,26179,1426,1598,7,2506,41,112,2028,3088,11722,209427,2355,1138,5502,34,2778,1,616,11,2729,4466,1011,200018,1530,142670,342,873,3005,3283,13194,2720,3402,905,58,458,40,337,4424,102,915,92,5028,3208,221,79,396,1658,0,58,53,887,77,853,472,525,104,95,2375,306,1257,1423,2536,7499,410,14122,20255,15385,3494,337,5623,2807,6683,461,1874,152,53,1731,8205,124416,19413,3259,17853,21,538,9123,613,3420,447217,2211,13248,3288,867,283,1859,2181,3,154,3674,27,37,32272,24,960,39,1261,98896,4028,38,115,153,282
