"","가락","가산","가조","감곡","강릉","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구례화엄","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남세종","남안동","남안성","남양산","남양주","남원","남원주","남장수","남제천","남지","남천안","남춘천","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북남원","북단양","북대구","북대전","북부산","북상주","북수원","북여주","북영천","북오산","북원주","북진천","북창원","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서세종","서순천","서안동","서안산","서안성","서여주","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","설악","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정남","정안","정읍","제천","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해운대","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡계","횡성"
"가락",734,5184,436,3363,43,13,1914,5,582,59,73,325,556,684,87,306,1010,1581,13791,70,38534,10,5,2443,168,2918,24745,11,427,15315,443,252,2966,208,1,92,7403,329,836,0,2,122,138,12176,13709,44804,684,4,542,3344,496,764,2172,46,6,873,435,78,568,14281,2364,26,91,12,1097,583,1825,171,0,571,1230,50,7383,3,545,3463,60,0,5408,26135,12,1100,562,69,5,21496,3,816,2436,178,71526,3,0,2,9,49,176,78483,138,3,1463,19,1144,8736,22,0,2,241,0,1416,410,12968,2,2402,0,9,1,3266,35,336,1364,2791,50,117,15,13,2804,7,494,806,2808,3579,1874,3191,681,4,834,18,554,16767,297,24,60,1258,24903,5,1085,1,4168,91,6,2751,130,2133,367,0,2,2636,180,78,3,1198,4118827,4,3870,265,11248,422,560,754,8262,2366,1098,53,10631,3,3691,668,1,3186,2,5566,7767,0,216,1645,191,9,4987,5033,4537,214,3,3692,4109,18,5345,119,6422,392,74,260,8938,428,3643,940,26,2976,1672,37,5036,42,223,358,10740,1494,7,1945,55,5723,51,3360,2,5777,608,840,1,12795,5063,1737,63,219,360,1180,2682,525,3635,4914,1446,93,424,369,640,1,367522,12707,27,18513,1448,337,79,706,771,0,1862,121,698,1048,387,2897,4493,170252,22,6317,383,6152,14850,2373,12050,363,15117,3,17,4136,91,5069,3308,12,1116,428,1668,2,262,4967,2978,2743,53968,4,10,655,6,56,1993,48,1846,29,116,11310,42,17582,1429,1,22,6,567,20,3,23948,8,231,2,391,9266,217,351,140,30,67
"가산",7384,216,623,10,2372,193,2656,7513,22,79569,33091,11,1,9386,72,16,3,202,45,7,3336,15,1,9,42,270,942,4,76811,106,34,6,5,5,869,3,7,3,227,0,66,36,0,400,30,15,10,3862,13,475,7,255141,2,6454,179,920,6836,104,20632,5559,9,238,8,3480,26,18632,70,11551,21363,371,6,45966,135,2,5,5,29,0,696,4358,1,5,917,91240,41,552,2,46,511,6,1551,0,0,195,144,640,1,1,8,167,10,1276,7,30,9,1,0,8,0,12,574,1650,2357,17,0,6035,5450,33,1,0,10,5,17734,2,1,672,691,10,15641,409507,47,950,23,73,28,8122,12,248,0,3230,2,101,1,66,2953,2,216,4561,11,2,2277,36,512,113,1,0,0,1266,26,0,948183,49,2741,1,16,25,107,7,56,62565,34,5,12,0,263,4080,4,19,6,290,1,20,13,3990,10,31,10,144,11866,46,114,0,159,9,13,90409,53,175,817,21,1946,10,31,11,13,31,4720,16,83,0,12,20,48,13,6653,80878,21239,22,9212,25,2,14,57,1003,2,22,940,32,2292,32,24887,768,9,54,81,103437,29,39,5,8,118,42,45,871,3380,972,432,52,11,3,1,22,5746,0,43,9,2,34,328,244,526,1259,474,564,57,471,1358,11,4625,24,58,9091,6234,10,6,22,15,9228,12,28,85,0,5799,16,441900,1234,2398,34486,0,22,5478,867,47,41481,11,59339,17059,715,1470,1566,913,2,0,1094,1974,1,186,21625,0,3630,91,8,64590,41,22,1,1087,913
"가조",711,560,6228,70,34,0,161505,238,43,1520,1218,40,10,19040,340,20,0,255,165,8,290,4,2,100,45,648,106,0,144,367,8,2,207,7,17,0,118,20,60,0,0,37,5,605,731,53947,318,21,85,731,54,482,29,24,1,2159,135,184,240,487,69,1,8,20,115,120,1192,62,3,182,19,163,480,1,130,25,52,0,21,3494,0,30,1137,1986,0,1686,0,71,252,63,416,0,0,0,0,11,12,0,4,0,63,2,28,277,6,1,2,128,0,54,12,300,50,35,0,20,87,24,6,17,222,7,90,1,1,7,549,9,132,3134,142,6955,175,244,47,301,101,2,5,1079,18,186,0,20,1661,143,1329,11,126,19,13,182,67,1653,9,0,0,1156,25,11,4,224,5390,1,57,147,653,56,13,156,65,64,24,3,1687,262,38,90,0,4066,0,217,28,67,0,151,13,0,7630,1092,734,10,2,4,110,1621,318,292,255,9,21,23,156,20,179,226,32,5,28,6,21,64,64,7,3480,288,752,52,19,224,5,121,0,200,0,9,44,320,182,41,1628,640,42,280,57,233,158,198,525,15,82,13,280,11,1393,52,10,576,55,14,14,46,30,0,8,17,35,573,873,27,191,243,11,203,320,96,1436,49,911,32,364,69,49,50,3,326,93,292,114,5,90,0,54,243,3715,435,469,7900,2,29,75,976,183,1163,269,1557,60,424,15,248,7848,0,1,23,17642,1,1,2156,0,31,0,21,12639,5,14,0,40,18
"감곡",1262,3,34,10846,7794,132,110,694,30189,3455,4210,16,50,459,6,0,1,4,100973,7,29,226,17,10147,9,6289,86,25,10,131080,34515,2,15,2,180,11137,22911,9,1138,0,349,1,8,1878,1769,69,8,540,689,439,8,37,38,985,12,7,9802,1,115,614,34,292,3,509,47,4,7,78,68,3,101,6795,247,38,2,14546,3,0,4,8,4,12823,793,2306,50,667517,3,70709,45,10,521,3,0,4088,371,2037,0,0,7208,1410,4679,1895,2,13,9,1,1,8,11,11532,14266,92,408,19,0,878,771,624,7,35,1106,7804,2796,2,4,3515,16,0,264,8390,86,1129,6045,105368,63616,437,3156,1079,57,389,15318,6,442,5903,79,0,8,580,13,3,243,11024,3881,2,0,0,0,1028,3,7,13503,39,2211,2,102,2,113352,3,1,224,35781,33,52448,355,191484,594,16078,28,0,16,7,260,132,244,0,3264,0,14,608,1101,1,30,528,113,101,1799,70622,0,35,1,499,3,175,12395,110,19,885,45490,49005,3,6455,1,3,10,1133,83,1216,12,10,6629,12,191,594,19,0,24,133,19,2503,36069,4221,8534,0,130,190,5,73283,81,841,4,12,0,3,172,1112,99,2190,114,21802,1897,11,48,772,0,1,0,81,1,4,21,17,428,2042,65,4,7,55,99,514,2,296,349,489,50,2,99,5,439,16,28,2,2,10738,32603,1337,478,303,6195,1,12,452,80,32,1063,45,3962,256,14,3860,242,16,0,20,327,89,2031,1163,1224,58,7515,13,140,690,29,1,3,2012,3482
"강릉",36,2005,41,6443,12813,509,157,8,6826,360,72,1287,102,269,53,9,2,20,22175,90,222,6117,154,788,139,734,38,353,389,56986,11940,20,259,50,11,1948,7104,100,500,0,12886,7,55,75,145,0,174,103,49,46,121,521,569,111,4600,39,70945,1,1154,80,214,409,34,59,1167,604,52,771,134,103,838,820,11955,373,35,6681,17,1,236,60,34,5833,17,529,82,256426,40,35799,1176,391,73,4,0,350549,58,33301,13,0,3541,109758,1641,32762,24,136,236,31,17,252,65,488,73312,258,11,318,0,103,134,504,66,268,400,2652,290,39,36,35288,322,50,1876,2582,2674,23,632,40361,2574,7,1497,5074,1788,173,378,25,2835,1424,391,2,48,147,339,39,32,322,202116,44,15,0,6,29,46,81,4140,1104,15,21,968,75,55757,79,24,3158,8770,180,2397,142,126201,32,5553,548,178,258,55,10866,388,0,4,314,10,927,143,125,63,55,38264,655,448,710,29288,27,473,6,1821,13,6607,6352,1440,473,48,31375,39225,35,239,4,27,73,218,1190,38,143,750,8238,241,5286,29823,159,7,552,7,676,64,12132,157,185519,6,4594,5764,392,26669,1618,14719,55,214,11,129,5,121,21,161122,3271,618,1139,115,1135,11822,0,18,7,2644,49,38,21,81,10,207403,53,88,50,181,2454,132,25,4901,67,9,107,24,3387,26,32,321,24,17,43,11953,1749,5527,14,123,2350,9,237,17,212,752,365,106,23,4174,85,216947,67,129,12,91,38,35,1100,22766,186,325,1991,2443,52,334,35,23,37,414666,633
"강촌",0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674618,0,13,0,1,0,0,9919,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,71804,4,0,1,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17728,0,0,0,0,0,0,0,0,71466,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,72,71409,0,0,0,0,0,1,20
"거창",2269,2362,159993,104,190,1,6014,1475,146,9671,9395,69,33,39348,2540,98,8,931,312,23,2411,16,1,345,368,2034,725,0,985,1005,34,0,586,29,156,1,357,104,91,1,5,255,16,2419,1782,277907,978,75,101,3299,82,2242,102,158,0,15225,306,1532,583,2224,187,3,31,122,406,676,5245,291,2,2165,49,962,1243,0,601,38,752,0,414,28027,1,94,4423,10949,3,6229,1,177,2704,192,2653,0,0,11,8,35,10,2,29,8,149,23,98,500,34,6,8,551,0,280,37,2507,372,62,0,122,668,65,58,14,659,43,479,3,1,51,2569,85,381,16631,319,32528,472,645,91,1644,314,18,10,6923,58,1179,0,58,13661,4325,6985,87,960,95,38,352,23,3605,4,0,0,6899,238,33,6,492,26879,1,146,437,1594,72,177,924,218,193,59,8,6212,1786,120,285,0,29330,0,443,122,724,3,421,121,3,20098,3873,2655,44,10,33,172,9681,911,1450,2027,42,90,73,304,70,419,572,208,48,116,17,117,317,499,6,15561,1131,3408,141,109,750,39,227,2,1465,34,42,288,1229,1413,95,13599,79,114,830,157,1170,113,858,197,140,491,97,792,146,5297,372,34,1273,300,25,20,194,167,0,22,98,142,2869,4632,189,1754,1414,23,2175,710,447,12460,175,7092,540,967,519,651,217,8,538,284,2279,344,6,391,0,252,335,17305,821,2582,46408,4,177,549,7003,548,6336,476,11979,276,2597,85,1667,45306,13,6,107,44913,2,10,13602,4,193,1,55,38700,9,298,3,53,60
"건천",4,5208,226,966,23,15,1488,167,216,51387,56735,261,320,1732,10,11,2,44,838,66,967,25,2,728,17,8416,221,118,442,3859,274,120,51,20,6454,19,708,70,2607,0,2,31,96,8269,117,3,117,1198,485,322,367,1776,391,16201,41,547,635,54,638,830,518,20,19,20632,620,704,27,529,3343,150,424,177449,3676,12,25,179,197,0,199,2535,6,158,8,76187,5,9236,35,792,117,53,2,1,0,4,18,42,56,3,143,0,235,55,558,2841,8,0,0,15,28,874,218,97,18187,1204,0,7522,675,693,12,158,555,118,134708,3,49,5,280,10,431,80856,1239,8,945,1329,460,48,459,21,116,16,135,2,4,469,250,1,66,366,236,8,6785,1172,50,41,74,0,0,3,62,2,46037,1061,1,51,655,17,3012,855,6,1205,1606,289,492,21,5832,26876,132,148,1,19,41,1326,848,15,2,831,18,31,2528,52,468,198,6,1251,498,28157,1282,100,307,9,148,138,861,203,822,470,38768,325,333,0,633,0,90,344,727,1453,14569,792,299,1409,3,1095,2,357,5,373,5447,280,10441,505,115046,88,126,959,386,695,553,892,205,20,114,8,83,8141,12,280,21,1648,735,43,28,165,606,0,11,29,186,25,143,19,25,2,33,88,93,467,131,413,1097,21,3230,2814,30585,667,113,888,908,507,127,309,8,25,606,1341,6651,1923,478,823,4,122,12485,9,1001,25610,534,85,419,284,16,224,481,0,22,11892,457,39,0,3204,9,281,17,272,4857,506,2,25,40,88
"경기광주",471,10,32,28166,6548,6,108,278,802,743,1766,828,30,185,141,11,2,48,221119,45,135,5547,38,2270,296,2914,51,131,45,279,102,91,747,131,88,161,264,234,1037,0,315,13,47,726,568,40,351,89,199,130,176,330,743,452,16,60,9597,3,692,136,73,2,100,252,1405,14,259,555,98,78,85,3337,8442,86,201,9182,53,0,142,45,22,33,272,768,9,4403969,27,468,1317,435,157,4,0,3934,21,2326,13,1,155,1178,15,1777,3,48,167,26,18,978,22,2443,12157,134,108,536,0,428,225,45,143,995,34,37,1423,18,34,2930,265,46,1499,3356,4234,346,1371,233,473,229,70,620,6498,194,3551,92,243,56,723,25,154,209,388,121,94,2369,3531,92,10,0,5,249,152,52,3932,1283,660,22,164,415,172,60,39,2044,109,109,4341,6,511,232,137767,925,2,681,27,18646,107,115,8,735,7,5,247,482,83,232,435,113,132,813,618,53,715,14,2283,3,9208,62,256,698,403,6038,31700,17,1195,17,26,362,344,491,375,37,126,326,381,11812,424,92,27,1592,129,806,569,694,1973,6117,8,5811,25087,84,45776,2019,55563,139,307,29,568,153,321,108,1521,2751,4422,29,50,1228,9792,0,25,8,11053,289,176,14,202,104,1938,30,208,36,208,8063,267,33,747,168,173,57,16,6050,7,201,1074,145,22,14,69,12654,614,84,134,2852,5,536,285,946,1040,480,34,1920,3107,128,2037,110,286,13,19,136,49,40,899,449,97,186,32,396,261,273,108,196,2505,1254
"경산",54,74753,1477,3405,332,107,10980,65893,710,2048,236879,837,510,26622,119,85,19,369,4346,186,5209,178,3,2437,85,85479,1477,267,10282,16987,1014,2036,179,44,3900,42,2175,221,24187,0,33,136,194,123049,555,22,399,51809,3059,2987,817,20787,1409,10853,77,1727,2344,174,2669,5593,2304,57,65,7915,4410,14113,112,1588,41290,685,786,63054,13281,49,103,859,97,0,501,15124,22,1256,13,783626,15,31791,172,2836,706,145,60,0,0,5,48,231,188,4,244,7,1424,187,836,9697,22,4,3,26,65,3157,1099,2246,13149,5623,0,7720,13854,2635,23,483,1818,783,60875,4,138,84,1438,8,1657,1482939,3934,18,7426,4795,1240,1343,1219,63,992,892,484,65,15,1044,4388,0,508,16923,607,39,3972,8206,255,316,287,0,1,18,47,12,824724,4716,34,141,3554,86,9924,1128,101,10884,6848,1485,1402,52,16098,22380,686,835,2,397,80,4046,5147,975,15,7219,59,54,28660,374,1563,748,34,1301,5121,176767,4387,366,1170,29,582,1373,4147,798,3870,2018,27006,1750,1696,4,2457,28,160,2096,3333,11704,209427,2796,1255,5910,23,4010,5,1144,39,1821,4132,1167,203385,1733,144883,398,618,3056,2921,11029,2813,3974,898,42,603,63,446,4363,81,1234,74,5250,3447,236,83,450,1335,0,98,51,854,99,943,492,550,95,102,2303,372,1541,1705,2293,8360,354,12861,21406,16368,4028,391,4621,2456,6650,621,1699,185,52,1787,7863,107031,22545,3841,18533,18,826,8608,407,3309,460412,2097,13086,2622,1154,227,1744,2231,3,50,6751,3731,21,18,35026,16,927,36,1371,95191,2864,33,102,173,341
