"","가락","가산","가조","감곡","강릉","강진무위사","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","고흥","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구례화엄","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남세종","남순천","남안동","남안성","남양산","남양주","남원","남원주","남장수","남제천","남지","남천안","남춘천","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김천","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","벌교","보성","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북남원","북단양","북대구","북대전","북부산","북상주","북수원","북여주","북영천","북오산","북원주","북진천","북창원","북천안","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서세종","서순천","서안동","서안산","서안성","서여주","서영암","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","설악","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양양","양지","양촌","양평","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장유","장지","장평","장흥","전주","점촌함창","정남","정안","정읍","제천","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해운대","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡계","횡성"
"가락",1308,6406,553,3717,47,1,34,2102,4,645,59,65,343,644,1035,49,524,1,1270,1683,13243,71,29553,9,3,2957,228,3224,27029,4,497,13144,413,369,4328,266,3,81,7787,584,886,0,0,146,130,15808,16042,47499,1415,4,692,3872,705,1,1068,2256,106,3,1012,579,71,562,13554,2716,9,93,12,1404,741,2783,164,1,619,1219,71,8078,13,684,4166,52,0,6290,25350,7,1267,599,476,61,1,25701,8,856,1611,216,66352,1,0,3,7,42,331,82113,182,2,1310,31,1724,8525,12,0,1,287,4,1516,486,14200,7,2509,0,6,1,2626,33,0,1,404,1687,3051,73,102,17,12,5815,12,640,916,3516,3497,1883,3515,363,7,1089,24,988,18191,12216,221,20,46,648,28006,7,1649,1,5133,102,2,2947,93,2237,432,0,3,2215,376,87,6,1562,4292165,1,3810,241,12553,514,547,915,5743,3606,871,0,124,12351,5,4012,806,0,3670,2,6047,7001,3,296,2022,173,7,5122,5018,5974,248,4,3251,5612,20,5351,124,3945,446,68,266,11353,438,3759,1079,46,20,3213,6,802,1656,41,5487,41,247,451,13741,2602,14,1725,60,6748,59,4295,0,20849,626,1311,4,16426,4553,1986,83,132,320,1339,271,458,4344,5207,1685,147,529,114,654,9,260295,11403,17,0,21666,1120,570,82,541,799,0,1347,113,826,1466,422,2728,4326,164299,22,5657,435,7507,18266,2847,12837,415,11974,2,23,4326,133,6441,4222,8,1131,268,1645,0,399,6280,3244,3242,56887,3,12,583,4,57,1895,59,2098,15,145,16580,29,18219,1965,1,28,10,856,24,5,26453,5,286,4,332,9178,296,430,318,35,55
"가산",8266,277,717,5,2222,0,180,3258,8093,12,86278,38631,9,11,10736,57,20,0,1,210,51,2,3226,18,0,12,72,233,909,3,93674,108,8,15,5,2,1011,1,19,6,182,0,96,8,0,460,24,20,9,4271,12,497,3,0,290225,3,7458,92,985,7109,71,21819,3886,6,235,5,4010,28,21843,152,13553,23360,384,4,52812,159,3,12,8,25,0,538,4627,0,10,115,1035,110390,47,505,2,44,485,15,1606,0,0,190,136,665,1,2,8,169,5,1274,11,29,4,2,0,5,4,15,693,2066,2791,24,0,6373,6193,8,4,1,0,4,12,4,20282,1,2,736,955,7,17485,397765,42,1186,5,72,10,8201,4,284,0,3183,11,2,143,0,6,3550,2,241,5189,21,3,1839,26,537,125,4,0,1,1334,34,0,1065740,22,3103,1,19,59,127,9,58,72488,20,3,7,0,1,232,4509,6,16,2,375,2,16,13,3901,10,18,12,147,15420,74,133,7,112,3,8,97620,58,221,653,30,2039,5,25,9,16,8,5624,640,18,0,58,86,0,19,25,41,15,7285,90398,22057,25,8708,25,5,8,60,1613,1,24,984,35,2187,23,27443,765,0,51,0,117495,31,43,3,8,125,19,68,1322,3368,910,475,0,63,16,0,0,19,6368,0,54,4,8,50,367,249,584,1392,525,554,60,547,1395,8,5108,38,26,10626,6201,9,6,14,11,8998,7,24,91,0,5948,14,465655,1452,2403,37374,0,21,4931,1014,43,45836,8,64098,20093,847,943,3244,906,1,0,1302,2017,0,204,27098,1,3807,83,6,69020,32,29,0,1078,994
"가조",699,649,6871,38,21,0,1,181818,289,40,1772,1162,46,15,20572,377,12,0,2,151,186,14,256,5,0,150,38,616,125,1,121,259,13,6,197,6,21,2,146,22,26,0,0,36,4,545,677,55611,300,14,47,974,92,0,519,34,26,0,2173,100,365,141,463,68,0,4,26,211,142,1834,61,3,201,23,144,475,0,146,5,110,0,28,3035,0,36,17,1297,1976,0,1778,0,63,298,105,480,0,0,2,2,9,8,0,3,0,56,3,16,261,7,1,2,129,0,69,30,296,57,25,0,17,96,20,6,0,0,18,240,5,94,0,0,8,1093,29,111,2837,150,7066,140,237,18,299,115,2,16,982,97,24,207,0,14,1862,170,1572,10,334,19,10,180,29,1877,0,0,1,1179,128,12,8,420,5406,0,32,135,736,42,7,202,50,68,52,0,10,1548,226,44,88,0,4298,0,215,8,112,0,154,22,0,7886,954,769,16,3,7,137,1470,317,303,228,7,11,12,192,21,146,233,32,6,6,5,48,43,5,44,64,32,9,3755,218,931,86,9,591,7,129,1,155,2,4,47,351,204,40,1674,521,61,340,14,332,131,187,269,13,100,31,287,18,1414,50,15,0,582,61,12,8,106,30,0,6,14,48,538,894,25,221,273,6,185,367,68,1429,73,959,17,316,79,75,53,0,256,101,292,108,12,60,0,61,256,3957,506,575,7976,1,47,77,1118,203,1406,233,1990,33,377,10,233,9325,0,1,15,21995,1,0,2492,0,27,1,18,13293,25,13,3,3,28
"감곡",1305,6,33,10758,7890,0,131,98,745,26529,3994,4265,71,114,479,8,2,0,1,8,106805,15,28,580,93,10202,13,5664,166,54,8,141600,34271,3,35,7,147,10718,23065,20,881,0,316,2,17,1738,1598,75,30,430,594,436,18,0,18,2280,959,13,9,9357,3,154,741,74,272,11,553,125,4,10,71,74,2,561,6695,786,141,5,16473,7,0,17,16,4,14807,679,599,2329,34,632901,6,77806,111,57,501,9,0,4306,271,2108,3,0,8241,1421,5767,1510,13,28,38,3,2,24,18,10091,14562,110,433,65,0,798,702,688,10,0,1,60,1200,8079,2577,8,8,3611,44,3,243,7856,507,1000,6795,109837,36510,440,4332,1385,1090,408,87,15770,14,485,5968,89,0,6,517,36,18,180,10178,4364,5,6,0,3,1007,10,14,13761,147,2027,6,653,9,125940,13,3,191,35802,1118,48287,0,329,200941,614,17299,99,2,37,11,1655,786,254,0,3153,2,9,550,1130,10,37,561,869,1221,1792,76532,6,48,7,447,6,1024,12387,397,53,964,1773,47908,3,79420,46813,7,6324,0,9,12,1249,63,1128,62,10,7353,24,978,477,13,5,79,142,78,2641,36111,4434,8866,1,557,640,11,79494,236,838,7,87,2,17,200,1130,54,2193,0,282,19012,1946,34,133,675,0,0,0,390,9,6,63,14,381,2062,61,6,12,52,418,551,4,555,359,577,996,6,448,9,443,52,18,9,9,10765,29710,1479,387,278,6022,2,57,505,81,106,1196,1262,4173,258,21,2241,286,13,6,73,240,101,1961,1094,1422,169,7614,7,197,660,22,8,27,1980,3932
"강릉",42,1978,20,6256,13040,0,512,171,11,6437,361,88,1571,167,286,47,7,0,0,31,23367,65,180,5668,167,587,175,741,35,462,449,58883,11709,15,309,44,8,1802,7200,138,325,0,12308,9,52,85,103,1,179,117,51,58,95,0,562,1502,101,3443,49,75412,1,1279,90,333,394,42,51,1222,660,85,698,130,67,860,750,11618,377,42,6216,16,1,299,53,34,6446,234,10,519,97,253184,32,37008,1038,553,67,6,0,362554,50,35187,12,0,4298,114746,1796,35715,43,123,245,17,14,282,89,377,70430,271,11,265,0,85,130,608,124,0,1,260,509,2541,268,20,38,36068,337,11,1931,2506,2662,12,660,41111,986,9,1738,4265,1929,185,396,419,40,3179,1613,432,0,57,205,365,50,39,317,203139,46,11,0,5,17,53,64,4637,1231,18,18,1007,114,58430,57,21,3710,9334,199,1888,0,158,127925,20,5064,581,145,230,44,10944,354,3,4,274,9,973,143,121,74,53,35527,691,487,779,29809,37,429,9,1800,18,6749,6260,1209,453,41,107837,34034,20,5700,39992,30,253,5,42,86,196,1342,53,147,691,8399,252,5485,21949,131,11,501,6,617,79,12757,141,190293,7,4755,267,422,27037,1544,14435,61,474,16,128,5,143,15,165660,0,3139,503,616,148,1083,12246,0,8,8,2822,40,55,18,88,17,220364,38,99,63,184,2389,101,26,4331,89,13,136,19,3372,9,42,332,13,8,29,11661,1270,5670,16,117,2403,7,225,11,274,741,398,93,23,4821,86,129126,83,115,32,113,45,50,1117,22996,161,312,1997,2380,47,263,36,33,56,438703,588
"강진무위사",0,0,0,1,0,118,0,0,0,0,0,2,0,0,0,0,2,4,5,0,1,0,8,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,290089,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,47,2,0,7,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,0,0,0,0,1,0,34565,23873,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,0,31,0,6,0,0,0,0,490771,0,4,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,22886,1,0,0,0,4,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"강촌",0,0,0,2,7,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,689080,0,23,0,1,0,0,12084,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,73959,2,0,0,0,0,0,0,0,2,12,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,18163,0,0,0,0,0,0,0,0,77043,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,89424,0,0,0,0,0,1,28
"거창",2274,2598,176003,83,189,0,5,5962,1545,109,10022,8853,100,40,41154,2475,91,0,7,801,275,25,2303,26,1,422,451,2107,628,1,1106,772,33,4,589,30,175,2,353,100,51,0,7,400,13,2387,1640,284749,847,68,89,3605,177,0,2300,105,141,0,14421,375,1513,681,2559,171,3,43,105,418,786,6441,353,3,2071,57,931,1087,0,538,22,836,0,379,27312,2,78,32,4238,11264,1,4833,0,147,2815,199,2900,0,0,14,14,28,10,2,27,12,137,24,128,469,42,3,6,642,0,259,28,2497,437,87,0,111,762,55,73,0,1,21,661,24,492,7,3,41,3739,190,340,16048,311,31211,405,500,54,1799,319,7,30,6517,276,71,1344,3,41,13934,5597,7430,72,750,82,44,337,23,3901,3,0,0,6487,309,36,11,590,26138,1,147,370,1638,104,151,964,143,169,63,0,4,4743,1683,132,274,0,28874,0,371,66,784,3,343,158,1,21051,3713,2585,31,5,29,213,8976,910,1575,1765,40,90,34,281,54,381,589,166,47,62,6,114,87,17,110,325,456,12,17373,1131,3580,167,106,638,48,208,6,1628,14,30,310,1078,1346,100,13314,94,77,764,14,1155,130,800,186,136,527,92,875,146,5440,431,17,0,1174,242,27,27,169,219,0,22,118,138,3371,4882,202,1525,1440,33,2084,656,502,12374,153,7713,346,733,576,653,215,3,591,225,2411,390,5,411,0,276,362,18773,941,2525,45373,5,266,531,7413,526,6734,340,12393,340,2180,59,1917,47535,15,1,101,57192,4,7,14001,0,197,0,65,42108,4,271,7,52,36
"건천",0,6227,227,920,22,0,18,1496,161,174,58057,59963,200,314,1895,4,27,1,2,37,802,77,588,19,0,721,22,9471,139,77,467,2453,234,178,59,19,6769,14,722,71,2211,0,9,37,55,9200,122,2,101,1243,527,367,570,0,1792,1089,18800,25,416,731,44,702,786,550,25,17,22400,569,825,25,534,3232,156,358,180123,3580,14,26,149,12,0,89,2115,6,175,1404,8,77055,9,8842,30,813,65,48,4,0,0,2,14,56,40,4,180,1,259,57,461,2717,3,1,0,13,20,910,326,140,20649,984,0,7206,814,486,19,0,0,138,600,108,137316,2,67,4,528,7,402,78336,1610,9,957,1293,163,44,505,18,105,21,936,156,3,6,142,328,0,110,426,121,33,7117,1162,42,78,64,0,0,4,24,9,47725,1173,0,59,719,6,3149,644,6,1367,836,204,314,0,33,6186,27446,113,135,0,39,44,1292,560,57,1,890,25,23,2970,55,516,173,5,480,599,31451,1280,114,155,4,140,158,1003,235,881,541,41066,18,297,11,703,273,1,551,0,66,319,598,2431,16138,764,264,1229,7,908,1,306,3,424,5935,229,11214,471,121630,85,160,972,23,713,536,835,221,19,74,21,87,10594,10,114,30,0,1231,670,74,26,202,594,0,7,25,110,19,154,15,23,5,25,37,101,430,93,318,997,15,2402,2924,31632,589,81,817,907,508,134,261,24,17,570,1314,6686,2239,413,518,6,132,12727,4,1256,26633,502,91,494,174,11,158,353,0,34,12870,616,6,0,3479,1,241,15,288,5338,583,7,31,33,84
"경기광주",493,4,31,26250,6113,0,9,97,235,914,718,1934,647,21,235,135,8,1,1,47,233607,39,119,5274,32,2391,324,2488,107,101,51,248,91,72,735,108,55,109,207,228,892,0,261,13,23,576,570,20,416,82,190,130,245,0,366,844,447,18,44,8697,4,721,139,83,8,104,238,1330,7,297,518,124,68,70,3279,7887,59,190,10503,52,1,118,33,13,42,216,281,840,19,4405460,13,508,1234,477,198,0,0,3554,14,2002,6,0,132,1251,30,1641,12,43,190,23,6,921,18,2286,11649,164,159,591,0,393,266,26,224,0,0,935,22,34,1249,15,40,2691,329,37,1287,3252,4058,372,1526,244,321,193,79,508,6165,264,76,3841,141,228,65,689,40,222,206,376,142,102,2588,3280,161,12,0,7,282,117,32,4073,1422,660,13,114,393,186,52,36,2211,118,120,4365,0,7,589,258,135276,928,3,635,17,16940,100,84,8,744,3,5,571,511,99,236,411,95,119,780,570,62,547,11,2257,5,9067,63,202,701,288,721,6904,72,185,29969,13,1197,27,40,331,364,414,465,24,100,349,415,11804,325,67,20,1430,97,699,511,830,1954,5097,9,5441,1125,85,43062,1920,54283,150,402,12,526,113,441,54,1429,1,2550,4288,27,68,1175,9593,0,23,9,11433,292,195,12,221,89,1986,33,181,28,219,8047,245,33,515,164,168,72,19,5013,14,219,1011,159,13,12,67,12052,638,78,100,2929,6,535,223,1105,1199,536,41,1802,3136,128,1130,79,318,14,24,148,78,44,871,468,77,181,28,305,208,210,90,202,2314,1184
