"","가락","가산","가조","감곡","강릉","강진무위사","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","고흥","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구례화엄","구미","군북","군산","군위","군자","군포","금강","금산","금산사","금왕꽃동네","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남세종","남순천","남안동","남안산","남안성","남양산","남양주","남여주","남원","남원주","남장수","남제천","남지","남천안","남청주","남춘천","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대소","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김천","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","벌교","보성","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북남원","북단양","북대구","북대전","북부산","북상주","북수원","북여주","북영천","북오산","북원주","북진천","북창원","북천안","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서세종","서순천","서시흥","서안동","서안산","서안성","서여주","서영암","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서충주","서평택","서포항","석곡","선산","선운산","설악","성산","성주","소양","속리산","속사","송산마도","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양양","양지","양촌","양평","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장안본선","장유","장지","장평","장흥","전주","점촌함창","정남","정안","정읍","제천","조암","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해운대","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡계","횡성"
"가락",1440,6064,586,4677,63,1,14,2040,3,626,57,70,352,870,1339,42,590,0,1040,1722,16937,152,28352,43,3,3878,187,3173,29084,20,447,12272,451,447,3637,365,751,4,99,8973,639,797,1,0,146,187,15909,15782,47834,1593,1,629,4307,864,1,1056,6418,2148,105,4,928,960,653,53,582,13309,4085,6779,10,101,32,1535,998,2887,166,1,623,1228,61,3087,8667,10,623,6035,59,0,7796,23805,5,1425,782,507,48,3,28171,3,989,1327,272,61329,0,1,1,1,61,319,65576,175,0,1109,27,1548,8299,13,0,0,276,4,1141,475,12958,7,2911,0,19,4,1913,39,1,0,468,1956,2614,92,141,26,12,5846,20,628,945,3784,3877,1748,3847,388,4,1125,24,1413,18381,15413,220,31,18,274,26799,9,1377,1,5110,150,5,2949,67,2364,411,0,4,2801,463,110,4,2075,3446442,2,5808,277,13934,499,578,6283,1324,4484,3806,825,3,119,12724,7,5356,900,0,3623,5,6388,124,7684,0,331,1654,125,3,5272,4977,5689,358,10,1980,3348,6406,23,5797,127,3678,424,96,334,11656,450,4216,1074,49,14,3995,6,1038,1883,50,6287,85,216,549,14314,2688,9,2494,34,6652,52,5177,0,23671,643,1672,3,17430,4687,2016,90,224,354,1301,1155,475,4939,5626,1841,207,681,92,604,5,0,208143,10483,19,1,21925,1395,627,126,576,959,2568,0,1135,120,909,1232,381,3137,4113,158496,28,4886,340,7155,17207,2710,12472,509,12749,3,22,5088,135,5005,8,990,157,1492,0,414,5912,2950,3174,54822,0,19,670,10,61,2267,51,2467,27,153,7479,31,18528,2379,4,63,11,629,37,4,25093,10,186,5,362,9234,406,411,163,36,73
"가산",8292,378,791,15,2385,0,171,3128,9794,14,89325,41223,28,5,11832,59,6,0,1,221,53,2,3349,21,1,12,74,260,992,6,99992,85,16,11,4,1,4,1151,4,12,16,171,0,81,32,9,459,21,22,5,4668,7,533,13,1,302995,8,6,7815,88,5,1014,7404,102,21913,3978,21,16,250,0,4027,27,22857,100,14395,25507,366,7,54713,4,157,2,10,9,61,0,551,4667,0,9,114,979,113164,51,494,3,34,484,10,1803,0,0,250,201,805,3,3,11,174,9,1391,8,28,3,0,5,1,4,8,653,2152,3196,22,0,6923,6688,2,10,0,0,0,11,4,20957,0,2,762,1178,10,18767,405455,37,1303,16,64,3,8235,10,281,2,3257,9,2,133,2,47,3416,1,280,5375,5,3,2178,24,659,150,4,1,1,1477,50,0,1074158,50,3528,3,85,22,117,11,78,14,77225,23,9,10,1,0,223,4488,5,21,9,357,0,20,1,8,3771,12,22,10,169,16079,58,126,5,123,0,5,7,100464,59,226,662,36,2166,3,16,10,10,24,6051,683,14,1,50,83,0,13,37,71,14,7376,91522,24929,27,9449,21,4,14,59,1995,4,37,1181,26,1983,22,29423,790,5,48,4,117041,32,51,1,7,124,10,64,1354,0,3644,606,497,0,67,9,0,1,16,7389,4,0,53,5,2,52,362,286,513,1284,534,581,70,672,1536,0,5135,26,32,10445,6344,5,3,19,8846,9,20,95,1,6497,12,480454,2173,2348,40348,0,14,3869,1086,50,49295,6,67264,21606,891,1085,1360,872,0,3,1417,2074,0,173,36245,2,4237,80,2,72628,43,32,0,1129,1119
"가조",715,816,7427,37,41,0,1,179104,258,32,1787,1228,16,22,21317,341,20,0,0,121,151,17,345,5,0,275,26,707,137,0,159,259,13,6,251,5,12,47,0,135,22,25,0,0,31,6,625,699,56657,267,10,71,877,113,0,482,65,43,40,0,16,2183,109,286,125,399,78,238,0,9,33,107,187,2193,48,2,210,26,181,46,437,1,160,11,98,1,34,3129,1,26,33,1452,2114,0,1833,0,63,376,99,510,0,0,1,3,39,16,0,5,0,49,2,38,195,4,0,1,133,0,118,21,429,63,30,0,28,83,11,7,0,0,11,221,8,114,2,0,4,1094,44,131,2995,153,7025,222,213,14,283,133,4,15,1055,154,18,225,0,5,1775,200,1326,9,316,46,4,195,93,2029,7,0,0,1484,90,14,3,303,5659,0,42,178,731,74,7,338,166,21,57,18,0,10,1465,214,38,83,0,4124,0,176,5,10,100,0,270,18,0,8759,1180,917,16,1,22,6,81,1490,282,291,211,1,14,14,173,19,147,234,38,10,19,4,67,23,7,37,105,49,10,3778,163,902,63,12,679,4,131,0,190,1,10,49,459,249,30,1801,284,43,326,29,309,108,210,166,11,81,43,399,15,0,1297,45,18,0,709,80,5,11,100,59,12,0,7,26,35,868,871,18,192,290,5,214,418,76,1709,66,1175,27,386,80,86,57,1,89,374,163,24,93,0,60,159,3970,574,483,8289,1,68,69,1034,151,1288,148,1930,33,312,9,277,8494,1,0,25,23865,3,1,2442,1,28,0,13,14069,14,7,2,8,16
"감곡",1363,8,30,11092,7251,0,86,80,768,25560,4221,3988,212,294,492,9,8,1,1,7,119095,36,36,1892,220,7399,74,5214,171,166,1,135559,33503,5,101,23,1107,178,9597,18537,68,628,0,293,3,23,1624,1349,62,140,464,565,396,81,0,26,489,5843,1005,6,45900,15,9418,1,116,486,158,1417,368,15,530,421,5,19,73,89,21,1245,6986,1200,2691,370,33,17630,6,0,45,33,14,15043,804,578,2075,42,619940,20,76549,315,227,536,5,0,4151,263,2104,6,0,8473,1263,5669,1519,44,42,120,8,6,113,66,7495,15011,77,507,208,0,883,603,696,39,0,0,140,1294,8198,2707,13,29,3587,198,8,220,7431,1507,1170,7054,114705,35793,463,4198,1043,3244,412,140,16772,14,278,5537,115,1,26,535,164,27,189,7975,4071,5,6,0,4,814,31,30,13791,695,2197,15,1443,16,135656,43,4,1288,170,38515,2718,39411,0,210,205039,617,23607,373,1,77,33,5936,2549,1228,235,2,2529,9,14,598,1162,21,26,557,555,1154,2794,1914,81331,11,111,10,367,19,3183,12018,833,250,876,1587,48833,19,90901,35237,12,5149,4,16,45,1224,53,1162,122,10,7147,99,3258,256,20,3,290,162,266,2713,40551,4240,8766,7,1874,1959,3,83607,824,794,19,169,6,57,219,0,1186,56,2109,0,953,14016,1514,72,402,619,717,0,0,2,1307,20,14,11,19,279,1939,32,26,5,49,1222,478,10,1125,328,571,2607,23,11,437,148,14,8,25,9609,22166,1340,342,277,6061,3,145,565,126,461,1054,2718,3873,201,19,2127,327,38,7,207,290,72,1200,1021,1471,386,7217,8,105,681,20,29,34,2084,4192
"강릉",43,2166,41,5542,14894,0,490,155,7,6281,343,87,1451,196,339,67,5,0,2,23,27188,81,160,6021,206,459,134,673,40,734,505,58620,12571,18,289,49,558,7,2208,7590,180,273,0,13178,12,35,77,83,0,209,105,62,71,133,0,553,4,2780,122,2816,3013,36,77996,0,1058,129,574,3219,393,50,58,1322,677,93,708,134,64,951,895,4832,11901,363,35,7328,15,1,264,87,21,6808,193,7,621,100,255519,38,38836,1147,702,78,7,0,371795,33,35127,15,1,4291,120073,2057,37765,23,107,287,17,12,315,87,390,67605,360,13,253,1,111,163,600,139,0,0,230,741,2567,306,20,39,38322,323,17,2205,2441,2927,15,570,42127,968,6,2457,3636,1890,163,394,527,64,3263,1828,415,1,110,204,429,55,24,297,206868,72,11,0,4,28,75,59,5046,1421,29,14,1087,112,63478,56,15,32,3559,9870,280,1261,0,178,130688,21,8254,728,138,238,36,11584,237,380,8,4,235,8,951,135,121,66,53,35487,17,623,696,755,31388,36,359,16,1991,12,6963,6211,1259,503,47,103865,31024,20,7817,36963,29,260,4,35,125,222,1276,36,126,740,9167,266,5737,20242,127,12,618,4,691,106,15025,178,197351,9,5201,1214,423,25624,1565,15556,80,530,12,119,7,0,152,18,176580,0,3480,530,623,174,966,13866,83,0,6,2,3101,41,45,12,70,18,222525,52,95,64,169,2359,108,23,4220,105,13,185,15,15,36,304,12,6,35,11942,865,5847,47,134,2589,9,273,15,272,879,431,127,22,4875,85,139950,79,110,41,169,36,47,1230,23218,166,305,1704,2720,50,306,31,23,52,455734,514
"강진무위사",0,0,0,0,0,151,0,0,0,0,0,1,0,0,0,0,0,4,2,0,1,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,302472,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55,2,0,14,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,45,13,2,0,0,0,0,0,0,0,0,0,0,2,0,36448,25723,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,3,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,40,1,6,0,0,0,0,0,528276,0,2,0,0,9,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22533,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"강촌",0,0,0,3,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711061,2,0,26,0,0,0,0,0,11937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73759,6,0,1,0,0,0,0,0,1,6,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,0,0,0,0,6,0,0,0,19742,0,0,0,0,1,0,0,0,0,81798,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,107631,0,0,0,0,0,2,34
"거창",2092,2466,175254,53,193,0,4,5478,1618,118,10383,8899,82,45,39369,2405,132,0,4,816,243,17,1790,23,0,416,475,1854,557,0,1177,555,33,5,618,25,9,159,0,340,156,49,0,13,293,12,2105,1336,274645,916,42,95,3740,232,0,2614,196,96,222,0,45,13906,328,1271,583,3051,184,559,3,43,135,416,714,6972,320,2,2305,71,908,81,1033,1,502,29,741,0,328,27893,1,99,56,4528,10471,1,5940,0,121,2732,222,2894,0,0,7,9,40,11,0,27,7,131,14,86,373,26,9,2,493,0,289,34,2854,486,58,0,141,691,46,90,0,0,9,668,16,557,4,0,47,4436,183,332,13947,314,29921,336,440,53,1713,372,13,31,6191,385,78,1503,3,17,13275,5956,7263,80,750,83,84,275,28,3311,7,0,0,6683,374,30,8,701,24457,0,158,540,1477,111,216,704,1117,84,196,46,0,13,4657,1670,114,285,0,28107,0,398,12,68,690,6,353,152,1,20740,5063,2923,22,1,43,39,183,8127,874,2070,1696,38,116,40,392,30,357,735,246,36,55,11,116,66,14,129,671,351,8,17562,1112,3944,151,98,573,86,264,1,1697,21,25,327,1195,1437,68,13367,100,57,813,38,1025,145,823,185,142,543,130,912,163,0,5423,573,21,0,1240,223,15,24,173,188,23,0,44,99,123,5923,5216,223,1625,1504,41,2452,845,540,11878,147,7006,177,672,630,598,182,8,248,2722,446,14,364,0,280,306,18375,1146,2243,42428,4,257,698,7005,566,7037,293,12015,415,2397,62,1864,45128,12,2,117,57892,1,5,15642,1,197,0,65,41385,8,322,3,49,40
"건천",59,7247,222,901,30,0,11,1428,226,178,61073,65915,165,667,2117,7,30,0,1,29,1083,72,764,29,2,891,17,9534,133,112,515,2507,235,228,70,15,79,7393,16,764,73,2127,0,6,33,68,9633,81,2,148,1479,526,287,797,0,2045,755,2447,24226,25,294,502,787,66,839,769,800,938,33,68,25597,679,907,23,474,3294,170,458,176680,342,3984,23,44,147,22,0,84,2342,6,209,2475,1845,82371,7,9627,86,890,75,91,108,0,0,4,13,54,61,436,127,3,298,81,470,2585,2,0,0,13,35,988,381,146,24848,1274,0,7998,696,301,10,0,0,163,728,109,151230,4,135,14,915,8,472,81238,1859,5,936,1474,193,26,570,26,129,54,1343,147,5,4,67,335,0,76,486,130,14,6984,975,79,42,86,0,0,1013,16,4,47489,1162,81,28,922,14,3432,671,6,1041,1425,837,280,272,0,38,6296,29780,100,191,0,36,44,1422,21,931,22,4,923,29,18,2987,69,660,202,7,346,514,621,36539,1415,138,119,13,158,185,1015,190,955,620,46158,25,336,15,1079,179,0,638,5,59,457,612,2245,17198,990,275,1403,4,887,3,477,2,475,7024,290,11432,540,124904,96,176,1122,122,654,577,869,365,20,118,20,110,13255,0,494,77,50,0,1600,679,106,30,258,605,410,0,12,15,141,25,162,51,50,208,28,72,136,609,135,295,1177,17,2168,2905,28909,813,94,952,523,104,283,8,24,674,1020,6858,2343,415,537,7,176,14036,18,1302,27826,621,98,462,229,11,183,355,1,44,14979,639,8,1,3920,1,279,24,337,5287,644,7,24,42,114
"경기광주",453,10,35,25508,6538,0,9,100,240,964,811,1817,661,23,199,119,8,1,4,58,232060,33,118,5784,31,2086,307,2572,86,114,46,298,89,49,682,105,1761,91,154,194,294,754,0,231,10,20,571,549,30,455,86,264,99,346,0,354,1,951,506,10,7828,46,8805,5,753,116,79,4763,6,101,265,1321,13,317,513,80,94,86,3727,19936,8701,53,180,11786,41,1,141,55,7,46,414,202,767,18,4508246,14,478,1433,645,315,2,0,3407,18,2082,8,0,123,1070,17,1469,3,37,181,20,9,932,18,2309,11931,213,129,527,0,460,251,29,237,0,0,962,25,28,1395,25,30,2752,337,32,1185,3121,3933,419,1884,226,324,190,117,325,6224,268,69,4492,111,260,51,685,18,175,201,359,145,77,2272,3629,109,4,0,3,337,127,36,4223,1405,646,11,129,410,178,35,25,8,2150,125,121,3458,0,8,651,281,151670,991,5,776,20,17331,1365,47,91,5,632,2,5,356,446,110,293,442,1,75,108,791,522,72,465,17,2452,2,8728,68,167,759,335,665,6920,109,179,25535,14,1299,33,58,345,375,429,456,30,99,334,455,11238,271,56,19,1497,98,735,655,644,2004,5289,18,5549,3733,95,41773,2282,54975,133,475,34,491,93,0,377,39,1452,0,2794,3970,39,75,1217,9684,37,0,26,3,10504,275,191,4,238,111,1907,47,176,29,215,7577,189,28,489,151,147,72,8,8,212,949,183,18,12,70,10884,475,102,112,2815,11,560,172,1195,1046,462,44,1809,3214,119,1261,129,336,11,26,161,34,55,928,444,69,170,35,265,271,210,88,225,2260,1287
