"","가락","가산","가조","감곡","강릉","강진무위사","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","고흥","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구례화엄","구미","군북","군산","군위","군자","군포","금강","금산","금산사","금왕꽃동네","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남세종","남순천","남안동","남안산","남안성","남양산","남양주","남여주","남원","남원주","남제천","남지","남천안","남청주","남춘천","남풍세","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대소","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김천","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동충주","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","벌교","보성","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북남원","북단양","북대구","북대전","북상주","북수원","북여주","북영천","북오산","북원주","북진천","북창원","북천안","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서세종","서순천","서시흥","서안동","서안산","서안성","서여주","서영암","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서충주","서평택","서포항","석곡","선산","선운산","설악","성산","성주","소양","속리산","속사","송산마도","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양양","양지","양촌","양평","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장안본선","장유","장지","장흥","전주","점촌함창","정남","정안","정읍","제천","조암","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해운대","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡성"
"가조",719,961,9265,33,47,0,7,175808,276,47,2057,1438,25,66,24478,404,21,0,5,142,163,68,541,7,0,136,49,690,174,2,186,251,6,2,293,6,8,18,0,171,56,49,0,1,51,0,611,881,61397,337,16,61,955,186,0,623,122,39,544,1,19,2195,115,186,484,52,339,1,21,10,241,166,173,2192,43,0,313,40,79,560,0,166,35,86,0,30,3149,1,42,43,3942,2270,1,1908,0,50,387,63,826,103,0,0,3,0,9,12,585,5,1,61,3,51,173,15,1,0,126,2,99,21,494,63,35,0,285,125,14,16,0,0,13,369,10,597,3,2,12,1254,43,77,2962,187,186,190,20,335,154,3,50,1104,104,15,298,2,10,2269,268,1307,9,277,54,26,180,23,3038,11,0,0,2460,89,0,2,337,6106,0,78,268,811,124,9,363,237,24,82,38,0,16,1681,248,37,352,0,4771,0,198,5,34,127,1,170,20,2,9577,1240,996,7,1,30,27,132,1605,390,421,200,3,16,32,166,22,174,235,144,10,24,6,91,27,1,40,94,60,18,3499,274,931,128,18,279,5,157,0,263,6,27,86,420,278,43,1851,128,96,360,4,373,183,265,638,11,150,48,487,16,0,1695,83,0,1233,59,8,23,122,46,19,0,8,28,42,1222,1222,37,255,700,8,256,490,115,1645,107,1150,49,294,77,107,97,0,112,409,221,34,103,0,71,131,4520,710,537,8720,0,54,90,1617,217,1504,124,2269,60,554,14,329,11101,2,2,17,27338,4,7,2688,1,21,3,23,16331,17,31,3,25
"거창",2083,2589,178134,64,185,0,4,5543,1742,93,11409,9637,369,73,44921,2685,167,0,18,815,323,127,2529,35,0,372,609,2145,931,8,1357,557,26,5,696,28,17,110,0,389,181,56,0,6,418,0,2311,1465,289870,839,114,117,4280,335,0,3026,302,89,3248,0,63,16223,251,662,2982,161,563,2,83,52,1469,450,647,6713,307,0,2885,74,124,1112,0,685,58,680,1,560,28531,2,86,58,14456,10860,2,6123,1,129,3579,293,3986,273,1,0,12,13,45,25,2312,23,4,126,22,123,384,57,15,2,530,1,266,32,3031,527,92,0,1467,906,51,52,0,0,19,748,19,2958,15,2,58,6071,286,361,14701,325,530,469,66,2091,382,10,37,6482,585,69,1596,0,17,15507,8556,6502,110,859,137,145,335,24,4345,7,0,0,10991,671,2,23,764,25408,3,206,595,1648,174,132,844,1070,82,135,43,0,16,4290,1906,89,503,0,27903,0,428,19,116,680,15,473,179,2,21904,6482,3472,30,6,54,70,189,8138,878,3234,2008,37,98,65,291,48,355,723,771,37,37,8,140,84,0,123,683,440,12,16833,1297,4513,241,125,570,76,359,4,2175,102,29,333,1539,1573,89,13420,56,197,943,41,1110,121,923,235,151,795,89,1158,158,0,7341,555,0,1831,200,20,26,238,144,48,0,52,99,153,5398,5549,220,1852,3015,29,3413,877,718,11669,138,7556,331,602,518,691,223,6,240,2817,375,15,430,0,352,250,21142,1573,2612,43571,0,308,652,9248,622,8367,271,13515,414,2975,76,2083,50023,11,2,96,58690,2,5,16757,0,219,2,64,44438,13,241,2,46
"고령",873,15390,24413,779,490,0,13,42061,2691,205,29942,9816,47,124,6389,16,110,0,5,16,1314,134,197,6,0,1896,90,12357,122,27,3924,1521,194,194,311,29,120,70,10,602,168,1091,0,10,218,7,14518,24283,662318,111,30,1299,11771,486,0,10383,485,258,1390,5,432,3129,1123,1774,899,391,335,14,10,39,722,289,2608,247,1251,2,1103,100,131,2432,1,281,287,6,0,21,7036,4,176,1201,3931,27451,7,10958,12,751,172,195,1081,1029,0,0,20,29,112,36,618,108,15,178,48,151,926,30,3,1,112,4,2190,153,121,342,1097,0,860,787,158,25,0,0,217,713,78,1297,8,20,111,1346,69,2959,31147,549,3939,1335,203,5339,689,76,257,852,452,319,23,1,22,256,44,626,66,670,133,76,4192,78,727,40,0,2,3029,119,1,25,421,7016,4,279,207,2857,218,3,680,3750,249,231,319,0,38,4957,1247,125,413,0,130,1,782,42,80,2025,2,4487,125,7,28763,18700,2912,451,21,94,70,359,17449,1174,1037,82,6,287,97,344,164,657,224,641,145,461,3,1567,392,1,1360,8,194,312,5970,4571,9955,438,593,985,16,742,5,81,16,204,267,1243,5246,532,8030,290,127,561,101,3497,751,600,115,68,258,38,724,172,0,2459,56,0,1427,1477,38,12,174,703,87,0,15,63,107,537,1765,13,65,1363,105,41,744,46,146,180,2672,101,1073,532,801,363,45,582,7964,97,275,5,0,1145,1886,45158,3780,832,8991,1,185,244,105,566,18031,334,30922,1255,110,163,239,5793,5,8,40,153766,5,22,24483,1,812,8,804,112755,387,31,19,144
"남원",724,1138,2466,16,42,2,1,19154,645,143,2028,2659,166,474,4705,1399,1917,2,71,119,124,1357,948,386,3,12,1284,1302,489,5,302,177,19,3,481,11,6,6,0,34,29,51,1,1,6129,0,950,1039,30399,247,3,98,812,154,1,1441,161,4,1362,0,8,7236,55,70,233,4,270,0,2,1499,364,490,341,4057,169,0,33558,454,159,340,7,1345,12,202,4,1137,272551,25,6,79,3708,1801,0,852,3,10,8820,5041,2149,108,0,2,15,0,7,202,659,4,9,169,8,513,17,353,25,23,1083,6,194,19,989,319,19,0,587,57,87,834,0,1,12,40,4,606,622,1,12,85196,3068,78,2040,275,381,30,5,701,18,4,13,619,15,26,685,0,57,3507,11388,5034,3,959,8401,304,275,11,4657,80,1,8,3001,946,0,6,701,8055,0,775,1157,1087,754,185,615,590,28,14,9,0,0,412,315,67,84,0,7867,5,219,25,406,279,21,391,2001,0,2220,853,143,2,1,42,563,12,1385,64,87265,2953,49,5,303,156,27,29,280,294,16,2,22,33,32,1,9,428,2589,3,518,1056,1326,983,75,46,1352,91,1,214,268,36,55,1286,477,10,2723,11,1533,1003,12,577,114,1062,85,1575,5402,1872,237,3,0,2425,299,1,778,124,1,4,5019,36,30,0,41,2681,158,8690,129448,194,123,779,13,1357,188,661,1868,83,556,2341,44,145,1802,30,15,65,494,266,6,61,2,67,16,2808,553,367,74,0,91,128,6407,240,1222,36,6014,281,400,10,1014,28283,173,18,4,5615,0,2,1754,9,51,0,10,4479,3,353,3,7
"담양",648,432,428,22,94,0,0,2904,206,116,789,1041,610,1647,1560,400,5005,1,13960,1037,593,4574,3887,1064,796,8,12544,596,474,1169,93,1440,232,14,114,975,28,0,0,83,1257,86,0,2,7921,8,363,296,10249,320,4,102,221,707,5,487,1316,8,680,0,72,34039,106,103,92,3,1298,0,64,1321,207,1380,100,629,32,0,4259,2286,333,823,1268,329,55,109,23,6608,722561,8869,19,40,2592,735,0,2155,252,30,1024,1361,1488,384,1,9,44,7,10,724,452,12,21,1641,6,1757,28,1035,172,62,227,677,25,78,646,15,113,0,361,14,679,1100,12,3,56,93,56,457,3609,680,25,76546,1480,30,767,891,90,89,42,420,63,3,142,419,61,71,458,1,643,1943,8470,602,5,834,1829,28,46,23,560,388,5,1209,1803,5069,3,8,2724,4140,400,3304,137,10103,2547,18438,4569,211,206,61,31,3,6,1254,190,288,3572,0,1434,609,1212,145,1904,103,3360,95,4021,0,622,331,77,8,0,323,2218,35,603,207,16869,50188,3138,2,1042,324,204,81,813,121,29,7,75,61,448,0,2,88,7695,24,192,285,518,3326,19,110,1414,430,0,1884,6081,173,13,400,199,17,2407,57,5563,4055,50,136,510,963,380,1718,6107,3319,37,0,0,1098,82,2,2856,42,2,102,5163,39,161,0,4697,6493,576,886,3987,88,652,506,7,951,45,1927,1779,579,230,15496,113,24,112,213,184,297,245,63,11,81,288,127,29,1025,64,207,9,2,1189,94,2621,742,444,287,2238,55,2315,28,753,2812,217,1450,1,2009,1,4,551,1211,66,0,20,1624,10,806,4,28
"성산",6254,16260,9931,819,169,0,5,25888,3447,416,39462,11914,163,181,26627,41,97,0,12,152,2821,177,1800,14,4,1054,61,9516,1888,64,4462,4865,283,357,157,22,230,77,7,537,192,1944,0,7,165,44,6629,34003,1167064,127,151,1309,26455,902,0,7568,1439,525,1964,7,420,3099,435,1046,5096,706,1391,8,12,47,606,759,4041,154,746,17,894,165,419,4495,10,300,638,16,1,99,13659,8,488,2234,8721,31307,0,10958,17,630,176,177,3323,425,0,0,3,11,41,104,1178,117,6,323,18,294,2180,72,4,23,87,8,1590,114,778,2334,1784,0,1017,748,322,22,0,0,299,697,91,2118,14,121,44,4576,34,2069,55468,1414,3518,1730,186,6859,519,21,242,4210,3583,207,66,2,48,1708,10,480,138,1245,73,243,4578,43,509,619,0,6,6754,92,1,61,1591,16334,46,893,171,5452,429,38,1419,2618,2717,469,292,0,46,4210,1261,835,345,0,125,23,1457,59,812,1616,1,6053,96,15,2656,52806,2653,372,8,324,192,1049,19657,1169,1125,304,16,112,299,1778,249,1685,600,942,45,596,19,1212,459,1,1506,42,163,962,17735,3722,15092,1057,320,1268,10,1756,9,526,18,789,260,2338,6240,596,8146,94,89,1171,278,4630,1435,2549,202,170,464,62,651,108,0,4927,802,0,2278,1205,250,45,235,260,887,0,35,54,213,323,971,399,288,3828,41,854,1106,376,836,1792,9978,108,3375,769,1072,1081,135,863,9103,116,563,59,12,443,1958,82950,3636,5553,43601,4,278,530,453,1494,25559,579,22107,898,717,39,1334,3933,31,10,125,28227,2,4,60275,4,228,6,609,111958,1368,20,63,79
"순창",285,601,856,15,62,5,0,4789,315,73,1367,1174,229,1060,1772,299,1675,1,322,645,256,3021,2359,526,59,5,23156,571,234,44,152,396,47,9,140,46,25,0,2,38,71,39,0,1,4403,1,461,449,12466,144,4,49,427,392,32,697,395,5,281,0,17,112370,62,66,45,3,665,2,5,493,94,739,582,1041,37,0,22269,1045,358,496,83,543,37,54,11,3512,409682,303,10,27,1283,832,1,1540,11,17,13536,2219,764,251,1,6,22,2,5,447,228,9,7,413,11,1154,13,461,51,34,382,40,25,41,359,15,64,1,195,19,206,423,5,34,40,68,7,237,464,16,7,107099,3338,16,932,614,130,46,24,291,21,4,33,206,20,27,244,1,143,1018,4281,1009,2,301,1660,17,60,33,1043,185,2,40,922,12489,1,5,1162,2249,15,1745,206,2658,1668,595,1490,284,64,20,19,0,1,600,111,144,214,0,1496,20,472,63,930,121,100,119,1409,0,1284,419,102,15,3,100,1276,16,698,101,7934,5115,123,12,672,227,65,40,483,769,13,8,61,22,77,0,5,85,2331,12,212,373,650,2191,18,62,3600,272,1,710,498,94,8,1304,310,14,961,47,3423,1939,42,264,151,540,377,3345,3886,2188,53,1,0,540,57,7,257,42,1,13,1851,20,65,0,233,1803,357,2433,10194,47,292,307,8,608,79,2530,652,233,229,4120,47,46,41,67,38,161,366,66,3,34,17,83,24,1181,105,735,27,0,112,60,1713,492,503,80,2761,61,1355,23,427,4623,147,97,0,2269,0,6,750,80,49,0,11,2008,6,1363,4,20
"지리산",299,337,1482,20,71,0,2,6013,174,250,661,916,156,155,2442,638,223,0,28,125,866,337,520,76,1,26,791,511,327,12,73,973,44,4,1247,10,19,2,2,662,15,18,0,0,796,2,305,382,11639,1916,3,29,236,607,2,389,306,151,521,0,31,133155,71,138,122,175,1183,0,41,214,177,366,193,2722,69,0,4807,133,263,2177,4,1714,155,203,1,598,41012,13,106,16,2310,579,2,6501,1,203,5887,5000,942,274,1,0,10,3,10,59,388,29,5,237,12,155,679,75,6,5,1903,0,74,37,626,21,109,0,504,35,63,107,1,0,14,1165,28,592,150,2,20,12589,864,56,871,634,112,842,49,223,581,6,284,447,301,33,446,1,33,2848,7892,2129,2,897,10934,17,55,8,3048,22,0,9,1630,1166,0,2,1441,4138,1,209,1322,2696,328,122,2354,157,102,203,37,1,50,6529,197,215,39,0,4905,0,798,117,144,60,11,112,294,0,800,334,311,4,4,82,148,257,569,1427,9213,2081,49,12,116,656,71,715,1732,173,18,44,18,83,111,1,26,264,501,6,295,257,364,290,12,1028,381,438,3,181,67,62,9,1504,139,102,1420,36,471,1816,37,126,289,1222,2099,888,541,193,665,4,0,1021,176,0,711,53,34,21,591,29,59,0,25,535,395,2902,11758,77,279,428,10,1084,975,67,1655,307,276,706,871,48,50,291,7,370,196,1101,4,102,5,136,19,1314,25,208,43,0,28,60,3045,1130,520,447,1524,65,129,21,706,8631,6,5,3,3249,2,3,808,4,83,0,11,2242,7,304,11,13
"함양",1384,881,11751,30,136,1,0,51882,479,398,2004,2718,224,298,6648,4607,166,2,15,1039,1262,338,1429,12,0,48,471,871,1517,14,191,1618,81,7,2261,77,49,0,2,1278,286,26,0,6,339,7,865,587,35108,4316,8,55,872,1203,0,1068,619,277,2242,0,43,23671,135,258,557,415,2385,3,185,74,774,781,165,13957,169,0,2207,218,235,9807,2,3968,106,630,1,209,13571,2,421,39,9058,1882,1,15723,2,385,1949,680,4456,497,1,0,20,7,32,113,1509,100,14,458,16,343,1447,25,4,4,3329,0,116,106,7108,56,220,0,1177,93,138,32,0,1,18,2318,88,1333,9,4,38,3826,482,130,2871,1281,170,1952,104,532,3532,8,127,2592,706,69,2408,0,70,23061,44142,14728,7,2005,375,185,136,14,7087,45,1,2,7205,447,2,5,3052,16636,5,494,44375,4851,514,61,2542,469,187,486,65,0,82,14395,483,377,778,0,66818,0,1470,170,207,196,7,225,126,0,3799,968,10832,9,9,248,208,675,1954,3261,3388,1041,41,25,174,1053,172,1100,2977,327,39,109,14,167,245,2,26,1598,285,9,1189,574,912,693,33,2151,56,1023,2,1729,34,72,42,3059,323,271,3320,56,625,3832,73,288,370,1900,850,196,431,60,7230,4,0,4589,551,0,3731,90,70,63,321,76,83,0,32,107,888,12525,6212,403,2299,1834,32,5714,3047,449,20936,529,1386,233,1962,140,123,565,10,869,622,2209,3,703,1,240,52,3088,441,928,154,1,325,252,11920,2910,1209,890,3198,127,3234,51,3426,2025,7,16,0,6923,6,8,2534,5,170,1,23,6567,2,97,9,39
"해인사",595,2040,20592,114,50,0,1,40405,688,60,3741,4128,36,26,158824,209,23,0,3,63,235,67,440,9,0,155,128,1493,208,2,630,280,32,23,248,30,10,33,1,117,83,143,0,1,152,0,916,1951,195457,260,199,58,2878,94,0,1166,51,211,1016,0,65,2779,109,258,1148,56,273,1,4,22,378,293,440,707,250,0,856,35,21,695,3,216,22,46,0,45,5684,1,33,126,5370,5688,0,1970,1,113,453,156,1688,102,0,0,2,4,15,16,849,14,0,41,6,49,181,7,3,0,80,1,191,13,220,89,296,0,529,395,15,15,0,0,33,112,13,1117,2,1,9,1261,37,126,8964,155,244,261,40,855,98,5,20,2488,74,38,182,0,7,1111,79,1159,41,450,120,48,456,31,910,6,0,0,3960,210,0,20,307,9054,0,68,177,579,64,10,147,525,43,102,71,0,15,1015,619,36,259,0,841,1,155,3,24,251,2,583,49,2,29191,1847,2371,49,1,28,28,96,4620,249,706,314,8,52,33,89,27,124,298,201,16,58,9,261,63,0,106,42,78,59,7782,616,1627,104,45,148,5,74,2,300,22,49,169,752,690,118,4045,12,62,331,39,530,108,340,31,25,159,27,369,35,0,3165,91,0,791,75,5,9,109,44,9,0,60,49,13,978,1214,35,174,894,17,102,606,104,298,32,3915,115,214,296,171,72,4,121,1654,125,24,49,0,88,129,12310,309,1528,21170,1,104,400,1400,220,4880,71,4769,142,282,16,552,4177,0,1,57,8026,0,3,9739,0,55,1,41,48183,62,50,4,19
