"","가락","가산","가조","감곡","강릉","강진무위사","강촌","거창","건천","경기광주","경산","경주","계룡","고덕","고령","고성","고창","고흥","곡성","곤양","곤지암","공주","광양","광주","광천","괴산","구례화엄","구미","군북","군산","군위","군자","군포","금강","금산","금산사","금왕꽃동네","기장일광","기흥","기흥동탄","김제","김천","나주","남강릉","남고창","남공주","남구미","남김천","남대구","남대전","남밀양","남상주","남성주","남세종","남순천","남안동","남안산","남안성","남양산","남양주","남여주","남원","남원주","남제천","남지","남천안","남청주","남춘천","남풍세","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대소","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김천","동김해","동대구","동산","동서울","동서천","동수원","동순천","동전주","동창원","동충주","동탄","동함평","동해","동홍천","둔내","마곡사","마산","마성","망상","매송","면온","면천","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","벌교","보성","보은","봉담","부곡","부산","부안","부여","북강릉","북광주","북남원","북단양","북대구","북대전","북상주","북수원","북여주","북영천","북오산","북원주","북진천","북창원","북천안","북충주","북통영","북평택","비봉","사천","산인","산청","삼랑진","삼례","상관","상동","상주","새말","생초","서공주","서광산","서김제","서김해","서남원","서논산","서대구","서대전","서부산","서부여","서산","서상","서서울","서세종","서순천","서시흥","서안동","서안산","서안성","서여주","서영암","서오산","서울","서울산","서이천","서전주","서종","서진주","서천","서청주","서충주","서평택","서포항","석곡","선산","선운산","설악","성주","소양","속리산","속사","송산마도","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신양","신탄진","안산","안성","안영","양산","양양","양지","양촌","양평","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예산수덕","예천","오산","오수","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","원주","유구","유성","음성","의성","이천","익산","일죽","임실","장성","장성물류","장수","장안","장안본선","장유","장지","장흥","전주","점촌함창","정남","정안","정읍","제천","조암","조양","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","청양","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠곡물류","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","평택","포항","풍기","하동","하조대","함안","함양","함평","해미","해운대","해인사","향남","현남","현풍","홍성","홍천","화도","화서","화원옥포","황간","황전","회인","횡성"
"가조",817,1186,2467,65,37,0,5,190709,293,35,2543,1740,54,41,28771,434,25,0,3,172,226,67,272,5,0,131,105,1044,221,2,239,238,4,8,245,9,14,18,0,189,58,82,0,1,85,1,692,1605,89984,359,67,50,1666,246,0,644,108,52,811,0,26,2123,103,200,640,80,254,2,44,11,249,182,254,2071,54,0,358,49,127,558,1,178,71,91,0,69,3333,2,37,104,4118,2769,1,2118,0,50,718,51,1125,142,0,0,0,1,6,15,664,14,1,69,4,57,243,12,2,0,185,0,109,12,614,76,23,0,422,193,11,10,0,0,8,211,6,911,2,0,10,1335,54,84,4290,209,215,200,35,446,171,5,66,1515,149,39,384,0,5,2293,129,1706,29,279,93,22,249,15,2436,11,0,1,2411,80,9,5,312,6712,0,86,335,729,146,12,340,249,30,93,65,0,16,1727,293,63,102,0,5220,2,163,7,26,154,0,233,32,1,2025,1156,32,3,16,24,108,2420,441,672,305,5,45,30,132,14,208,261,175,5,31,4,160,19,4,69,126,84,15,4821,356,1242,113,18,351,17,143,2,217,4,17,63,491,438,53,2311,75,107,441,12,374,164,344,723,22,144,30,441,27,0,1944,88,0,1025,78,8,11,95,33,21,0,10,33,30,1076,1760,35,314,900,7,237,530,48,1499,59,1678,67,255,126,108,83,2,123,497,286,51,131,2,80,132,5938,695,761,12956,0,49,89,1077,283,2166,174,2647,62,259,8,322,12289,1,0,25,9658,0,1,5566,1,56,1,32,24810,27,47,3,18
"거창",3071,4618,188723,121,300,0,2,683,2316,139,15465,13698,183,104,52749,4753,229,0,12,1756,578,194,1755,26,1,557,1087,3447,1184,9,1703,758,27,5,960,33,37,108,1,649,249,82,0,12,679,6,3178,2991,392357,1152,130,155,7331,783,0,3990,411,151,5304,1,119,19028,398,879,4647,205,790,7,176,100,2327,613,1064,8461,368,3,3704,118,137,1884,0,754,37,607,2,685,34448,4,115,165,20240,16297,10,7745,1,183,7783,350,5424,587,0,0,8,9,33,57,3301,56,3,219,25,176,565,99,30,14,894,1,384,132,4822,625,116,0,2969,1471,55,62,0,0,28,767,25,5168,29,3,55,7035,427,354,19989,536,585,589,110,2753,545,11,82,7719,790,121,2909,0,26,21000,2849,8128,190,1213,260,209,460,21,6751,17,0,0,14445,1117,27,41,1034,37143,1,314,805,2084,338,135,1252,1653,120,177,86,0,70,7462,2723,219,465,0,38552,1,435,20,112,846,9,594,272,2,8703,4454,93,7,88,92,240,10740,1548,4507,2868,98,106,75,365,65,473,1060,1458,44,64,8,239,132,6,226,884,555,24,28003,1649,5997,330,142,1007,84,403,3,2173,36,48,493,1719,1940,148,16957,71,294,1423,38,1531,145,1118,341,320,1171,148,1482,110,0,11730,580,1,2132,337,44,35,493,169,71,0,54,194,287,5387,8042,311,2799,4119,44,3307,1159,855,13692,203,10993,500,800,735,1006,330,7,409,4559,689,23,527,0,436,425,27710,2021,4902,79720,0,284,824,7862,964,11913,407,17719,449,3768,65,2243,61916,26,6,99,16516,2,13,27290,2,342,4,60,65449,37,346,3,86
"고령",718,20565,30738,890,665,0,18,53937,2743,170,32964,8804,85,134,648,27,128,0,2,26,1483,248,188,11,2,2825,186,16996,89,42,4894,1504,158,277,456,36,173,16,8,622,195,1329,0,35,383,22,15592,35310,776710,209,37,1400,16299,726,0,14067,566,280,763,3,464,3687,1350,3179,938,446,369,28,49,67,263,458,3209,322,2023,4,1394,110,168,2580,1,306,348,3,0,19,8128,8,246,1906,2389,30858,16,10694,10,749,639,171,719,1754,1,0,13,55,160,63,408,121,10,210,134,222,1084,48,4,5,220,3,3038,193,103,232,1229,0,443,419,203,15,0,0,265,583,88,952,21,17,138,1452,96,5167,37257,669,5272,1255,469,6680,753,88,312,1040,482,586,61,2,16,367,48,672,55,940,193,54,4612,90,776,30,0,2,1724,165,24,42,482,3999,9,366,311,2784,252,19,768,5446,262,209,284,0,120,5383,843,168,448,2,241,7,582,62,90,2267,0,5235,149,11,20782,2807,476,43,113,73,413,20435,1312,1163,241,12,505,87,360,216,658,282,275,171,396,8,1798,384,8,1690,9,225,496,5167,6708,12512,511,589,1216,44,595,6,166,22,258,180,1649,5288,496,6069,319,167,756,102,4794,678,966,183,122,283,45,822,20,0,1303,64,0,1952,1726,34,25,218,873,105,0,7,126,77,430,1936,14,70,839,169,35,667,64,101,167,2662,159,1003,553,746,451,40,699,9048,173,327,16,1,1503,3002,55753,5099,678,7364,1,204,248,131,640,22868,433,39050,1568,147,226,228,7208,6,7,23,45217,4,39,26551,1,1312,4,1145,139389,511,47,56,261
"남원",1083,2039,2390,13,77,1,2,21901,832,74,3037,4117,271,756,4188,1900,2462,4,69,143,207,2308,922,365,4,55,2125,2436,591,18,438,271,32,3,1494,11,11,13,0,49,32,88,1,4,9032,2,1501,2392,43480,660,17,113,1426,310,0,2094,256,11,2038,0,12,4938,110,251,309,8,467,3,32,2243,542,819,629,5761,369,2,38466,630,219,761,16,3928,29,218,4,1217,298389,40,10,163,4160,2684,2,1239,2,16,11004,9155,1840,190,0,1,8,7,13,353,723,3,30,234,11,762,34,376,47,68,4135,14,325,37,1569,90,57,0,881,219,138,806,0,2,17,49,6,1176,1128,1,22,95361,2784,167,3206,410,604,55,24,1006,37,11,26,794,25,19,1208,0,71,5773,15376,5314,9,1345,15997,365,470,16,6542,116,3,18,2847,1074,15,4,987,9346,1,1179,1684,1636,1198,318,927,884,44,26,12,3,3,744,516,89,135,0,10717,6,289,56,501,447,19,544,2248,3,1473,182,8,4,81,757,23,2022,123,112746,4007,56,33,446,190,41,61,516,313,23,8,53,56,35,9,77,502,2810,7,1296,1483,1862,1507,92,87,1901,291,3,418,276,79,86,2234,562,25,4236,55,2225,1654,43,855,101,1623,131,2734,5483,1694,635,10,0,3052,370,1,1106,184,1,17,7180,45,49,0,47,2992,212,9144,198360,143,191,894,18,1929,256,572,2639,132,931,2926,65,166,2699,55,18,127,868,953,5,317,5,151,34,4295,656,651,247,1,238,213,4630,573,1691,62,8927,366,421,43,1317,40058,219,24,13,1195,0,5,2752,13,107,0,38,7371,7,573,10,22
"담양",747,788,518,33,99,3,0,3602,312,90,1111,2161,831,1495,1524,516,5113,1,13869,1838,502,4497,3888,855,705,16,14477,1094,395,1237,115,1347,194,2,299,900,34,5,0,69,1244,50,1,2,9989,15,704,844,16330,284,11,93,467,826,6,710,1327,14,754,0,47,41566,104,177,133,21,1205,4,163,1333,297,1351,140,1064,70,0,4136,1960,254,796,1231,866,117,80,27,9062,701909,8768,24,44,2135,1111,5,1700,187,35,1413,2030,838,320,1,5,23,5,12,733,364,12,12,1302,7,1518,30,917,181,184,689,677,51,64,602,37,111,0,378,115,711,1010,10,5,34,74,35,615,3654,420,12,76929,1511,57,1303,876,187,76,36,398,55,4,100,394,59,52,577,0,504,1955,8960,904,9,613,2458,52,158,27,1120,371,6,1131,1466,5288,20,1,2477,3894,378,2991,196,8941,2330,17216,4345,353,206,54,35,6,9,1214,263,242,3582,0,2684,537,734,131,1553,164,3454,152,3783,1,447,71,13,2,298,1681,39,1040,184,22013,50213,2839,15,874,245,222,78,732,111,16,18,79,55,372,1,12,107,8268,16,504,484,789,2918,31,120,1595,402,0,2246,5580,214,18,615,248,33,2224,38,4675,4096,93,227,284,854,484,2174,6679,3358,77,3,0,1012,93,8,2597,56,4,124,4639,52,151,0,4955,6156,527,1047,5103,108,572,379,16,1302,52,1335,1453,638,303,14683,95,89,129,232,123,258,300,106,4,81,264,122,27,1814,121,240,99,3,895,101,1654,761,741,272,3180,89,2152,30,923,3895,216,1185,8,313,0,6,1154,1190,99,0,36,3019,10,906,11,26
"순창",387,948,1089,11,71,1,0,5019,435,65,1765,2098,303,1050,1492,529,2118,1,213,712,356,3237,2830,626,92,14,22984,957,257,69,179,377,42,4,500,77,30,5,0,38,52,29,0,0,7037,8,764,907,18357,237,9,58,551,411,3,1082,374,5,716,0,30,118904,45,158,132,18,650,1,60,765,208,764,590,1791,86,0,24527,909,301,465,91,1475,73,58,14,3648,458153,341,16,64,1512,1231,7,1511,19,16,17883,2528,773,190,0,2,7,3,8,499,274,7,4,357,9,1056,25,474,91,44,1221,32,70,40,442,25,91,0,383,84,198,569,2,5,23,40,10,436,652,15,15,137206,4819,58,1318,580,258,47,28,415,31,14,56,262,29,52,498,1,118,1330,6501,1357,6,288,1712,45,145,51,2146,164,6,57,1023,13526,20,3,1182,2981,19,1674,270,2391,1667,553,1346,375,59,23,23,1,5,667,220,139,187,0,3083,36,389,104,715,173,96,295,1721,1,623,119,10,6,118,1052,18,979,95,8174,5267,101,17,618,188,71,34,492,865,10,9,55,59,119,11,9,145,2661,13,598,602,978,2091,48,78,3902,257,1,703,548,134,30,1709,315,15,1749,37,3111,1929,40,285,162,546,318,3622,4650,3292,254,8,0,680,72,3,210,89,2,22,2541,23,68,0,239,1978,293,2683,12691,35,194,385,10,979,125,2013,753,241,460,5058,48,88,126,69,29,181,447,202,4,42,16,84,20,1954,266,733,144,1,136,70,1616,561,756,72,4155,101,1018,19,655,5259,123,100,9,342,0,4,1287,92,77,1,26,3066,7,1807,7,27
"지리산",431,614,2111,29,79,1,1,8693,289,233,986,1376,170,262,2190,776,362,0,24,239,1030,704,799,82,5,54,1467,848,385,11,84,927,34,6,1395,7,32,2,0,787,26,28,0,2,1142,3,495,794,17787,2246,3,63,424,920,0,584,297,130,682,0,23,194066,80,186,184,159,1660,2,101,387,235,827,249,3330,100,1,5854,213,550,2624,6,2138,166,250,2,1064,51537,25,115,50,2403,967,5,6807,4,219,8949,11259,822,296,0,1,10,2,17,122,409,29,8,314,8,245,730,136,11,10,1965,0,119,46,776,33,158,0,569,99,88,188,0,1,13,948,33,729,234,3,13,16153,1354,72,1315,765,189,774,70,290,717,6,917,448,316,42,815,0,38,3916,9869,2631,8,1831,25878,18,144,11,4846,36,1,11,1634,2545,18,3,1782,4725,3,387,1923,2563,565,157,2354,283,98,233,28,1,85,6642,313,237,73,1,6306,2,776,80,192,95,16,174,339,0,524,399,8,1,77,230,301,880,1659,12747,2906,50,45,174,563,80,672,1859,203,18,40,31,126,103,5,46,308,712,4,786,415,572,510,37,1244,1063,544,1,318,82,72,43,2985,205,164,1945,50,781,2095,57,204,176,2062,1644,2244,671,327,1179,0,0,1148,151,1,1172,71,43,48,850,43,71,0,35,642,421,3597,399,91,352,446,23,1423,1687,168,1808,378,462,1041,708,70,108,311,8,439,318,1177,4,178,5,136,34,2071,52,219,190,0,55,74,2255,1340,669,553,2089,109,185,30,938,9834,34,15,6,536,0,4,1114,5,109,0,12,3945,3,531,6,35
"함양",1104,1372,13898,44,142,0,2,65358,593,352,2557,3209,239,236,8238,4972,151,1,9,1310,1489,387,991,29,0,118,809,1389,1628,18,299,1431,42,9,2599,65,36,12,0,1260,383,50,0,8,524,13,1165,1181,49021,4094,17,97,1282,1515,0,1240,597,191,2474,0,56,35456,152,300,615,323,2241,2,303,141,810,754,249,13957,220,0,3685,217,210,9536,1,4153,124,847,1,302,18266,7,300,61,8371,2610,8,13866,2,358,4376,846,3801,395,1,1,8,7,21,154,1414,89,4,399,13,288,1344,52,22,8,3553,3,190,71,7226,68,195,0,1219,319,98,67,0,0,18,1668,46,1692,34,7,44,5325,754,113,3756,1233,316,1491,107,755,3613,12,152,2411,600,67,3395,1,52,24788,45578,15163,16,2176,1214,128,230,11,9490,44,0,4,6119,693,33,8,3094,16427,2,474,46727,4002,683,100,2016,542,175,460,81,0,155,13404,578,403,908,0,67266,2,1111,161,144,242,5,296,216,0,1775,10089,17,2,234,152,613,2805,3014,4565,1795,37,39,158,854,127,983,2913,348,25,97,23,176,251,23,37,1436,361,8,2793,676,1292,673,44,2398,128,1055,5,1399,42,88,56,3392,542,280,4520,70,592,3878,96,405,446,1881,679,459,509,91,8777,13,0,4774,477,0,4049,183,50,65,384,82,93,0,31,254,649,12752,11983,395,2692,1777,34,6050,3422,356,18810,504,2389,325,1528,219,268,509,18,884,897,2047,5,779,2,275,68,4719,458,839,495,1,440,337,7605,2958,1834,855,4097,173,2489,55,3525,1051,35,10,15,1756,4,4,4194,4,216,2,30,9612,4,207,8,43
"해인사",662,2627,19933,103,46,0,1,44166,712,33,4460,4531,52,36,145742,173,39,0,3,70,250,62,314,8,0,170,235,2274,204,6,839,287,31,19,236,14,21,46,3,128,68,183,0,3,149,2,1163,3164,237954,236,65,103,4443,134,0,1389,53,241,1180,1,83,2693,131,315,1618,74,89,5,9,50,451,186,469,810,132,3,925,26,31,551,0,190,16,65,0,53,6106,0,55,233,5296,7062,1,1962,0,135,988,153,1801,121,1,0,2,0,3,23,853,20,3,36,6,62,197,23,6,0,120,1,203,22,217,157,255,0,653,473,15,18,0,0,31,96,7,1462,18,3,21,1739,29,136,11467,212,366,237,63,1116,114,9,25,2243,70,83,292,2,6,1146,50,1301,53,453,187,46,508,18,1182,11,0,1,3636,275,6,19,381,9653,0,98,213,576,79,31,162,636,35,82,71,0,15,1322,757,35,180,1,984,0,116,8,20,347,3,500,69,3,2510,2279,57,3,21,23,88,6065,302,829,367,14,51,34,62,24,93,308,197,21,58,4,333,54,5,135,48,76,50,10267,578,2121,121,55,256,11,101,3,269,8,47,145,849,861,105,4652,17,74,406,16,571,117,356,33,58,124,19,356,45,0,3120,104,0,802,111,13,10,132,31,9,0,71,77,15,775,1336,34,221,970,13,92,579,68,358,56,4674,150,180,282,234,106,4,138,1838,106,33,28,0,118,264,14526,359,1887,26245,1,54,365,789,247,5974,106,6059,149,189,20,588,4145,1,2,56,193,0,0,14131,0,68,2,63,62136,83,53,12,22
"건천",135,7476,344,808,27,0,10,1985,1475,131,63138,76906,175,471,2384,32,76,0,2,100,1470,194,2163,7,1,867,38,9551,444,209,552,2265,180,241,57,12,142,5045,17,1032,85,1846,0,5,109,49,10266,46,2,145,6428,492,252,1381,0,2074,654,1326,41819,9,277,679,865,936,558,666,629,29,127,31,33377,661,1032,70,511,3519,233,321,317,3798,24,70,193,10,1,249,3499,17,288,3762,17128,78231,18,9927,59,907,315,87,3250,178,0,1,6,10,78,83,11363,190,0,257,55,445,1900,78,6,8,7,31,831,387,657,22716,1458,0,25287,4621,256,10,0,1,171,749,97,143429,26,143,8,1118,8,599,77538,1569,934,1411,358,256,714,21,207,1018,1959,288,24,6,56,1199,1,113,3963,258,66,10516,1074,71,95,120,0,6,17837,35,10,43872,1250,191,66,817,35,3466,848,29,972,1893,563,300,255,0,121,6679,32834,111,154,0,151,28,1019,41,535,78,3,1011,108,19,67,1138,311,8,356,490,675,44626,1497,287,358,13,220,125,663,177,1028,495,51725,14,356,10,1338,220,2,706,25,175,426,467,2385,19679,1367,254,1484,9,951,5,1315,10,681,6316,651,10575,564,113694,88,149,1293,167,793,566,849,323,44,159,31,164,7838,0,17626,404,0,866,587,94,43,95,382,554,0,22,46,193,27,272,67,190,3610,30,298,176,1624,548,394,1456,36,1766,5698,40341,927,183,961,769,93,233,35,31,686,1613,6528,2103,470,205,17,128,18967,35,1177,27260,600,956,506,1319,23,636,521,5,37,9733,172,3,1,3968,2,266,16,397,5416,628,19,42,100
