"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",5153,0,0,2204,0,0,27712,2449,2498,1804,0,0,3770,42400,334,6822,0,15225,11422,0,0,81,0,0,0,0,21854,0,0,0,0,0,0,0,0,50485,0,0,0,590,0,0,0,0,0,0,0,0,1848,1686,0,237,0,283355,0,6382,11576,31816,28122,5480,0,0,22840,0,64007,671,0,0
"Anyang",0,0,8388,0,3679,0,4886,0,8638,276,0,501,0,6282,5558,0,0,0,0,0,1628,0,2064,0,270,0,3009,0,0,4837,0,875,565,0,191,0,1352,128,0,9,385,1161,413,435,668,948,0,0,18773,0,0,4875,2165,5714,0,418,0,0,0,72,0,0,0,1259,0,100,3819,0
"Asan",0,1122,2,0,44815,1,4,487,14724,0,0,0,0,556,3,0,0,0,89,0,0,0,2,0,407,0,300,0,0,32225,0,0,0,0,0,0,336,0,0,570,64,59,336,661,1,0,0,0,7844,0,280,250,17676,355133,362,81665,0,150,0,0,0,0,0,0,352,0,20005,0
"Bonghwa",2495,0,0,6530,0,0,4824,356,0,0,0,0,0,6099,0,4164,0,458,5202,0,107,0,227,0,0,0,991,0,0,0,0,0,0,526,0,184,286,0,473,1019,10,0,48,0,0,0,0,0,0,1392,139,0,0,8965,0,0,11879,3654,136,45,3,0,1410,0,21158,0,0,97
"Boryeong",0,1103,67546,0,2499,0,39,343,102116,490,0,2664,48,168,0,0,0,0,257,0,0,0,0,0,0,0,152,0,0,19523,0,0,0,2088,0,0,9,0,0,0,0,0,98,0,386,0,0,8,26309,0,0,0,43549,469582,0,116157,0,0,0,0,0,0,0,0,39,0,43519,63
"Bosung",0,0,0,0,0,80036,8674,2923,1277,304,0,20,0,1762,2465,0,0,0,143,0,0,238,0,0,141048,1212,0,2202,289,0,35695,2866,0,0,641,0,2250,0,3004,0,570,1954,0,2080,0,596,0,0,1412,0,0,737,0,47106,42920,10334,0,386,0,0,0,0,0,0,0,3484,0,0
"Busan",31542,2242,754,5533,1,8556,1909696,72752,194521,0,1994,493133,407,2434095,708131,4180,2644,8357,21032,0,150889,41473,402021,183,11006,3000,165533,10805,17525,0,1287,1348,0,540,216,30713,1811,0,24625,2463,1211813,19608,32343,1814,437,579,11624,41104,77143,1411,25194,106981,0,2767274,12947,550419,13794,226584,13663,2652,14074,0,12164,58745,40391,345,27,3
"Changwon",2449,0,466,356,323,2863,77570,136088,27675,988,499,37199,0,125607,59601,552,222,42,759,0,15201,28689,23661,17,3853,2674,433,16398,70355,367,232,244,472,0,128,1099,0,157,51305,0,61433,5271,405,352,67,272,1917,338,18383,24,0,11923,226,291470,5735,80442,8,0,0,0,0,0,0,6319,2380,0,551,328
"Cheonan",2715,6041,14418,0,152146,1230,197070,28206,11309,2235,78,9141,1019,140582,379246,0,95,0,620,0,28437,1430,38101,0,37661,198,9309,295,478,113835,158,40821,1565,0,4807,8047,23633,28649,5636,702,6676,21252,12,5608,8175,38794,6309,7564,33764,0,0,88414,31465,1903879,21714,299236,0,9736,0,0,0,146,1961,15907,5116,13750,72848,1
"Choongju",2273,276,0,0,490,288,404,484,2598,7564,0,0,46393,527,81872,1180,193,0,3111,0,37,0,0,0,1581,359,0,0,0,0,115,206,0,1790,532,65505,262,86,0,842,0,512,0,0,0,89,198,0,1040,90,0,41759,234,21242,646,2701,4,0,0,0,0,0,0,361,4223,422,0,236
