"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",1423,0,4911,0,0,20138,0,1924,0,709,0,2002,16046,0,6418,4422,0,9762,94,6964,0,0,0,0,0,0,0,0,0,0,16206,7088,0,0,0,0,0,0,0,0,23942,0,0,139,0,0,0,0,0,0,0,0,0,0,898,918,0,0,0,94599,0,1616,6762,20629,15078,3303,0,0,7992,0,47632,0,0,0
"Asan",0,1147,0,44052,0,209,0,30230,0,0,0,0,132,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16949,0,0,36,18936,332368,0,105711,95,0,0,0,0,0,0,0,0,0,17447,0
"Bonghwa",4832,0,14485,0,0,4220,0,19,2,0,0,0,5250,0,15,3611,0,376,0,4823,0,121,0,0,100,165,0,0,0,0,920,1133,0,0,0,0,0,0,0,0,174,0,0,0,0,28,4,0,24,0,0,0,0,0,0,876,77,0,0,5523,0,0,7662,3638,105,19,5,0,740,0,20753,0,0,44
"Boryeong",0,37504,0,3066,0,0,0,111889,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23928,0,0,360,31285,335176,0,112602,73,0,0,0,0,0,0,0,0,0,26280,0
"Bosung",0,0,0,0,50185,5749,1277,1325,0,0,0,0,471,2209,0,0,0,0,0,0,0,0,161,800,0,0,0,62542,0,1217,0,0,438,109,473,0,40445,1777,0,312,0,749,0,0,1287,0,251,2264,0,1480,0,599,0,0,1281,0,0,952,0,35862,36578,8765,0,0,0,0,0,0,0,0,0,2753,0,0
"Busan",17090,209,4840,0,6037,539851,30957,260161,66567,0,970,0,2140125,770451,2883,2867,1110,6513,0,12353,0,103418,34796,0,12965,291266,0,2546,275064,1457,98236,444355,5132,9265,690,11,1022,0,0,216,7427,0,0,0,17602,0,976589,7301,18506,722,0,0,9035,13996,58731,1276,25305,67049,0,3667497,4662,417069,16480,173050,7009,1683,10562,0,7790,37294,25616,0,109,0
"Changwon",0,0,0,0,1847,36560,97474,16432,3113,0,346,0,195717,26882,0,0,901,0,0,0,0,7411,13049,0,0,14846,0,808,0,2317,0,54716,11503,39666,201,0,209,0,0,0,0,0,0,0,63785,0,67816,2270,0,186,0,0,532,360,9815,0,0,5672,0,140335,3630,52901,182,0,0,0,0,0,0,2816,0,0,0,0
"Cheonan",2097,41313,10,122858,1331,270158,14519,6827,5355,1931,22,650,209914,487211,716,601,76,0,179,150,0,24952,1084,10685,1616,41861,0,32972,33033,336,5641,9042,186,390,2263,119554,202,52454,1481,4458,5023,14036,34602,216,1786,57,9354,21492,16,4886,6940,41016,9690,6184,97418,40,15,134676,28803,2266480,22469,714553,826,8557,666,57,11,0,1628,14742,4068,14291,80558,134
"Chilgok",0,0,0,0,0,66437,3601,5793,312,0,0,0,316413,24649,0,187,0,0,0,145,0,18791,635,4,0,25741,0,13,0,0,284,63310,0,146,0,0,0,18,0,3,0,7,0,0,572,0,6682,0,1550,0,0,9,967,212,5412,12,1862,3957,0,60067,0,17589,227,394,0,0,636,0,248,3307,942,0,0,0
"Choongju",780,0,0,0,0,0,0,1993,0,4051,0,45401,0,64609,497,476,0,0,1179,2142,0,0,0,29,0,0,0,156,0,0,0,0,0,0,0,0,0,205,0,18,38721,19,0,5449,0,29,0,0,0,0,0,137,0,0,911,57,0,36067,0,6527,0,1401,491,0,0,0,0,0,0,0,2499,0,0,147
