"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",768,165,6590,0,0,18309,775,2048,0,523,0,1678,13620,0,7062,4104,0,8294,124,5683,0,0,94,0,0,0,0,0,0,0,15134,7824,0,0,0,0,21,0,0,0,0,23371,0,0,127,0,0,0,0,0,0,0,0,0,0,678,869,0,0,0,73268,0,1193,6011,17972,14552,3262,0,0,7945,0,59176,0,48,0
"Asan",165,1652,0,53795,0,0,0,85858,0,0,266,0,0,0,139,153,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19628,0,0,0,25171,279652,0,100164,210,0,0,0,0,0,0,0,0,0,33765,0
"Bonghwa",6155,0,13248,0,0,4194,0,17,7,0,0,0,5208,0,8,3522,105,442,0,4102,0,126,0,0,0,135,0,0,0,0,902,1006,0,0,0,0,0,0,271,0,0,108,0,262,0,0,39,15,0,19,0,0,0,0,0,0,846,156,0,0,5308,0,0,7021,3526,68,35,15,0,708,0,19965,0,0,32
"Boryeong",0,46484,0,3184,0,0,0,120913,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20215,0,0,0,34769,274263,0,100931,0,0,0,0,0,0,0,0,0,0,30051,0
"Bosung",0,0,0,0,42957,4656,1150,1495,0,0,0,0,0,1705,0,386,0,0,0,0,0,0,170,625,0,0,0,55026,0,983,0,0,0,510,83,469,0,38319,1518,0,215,0,566,0,0,998,0,177,2145,0,1402,0,689,0,0,1176,0,0,640,0,30415,39615,8168,0,0,0,0,0,0,0,0,0,3064,0,0
"Busan",17610,0,4898,0,4913,430089,32971,335112,61673,0,423,0,2151066,903566,1702,7559,872,6144,0,11488,0,97274,29509,0,39632,302855,0,1734,570774,1126,74575,446156,0,4217,7993,538,0,963,0,0,216,5714,1357,0,0,16771,0,1026938,4701,17635,464,0,0,8656,5853,51297,1067,23778,53675,0,4284580,5405,344741,17671,147501,5391,1466,9481,113,6219,33591,20980,0,0,0
"Changwon",413,0,0,0,1848,35040,68434,15491,2125,0,115,0,235221,19920,0,493,418,0,0,330,235,5337,13048,0,0,14688,0,854,0,1752,0,63009,0,11076,46025,151,0,172,0,0,0,0,0,0,0,56959,0,184230,1608,0,130,0,38,571,0,8692,0,0,4959,0,100261,3925,47022,0,0,0,0,720,0,0,2166,0,0,0,0
"Cheonan",2189,94621,10,121399,1017,323779,10172,9461,5688,1783,70,1761,282100,735893,852,890,0,0,349,197,0,29392,678,12543,4645,45866,0,39500,75254,277,4598,8464,12066,161,296,2395,148917,182,63481,1719,4703,4326,15944,37039,666,1446,130,20078,18850,0,4635,6992,55981,14451,4011,32246,17,0,229224,32929,1629324,23890,222501,615,8483,823,52,0,0,1263,19468,3714,14282,131054,146
"Chilgok",0,0,6,0,0,60829,2431,6093,267,0,0,0,380097,26306,0,54,0,0,0,216,0,23312,340,0,0,33595,0,0,0,0,13,81368,0,0,115,0,0,0,0,0,0,0,0,0,0,626,0,5717,0,2892,0,0,0,1034,18,4743,7,3761,4662,0,48850,0,15820,26,20,0,0,825,0,78,4086,995,0,0,0
"Choongju",511,139,0,0,0,0,0,2456,0,3979,0,53047,0,56909,599,572,0,0,1720,1436,0,0,0,43,0,0,328,68,0,0,0,0,0,0,0,243,70,0,244,0,45,40209,395,0,6559,0,32,0,0,0,0,0,134,0,0,723,31,0,34994,0,3143,0,1242,427,0,0,0,0,0,0,0,2176,0,141,141
