"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",795,0,6625,0,0,14495,210,1504,0,591,0,1518,11532,0,6860,525,3608,0,7938,84,6114,0,0,147,0,0,0,0,0,0,0,12559,7673,0,0,0,0,0,68,0,0,20973,0,0,166,0,0,288,0,0,0,0,0,0,0,573,684,0,0,0,60482,0,908,5298,15075,13059,2928,0,0,7771,189,57540,0,0,0
"Asan",0,1684,0,51385,0,240,168,85962,0,0,229,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58981,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,57,20508,0,0,0,23530,272781,0,102138,153,0,0,0,0,0,0,0,0,102,30890,0
"Bonghwa",6594,0,12224,0,0,3888,0,15,25,0,0,0,4847,0,3,0,3326,0,451,0,3743,0,80,0,0,0,130,0,0,0,0,1100,963,0,0,0,0,0,0,0,0,105,0,0,0,0,18,9,0,17,0,0,513,660,0,0,771,71,0,0,6110,0,0,5960,3110,57,176,15,0,698,0,17571,0,0,31
"Boryeong",0,46411,0,3239,0,16,24,117350,0,0,97,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40161,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,18803,0,0,0,31478,246417,0,90433,35,0,0,0,0,0,0,0,0,1,29412,0
"Bosung",0,0,0,0,33848,3343,1056,1502,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,0,136,574,0,0,0,48909,0,756,0,0,360,87,488,0,35305,1544,0,315,0,557,0,0,824,0,140,2089,0,1470,0,699,0,0,1134,0,0,587,0,27832,35963,7139,0,0,0,0,0,0,0,0,207,2810,0,0
"Busan",14312,240,4533,16,3621,393111,34975,354992,60609,0,0,0,1965141,958851,1941,0,2088,8,6091,0,11155,0,90321,34516,0,36564,297443,0,1032,689875,1006,67114,393743,6266,7076,407,40,760,0,0,1,4906,311,0,0,15945,14,909162,3260,16737,294,0,0,7897,6011,47238,815,22013,42947,0,4323880,4349,281990,13612,158078,4604,1398,8213,69,5494,32443,17727,231,92,291
"Changwon",210,168,0,24,1582,36407,61942,12495,2154,0,0,38,236474,16284,176,59,0,114,425,0,1466,0,5107,10662,0,0,13886,0,651,0,1605,0,63279,8835,41800,131,61,442,0,0,0,483,0,0,0,49985,0,225611,1336,0,119,0,67,675,0,8348,127,0,4543,0,76940,3819,42246,0,0,553,30,0,344,0,1938,230,0,104,0
"Cheonan",1753,89487,14,120890,1069,347393,8207,9604,5670,1663,469,1874,307087,822771,715,0,299,0,0,403,256,0,28152,756,13157,7365,47061,0,40052,103096,380,4127,7437,178,315,2293,149497,214,65979,2053,5375,4316,16283,32421,532,1246,92,20547,19613,0,4772,6508,55718,15487,3583,31827,28,0,225092,32219,1807848,23784,231454,462,7829,838,52,0,0,1256,20623,3517,14981,137201,110
"Chilgok",0,0,1,0,0,57955,2184,6051,210,0,0,0,385892,25983,0,0,80,0,0,0,270,0,23804,514,0,0,30690,0,0,0,0,0,81221,0,120,0,0,0,0,0,0,0,0,0,0,591,0,5252,0,3215,0,0,0,1041,0,4891,7,4544,4358,0,44713,0,15681,153,0,0,0,857,0,23,3977,1097,0,0,0
"Choongju",516,0,0,0,0,0,0,2412,0,2852,0,56224,0,53312,349,0,514,0,0,2084,1485,0,354,0,100,0,0,0,466,0,0,0,0,0,0,0,0,0,482,186,12,40237,216,28,5659,0,16,0,245,0,0,284,117,0,0,602,43,0,30991,0,2806,301,1170,1251,0,0,0,0,0,0,0,2210,0,0,130
