"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",110,0,4707,0,0,13382,38,0,0,0,0,0,5347,0,4342,0,38,0,7887,0,0,0,0,0,0,0,0,0,0,0,0,9110,5255,0,0,0,0,0,0,0,0,0,16856,0,0,0,374,4707,0,217,0,0,0,0,0,301,0,0,0,0,0,44108,0,0,0,11894,12311,3335,0,0,6637,0,68396,10,0,0
"Asan",0,3536,0,42328,0,87,0,44692,0,0,0,0,0,72,70,0,0,0,0,0,0,73,0,0,0,0,0,10632,0,0,0,0,0,5,30,0,0,70590,0,5977,0,0,0,86,0,0,0,0,0,21,0,0,0,162,0,0,12154,0,0,0,13409,227396,41,67067,178,0,0,0,0,0,243,0,0,71,48374,0
"Bonghwa",6944,0,6551,0,0,2388,342,13,4,0,0,0,5240,1040,0,87,0,42,414,0,79,0,102,0,0,0,90,0,0,0,0,1025,878,0,0,0,0,0,0,0,0,0,432,0,0,0,0,6569,10,0,18,0,196,0,0,110,5,0,79,0,0,12970,0,314,0,4247,72,294,13,70,543,0,13769,0,0,0
"Boryeong",0,34517,143,3464,0,0,0,109574,0,0,18,0,0,24172,0,0,0,0,0,0,0,57,0,0,0,0,0,13124,0,0,259,0,0,844,85,0,0,38433,0,47598,0,0,280,0,0,0,0,0,0,292,0,0,0,3372,0,0,19037,18,0,0,17695,198962,327,80243,444,0,0,0,0,0,0,0,0,24,21624,0
"Bosung",0,0,0,0,11340,1760,1102,1299,0,0,0,0,0,1639,0,0,0,0,0,0,0,0,0,108,425,0,0,0,41266,0,813,0,0,92,371,90,313,0,21167,1132,0,244,0,391,0,0,651,0,75,1467,0,1011,0,894,0,0,896,0,0,460,0,20848,22770,5893,0,0,0,0,0,0,0,0,0,1435,0,0
"Busan",12890,87,2747,0,3226,471190,29058,400032,55607,0,0,0,1667443,907030,3617,0,0,0,6660,0,20355,0,71362,26392,3,47427,235267,0,503,763278,1410,123272,369639,0,5738,6764,191,0,457,0,246,216,4818,776,0,0,22670,15979,802760,1815,13232,163,258,432,6588,13689,33865,0,20355,24061,0,3921874,4968,173001,31,335223,3639,1713,6466,0,11894,31220,13863,15,0,432
"Changwon",0,0,17,0,3102,31933,12207,5436,1409,0,474,0,248898,8907,458,19,0,297,0,0,0,0,5998,11445,0,0,9000,0,1155,0,2276,255,73853,504,15066,20274,384,0,92,0,0,0,462,0,0,0,47623,0,289552,1268,0,81,0,0,393,868,5612,474,0,3139,0,48321,6303,26119,115,0,0,280,0,0,8,2060,220,0,0,0
"Cheonan",100,43342,0,103850,1130,388428,5660,35550,5465,2516,0,1406,326092,858663,37,0,0,0,0,467,0,78,24596,846,12238,8457,44396,16277,45876,182951,11,4569,8229,16383,123,143,2025,152324,170,54087,1482,4800,5333,16467,16386,539,334,0,27334,27278,0,5072,5575,46767,13552,2095,62562,0,0,251797,22623,1992099,22441,456957,343,8598,411,35,0,0,2065,18732,0,14792,148859,0
"Chilgok",0,0,1,0,0,48561,1934,6505,577,0,0,0,476065,26855,0,0,0,0,0,0,3400,0,26671,462,0,0,62064,0,0,0,109,579,66732,0,17,97,0,103,0,0,0,0,0,19,0,0,341,2275,4368,95,2274,0,0,0,1132,0,5151,0,3400,3503,0,35705,66,13821,0,1051,81,0,713,0,494,3656,700,0,0,0
"Choongju",0,0,0,0,0,0,0,2548,0,1770,0,50643,0,63971,0,0,0,0,0,2078,0,414,0,0,4,0,0,68,5,0,0,0,0,2,0,0,0,0,0,6,409,0,52012,344,465,8754,0,0,0,308,0,0,0,3,0,0,416,0,0,30095,0,8369,0,1033,446,0,0,0,0,0,0,0,0,410,0,0
