"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Andong",0,0,9577,0,0,12826,0,0,0,0,0,0,12988,0,5025,0,5185,0,29323,0,3390,0,0,0,0,461,0,0,0,0,0,7773,8949,0,0,0,0,0,0,0,0,0,0,19951,24,0,0,788,0,0,0,0,0,51,0,0,0,0,683,0,0,0,73673,0,0,3168,15121,15138,6831,0,0,5894,0,103037,0,0,0
"Asan",0,2826,0,35479,0,0,0,44284,0,0,0,0,108,36,0,0,0,0,0,0,114,143,0,0,0,0,0,9988,0,0,0,0,0,6,0,0,0,79384,0,7649,0,0,0,0,0,0,0,0,0,0,0,0,0,344,77,0,0,26052,0,0,0,12438,271954,0,94272,174,0,278,0,0,0,0,0,0,77,38131,0
"Bonghwa",10119,0,23195,0,0,3256,0,684,8,131,0,922,5924,655,35,0,4750,63,602,0,4506,0,8,0,0,791,41,0,0,0,0,805,1140,0,0,0,0,0,0,0,0,1250,0,887,0,0,0,50,701,10,0,10,0,0,0,0,0,0,781,11,143,0,30524,0,4750,78755,2319,294,278,3,0,895,0,18412,0,0,22
"Boryeong",0,39595,0,3330,0,0,0,142714,0,0,0,0,0,6535,0,59,0,121,0,0,0,0,0,0,0,0,0,19672,0,0,0,0,0,392,0,0,0,53905,0,84059,0,0,0,187,0,0,0,0,0,0,0,0,0,0,1274,0,391,24624,0,0,0,20694,186913,0,89679,96,0,0,0,0,12,0,0,0,0,29321,0
"Bosung",0,0,0,0,12519,4326,840,989,306,0,0,0,325,1715,0,0,0,0,0,0,0,0,93,208,316,0,56,0,29268,0,469,0,0,105,432,46,80,0,8883,1399,0,302,211,0,221,0,0,1195,0,167,444,0,277,0,280,11,0,540,0,0,520,0,11570,23965,3837,0,269,0,0,0,0,0,166,0,0,0,0
"Busan",11959,0,2760,0,3328,1063459,18851,433041,59577,0,7300,172188,1970233,923818,2500,0,1148,278,5273,0,5387,0,59162,12329,0,94436,300744,471,1161,779100,2406,301241,467890,0,13984,6405,101,0,306,388,0,0,0,7683,1077,0,0,19629,0,804403,1630,13324,179,408,0,8624,16082,42590,1394,19377,27034,0,4354122,29568,447024,7792,898088,5392,2092,6009,0,18068,28446,13559,31,0,387
"Changwon",0,0,0,0,1157,50753,20858,18960,2182,324,0,13448,342863,124898,0,10,301,60,0,0,182,0,3661,12729,27,4969,13046,418,1027,151349,4666,701,89465,0,19628,25553,53,0,85,0,0,0,0,47,0,858,0,98663,0,128036,737,0,66,977,0,571,803,3276,41,0,2033,0,574813,20657,12524,523,599,0,0,0,10,0,1427,791,504,0,0
"Cheonan",0,42049,281,139882,1108,431548,9256,50780,5969,4031,625,31987,343815,929469,146,0,390,0,0,1104,99,62,19608,1672,9834,41156,64983,24925,87456,278851,41,30485,9673,17898,0,241,1663,209828,175,75063,1326,0,4906,7767,19369,32070,1534,2918,0,12310,33409,0,8693,7942,51570,14060,17592,86455,0,0,305277,24522,2684159,33009,756128,442,153966,0,0,0,325,281,18926,315,27186,173488,0
"Chilgok",0,0,9,0,0,62767,702,5645,410,70,0,312,608808,27899,5,0,64,0,0,60,105,0,32732,472,0,0,80412,0,0,0,27,0,74183,0,0,108,0,0,0,40,0,0,0,70,0,0,41,399,0,5524,500,2532,0,0,0,1502,0,4485,33,3978,3814,0,32709,306,14168,116,0,0,0,1193,0,0,6046,779,0,0,0
"Choongju",0,0,121,0,0,0,324,4144,101,1782,0,98485,534,80692,870,0,0,0,0,3414,889,0,435,0,0,490,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,79242,0,0,21679,0,0,0,0,0,0,0,0,570,0,968,0,0,27736,716,7700,368,3020,822,0,0,0,0,0,0,663,2306,483,0,0
