,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,5632,13,0,0,12985,153142,499551,271986,1145428,0,114410,281666,198476,1312650,7365,118395,1968555,0,205,0,0,770,0,11,0,0,204319,289110,280348,60293,119391,117100,335568,134468,28059,120373,88056,147600,106694,46338,23322,0,0,0,74022,211876,231154,219784,199370,0,1033841,2420405,1088,4916,8584,0,0,0,219332,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,146,4283,0,5113,128305,4166,55329,13158,6379,0,0,294520
용산,127,167,0,0,3457,78684,48372,26464,69653,5331,11937,18753,7031,49159,4304,9416,126177,0,573,560,0,5,5,3,2,1166,31419,73073,112233,22216,91701,27831,73089,46325,14978,20854,11655,23704,11044,63,27,0,0,0,5088,10839,9514,6355,6502,0,1693,4434,1998,1903,5026,342,3554,15417,6001,258,274,0,20,364,0,0,0,0,0,0,0,0,0,0,0,179,47588,3018,27876,0,265,3595,68,642,0,0,52,2,73913
영등포,4,0,0,0,23686,252429,363025,168801,389103,5991,48879,99528,50389,191613,1795,19694,181804,0,0,0,0,211,0,0,0,0,94081,118916,110331,22282,29382,36380,74043,39547,12050,29808,23670,36617,17346,17874,7486,0,0,0,67076,151056,126176,72596,89017,0,5349,13166,1820,0,162,4,0,3,505,0,3,0,0,165,0,0,0,0,0,0,0,0,0,715,0,0,2028,683,466,0,778,19935,407,8524,1992,490,0,0,65532
안양,0,0,0,0,9481,95394,54483,9345,11101,2028,2487,1983,693,2742,289,549,2528,0,0,0,0,0,0,0,0,0,2872,4099,5617,1393,2520,2483,3217,2042,1423,1095,602,1431,406,46,72,0,0,0,12276,29501,21034,7616,11649,0,1905,2415,0,0,0,0,0,0,1060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,712,7,0,0,49,0,0,0,0,0,0,3378
수원,15620,3827,19063,7242,4065,217162,129159,124632,253813,1859,18661,40367,21923,130181,730,9647,97054,0,0,0,5,1475,0,0,0,0,39485,54160,37779,5749,18986,11815,23142,21946,3989,8822,5430,15255,7265,10621,4923,140,37,0,20044,48187,40461,28540,29123,0,353,647,1,0,7,5,0,0,60,4,13,0,0,1,0,0,0,0,30,0,0,0,0,0,0,495,1024,12,70,0,269,14112,0,4546,260,0,0,0,31532
평택,192428,109346,276399,97831,206856,64380,91804,22483,54311,2036,4155,7186,4358,24233,290,2575,21504,0,0,0,0,1510,0,0,0,0,7450,10500,10738,1792,7845,5145,7030,1830,976,1591,1104,4673,1502,3375,2058,12561,0,0,24191,31233,26777,17644,18645,0,13,1658,0,0,149,6,0,0,0,1,19,0,0,0,0,0,0,0,28,0,0,0,0,0,0,15,726,47,23,0,26,22,0,0,0,0,1,0,3032
천안,490760,53827,245831,47300,95797,64717,231693,158340,259294,1497,12775,25037,15381,101388,194,6472,112864,0,0,4,11,2813,2,5,0,0,26114,30764,19006,3692,15159,7049,14707,9621,787,4572,2489,8720,6978,3575,4932,3219,649,131214,118171,201586,119137,85007,31498,92052,79,266,0,0,4,2,0,0,1,2,5,0,0,3,0,0,0,0,0,4,0,2,9,0,0,0,570,8,23,0,0,13040,39,2393,0,0,0,23,15848
조치원,227636,31571,171563,9930,107138,23305,176391,351836,576635,4338,13421,16254,17601,61592,338,6288,82373,0,177,107,1904,57810,4,0,0,0,81755,21451,16029,4083,11472,5521,13000,5775,820,5094,1841,8676,7799,65844,42527,969,20138,0,62,943,2118,1005,943,3,99,349,0,0,2129,102,140,1405,0,2,3,1,0,39,2,2,0,355,7,14,0,34,33,0,0,0,31,17,39,0,276,8954,55,1689,83,0,0,0,9087
대전,1048989,70065,372253,11357,228896,41909,267600,536803,234336,319423,225950,130211,93285,247975,1443,20124,366373,0,0,214,4,317,428,14,0,225,453957,144437,73966,10666,29306,11532,43349,17302,2951,10504,6533,14735,17861,119,153,449,3311,223,438,1556,1891,754,15,1,0,0,0,0,1827,0,0,446,0,321,714,176,41,12518,0,11,0,11,450,0,0,3,8,820,0,134,305,140,297,0,648,20182,450,4562,369,0,2,0,22420
옥천,0,7080,10558,2963,2534,2752,2524,3816,352085,291462,103508,13525,7292,13561,503,643,6781,0,0,2,1,15,71,4,0,3,1139,113,27,13,10,0,1,3,0,6,0,0,0,8,14,66,114,0,7,16,13,14,0,0,0,0,0,0,0,0,0,0,0,67,143,8,43,11,0,13,3,2,286,0,0,0,0,0,0,3,852,16,25,0,0,57,0,1,0,0,0,0,9
영동,108364,8281,54326,2713,18948,3087,13318,15658,249038,102236,85528,65000,27640,84534,638,4066,73123,0,0,0,0,3,28,0,0,1,71,53,1,18,7,0,0,0,0,0,0,9,0,8,7,33,163,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,310,197,1,3,0,0,1,2,0,0,0,0,0,0,0,0,1,15,7,27,0,163,4277,15,399,0,0,0,0,0
김천,252548,14327,98373,1789,41008,5318,26818,14428,125146,11922,66361,188849,496714,277018,2441,10002,216593,0,0,116,0,544,23155,6,1,55,1756,270,226,156,84,9,73,29,0,2,3,417,10,19,9,17,46,0,3,5,7,7,1,0,0,2,0,0,1,1,0,8,0,216370,136167,19019,19104,26,5,342,50,105,3008,1,0,0,6,541,1,3,2864,226,206,0,572,12833,145,1030,18,17,3,1,222
구미,174108,11143,50821,1101,23577,3989,17066,15575,93136,7405,29178,533926,1028750,1627472,11845,15495,168139,0,2,9,0,152,18407,806,8,1754,1195,325,10,7,11,1,2,0,0,0,0,154,647,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29425,26862,9232,2863,2,0,10,0,2,2005,0,0,0,2,839,0,18,2389,220,227,2,346,10418,244,2001,2,5,0,0,6
동대구,1242584,61451,169446,2777,118876,17724,98210,57260,243301,11618,80511,288723,1704011,1303,386079,400932,2080365,80,718,3160,61,9193,124460,87438,100809,379174,3422,1976,2578,293,1022,145,1028,434,0,0,0,2036,0,0,1,392,0,0,0,0,0,240,0,0,360,1275,15,0,3584,80,160,2401,0,56294,79953,57717,31114,146,5158,10460,1886,6524,38348,9,0,120,35,2643,2562,10376,116212,80870,1348,0,9734,80696,2555,5338,236,500,0,0,656
청도,13030,5552,5555,438,1591,382,815,554,2469,605,953,3693,16197,448516,173172,136356,394739,0,0,1,0,24,16,40,35,2343,1370,58,49,11,25,0,10,0,0,2,0,23,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,8,3,1,2,0,1,0,0,543,0,0,0,0,2,1,2,2236,22,1158,0,4131,20282,29,256,18,3,4,0,34
삼량진,101862,7816,18714,425,10778,1459,6727,5270,20941,635,4054,10403,15230,403821,139993,445300,2256412,0,0,0,0,1,0,0,2,48,1459,21,219,0,3,23,751,0,0,0,1,2460,3,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,17,17,8,4,0,0,0,0,0,0,0,0,0,6,12,460,45,1,16179,3,60035,168268,5888,12241,1496,499,1659,28,512
부산,2028623,142532,120285,2285,101829,15978,125128,85369,393654,6871,73985,245516,166320,2126632,415042,2288796,83652,1,1131,19772,55,37220,45092,50682,18937,13953,695,2658,6348,17,2665,6747,45747,652,0,1,0,26279,406,2,26,0,164,0,0,0,0,439,0,0,0,200,3447,0,5721,0,0,2102,0,297,465,62,0,241,8143,13813,2788,25083,58233,18,0,52,26,10299,199702,116855,98372,7021,5876,44,129233,89698,54129,37561,19296,10382,52770,3852,24224
팔당,0,0,573,0,0,0,0,0,0,0,0,2,0,5,0,0,56,36771,30653,9392,318,2229,596,371,113,29,0,0,0,0,0,0,0,0,0,0,0,0,0,27,91,250,0,0,0,0,0,61,0,0,0,0,182835,0,16,14,15,63,0,6,12,9,0,0,24,50,4,2,0,99,67,450,372,48,611,115,252,2,0,0,0,0,0,0,0,0,0,0,0
양평,200,1065,0,0,0,0,0,5,0,0,0,0,0,94,0,0,2004,24196,272272,159643,1380,9318,3413,2510,469,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,212,153,0,0,0,1,0,0,0,0,0,0,0,658803,84,17,7605,76,194,31,0,10,3,0,0,78,422,235,680,742,624,135,1282,2228,597,168,1265,2151,14,0,0,0,0,0,0,0,0,0,0,0
원주,0,24,0,0,0,0,0,418,22,0,0,14,811,7640,0,0,21723,8516,149643,425536,10665,84987,38987,29923,3462,11178,2246,0,0,0,0,0,0,0,0,0,0,0,1,1175,1109,0,0,0,0,0,0,0,20,0,0,0,699061,0,1891,14,5,107,0,6,25,13,3,0,720,5365,4133,7002,4693,25255,3471,49288,52962,9540,1002,18385,11039,1133,0,0,0,0,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,2196,8,0,0,23,0,192,0,0,1125,389,1502,9855,2304,9377,3359,1079,409,819,0,0,1,0,0,0,0,0,0,0,0,0,0,3179,46177,0,0,0,0,0,2,0,0,0,0,0,27534,0,0,0,0,0,0,10,12,14,0,0,103,548,73,90,22,623,286,2526,3081,1506,276,3779,1189,47,0,0,0,0,0,0,0,0,0,0,0
제천,334,0,30,4,893,840,3127,54016,580,0,0,1022,50,10568,0,3,32637,1548,8781,73663,7259,89851,206898,92703,8746,16523,0,27,0,0,0,0,0,0,0,0,0,0,0,180458,235845,0,0,0,2,0,0,0,0,0,0,0,395587,0,0,0,0,0,0,593,1653,810,24,0,3379,10692,4329,16648,9895,71103,20351,201147,111987,23753,2995,40888,26028,683,0,0,0,0,0,2,0,0,0,0,0
영주,0,0,0,0,0,9,15,366,494,1,29,25388,12541,101608,0,17,42350,410,5748,45423,2279,241786,296595,309736,23678,43880,1282,1,0,0,0,0,0,0,0,0,0,0,67,735,748,0,0,0,0,0,0,0,0,0,0,0,378313,0,0,0,0,0,0,16826,35686,263848,1310,0,182812,166906,21704,39969,39114,200,39,2735,2285,24387,1899,26992,27174,2457,25,0,0,1,0,0,0,0,0,0,0
