,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,1115,0,0,13331,205823,491293,308628,1046815,0,116202,213001,199677,1147598,14443,105620,874793,200,0,0,0,1004,13,17,1,2793,215705,283535,238238,52857,141526,102949,266465,141728,25689,86240,82376,154869,109252,29411,7038,0,0,0,90764,193587,221219,245970,203828,0,459016,2699738,857,7823,6524,0,30,0,205990,244,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,1621,249169,0,2061,4912,100305,1309,40625,13857,6670,13234,11600,278986
용산,0,0,0,0,13234,140454,75019,33284,96794,6416,15705,17970,8039,76082,5287,18937,162286,25,500,0,0,0,0,0,115,627,31416,78338,142725,27733,92865,44704,102128,65616,20135,28705,19202,38683,16454,0,0,0,0,0,4915,10106,8742,6967,5649,0,3100,7080,2020,0,33,0,0,612,302,183,0,0,0,568,0,0,0,0,47,0,0,0,0,0,0,174,2079,1422,3868,78,4754,36,612,0,0,59,0,131495
영등포,0,0,0,0,47252,442588,479561,220215,450968,6974,60518,84555,56846,222868,2679,22591,226700,0,0,0,0,236,429,736,0,0,111754,130274,118159,25107,36398,41130,77862,46237,12742,29317,26675,49718,21652,22462,5745,0,880,0,86496,155427,138051,106359,104063,0,5650,22610,0,0,25,0,0,0,655,418,220,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,24044,3482,6932,2222,1526,2278,289,80274
안양,0,0,0,0,1885,31070,7313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3105,6950,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,13159,6547,35831,2139,2822,316855,149094,117564,234215,4084,22861,48452,24163,154651,1080,10036,115751,0,0,0,0,2547,0,0,0,0,50393,73035,51379,7784,27937,15769,27858,28463,5320,10566,7164,19555,8510,6892,7373,45,38,104156,25410,73537,62125,50092,40849,25,1870,2683,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,393,48,273,13542,0,4467,395,34,506,72,43784
평택,237729,160744,514013,36719,326000,89981,149456,37822,73232,2857,5252,6460,4608,23200,506,2694,20960,0,0,0,0,2175,0,0,0,0,8696,9665,10798,1564,7889,5617,7470,2631,976,1850,1286,5210,1915,4981,4553,12862,19287,105,27576,32916,28435,20004,16985,0,200,1141,0,0,80,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,4,0,2,0,0,0,0,0,0,4161
천안,605854,78182,246111,8503,132218,125269,159675,190215,301817,2579,16249,28859,22057,114195,208,7433,130484,0,0,0,8,4630,3,0,0,0,32146,41969,21639,3496,14562,7935,15489,12493,1020,5657,2964,10240,6943,2374,8565,1060,1097,51,126542,214469,131899,124537,31864,65186,6,24,4,0,743,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,12658,0,2759,0,0,38,0,19254
조치원,282673,36999,221928,0,103088,35043,211328,245168,634144,5858,14530,19521,23346,73505,566,6640,91031,0,0,27,2715,75450,7,0,0,0,22990,32934,18376,3663,14314,9619,15607,8548,847,3920,2792,10026,7806,52541,41096,435,604,1,293,36,313,236,1,97,1,1,2,0,183,0,0,1015,0,6,3,0,0,17,0,0,0,0,0,23,0,123,107,0,0,5,2,32,7,206,8622,35,2076,196,0,0,1,12576
대전,979001,80768,458894,0,231991,57999,379522,610886,392314,369080,236139,171384,117766,291323,1821,22125,368108,0,0,165,2,6,131,1,0,238,665962,175326,74897,10422,32862,12069,48727,23854,2994,11309,7950,17024,17149,1,9,77,57,0,305,572,387,104,0,0,0,0,0,0,2276,0,0,128,0,9,191,7,1,12246,0,0,0,0,2443,0,0,0,0,0,0,6,4336,0,213,192,21658,88,4934,429,0,91,2,30238
옥천,0,7652,15016,0,6235,4284,3539,4930,388705,269154,102306,16932,9442,16519,524,988,6527,0,0,0,0,10,20,0,0,1,1137,137,57,44,8,0,3,3,1,0,0,2,2,0,5,1,23,0,0,13,1,8,0,0,0,0,0,0,0,0,0,0,0,24,202,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,21,10,0,6,0,0,0,0,0,0,6
영동,99167,9561,60087,0,26611,3503,16530,17458,253386,97209,57046,89433,38056,100759,764,4953,80538,0,0,0,0,0,17,0,0,0,94,615,1,4,5,0,0,0,0,0,7,8,1,0,0,13,99,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,101,90,3,22,24,0,0,0,0,0,0,0,0,0,0,0,2,17,44,7,2,5443,0,389,0,0,0,0,3
김천,191792,13740,84567,23,42754,4682,27314,17970,134455,14551,84670,181985,485798,298565,4823,10905,223898,0,2,4,0,263,24231,439,2,126,910,169,97,43,12,4,9,4,0,1,3,5,2,0,1,3,27,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,199230,99091,14419,12367,8,2,20,3,8,2592,0,0,0,0,1366,0,10,3154,133,23,491,14602,120,917,1,0,1,1,47
구미,173524,10968,61334,19,30033,3517,23487,22096,127623,9208,39707,567794,839134,1605362,22762,20306,204882,0,0,11,0,28,23191,889,1,165,1603,249,9,11,2,0,0,1,0,0,0,138,2,5,0,0,0,0,0,0,0,0,0,0,0,223,0,0,730,0,0,0,0,27819,25652,11129,3011,1,1,2,5,1,2136,2,0,0,1,562,2,57,2905,190,123,676,12131,393,1825,6,1,1,0,12
동대구,1117586,70362,205398,0,138560,16058,98449,62957,257971,14117,101444,354650,1758738,962,401336,466141,701512,0,475,12876,1,24813,128776,94326,111376,504943,3386,1800,2403,204,772,104,257,404,0,0,0,939,0,21,0,0,90,0,0,24,0,528,20,0,3035,4032,1495,0,3017,0,0,1400,0,48709,67046,55449,26229,120,1308,13772,2027,2492,36106,1,0,1,0,1205,3129,14870,146344,94523,3051,8687,44919,1945,3439,204,209,0,0,1690
청도,16653,7745,7720,23,3074,527,1402,1115,4068,594,1416,6440,30688,455545,165644,142699,472960,0,0,3,0,1,51,11,9,799,1916,81,33,4,14,1,0,3,2,0,0,19,1,0,3,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,960,0,6,40,8,3,6,0,0,0,0,802,0,0,0,0,0,21,10,1022,7,3570,5014,25073,76,547,14,6,1,0,4
삼량진,94477,13455,23082,230,12329,1793,7950,6179,27795,696,5348,11769,17800,461234,150359,542930,2545325,0,0,0,0,39,3,2,0,51,24,213,322,0,10,10,753,0,0,0,3,2684,6,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1,3,0,0,0,0,0,0,0,0,0,1,10,51,111,4,17759,59574,182879,6846,14644,2215,516,1255,78,850
부산,2028680,127570,177446,101,128468,16122,133501,94223,395968,11339,96247,264295,213723,1772969,486923,2567338,57494,2,1615,24369,598,41178,58117,53199,21119,15789,769,3058,8825,2,3052,7942,40500,833,40,0,0,35281,0,0,0,0,0,0,0,0,0,284,25,0,4548,5615,4034,0,3742,0,0,918,0,5,433,0,17,274,8050,15934,2143,6999,24802,3,0,13,4,17370,274533,149755,89368,8518,8762,165973,147964,70464,63761,34154,11900,51696,3908,24191
팔당,0,25,0,0,0,0,0,1,0,0,0,2,0,6,0,0,52,24215,31209,11635,375,2379,766,560,89,55,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,184079,0,0,0,0,0,0,2,0,3,0,0,10,115,3,1,0,125,77,415,333,77,1009,112,88,3,0,0,0,0,0,0,0,0,0,0
양평,0,500,0,0,0,0,0,7,0,0,0,1,0,922,0,0,2072,27525,282360,148372,1540,10318,3265,2213,377,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,152,81,0,0,0,0,0,0,0,0,0,0,85,725552,125,63,3620,0,0,1267,0,2,0,0,0,67,327,324,538,662,856,149,1401,2502,330,277,1591,1097,1,0,0,0,0,0,0,0,0,0,0
