,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,0,0,0,9231,165245,522535,324930,1101863,8178,125093,208845,199805,1136054,21884,95944,1689874,0,0,0,0,138,26,2,0,3367,221501,291325,259193,58046,140595,91418,273536,128859,23632,89089,90358,171306,104684,14649,3926,0,600,0,78891,168405,189772,246119,202858,0,138394,2483247,1,5145,5241,0,0,0,137655,61,0,0,0,0,0,0,1,0,2,951,0,1,1,1128,0,1,182475,395,576,4260,94349,1651,239726,14048,9170,21640,1851,244521
용산,0,0,0,0,8029,106823,51622,25161,59708,3284,11510,11209,4705,48229,3050,10438,109040,50,925,550,0,0,0,0,0,568,19912,41031,93153,19534,53038,24226,59278,29804,11444,17120,13419,23084,8224,0,0,0,0,0,3828,7341,5680,4626,3956,0,3145,9280,1529,14,1222,0,0,1022,3098,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,340,4862,1080,1746,99,4012,31,1007,0,0,58,0,102572
영등포,0,0,0,0,41149,489520,544410,276328,602123,10090,79204,104813,75072,307440,5325,27241,329282,0,0,0,0,430,0,0,0,0,134122,161420,151328,32776,48476,47738,97223,50500,13717,38187,34978,62832,26168,10808,3682,0,372,0,103139,161346,152853,135101,121863,0,6425,25665,0,26,0,0,0,1760,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,474,34463,10,7040,2642,2149,5088,324,104407
안양,0,0,0,0,916,21674,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,3,0,0,0,0,4230,9655,0,30,0,0,1850,0,525,0,0,0,0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
수원,15190,5368,28664,2491,1762,264730,119606,157499,288399,1839,31611,57489,32028,198375,1960,13465,155160,0,0,0,0,3912,0,0,0,0,57748,90509,58718,8546,30602,17002,33391,26432,4997,14509,8287,25824,9448,3964,4226,360,30,73532,23795,77973,68271,59191,45836,0,2140,4299,0,0,0,0,0,0,75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,0,6,499,18331,7,5723,539,6,1739,162,53123
평택,235893,115083,498954,28021,274671,62507,121174,26331,79746,1658,5537,8172,5868,34388,408,2955,26526,0,0,20,0,2079,0,0,0,0,7789,12243,11761,1804,9185,5464,8220,3045,976,2248,1494,5040,1827,724,1731,13989,12773,0,22934,20614,27543,18588,16914,0,200,695,300,0,12,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,20,7,8,304,0,0,0,0,0,0,4820
천안,660569,57248,249449,5753,115534,97812,126832,162578,257969,1656,15403,26524,21463,114927,100,7841,121055,0,0,0,0,4931,0,0,0,0,25104,38785,20937,3290,11561,7992,16403,10267,1081,5491,3307,9760,6761,730,3214,1128,848,22,100810,180029,114153,108604,30779,36840,3,5,0,20,990,0,0,62,0,0,2,60,0,0,0,0,0,0,0,0,0,0,3,0,0,0,632,4,0,0,13031,0,3095,0,0,137,1,20241
조치원,294608,30116,264565,0,120841,30053,169319,184628,554348,4432,16230,17019,24643,68976,417,6507,96548,0,0,0,1892,71156,30,301,0,8,21993,31160,19880,3393,13922,6247,15102,6273,654,3936,2789,8899,7442,38712,42329,370,378,0,12,16,104,10,79,1,0,0,0,0,794,0,0,1,0,1,2,0,0,4,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,169,8701,53,2108,128,0,0,0,12348
대전,1000383,59497,617717,0,289172,66765,291679,534657,249399,399078,260634,154096,121335,348706,3459,23115,414073,0,0,120,0,16954,190,93,0,583,471753,166775,69336,9410,29293,10167,46496,18237,2295,11840,8813,19914,16301,1301,4992,54,27,0,18,65,933,404,495,0,0,0,0,0,1102,0,0,574,0,3,237,7,0,8460,0,0,0,0,768,0,0,0,0,0,0,4,9052,5,298,793,24107,47,6087,477,0,156,16,33045
옥천,19654,4101,20212,1,7889,1895,4559,2011,416116,191668,76305,12537,10399,19834,517,1308,38245,0,0,0,0,2,12,0,0,0,35,25,3,0,4,0,0,7,0,0,0,0,0,0,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,130,1,0,9,0,0,0,0,52,0,0,0,0,0,0,0,17,7,0,0,2,0,0,0,0,0,0,0
영동,110432,5066,74284,0,35724,4108,14716,18682,257913,70987,51659,71222,35959,105403,684,5633,104305,0,0,0,0,0,44,0,0,1,144,15,0,1,5,0,0,0,0,0,0,2,0,72,0,7,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,115,8,10,16,0,1,1,0,0,0,0,0,0,0,0,13,18,25,7,63,5697,0,358,0,0,0,0,1
김천,195096,9908,98294,2,52748,7271,25160,16082,131395,11641,70143,138992,426316,286052,5239,10736,218487,0,1,2,0,137,19013,0,0,181,1043,7,0,4,8,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1030,0,0,30,0,179327,73083,17035,7484,0,20,0,0,0,3009,0,0,3,0,409,0,0,3240,168,6,365,13957,3,863,0,0,2,0,2
구미,187021,7700,76592,7,36949,5792,21023,21888,133574,7355,38972,495345,651433,1553812,25817,20608,236114,0,1,0,1,12,22600,0,0,266,2227,183,5,1,0,0,4,1,0,10,0,0,0,1020,0,0,0,0,0,0,0,25,0,0,0,250,0,0,0,0,0,522,0,25765,26957,10852,2871,0,0,2,14,0,1829,0,0,2,0,1056,0,7,3115,46,69,839,13396,457,2537,1,0,0,0,0
동대구,1166736,46087,289235,0,192113,30430,104264,66123,320744,13070,105495,334624,1663107,516,300873,403561,2005818,0,507,12220,201,21564,95523,66397,76654,360656,5363,1131,1420,248,614,51,215,1931,0,0,2,583,0,100,1,0,0,0,0,0,41,51,0,0,0,4112,1013,200,5683,2417,0,658,0,61127,75002,46974,21581,62,5806,23729,3766,3666,30153,0,0,0,0,3248,2671,12776,102843,66656,1087,9827,36754,2051,4327,159,213,0,0,1474
청도,21487,4750,8772,12,3604,646,1141,992,5120,532,1676,6729,30436,320602,132873,114265,439289,0,0,1,0,4,54,1,2,320,88,57,73,40,9,2,26,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,783,576,8,1,0,0,0,0,0,565,0,0,0,0,512,0,12,1011,6,3041,4507,23339,32,880,2,5,2,0,18
삼량진,79151,10041,25599,26,12928,2116,6897,5423,23171,745,4531,9911,15993,404140,112717,518925,2330198,0,0,0,0,9,5,0,0,40,10,247,239,0,13,26,532,3,0,0,0,1850,0,0,2,360,0,0,432,0,1,41,0,0,0,0,0,0,76,0,0,60,0,292,345,1,0,1,0,0,0,0,0,0,0,0,0,0,3,59,18,13,11204,58106,143163,4419,11137,1932,370,854,84,921
부산,1838844,58359,329012,2,171556,25078,133828,101714,424160,9449,111604,253384,243064,2121783,435277,2351749,80910,11,2091,22251,78,35344,52771,48062,16332,7727,396,2375,7774,1,1899,5292,33488,1113,251,7,1,22496,4,333,321,240,998,0,18168,0,0,0,0,0,0,9268,3113,100,3998,0,0,860,0,12011,14096,32,0,165,5862,13695,1724,4264,35983,0,0,6,1,20895,231794,106816,69798,10398,3443,156463,103093,50608,53573,28276,9944,34415,3706,20279
팔당,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,19745,27188,10873,306,2648,647,367,108,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,163310,105,0,5,0,0,0,0,4,2,0,0,14,63,0,101,3,76,82,363,239,48,300,112,67,1,0,0,0,0,0,0,0,0,0,0
양평,0,925,0,0,0,0,0,3,0,0,0,2,0,856,0,1,1936,31869,190687,179851,1058,10732,3448,2371,457,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,162,56,100,0,0,0,0,0,0,0,0,0,620,580113,150,343,420,0,0,0,0,6,0,0,0,105,234,179,404,560,651,105,1108,2468,435,151,1579,1425,4,0,0,0,0,0,0,0,0,0,0
원주,1008,0,0,0,0,40,0,229,0,0,0,0,2,16477,0,0,23453,9408,137335,339776,7846,77836,34364,24703,3618,13014,60,0,0,0,0,0,0,0,0,0,0,0,0,287,325,29,0,0,0,0,0,0,0,0,0,80,612299,0,120,120,120,1,0,5,13,5,6,0,598,7297,7835,4050,6483,33422,2444,46734,103392,7468,1238,19795,9047,171,0,0,0,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,2734,3,0,0,3,3,492,0,0,1143,308,1137,5715,1222,6851,2847,869,448,334,0,0,1,0,0,0,0,0,0,0,0,0,0,10391,36650,0,0,0,0,1,0,0,0,0,100,0,21425,0,0,20,0,0,200,1,5,1,0,0,26,241,8,1,0,645,185,1111,2486,1469,257,3888,1253,3,0,0,0,0,0,0,0,0,0,0
