0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,0,4,0,20028,153110,596051,350284,1189729,13301,126316,211467,207756,1140938,21549,83839,1532543,0,0,0,0,277,0,0,0,4218,222253,298492,252303,60734,97126,94237,283989,123887,24260,90067,91782,176172,115650,12466,3608,0,0,0,81148,168077,183284,248622,193093,0,93506,2330053,0,2474,3085,0,0,0,90765,0,34,0,720,0,0,0,0,0,0,1,0,0,0,4608,1,0,85694,240,648,3502,102619,1725,35837,13719,11186,24096,2097,254542
용산,0,0,0,0,7734,88185,37591,15793,41716,1618,7943,8427,4091,52033,1978,8106,174644,0,325,0,0,0,0,0,0,1033,11526,27143,71533,14739,83085,17879,34650,13995,4232,8256,8343,9853,4099,0,0,0,0,0,1693,3889,3377,2480,1688,0,2645,8790,0,0,2376,0,900,0,2923,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,254,6236,2733,1993,97,3633,30,1503,0,0,12,0,75390
영등포,0,0,0,0,38413,388016,590766,306023,695509,10623,86478,114041,85669,355463,6092,27129,376931,700,0,0,3,473,160,1,0,28,144218,176403,156519,34062,49943,51893,112846,48280,12118,38580,38208,68462,34346,11097,3647,0,0,0,117417,174000,157010,152232,127308,0,5235,27145,0,0,0,0,700,864,525,730,470,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,922,40248,362,8386,3401,3431,7056,663,112388
안양,0,0,0,0,1089,14803,5551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3705,9450,0,0,90,0,0,0,4080,0,0,0,0,0,0,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,38335,4733,23922,1963,997,151642,99620,170069,328742,1884,35058,63186,40265,228637,2547,13906,179965,0,0,0,0,4880,0,0,0,0,64988,97033,65941,8722,22157,15475,34514,26957,5188,15086,9984,26888,11285,3869,4320,211,0,50285,19678,87815,70012,66959,48288,0,1300,4436,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,120,0,631,23008,114,6682,777,179,2267,169,39938
평택,277216,92313,385538,20147,166495,37168,74912,19631,85578,1003,5726,8383,6967,37915,367,2707,27774,0,0,0,0,2307,0,0,0,0,8880,14276,11390,1818,11021,5309,7252,3283,817,2106,1607,5203,2119,811,1693,10463,8749,0,9720,15627,23565,18693,16330,0,150,462,400,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,1,0,5,0,2,0,0,0,0,4489
천안,780481,37711,255545,6100,93271,60106,75457,127639,265577,1074,15564,27794,23670,120507,191,6632,119636,0,0,0,6,5483,0,0,0,0,21552,37510,20789,3250,11343,7085,15611,9396,1089,4329,3343,9785,7025,681,3144,1012,655,4,65589,113200,87456,106183,27457,22673,6,0,0,0,1,1,0,1560,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,102,14580,43,3152,52,17,301,15,19522
조치원,326227,20401,290790,0,138787,26035,140483,130107,463026,4144,17230,19057,24233,73412,485,5633,73018,0,0,0,1589,61552,0,81,0,51,20555,30891,19344,3100,13538,5880,15250,5501,555,3619,2806,9795,7827,32745,38023,240,824,0,3,9,2,964,968,0,0,0,120,120,241,0,0,120,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,177,8876,85,2083,91,11,90,28,13462
대전,1130964,38093,716856,0,343126,72080,289965,430145,220867,378319,246173,153697,132204,374440,3645,21825,424805,0,0,120,0,42770,131,29,0,1048,390907,167319,64554,9035,30146,10094,44535,16919,1824,12733,8374,22086,17235,4316,12756,37,15,0,3,24,2240,72,148,0,0,0,0,120,3936,2412,0,544,0,0,73,2,0,7806,0,0,0,0,0,0,0,0,0,216,0,0,4680,85,610,814,26638,124,6568,458,50,856,48,34192
옥천,21385,1419,21302,0,8678,367,4862,366,407569,184452,70870,10758,10910,19379,397,1264,15581,0,0,0,0,0,19,0,0,0,19,13,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,720,0,0,0,0,22,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0
