0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,8,16373,32,238858,203286,674998,410449,1493634,19530,142196,223046,265840,1666075,23076,85162,2304231,540,0,0,0,1195,16,8,0,6760,247673,394214,303530,63727,96009,100570,321222,154626,30523,118325,125328,222524,147220,9352,4596,0,0,0,117219,197815,198152,311685,203618,102442,1583784,0,0,2081,0,0,4,21383,0,0,0,0,509,1,0,0,0,0,0,2,0,0,288,0,0,259381,0,8199,5714,132757,4396,41174,13949,14381,27299,2230,298358
용산,0,0,32,0,12797,52803,15581,4151,11581,375,2058,2625,1276,28431,655,2529,141364,0,1112,0,0,0,0,0,0,0,7151,8580,28080,4948,70091,969,3010,3819,1202,5439,3459,2155,1020,0,0,0,0,0,1923,3663,3704,3178,2047,0,0,0,0,82,0,500,1152,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,71,4668,216,134,18,1081,16,191,0,0,9,0,27642
영등포,74,0,0,10,192961,379842,626500,316975,917390,18613,104375,128109,139083,525596,10634,27386,580422,0,0,0,0,1095,1,0,0,288,178415,241703,198565,39399,51634,65122,159380,78702,18278,56309,59803,110740,58983,9893,4954,0,0,0,154052,204051,182869,197020,142872,0,0,0,0,0,892,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,746,43,2398,2383,68500,2497,15187,5282,6336,17473,1600,166842
안양,24,2,0,0,936,13622,17564,8388,19643,187,3554,3970,2531,11409,691,663,7035,0,0,0,0,0,0,0,0,0,3648,5387,5994,761,2150,2278,3502,0,0,0,0,0,0,0,0,0,0,0,2537,4345,4002,3398,2859,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,132017,5817,28593,2002,0,86618,140076,165927,519355,8225,54282,82346,84568,371761,4471,16191,330580,0,0,0,0,9219,0,409,0,72,98486,131819,102974,13276,23081,22345,56783,45436,7243,26999,19551,45751,26519,3599,4484,0,0,45560,30968,93740,94002,99822,66347,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,1371,1485,41564,1112,13316,1699,1639,4706,429,62672
평택,537152,51616,157887,21513,50292,17151,28491,18318,94975,914,6224,11413,12054,55645,496,2610,41486,0,0,0,0,3205,0,0,0,0,13553,29442,18399,2204,8589,5163,9871,7512,1429,4309,2889,7013,3548,543,2161,2648,1484,0,6064,12977,20000,21412,14542,0,48,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,18,764,27,924,143,115,1649,143,14067
천안,1371408,12325,92424,8084,32014,19024,56542,95874,290812,3076,20786,31320,38310,162093,1369,6341,173767,0,0,1545,218,9062,396,337,0,72,24471,41617,25063,3241,10112,6341,21241,13826,1388,6181,4412,14642,10364,1028,4533,285,215,0,39061,78228,93915,126971,32962,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,448,0,0,0,1262,0,0,514,22958,273,5216,273,156,756,80,26014
조치원,423072,3987,300122,6881,174175,24622,120062,42729,351155,2859,12204,20689,32703,69533,1080,6138,104047,0,0,120,726,63578,0,10,0,15,18049,28418,21925,3037,8487,5003,17842,7864,768,4650,3866,12924,11150,19206,48448,11,13,0,0,0,0,49,0,0,0,0,0,240,216,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,376,0,720,321,13524,260,3195,145,162,612,69,15145
대전,1526790,11586,869891,12477,571242,85060,318482,337060,108017,338613,304220,164423,204172,552438,5269,23290,690811,0,0,721,0,88977,54,56,0,1819,290162,137526,75498,10083,28844,10653,58701,20387,2515,16803,12262,34239,27474,5740,29249,0,0,0,206,3,586,123,318,0,0,0,120,2806,0,1,1356,0,0,21,0,0,3985,0,0,0,0,1394,0,0,0,0,0,0,0,11118,45,2371,1404,41961,873,16940,670,482,2130,161,36873
옥천,28847,517,28186,0,16572,1295,4954,2487,369573,103970,58859,11603,11538,17037,410,705,26732,0,0,0,0,0,11,0,0,0,0,3,1,11,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,97,0,0,0,0,0,0,0,0,0,0,0,0,3143,0,0,0,0,0,7,174,2,337,0,0,0,0,0
영동,127245,844,109278,2117,58593,5216,20650,14038,274230,48529,32532,47280,44900,111173,1041,3440,100087,0,0,0,0,0,14,0,0,1,4,1,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,96,8,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,249,7147,44,742,0,0,0,0,1
김천,222127,2095,115204,2509,84538,10459,30987,20612,151951,9987,45745,73521,263197,359261,10050,8667,232574,0,2,2,0,56,11027,0,0,895,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136889,59581,10836,4149,0,0,0,0,0,1023,0,0,0,0,0,0,0,3518,14,0,458,17799,262,1657,0,0,0,0,0
구미,302150,2112,121813,2017,87652,11648,38407,33538,210009,9040,42854,278716,351277,1402632,40487,27421,399932,0,4,0,0,39,18648,0,0,2979,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,16197,20229,7806,3118,0,0,0,0,0,2807,721,0,0,0,3,1,0,6011,12,3,1109,24896,722,5835,0,0,0,0,0
동대구,1704658,11198,480810,7909,374690,51380,155949,68912,550046,9964,115260,424142,1455469,1198,225143,346865,3139677,0,849,16410,0,20274,136493,84868,53743,171079,9,887,71,7,539,1,3,50,0,0,0,0,0,95,1660,0,0,0,0,0,0,0,0,0,6925,912,720,7819,17309,0,960,0,44047,54601,17489,11334,0,5667,28160,6752,7710,50552,0,158,0,2,16450,1235,5937,51515,33725,5145,9978,104924,2116,10198,40,0,0,0,21
