0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,5,3785,103,906228,531739,956763,361128,1688103,24554,127197,227191,326776,1816155,47906,94449,2320461,0,1,0,0,2720,1589,1339,0,26560,288828,425166,316329,67841,80159,75153,293135,209582,26648,122889,109198,192121,127904,10999,8840,0,0,0,215493,265078,256888,321748,196221,82022,1755775,1,0,204,0,8,29,314,0,0,0,0,0,0,0,0,0,1,96,0,0,0,12690,99,106120,352141,46262,6262,10258,182667,5884,50079,9389,8793,18627,1066,336500
용산,0,0,1,0,4190,13294,2425,406,935,0,56,96,57,4951,6,246,84687,0,72,0,0,0,29,2351,1698,0,4684,767,911,3469,38046,431,5686,650,0,1368,0,0,637,0,766,0,0,0,709,1730,1263,510,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,533,0,0,0,0,0,1772,0,0,0,299,0,0,0,0,193,158,598
영등포,223,0,0,29,410064,594341,996927,404870,1128491,24873,101714,134629,171784,570553,25605,32912,695685,0,1440,0,0,3120,1218,1368,0,925,213698,259638,227090,41772,53681,59032,182668,138797,20215,73188,57457,110396,62386,15613,8187,0,0,0,228864,264621,214622,198711,150628,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,60,5811,6566,0,2602,4549,89360,3364,25855,4693,5779,14371,922,195879
안양,116,0,16,0,988,34490,17871,7471,8572,0,3049,2223,1681,6220,840,977,5798,0,120,0,0,0,330,0,0,0,2205,2560,4173,1138,1389,1512,2880,0,0,0,1273,481,736,0,6264,0,0,0,10084,5965,4889,3730,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,580,0,0,0,0,0,7978,0,0,0,0,0,0,0,0,0,0,0
수원,722128,4,22868,27,0,308375,312249,201061,493106,11443,48635,81649,104670,379299,15139,21302,479306,0,0,0,0,8875,10672,4264,0,3201,101391,148311,120969,20333,24592,25955,88998,66007,7455,36949,23284,61459,38512,4224,3213,0,0,18000,73621,112131,96049,112413,80515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,176,60,6888,16468,13603,677,2555,54989,1727,21169,2086,1635,5977,401,92224
평택,1342659,18336,144774,41834,115284,9962,45715,33874,131135,1898,6741,13455,14582,60579,2444,2467,59669,0,0,0,0,3006,2740,1411,0,0,17107,28759,16419,2536,6682,4687,11092,13496,1346,5348,4566,9474,5291,814,1898,0,0,0,9330,27625,26641,24678,15507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,397,7283,177,3198,235,293,1102,74,16541
천안,1887066,1246,182932,8883,127055,62177,37927,114774,390394,5281,15512,29962,33680,127606,4766,6181,191333,0,0,0,0,12593,4805,2140,0,998,28442,42957,24013,5108,9147,6197,20367,20212,1416,9022,6451,17290,12279,1752,6383,0,0,0,30350,95947,134083,136451,33184,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,422,27,10785,6297,400,40,1035,23289,381,5785,313,199,1324,79,31939
조치원,365326,1813,360588,4335,205979,35546,137317,6630,225907,2373,12777,20561,29965,56874,2510,5165,111136,0,0,0,188,56700,0,0,0,102,22982,28422,15414,5149,8044,2996,13944,9641,580,4783,3767,12177,10961,18214,43508,0,0,0,0,0,0,0,0,360,0,0,216,432,0,0,0,0,0,0,0,0,0,0,15,19,300,640,14,27,5,150,102,14,1288,642,0,150,568,9388,223,3602,183,109,672,29,14683
대전,1801309,2300,1020916,6125,538153,131692,407904,233826,25437,117752,291868,192141,191845,539687,23880,27175,836455,0,0,965,0,129330,1189,0,0,5189,187386,137232,53448,13490,18969,9322,50589,27641,2358,17716,13349,38650,33978,16550,56921,0,0,0,0,0,357,0,0,211,0,504,792,1512,0,0,1009,0,0,0,146,0,3747,579,11,117,1205,4518,70,1743,35,1425,4425,97,22940,20058,13166,1596,4005,66525,1059,13337,569,500,2217,129,48558
옥천,30081,0,25762,54,14502,2412,6272,3084,134906,29925,7788,5895,6484,12096,649,577,11333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,340,535,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,64,1587,29,809,0,0,0,0,0
