0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,22,1443,109,727041,552019,1038053,371227,1834851,31023,125877,236566,375887,1851968,60805,94422,2237741,1110,3,0,0,3307,3062,1739,0,34640,320832,448700,340583,83268,81097,73093,321254,237637,25496,126728,109548,197174,139768,11074,8273,0,0,204424,267642,280867,352561,197173,73217,1184660,1,1,80,0,2,0,1304,0,389,0,680,0,35,0,0,0,116,0,0,95,23916,378,88732,332215,51070,6685,10497,194767,6490,52979,7816,8370,20346,1345,426491
용산,2,0,0,348,3634,10157,2486,179,941,39,32,72,229,22380,33,17,95876,0,192,0,0,236,0,0,0,0,5482,4211,796,1627,69877,139,5512,0,0,1440,0,0,0,0,0,0,0,1240,1971,1313,619,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,270
영등포,372,0,0,614,377057,560012,969923,375929,1158414,28736,99195,133969,190216,587778,33116,32570,669204,0,2163,0,0,3757,1388,989,0,1375,220589,262575,225849,43139,48967,57366,195425,142807,18887,72302,53919,109528,61251,12605,7798,0,25,216745,253435,223172,208132,143038,0,0,4,0,0,0,3,23,0,0,0,0,0,0,266,0,0,800,0,122,0,0,6074,210,4193,8055,0,2268,4685,84752,3480,25946,3968,5143,14628,1124,214076
안양,1625,13,294,0,1311,28177,13581,5805,6159,66,1572,2278,2217,5716,766,372,4236,0,240,0,0,370,0,0,0,0,1549,1825,3622,486,909,1183,2262,84,0,260,0,0,530,0,0,0,0,13347,5622,5680,4368,3042,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,10470,0,0,0,0,0,0,0,0,0,0,0
수원,657992,266,48244,73,0,325213,328557,193868,537410,13730,50040,85343,123672,402349,21807,23794,522986,0,0,0,0,5766,10894,5758,0,5209,104337,155849,119257,22391,24981,26976,95613,66754,7382,34905,23215,63480,41237,3227,8545,0,0,80327,107939,99708,123881,79663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,279,718,6146,18903,15327,1167,3102,54224,1832,18665,1896,221,6373,463,105909
평택,1305767,12755,136542,45089,88215,2698,49013,33326,144783,1907,7489,13628,16614,62407,3342,2543,67422,0,0,0,0,2257,2775,2188,0,0,18066,28213,16130,3039,6577,4897,12463,14793,1487,5990,3175,10136,5159,559,706,0,0,11339,25027,31117,29638,14885,0,0,2,0,0,0,0,0,0,0,0,0,0,1,441,0,0,0,0,52,0,0,0,0,0,2,0,0,431,7327,224,3320,197,357,969,56,18024
천안,1627508,698,382150,8250,236392,47338,26014,102437,424369,7169,17829,32380,36823,143050,6602,7581,221178,0,0,0,0,11384,6634,2904,0,1509,32491,41737,24428,5236,7044,6190,22210,22613,1602,8618,4849,18252,14443,1242,3082,0,0,23910,96779,136495,152112,33913,0,0,0,0,0,0,0,0,0,0,0,0,0,134,125,0,0,12,0,0,0,537,172,89,13563,9438,0,940,1115,27766,408,7170,300,265,1403,91,27726
조치원,367667,955,347932,2892,201283,34418,123807,559,205403,2234,13090,22410,31645,62224,3891,4723,119250,0,0,0,130,51066,294,0,0,137,26770,30221,15560,7043,5439,3075,14982,11724,624,4424,3853,11779,11181,20534,37662,0,0,0,0,0,0,0,0,0,72,0,144,0,0,0,0,0,0,0,0,3,87,39,516,926,20,72,9,322,136,13,1272,759,0,0,590,9337,255,3465,156,83,810,52,17206
대전,1924053,3906,1079033,4419,574979,148333,429996,216745,11016,117541,282320,185686,177738,525269,34600,26605,825584,0,0,1352,0,119170,2014,1019,0,6856,160007,126351,53351,17196,15469,8433,52636,31226,2468,17585,12356,38286,34896,18178,60815,0,0,0,0,0,0,0,245,0,360,372,1217,0,0,216,0,0,0,0,0,0,889,303,2067,9766,189,486,92,2234,7829,162,25001,24484,14023,2309,3565,65359,1249,13375,437,554,2302,209,52192
옥천,36636,0,26254,86,16414,2316,7530,3149,127537,11190,5264,7046,6771,12208,1005,481,13875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,707,0,0,227,676,252,50,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,25,222,148,0,547,48,1111,62,142,0,0,237,0,0
